,vehicleid,recievetime
0,SW00,1709631165.4646475
1,SW00,1709631165.7264504
2,SW00,1709631166.029895
3,SW00,1709631166.328032
4,SW00,1709631166.6315212
5,SN11,1709631166.6397836
6,SW00,1709631166.9261055
7,SN11,1709631166.9320893
8,SW00,1709631167.2242346
9,SN11,1709631167.2291832
10,SW00,1709631167.528759
11,SN11,1709631167.533504
12,SN12,1709631167.5386722
13,SW00,1709631167.8223717
14,SN11,1709631167.828075
15,SN12,1709631167.8325567
16,SW00,1709631168.126335
17,SN11,1709631168.1389859
18,SN12,1709631168.1575072
19,SW00,1709631168.4283822
20,SN11,1709631168.4439263
21,SN12,1709631168.4513679
22,SW00,1709631168.7253883
23,SN11,1709631168.7354891
24,SN12,1709631168.7390592
25,SW00,1709631169.0314705
26,SN11,1709631169.0471902
27,SN12,1709631169.0549946
28,SW00,1709631169.3276477
29,SN11,1709631169.337217
30,SN12,1709631169.3457754
31,SW00,1709631169.63328
32,SN11,1709631169.639462
33,SN12,1709631169.6480334
34,NW13,1709631169.658827
35,SW00,1709631169.933275
36,SN11,1709631169.9425755
37,SN12,1709631169.9534051
38,NW13,1709631169.9668922
39,NW14,1709631169.9746032
40,SW00,1709631170.2259412
41,SN11,1709631170.2332828
42,SN12,1709631170.2376165
43,NW13,1709631170.2520928
44,NW14,1709631170.259093
45,EW16,1709631170.536886
46,SW00,1709631170.5565202
47,SN11,1709631170.561825
48,SN12,1709631170.5669355
49,SN15,1709631170.5720155
50,NW13,1709631170.5849204
51,NW14,1709631170.5921154
52,EW16,1709631170.8270495
53,EW17,1709631170.8332617
54,SW00,1709631170.8506882
55,SN11,1709631170.8590848
56,SN12,1709631170.866003
57,SN15,1709631170.8714454
58,NW13,1709631170.8753138
59,NW14,1709631170.8799458
60,EW16,1709631171.1374938
61,EW17,1709631171.1421988
62,SW00,1709631171.1468842
63,SN11,1709631171.1516373
64,SN12,1709631171.157424
65,SN15,1709631171.1619775
66,NS19,1709631171.1702547
67,NE08,1709631171.1821275
68,NW13,1709631171.198595
69,NW14,1709631171.2044456
70,EW16,1709631171.4199684
71,EW17,1709631171.4252584
72,SW00,1709631171.4303136
73,SN11,1709631171.4353716
74,SN12,1709631171.4429922
75,SN15,1709631171.4475446
76,NS19,1709631171.4521854
77,NE08,1709631171.4575136
78,NW13,1709631171.4634929
79,NW14,1709631171.468372
80,EW16,1709631171.7230337
81,EW17,1709631171.7278442
82,SW00,1709631171.735822
83,SN11,1709631171.7438824
84,SN12,1709631171.7516587
85,SN15,1709631171.7568707
86,NS19,1709631171.7615826
87,NE08,1709631171.7727869
88,NW13,1709631171.7790837
89,NW14,1709631171.7840617
90,EW16,1709631172.0346408
91,EW17,1709631172.0394847
92,SW00,1709631172.044801
93,SN11,1709631172.0523407
94,SN12,1709631172.0567875
95,SN15,1709631172.0612397
96,NS19,1709631172.0727334
97,NE08,1709631172.0806909
98,NW13,1709631172.0869
99,NW14,1709631172.0903711
100,WE110,1709631172.09795
101,EW16,1709631172.3229785
102,EW17,1709631172.3281188
103,SW00,1709631172.33395
104,SN11,1709631172.3416457
105,SN12,1709631172.3497503
106,SN15,1709631172.355082
107,NS19,1709631172.3616672
108,NE08,1709631172.3688126
109,NW13,1709631172.375929
110,NW14,1709631172.381886
111,WE110,1709631172.3934484
112,EW16,1709631172.6270435
113,EW17,1709631172.6333747
114,SW00,1709631172.6405277
115,SN11,1709631172.6500394
116,SN12,1709631172.655599
117,SN15,1709631172.6616776
118,NS19,1709631172.6724932
