,vehicleid,transtime
0,SW00,1709631165.160163
1,SW00,1709631165.463655
2,SW00,1709631165.7334685
3,SW00,1709631166.029359
4,SW00,1709631166.326318
5,SW00,1709631166.631197
6,SN11,1709631166.6393535
7,SW00,1709631166.925702
8,SN11,1709631166.9317656
9,SW00,1709631167.2236938
10,SN11,1709631167.228831
11,SW00,1709631167.5282497
12,SN11,1709631167.5330632
13,SN12,1709631167.536269
14,SW00,1709631167.821926
15,SN11,1709631167.8276403
16,SN12,1709631167.8307638
17,SW00,1709631168.1258729
18,SN11,1709631168.1385431
19,SN12,1709631168.1550372
20,SW00,1709631168.4277892
21,SN11,1709631168.442731
22,SN12,1709631168.450765
23,SW00,1709631168.7248974
24,SN11,1709631168.7350461
25,SN12,1709631168.7386928
26,SW00,1709631169.029447
27,SN11,1709631169.0451207
28,SN12,1709631169.0504093
29,SW00,1709631169.3270013
30,SN11,1709631169.3364832
31,SN12,1709631169.3430195
32,SW00,1709631169.6327174
33,SN11,1709631169.6389747
34,SN12,1709631169.6447499
35,NW13,1709631169.658342
36,SW00,1709631169.9327364
37,SN11,1709631169.9420447
38,SN12,1709631169.9462647
39,NW13,1709631169.9660127
40,NW14,1709631169.9701824
41,SW00,1709631170.225046
42,SN11,1709631170.2326396
43,SN12,1709631170.2364037
44,NW13,1709631170.2515018
45,NW14,1709631170.2552912
46,EW16,1709631170.536044
47,SW00,1709631170.544659
48,SN11,1709631170.552314
49,SN12,1709631170.556354
50,SN15,1709631170.5604784
51,NW13,1709631170.5762284
52,NW14,1709631170.5802565
53,EW16,1709631170.826403
54,EW17,1709631170.829827
55,SW00,1709631170.837978
56,SN11,1709631170.8474696
57,SN12,1709631170.8542564
58,SN15,1709631170.857684
59,NW13,1709631170.8746228
60,NW14,1709631170.8791342
61,EW16,1709631171.1369476
62,EW17,1709631171.1394608
63,SW00,1709631171.1446722
64,SN11,1709631171.1499052
65,SN12,1709631171.153299
66,SN15,1709631171.157048
67,NS19,1709631171.1697845
68,NE08,1709631171.1768847
69,NW13,1709631171.1839309
70,NW14,1709631171.1877036
71,EW16,1709631171.419365
72,EW17,1709631171.4225652
73,SW00,1709631171.4290035
74,SN11,1709631171.4350967
75,SN12,1709631171.4384675
76,SN15,1709631171.441527
77,NS19,1709631171.4501612
78,NE08,1709631171.4563243
79,NW13,1709631171.462917
80,NW14,1709631171.4657676
81,EW16,1709631171.7227173
82,EW17,1709631171.725907
83,SW00,1709631171.7322962
84,SN11,1709631171.7434223
