,starttime,endtime,phaseDuration
0,1709601955.3704736,1709601955.6176367,12
1,1709601967.4705093,1709601967.4961972,7
2,1709601974.574388,1709601974.5909388,7
3,1709601981.6704638,1709601981.6947854,7
4,1709601988.770509,1709601988.7880697,12
5,1709602000.770677,1709602000.7892613,7
6,1709602007.779397,1709602007.8045547,12
7,1709602019.9708014,1709602019.9928136,7
8,1709602026.9728513,1709602027.0128136,12
9,1709602038.9784691,1709602038.9961617,7
10,1709602046.0710433,1709602046.0897202,7
11,1709602053.076075,1709602053.095142,7
12,1709602060.0721054,1709602060.0874372,7
13,1709602067.1756341,1709602067.19732,7
14,1709602074.1813226,1709602074.215602,7
15,1709602081.3721666,1709602081.3948114,12
16,1709602093.3747592,1709602093.392512,7
17,1709602100.3769133,1709602100.3979845,7
18,1709602107.580167,1709602107.614156,7
19,1709602114.6706214,1709602114.6896777,10
20,1709602124.7727184,1709602124.7939107,7
21,1709602131.772658,1709602131.7919984,12
22,1709602143.7746875,1709602143.7915533,7
23,1709602150.9768052,1709602150.9971855,10
24,1709602161.0707579,1709602161.0922487,12
25,1709602173.0791245,1709602173.1016989,12
26,1709602185.2712088,1709602185.2872472,7
27,1709602192.3742592,1709602192.3980722,12
28,1709602204.4758353,1709602204.497057,10
29,1709602214.4749897,1709602214.5013654,7
30,1709602221.6713505,1709602221.690361,12
31,1709602233.6713703,1709602233.6892238,7
32,1709602240.675213,1709602240.6932533,7
33,1709602247.678268,1709602247.7006445,7
34,1709602254.7749965,1709602254.796448,12
35,1709602266.8742611,1709602266.8902695,12
36,1709602278.873321,1709602278.8915246,7
37,1709602285.9847853,1709602286.011801,10
38,1709602296.0729942,1709602296.0934756,7
39,1709602303.1723053,1709602303.1942873,7
40,1709602310.270889,1709602310.28984,12
41,1709602322.1775029,1709602322.2003934,7
42,1709602329.2754364,1709602329.300035,12
43,1709602341.3756447,1709602341.3942642,12
44,1709602353.3818247,1709602353.4022949,10
45,1709602363.5767696,1709602363.596491,10
46,1709602373.678015,1709602373.6992912,7
47,1709602380.670982,1709602380.6898537,7
48,1709602387.775026,1709602387.795991,7
49,1709602394.871558,1709602394.8921943,12
50,1709602406.8766952,1709602406.8980947,7
51,1709602413.9707465,1709602413.987196,7
52,1709602420.9787068,1709602421.0005438,7
53,1709602428.0742116,1709602428.0938933,7
54,1709602435.076702,1709602435.0965378,12
55,1709602447.276954,1709602447.2985773,12
56,1709602459.3735812,1709602459.3923895,12
57,1709602471.4806318,1709602471.503113,12
58,1709602483.4772336,1709602483.5031998,12
59,1709602495.47943,1709602495.4948564,7
60,1709602502.5788922,1709602502.5981405,10
61,1709602512.5726492,1709602512.5920758,7
62,1709602519.678615,1709602519.698033,12
63,1709602531.6755176,1709602531.6918862,7
64,1709602538.7734587,1709602538.7899408,11
65,1709602549.7824984,1709602549.8008664,7
66,1709602556.8733087,1709602556.8911252,7
67,1709602563.9783957,1709602563.9984121,7
68,1709602571.0743353,1709602571.0952296,7
69,1709602577.9828997,1709602578.0051267,12
70,1709602590.0777416,1709602590.0966349,7
71,1709602597.2733245,1709602597.2938268,7
72,1709602604.3816807,1709602604.400768,7
73,1709602611.3745508,1709602611.39607,10
74,1709602621.4881525,1709602621.5059657,7
75,1709602628.572502,1709602628.5893104,12
76,1709602640.6721694,1709602640.6882548,12
77,1709602652.675811,1709602652.695461,12
78,1709602664.778122,1709602664.796041,12
79,1709602676.771085,1709602676.797,7
80,1709602683.7727778,1709602683.7857604,12
81,1709602695.7742124,1709602695.7915063,11
82,1709602706.8760536,1709602706.8960507,12
83,1709602718.8858507,1709602718.9074845,7
84,1709602725.9718738,1709602725.989611,10
85,1709602736.0707705,1709602736.0887227,12
86,1709602748.0810633,1709602748.095825,11
87,1709602759.1729498,1709602759.1947067,12
88,1709602771.2713172,1709602771.2895827,12
89,1709602783.372278,1709602783.3900135,7
90,1709602790.373431,1709602790.3969395,12
91,1709602802.479529,1709602802.5037537,7
92,1709602809.5809002,1709602809.5984464,12
93,1709602821.5703745,1709602821.5879939,12
94,1709602833.5773916,1709602833.5936344,7
95,1709602840.6739998,1709602840.6933367,12
96,1709602852.8736784,1709602852.8892708,12
97,1709602864.9730062,1709602864.9901245,7
98,1709602872.0704386,1709602872.073751,7
99,1709602879.170453,1709602879.1756158,7
