,starttime,endtime
0,1709601948.4287467,1709601948.4287577
1,1709601948.4823859,1709601948.4823925
2,1709601948.5713537,1709601948.5713608
3,1709601948.6713555,1709601948.671363
4,1709601948.7714202,1709601948.7714286
5,1709601948.8712206,1709601948.871226
6,1709601948.971309,1709601948.9713132
7,1709601949.0709944,1709601949.0709996
8,1709601949.1710408,1709601949.171045
9,1709601949.271397,1709601949.2714026
10,1709601949.3736272,1709601949.373642
11,1709601949.4737673,1709601949.4737833
12,1709601949.57141,1709601949.571416
13,1709601949.6716697,1709601949.6716762
14,1709601949.773731,1709601949.7737484
15,1709601949.8719277,1709601949.871936
16,1709601949.971296,1709601949.9713035
17,1709601950.0715895,1709601950.0715957
18,1709601950.171625,1709601950.1716316
19,1709601950.2713494,1709601950.2713559
20,1709601950.3739843,1709601950.3740032
21,1709601950.4711382,1709601950.471145
22,1709601950.5712094,1709601950.5712159
23,1709601950.6713526,1709601950.67136
24,1709601950.7712073,1709601950.771215
25,1709601950.8713286,1709601950.8713338
26,1709601950.9710407,1709601950.9710472
27,1709601951.071144,1709601951.071151
28,1709601951.1712124,1709601951.17122
29,1709601951.2711775,1709601951.2711847
30,1709601951.3712878,1709601951.3712952
31,1709601951.4724033,1709601951.4724138
32,1709601951.5716717,1709601951.571683
33,1709601951.6724083,1709601951.6724591
34,1709601951.7717109,1709601951.7717195
35,1709601951.8724196,1709601951.8724318
36,1709601951.9748406,1709601951.9748542
37,1709601952.0723753,1709601952.0723872
38,1709601952.1736176,1709601952.1736262
39,1709601952.2752283,1709601952.275237
40,1709601952.375249,1709601952.375264
41,1709601952.4717112,1709601952.4717195
42,1709601952.5717216,1709601952.5717328
43,1709601952.673051,1709601952.6730645
44,1709601952.7722197,1709601952.7722316
45,1709601952.8712595,1709601952.8712664
46,1709601952.9710777,1709601952.971084
47,1709601953.0709846,1709601953.0709918
48,1709601953.1711707,1709601953.17118
49,1709601953.2709422,1709601953.2709463
50,1709601953.3715832,1709601953.3715901
51,1709601953.4714417,1709601953.4714491
52,1709601953.5731046,1709601953.5731144
53,1709601953.673964,1709601953.6739705
54,1709601953.771558,1709601953.7715664
55,1709601953.8740861,1709601953.8740942
56,1709601953.9731593,1709601953.973167
57,1709601954.0776596,1709601954.0776653
58,1709601954.1766036,1709601954.1766121
59,1709601954.272338,1709601954.2723472
60,1709601954.3774931,1709601954.3775032
61,1709601954.4858565,1709601954.4858668
62,1709601954.5885186,1709601954.5885284
63,1709601954.674038,1709601954.6740472
64,1709601954.77921,1709601954.7792199
65,1709601954.8874893,1709601954.8875005
66,1709601954.9733381,1709601954.9733524
67,1709601955.0839758,1709601955.0839856
68,1709601955.1810086,1709601955.181021
69,1709601955.2868183,1709601955.2868297
70,1709601955.6280951,1709601955.6281054
71,1709601955.6410792,1709601955.6410894
72,1709601955.677554,1709601955.6775641
73,1709601955.7786865,1709601955.7786977
74,1709601955.8764262,1709601955.8764374
75,1709601955.9726813,1709601955.9726903
76,1709601956.0902498,1709601956.09026
77,1709601956.178772,1709601956.1787827
78,1709601956.2740395,1709601956.2740483
79,1709601956.373138,1709601956.3731468
80,1709601956.477455,1709601956.4774652
81,1709601956.583567,1709601956.5835755
82,1709601956.6813443,1709601956.6813548
83,1709601956.7804163,1709601956.780427
84,1709601956.8719199,1709601956.871929
85,1709601956.9751084,1709601956.975117
86,1709601957.0753906,1709601957.0753996
87,1709601957.1778486,1709601957.177858
88,1709601957.2890868,1709601957.289096
89,1709601957.3768945,1709601957.376904
90,1709601957.4779072,1709601957.4779859
91,1709601957.5770156,1709601957.5770245
92,1709601957.672086,1709601957.6720948
93,1709601957.7829134,1709601957.7829282
94,1709601957.8747938,1709601957.8748035
95,1709601957.9771204,1709601957.977128
96,1709601958.0788484,1709601958.0788617
97,1709601958.17186,1709601958.1718693
98,1709601958.2887106,1709601958.2887206
99,1709601958.3733723,1709601958.373382
100,1709601958.472278,1709601958.4722874
101,1709601958.5825975,1709601958.5826063
102,1709601958.6874833,1709601958.6874986
103,1709601958.7740498,1709601958.7740602
104,1709601958.8785694,1709601958.878579
105,1709601958.9755535,1709601958.9755692
106,1709601959.0725322,1709601959.0725431
107,1709601959.1799257,1709601959.1799362
108,1709601959.2816749,1709601959.2816849
109,1709601959.3748152,1709601959.3748243
110,1709601959.4763124,1709601959.4763248
111,1709601959.5716295,1709601959.5716364
112,1709601959.6864629,1709601959.6864724
113,1709601959.78258,1709601959.7825904
114,1709601959.8838825,1709601959.883893
115,1709601959.9781075,1709601959.9781177
116,1709601960.080716,1709601960.0807254
117,1709601960.1794255,1709601960.179435
118,1709601960.2792685,1709601960.2792797
119,1709601960.3781579,1709601960.3781686
120,1709601960.478793,1709601960.4788027
121,1709601960.5737095,1709601960.5737193
122,1709601960.6726203,1709601960.6726296
123,1709601960.7722306,1709601960.7722373
124,1709601960.8720827,1709601960.872091
125,1709601961.4781835,1709601961.4781916
126,1709601961.4838092,1709601961.4838178
127,1709601961.5750453,1709601961.5750544
128,1709601961.672596,1709601961.6726055
129,1709601961.7848678,1709601961.784878
130,1709601961.8831673,1709601961.8850138
131,1709601961.9730823,1709601961.9730904
132,1709601962.0811017,1709601962.0811102
133,1709601962.1833835,1709601962.1833928
134,1709601962.277426,1709601962.2774336
135,1709601962.380485,1709601962.3804958
136,1709601962.4833956,1709601962.483406
