,vehicleid,recievetime
0,EW10,1709601953.3961103
1,EW10,1709601953.702517
2,EW10,1709601953.9976501
3,EW10,1709601954.3015258
4,EW10,1709601954.601326
5,EW10,1709601954.9121687
6,EW10,1709601955.2071993
7,SW01,1709601955.2221265
8,EW10,1709601955.622035
9,SW01,1709601955.631488
10,EW10,1709601955.816913
11,EW13,1709601955.822231
12,SW01,1709601955.8345947
13,SW02,1709601955.8424377
14,EW10,1709601956.1047478
15,EW13,1709601956.1119397
16,SW01,1709601956.119966
17,SW02,1709601956.1299381
18,EW10,1709601956.4025216
19,EW13,1709601956.410008
20,SW01,1709601956.4164844
21,SW02,1709601956.422131
22,EW10,1709601956.7017488
23,EW13,1709601956.7072878
24,SW01,1709601956.7134702
25,SW02,1709601956.720375
26,EW10,1709601957.0025613
27,EW13,1709601957.0077415
28,SW01,1709601957.015047
29,SW02,1709601957.0213115
30,EW10,1709601957.3002872
31,EW13,1709601957.3048406
32,SW01,1709601957.3099499
33,SW02,1709601957.3154783
34,EW10,1709601957.604974
35,EW13,1709601957.6108687
36,SW01,1709601957.6180441
37,SW02,1709601957.6233969
38,EW10,1709601957.9015474
39,EW13,1709601957.9167268
40,SW01,1709601957.9262435
41,SW02,1709601957.9325159
42,EW10,1709601958.2079318
43,EW13,1709601958.2181244
44,SW01,1709601958.2278278
45,SW02,1709601958.2375255
46,EW10,1709601958.506501
47,EW13,1709601958.51265
48,SW01,1709601958.5227637
49,SW02,1709601958.5293531
50,EW10,1709601958.8046458
51,EW13,1709601958.8113406
52,SW01,1709601958.8203304
53,SW02,1709601958.8338299
54,EW10,1709601959.1069536
55,EW13,1709601959.1135483
56,SW01,1709601959.119627
57,SW02,1709601959.1317883
58,EW10,1709601959.4040565
59,EW13,1709601959.4106143
60,SW01,1709601959.419431
61,SW02,1709601959.4269562
62,EW10,1709601959.700969
63,EW13,1709601959.7067726
64,SW01,1709601959.7121687
65,SW02,1709601959.7176497
66,EW10,1709601960.0008063
67,EW13,1709601960.0063217
68,SW01,1709601960.0129633
69,SW02,1709601960.0322015
70,EW10,1709601960.3052974
71,EW13,1709601960.3158848
72,SW01,1709601960.323713
73,SW02,1709601960.3301494
74,EW10,1709601960.5979955
75,EW13,1709601960.603068
76,SW01,1709601960.6170137
77,SW02,1709601960.630739
78,EW10,1709601960.911548
79,EW13,1709601960.9220636
80,SW01,1709601960.9284341
81,SW02,1709601960.9336855
82,ES04,1709601961.2017324
83,EW10,1709601961.2189188
84,EW13,1709601961.2239575
85,SW01,1709601961.230202
86,SW02,1709601961.2350662
87,ES04,1709601961.4932137
88,EW10,1709601961.511442
89,EW13,1709601961.5168893
90,SW01,1709601961.5269642
91,SW02,1709601961.5364928
92,ES04,1709601961.7940273
93,EW10,1709601961.807003
94,EW13,1709601961.8135157
95,SW01,1709601961.8206794
96,SW02,1709601961.826646
97,ES04,1709601962.0952284
98,EW10,1709601962.1066906
99,EW13,1709601962.1138213
100,SW01,1709601962.126741
101,SW02,1709601962.1331282
102,ES04,1709601962.393831
103,EW10,1709601962.4048562
104,EW13,1709601962.4102874
105,SW01,1709601962.4152882
106,SW02,1709601962.421393
107,ES04,1709601962.6957335
108,EW10,1709601962.7095716
109,EW13,1709601962.7147663
110,SW01,1709601962.7226114
111,SW02,1709601962.7299957
112,ES04,1709601962.9955344
113,EW10,1709601963.0069988
114,EW13,1709601963.011845
115,SW01,1709601963.019195
116,SW02,1709601963.0247
117,ES04,1709601963.3034813
118,EW10,1709601963.3160694
119,EW13,1709601963.322381
120,EW15,1709601963.3292267
121,SW01,1709601963.3436859
122,SW02,1709601963.349569
123,ES04,1709601963.5995944
124,EW10,1709601963.6115758
125,EW13,1709601963.6165416
126,EW15,1709601963.6215105
127,SW01,1709601963.634621
128,SW02,1709601963.642233
129,ES04,1709601963.9051945
130,EW10,1709601963.9286642
131,EW13,1709601963.9353533
132,EW15,1709601963.9416094
133,EW16,1709601963.9527972
134,SW01,1709601963.9696722
135,SW02,1709601963.9757144
136,ES04,1709601964.1962597
137,EW10,1709601964.2063947
138,EW13,1709601964.216226
139,EW15,1709601964.2271492
140,EW16,1709601964.232397
141,SW01,1709601964.2381115
142,SW02,1709601964.245619
143,ES04,1709601964.5001326
144,EW10,1709601964.5127554
145,EW13,1709601964.524897
146,EW15,1709601964.5324163
147,EW16,1709601964.538622
148,SW01,1709601964.5469892
149,SW02,1709601964.55257
150,ES04,1709601964.7945156
151,EW10,1709601964.8044
152,EW13,1709601964.8093994
153,EW15,1709601964.8148546
154,EW16,1709601964.8212519
155,SW01,1709601964.8281724
156,SW02,1709601964.8351772
157,ES04,1709601965.0948484
158,EW10,1709601965.1052144
159,EW13,1709601965.1113555
160,EW15,1709601965.115909
161,EW16,1709601965.1208577
162,SW01,1709601965.1264198
163,SW02,1709601965.1311278
164,ES04,1709601965.3940852
165,EW10,1709601965.402035
166,EW13,1709601965.4067364
167,EW15,1709601965.4106112
168,EW16,1709601965.4141805
169,SW01,1709601965.4187179
170,SW02,1709601965.4236197
171,ES04,1709601965.6936707
172,EW10,1709601965.7063942
173,EW13,1709601965.710833
174,EW15,1709601965.7164629
175,EW16,1709601965.7206209
176,SW01,1709601965.7269638
177,SW02,1709601965.7316601
178,ES04,1709601965.9938977
179,EW10,1709601966.003296
180,EW13,1709601966.0074003
181,EW15,1709601966.013015
182,EW16,1709601966.0175648
183,SW01,1709601966.0236204
184,SW02,1709601966.0284681
185,ES04,1709601966.292377
186,EW10,1709601966.3020058
187,EW13,1709601966.3074415
188,EW15,1709601966.3124857
189,EW16,1709601966.317584
190,SW01,1709601966.3243976
191,SW02,1709601966.3292885
192,ES04,1709601966.592796
193,EW10,1709601966.6022072
194,EW13,1709601966.60684
195,EW15,1709601966.6102183
196,EW16,1709601966.6168008
197,SW01,1709601966.6248467
198,SW02,1709601966.6325176
199,EW1,1709601966.806249
200,EW1,1709601966.8254173
201,EW1,1709601966.8345108
202,EW1,1709601966.843529
203,EW1,1709601966.8500738
204,EW1,1709601966.8593826
205,EW1,1709601966.86475
206,EW1,1709601966.87237
207,EW1,1709601966.8812797
208,EW1,1709601966.8932345
209,ES04,1709601966.89742
210,EW1,1709601966.9029953
211,EW10,1709601966.9099402
212,EW13,1709601966.9214723
213,EW15,1709601966.9264815
214,EW16,1709601966.931315
215,EW1,1709601966.9358225
216,SW01,1709601966.941392
217,SW02,1709601966.94661
218,EW1,1709601966.9515214
219,EW1,1709601966.9576533
220,EW1,1709601966.9621346
221,EW1,1709601966.966552
222,EW1,1709601966.9727666
223,EW1,1709601966.9804652
224,EW1,1709601967.0102572
225,EW1,1709601967.0152104
226,EW1,1709601967.0202913
227,EW1,1709601967.0257556
228,EW1,1709601967.0303056
229,EW1,1709601967.0351179
230,EW1,1709601967.0415626
231,EW1,1709601967.048005
232,EW1,1709601967.0609505
233,EW1,1709601967.0883815
234,EW1,1709601967.1008394
235,EW1,1709601967.107016
236,EW1,1709601967.1131148
237,EW1,1709601967.1240816
238,EW1,1709601967.130752
239,EW1,1709601967.1400738
240,EW1,1709601967.1462471
241,EW1,1709601967.1540303
242,EW1,1709601967.1641645
243,EW1,1709601967.1848567
244,ES04,1709601967.194894
245,EW1,1709601967.2008517
246,EW1,1709601967.2056322
247,EW10,1709601967.2125926
248,EW13,1709601967.216456
249,EW15,1709601967.2220004
250,EW1,1709601967.2314346
251,EW16,1709601967.2400005
252,EW1,1709601967.2477634
253,SW01,1709601967.2530632
254,EW1,1709601967.258337
255,SW02,1709601967.2640765
256,EW1,1709601967.2696433
257,EW1,1709601967.2748249
