,vehicleid,transtime
0,EW10,1709601953.395552
1,EW10,1709601953.7019303
2,EW10,1709601953.9971082
3,EW10,1709601954.3007038
4,EW10,1709601954.6006005
5,EW10,1709601954.9115846
6,EW10,1709601955.2068455
7,SW01,1709601955.221522
8,EW10,1709601955.5017557
9,SW01,1709601955.5124164
10,EW10,1709601955.8163722
11,EW13,1709601955.8207192
12,SW01,1709601955.8283198
13,SW02,1709601955.8332603
14,EW10,1709601956.1044204
15,EW13,1709601956.1088035
16,SW01,1709601956.1167147
17,SW02,1709601956.1280882
18,EW10,1709601956.4020193
19,EW13,1709601956.4066622
20,SW01,1709601956.4142802
21,SW02,1709601956.419236
22,EW10,1709601956.7008383
23,EW13,1709601956.704947
24,SW01,1709601956.711977
25,SW02,1709601956.717437
26,EW10,1709601957.0018399
27,EW13,1709601957.0057197
28,SW01,1709601957.0141218
29,SW02,1709601957.0184126
30,EW10,1709601957.2998216
31,EW13,1709601957.3032308
32,SW01,1709601957.309346
33,SW02,1709601957.3128548
34,EW10,1709601957.6043231
35,EW13,1709601957.6082146
36,SW01,1709601957.6163359
37,SW02,1709601957.6201842
38,EW10,1709601957.9112976
39,EW13,1709601957.9161708
40,SW01,1709601957.9256673
41,SW02,1709601957.9294977
42,EW10,1709601958.207412
43,EW13,1709601958.2161217
44,SW01,1709601958.2246096
45,SW02,1709601958.2299302
46,EW10,1709601958.5042138
47,EW13,1709601958.5099728
48,SW01,1709601958.5222578
49,SW02,1709601958.527805
50,EW10,1709601958.8040588
51,EW13,1709601958.8082778
52,SW01,1709601958.8196986
53,SW02,1709601958.8238838
54,EW10,1709601959.106314
55,EW13,1709601959.111001
56,SW01,1709601959.118274
57,SW02,1709601959.122287
58,EW10,1709601959.403411
59,EW13,1709601959.4085872
60,SW01,1709601959.4166765
61,SW02,1709601959.4211328
62,EW10,1709601959.700368
63,EW13,1709601959.7037172
64,SW01,1709601959.711044
65,SW02,1709601959.7143526
66,EW10,1709601960.000118
67,EW13,1709601960.00368
68,SW01,1709601960.0109901
69,SW02,1709601960.016425
70,EW10,1709601960.304256
71,EW13,1709601960.315259
72,SW01,1709601960.3220477
73,SW02,1709601960.326467
74,EW10,1709601960.5973804
75,EW13,1709601960.6017787
76,SW01,1709601960.6126418
77,SW02,1709601960.6162503
78,EW10,1709601960.910392
79,EW13,1709601960.9139154
80,SW01,1709601960.9273012
81,SW02,1709601960.9314299
82,ES04,1709601961.201236
83,EW10,1709601961.2166631
84,EW13,1709601961.2200167
85,SW01,1709601961.2288666
86,SW02,1709601961.2328324
87,ES04,1709601961.4925187
88,EW10,1709601961.5099695
89,EW13,1709601961.5161595
90,SW01,1709601961.5261874
91,SW02,1709601961.5308964
92,ES04,1709601961.7928438
93,EW10,1709601961.8064244
94,EW13,1709601961.810004
95,SW01,1709601961.8174553
96,SW02,1709601961.821686
97,ES04,1709601962.0945797
98,EW10,1709601962.105438
99,EW13,1709601962.1095836
100,SW01,1709601962.117147
101,SW02,1709601962.1208906
102,ES04,1709601962.3932009
103,EW10,1709601962.4042652
104,EW13,1709601962.4078925
105,SW01,1709601962.4147987
106,SW02,1709601962.4178152
107,ES04,1709601962.6934206
108,EW10,1709601962.7090068
109,EW13,1709601962.713396
110,SW01,1709601962.7216413
