,starttime,endtime,phaseDuration
0,1709661644.162459,1709661644.1624944,5
1,1709661649.2625904,1709661649.2714694,8
2,1709661657.2694771,1709661657.2754576,8
3,1709661665.3632772,1709661665.3662484,8
4,1709661673.4668741,1709661673.4712584,8
5,1709661681.4625342,1709661681.4680052,20
6,1709661701.465997,1709661701.4682426,8
7,1709661709.5699146,1709661709.5746553,8
8,1709661717.7631142,1709661717.7680657,18
9,1709661735.86248,1709661735.8666866,8
10,1709661743.9632277,1709661743.9709165,18
11,1709661762.0655377,1709661762.0693195,8
12,1709661770.1622458,1709661770.1662974,8
13,1709661778.2658758,1709661778.2682438,8
14,1709661786.3634958,1709661786.365783,8
15,1709661794.3682551,1709661794.3719716,8
16,1709661802.465507,1709661802.4689329,12
17,1709661814.4671276,1709661814.469613,12
18,1709661826.6645198,1709661826.6688478,18
19,1709661844.7697153,1709661844.7733998,8
20,1709661852.8692958,1709661852.8719888,8
21,1709661860.8674388,1709661860.8724484,8
22,1709661869.0681188,1709661869.0727468,11
23,1709661880.1709158,1709661880.1746864,8
24,1709661888.264861,1709661888.2734091,8
25,1709661896.3624833,1709661896.3659728,10
26,1709661906.4678211,1709661906.4742556,16
27,1709661922.5642307,1709661922.5673323,8
28,1709661930.5711389,1709661930.5735683,8
29,1709661938.667919,1709661938.6709597,8
30,1709661946.6689498,1709661946.6721504,8
31,1709661954.8624916,1709661954.86706,8
32,1709661962.9624772,1709661962.9649587,13
33,1709661976.0675118,1709661976.073996,25
34,1709662001.176777,1709662001.1823735,8
35,1709662009.2757056,1709662009.2804494,8
36,1709662017.2661176,1709662017.2697291,8
37,1709662025.362968,1709662025.3673384,8
38,1709662033.3702087,1709662033.373119,8
39,1709662041.4635203,1709662041.467831,8
40,1709662049.465041,1709662049.4703486,15
41,1709662064.5642555,1709662064.569505,8
42,1709662072.5713913,1709662072.5743926,8
43,1709662080.6659505,1709662080.6702924,14
44,1709662094.678849,1709662094.6821365,8
45,1709662102.7686865,1709662102.771564,8
46,1709662110.8678443,1709662110.8744779,8
47,1709662118.866953,1709662118.870758,25
48,1709662143.8748853,1709662143.8824415,8
49,1709662151.870236,1709662151.8752956,8
50,1709662160.0660748,1709662160.070344,8
51,1709662168.072387,1709662168.0767124,9
52,1709662177.1659,1709662177.16856,8
53,1709662185.2686026,1709662185.2727304,8
54,1709662193.2683523,1709662193.2765126,25
55,1709662218.3679495,1709662218.3740864,8
56,1709662226.367315,1709662226.3727384,8
57,1709662234.4692013,1709662234.4715877,8
58,1709662242.4637685,1709662242.4662478,8
59,1709662250.4700665,1709662250.472659,8
60,1709662258.6644385,1709662258.6683817,8
61,1709662266.6683986,1709662266.6726825,8
62,1709662274.7660286,1709662274.768899,8
63,1709662282.7738595,1709662282.7779891,8
64,1709662290.869619,1709662290.871948,8
65,1709662298.9651475,1709662298.9683094,8
66,1709662307.0690997,1709662307.0727212,8
67,1709662315.073629,1709662315.0772517,8
68,1709662323.2668748,1709662323.2694795,8
69,1709662331.3669581,1709662331.3731055,8
70,1709662339.4707963,1709662339.47598,8
71,1709662347.4691412,1709662347.475546,8
72,1709662355.573735,1709662355.578275,8
73,1709662363.6647227,1709662363.669179,8
74,1709662371.764762,1709662371.7726114,8
75,1709662379.7664738,1709662379.7744195,8
76,1709662387.7733762,1709662387.7778585,8
77,1709662395.9714293,1709662395.9754274,8
78,1709662404.0723038,1709662404.0754118,8
79,1709662412.1692688,1709662412.1762993,8
80,1709662420.1646557,1709662420.170598,8
81,1709662428.268033,1709662428.2710392,8
82,1709662436.2726212,1709662436.2754135,8
83,1709662444.3662438,1709662444.3713362,8
84,1709662452.3675597,1709662452.3702705,8
85,1709662460.471908,1709662460.4755008,8
86,1709662468.5653937,1709662468.5678272,8
87,1709662476.665173,1709662476.6707647,8
88,1709662484.7690086,1709662484.7731225,8
89,1709662492.8749812,1709662492.880568,8
90,1709662500.9680798,1709662500.976487,8
91,1709662508.9724672,1709662508.9750109,8
92,1709662517.1716976,1709662517.174483,8
93,1709662525.1708994,1709662525.1750739,8
94,1709662533.1684787,1709662533.175255,8
95,1709662541.528022,1709662541.5375621,8
96,1709662549.5636723,1709662549.5683935,8
97,1709662557.6655736,1709662557.6694767,8
98,1709662565.662581,1709662565.6657348,8
99,1709662573.7625163,1709662573.7663465,8
100,1709662581.8625295,1709662581.8662279,8
101,1709662589.9625442,1709662589.9657905,8
102,1709662598.0626345,1709662598.0662298,8
103,1709662606.476079,1709662606.478525,8
104,1709662614.562516,1709662614.5649216,8
105,1709662622.6625729,1709662622.6656206,8
106,1709662630.7625072,1709662630.7663646,8
107,1709662638.8624897,1709662638.8645895,8
108,1709662646.96252,1709662646.964901,8
109,1709662655.0624888,1709662655.0647333,8
110,1709662663.4738925,1709662663.47793,8
111,1709662671.5682003,1709662671.5729651,8
112,1709662679.562515,1709662679.5662515,8
