,vehicleid,recievetime
0,SN10,1709659114.3754284
1,SN10,1709659114.674898
2,SW01,1709659114.981672
3,SN10,1709659114.9929655
4,SW01,1709659115.276241
5,SN10,1709659115.283115
6,NE02,1709659115.292657
7,SW01,1709659115.574423
8,SN10,1709659115.5823536
9,NS13,1709659115.5911317
10,NE02,1709659115.6078622
11,SW01,1709659115.8698401
12,SN10,1709659115.8757288
13,NS13,1709659115.8873644
14,NE02,1709659115.8946927
15,SW01,1709659116.1768503
16,SN10,1709659116.186084
17,NS13,1709659116.1953027
18,NE02,1709659116.2029974
19,SW01,1709659116.4875288
20,SN10,1709659116.4948113
21,NS13,1709659116.5138795
22,NS14,1709659116.520291
23,NE02,1709659116.5327954
24,NW15,1709659116.5380027
25,SW01,1709659116.7709858
26,SN10,1709659116.7815092
27,NS13,1709659116.793552
28,NS14,1709659116.8066337
29,NE02,1709659116.8222737
30,NW15,1709659116.82849
31,SW01,1709659117.0752218
32,SN10,1709659117.086071
33,NS13,1709659117.0971513
34,NS14,1709659117.104271
35,NE02,1709659117.11031
36,NW15,1709659117.118874
37,SW01,1709659117.3716378
38,SN10,1709659117.3791897
39,NS13,1709659117.391204
40,NS14,1709659117.3972454
41,NE02,1709659117.4045281
42,NW15,1709659117.4117067
43,SW01,1709659117.673703
44,SN10,1709659117.6812553
45,NS13,1709659117.6921597
46,NS14,1709659117.699712
47,NE02,1709659117.7127218
48,NW15,1709659117.7179637
49,SW01,1709659117.9724348
50,SN10,1709659117.980078
51,NS13,1709659117.9888535
52,NS14,1709659117.994611
53,NE02,1709659118.002944
54,NW15,1709659118.0091987
55,SW01,1709659118.271706
56,SN10,1709659118.2785134
57,NS13,1709659118.2886505
58,NS14,1709659118.2940812
59,NE02,1709659118.300259
60,NW15,1709659118.3077016
61,SW01,1709659118.569383
62,SN10,1709659118.5761378
63,NS13,1709659118.585677
64,NS14,1709659118.5960379
65,NE02,1709659118.602776
66,NW15,1709659118.6091385
67,SW01,1709659118.873741
68,SN10,1709659118.8827894
69,NS13,1709659118.8904438
70,NS14,1709659118.8996403
71,NE02,1709659118.9043667
72,NW15,1709659118.9090042
73,SW01,1709659119.1727195
74,SN10,1709659119.1810908
75,NS13,1709659119.1902807
76,NS14,1709659119.1942685
77,NE02,1709659119.2031605
78,NW15,1709659119.210753
79,SW01,1709659119.4686434
80,SN10,1709659119.4747655
81,NS13,1709659119.4835544
82,NS14,1709659119.4877815
83,NE02,1709659119.4921732
84,NW15,1709659119.5006583
85,SW01,1709659119.7704434
86,SN10,1709659119.77652
87,NS13,1709659119.7851155
88,NS14,1709659119.7895417
89,NE02,1709659119.7978187
90,NW15,1709659119.8031425
91,SW01,1709659120.0783613
92,SN10,1709659120.0906398
93,SN16,1709659120.0949783
94,NS13,1709659120.1099293
95,NS14,1709659120.1153677
96,NE02,1709659120.1199615
97,NW15,1709659120.126797
98,SW01,1709659120.3715792
99,SN10,1709659120.3798032
100,SN16,1709659120.3855793
101,NS13,1709659120.3906054
102,NS14,1709659120.398131
103,NE02,1709659120.4048145
104,NW15,1709659120.4127784
105,SW01,1709659120.67404
106,SN10,1709659120.6808188
107,SN16,1709659120.6863024
108,NS13,1709659120.7016394
109,NS14,1709659120.7062566
110,NE02,1709659120.7131464
111,NW15,1709659120.7190008
112,SW01,1709659120.9750323
113,SN10,1709659120.9817579
114,SN16,1709659120.9876268
115,NS13,1709659120.9964304
116,NS14,1709659121.000014
117,NE02,1709659121.006357
118,NW15,1709659121.0148408
119,SW01,1709659121.2772312
120,SN10,1709659121.2842138
121,SN16,1709659121.2898407
122,NS13,1709659121.303883
123,NS14,1709659121.3122315
124,NE02,1709659121.3176165
125,NW15,1709659121.3257897
126,SW01,1709659121.571814
127,SN10,1709659121.58386
128,SN16,1709659121.5887766
129,NS13,1709659121.601016
130,NS14,1709659121.6059186
131,NE02,1709659121.6124144
132,NW15,1709659121.6187441
133,SW01,1709659121.8713644
134,SN10,1709659121.8802314
135,SN16,1709659121.8844814
136,NS13,1709659121.89363
137,NS14,1709659121.8985527
138,NE02,1709659121.904965
139,NW15,1709659121.9119143
140,SW01,1709659122.1738386
141,SN10,1709659122.1841593
142,SN16,1709659122.189048
143,NS13,1709659122.2045696
144,NS14,1709659122.2095988
145,NE02,1709659122.2177973
146,NW15,1709659122.2230558
147,SW01,1709659122.4712124
148,SN10,1709659122.4818156
149,SN16,1709659122.4861257
150,NS13,1709659122.4999964
151,NS14,1709659122.5042124
152,NE02,1709659122.5100574
153,NW15,1709659122.5162644
154,SW01,1709659122.7701302
155,SN10,1709659122.7777069
156,SN16,1709659122.7828636
157,NS13,1709659122.7897012
158,NS14,1709659122.7953968
159,NE02,1709659122.8024118
160,NW15,1709659122.811506
161,EW1,1709659122.8846793
162,EW1,1709659122.9043462
163,EW1,1709659122.910925
164,EW1,1709659122.9195755
165,EW1,1709659122.9328127
166,EW1,1709659122.940497
167,EW1,1709659122.9459357
168,EW1,1709659122.9524662
169,EW1,1709659122.9631815
170,EW1,1709659122.9681056
171,EW1,1709659122.9772897
172,EW1,1709659122.9834797
173,EW1,1709659122.9904914
174,EW1,1709659122.9989629
175,EW1,1709659123.016414
176,EW1,1709659123.0278094
177,EW1,1709659123.036757
178,EW1,1709659123.0522518
179,EW1,1709659123.0611
180,EW1,1709659123.0677547
181,SW01,1709659123.0744128
182,SN10,1709659123.0799994
183,EW1,1709659123.0847223
184,SN16,1709659123.089965
185,EW1,1709659123.0950923
186,NS13,1709659123.0995765
187,NS14,1709659123.1058173
188,EW1,1709659123.110899
189,NE02,1709659123.1155488
190,EW1,1709659123.1198955
191,NW15,1709659123.1280782
192,EW1,1709659123.1323164
193,EW1,1709659123.136964
194,EW1,1709659123.1421936
195,EW1,1709659123.1464036
196,EW1,1709659123.1561904
197,EW1,1709659123.1642375
198,EW1,1709659123.1710606
199,EW1,1709659123.1798189
200,EW1,1709659123.1940277
201,EW1,1709659123.1987078
202,EW1,1709659123.2049534
203,EW1,1709659123.213798
204,EW1,1709659123.2195604
205,EW1,1709659123.227073
