,starttime,endtime,phaseDuration
0,1709600855.7132878,1709600855.7133172,5
1,1709600860.8132935,1709600860.8187196,25
2,1709600885.9197395,1709600885.9223378,8
3,1709600893.9150865,1709600893.9178815,8
4,1709600901.9170127,1709600901.9194753,8
5,1709600910.016223,1709600910.0192776,8
6,1709600918.1186893,1709600918.1232073,8
7,1709600926.2204444,1709600926.2279978,12
8,1709600938.320523,1709600938.3232777,11
9,1709600949.422184,1709600949.4268045,8
10,1709600957.522505,1709600957.525506,8
11,1709600965.5214524,1709600965.524744,8
12,1709600973.6184924,1709600973.6227472,8
13,1709600981.6185126,1709600981.6229966,8
14,1709600989.7312036,1709600989.7358656,8
15,1709600997.816544,1709600997.8197885,8
16,1709601005.9210284,1709601005.9238138,8
17,1709601013.9134843,1709601013.9159496,8
18,1709601021.9177144,1709601021.92077,8
19,1709601030.0145845,1709601030.0194037,8
20,1709601038.0167403,1709601038.02295,8
21,1709601046.1143823,1709601046.1198907,16
22,1709601062.2150955,1709601062.2185442,25
23,1709601087.3151844,1709601087.3194153,8
24,1709601095.4202166,1709601095.4227977,8
25,1709601103.4178889,1709601103.422208,8
26,1709601111.6157367,1709601111.6196382,8
27,1709601119.716642,1709601119.723216,8
28,1709601127.6253617,1709601127.6301346,8
29,1709601135.8227236,1709601135.827536,8
30,1709601143.819869,1709601143.8236368,8
31,1709601151.9182048,1709601151.9228585,9
32,1709601160.923289,1709601160.9258373,14
33,1709601175.022731,1709601175.0268755,8
34,1709601183.2148843,1709601183.2193346,8
35,1709601191.3240855,1709601191.3286507,8
36,1709601199.4137802,1709601199.41906,25
37,1709601224.4298155,1709601224.437806,8
38,1709601232.6231873,1709601232.6280837,8
39,1709601240.7192159,1709601240.7211697,8
40,1709601248.814289,1709601248.8192158,8
41,1709601256.8228729,1709601256.8266916,8
42,1709601264.928253,1709601264.9333491,25
43,1709601290.0263848,1709601290.0308795,9
44,1709601299.1239138,1709601299.1266031,8
45,1709601307.315229,1709601307.319155,8
46,1709601315.3213649,1709601315.3253717,8
47,1709601323.5227413,1709601323.5253956,8
48,1709601331.6220534,1709601331.6244178,8
49,1709601339.6217425,1709601339.6244876,8
50,1709601347.7203429,1709601347.7238705,8
51,1709601355.8226776,1709601355.8270502,8
52,1709601363.919901,1709601363.9246142,17
53,1709601381.0195374,1709601381.0277057,8
54,1709601389.0177202,1709601389.021409,8
55,1709601397.1216571,1709601397.1247797,8
56,1709601405.2173655,1709601405.2219326,8
57,1709601413.314132,1709601413.319304,8
58,1709601421.4223547,1709601421.4279814,8
59,1709601429.423382,1709601429.4285684,8
60,1709601437.6177197,1709601437.6290426,8
61,1709601445.6236806,1709601445.6282957,8
62,1709601453.823219,1709601453.8289168,8
63,1709601461.8160124,1709601461.8200932,8
64,1709601469.820022,1709601469.823515,8
65,1709601477.8273058,1709601477.831262,8
66,1709601486.0147717,1709601486.019629,8
67,1709601494.120159,1709601494.1250997,8
68,1709601502.121545,1709601502.1266599,8
69,1709601510.1219394,1709601510.125472,8
70,1709601518.3149056,1709601518.318172,8
71,1709601526.4134254,1709601526.4157715,8
72,1709601534.4187906,1709601534.4235744,12
73,1709601546.4197478,1709601546.4234314,8
74,1709601554.5239365,1709601554.5293238,8
75,1709601562.6258137,1709601562.6303341,8
76,1709601570.7243855,1709601570.7274606,8
77,1709601578.8149507,1709601578.819341,8
78,1709601586.816589,1709601586.8208373,8
79,1709601594.9161267,1709601594.9225626,8
80,1709601602.9256687,1709601602.9289718,8
81,1709601611.014939,1709601611.018166,8
82,1709601619.1190443,1709601619.1261475,25
83,1709601644.120725,1709601644.1233928,8
84,1709601652.127595,1709601652.1316235,8
85,1709601660.223553,1709601660.2279673,8
86,1709601668.3177571,1709601668.322814,8
87,1709601676.4190507,1709601676.4234896,8
88,1709601684.418138,1709601684.4232576,8
89,1709601692.5182612,1709601692.5230954,8
90,1709601700.6233509,1709601700.6263115,8
91,1709601708.7241504,1709601708.7269769,8
92,1709601716.8153,1709601716.8192213,8
93,1709601724.9243686,1709601724.9266691,8
94,1709601732.9237645,1709601732.9278076,8
95,1709601741.0201206,1709601741.0240886,25
96,1709601766.0207298,1709601766.0238948,8
97,1709601774.113307,1709601774.1158876,8
98,1709601782.2133722,1709601782.2180247,8
99,1709601790.413303,1709601790.4174807,8
100,1709601798.5133607,1709601798.516769,8
101,1709601806.613321,1709601806.6160278,8
102,1709601814.9760702,1709601814.9802852,8
