,vehicleid,transtime
0,EW10,1709600859.3575323
1,EW10,1709600859.6562955
2,EW11,1709600859.6605115
3,EW10,1709600859.9527783
4,EW11,1709600859.9565375
5,EW10,1709600860.251162
6,EW11,1709600860.254833
7,EW10,1709600860.5522978
8,EW11,1709600860.5565453
9,EW10,1709600860.8540435
10,EW11,1709600860.8605363
11,EW10,1709600861.1529808
12,EW11,1709600861.1570396
13,EW10,1709600861.4530494
14,EW11,1709600861.456491
15,EW10,1709600861.75356
16,EW11,1709600861.7574704
17,EW10,1709600862.0536568
18,EW11,1709600862.0574942
19,EW10,1709600862.3523128
20,EW11,1709600862.361145
21,EW10,1709600862.6526992
22,EW11,1709600862.6586554
23,EW10,1709600862.9533713
24,EW11,1709600862.9572282
25,EW10,1709600863.2526748
26,EW11,1709600863.2613053
27,EW10,1709600863.5500915
28,EW11,1709600863.5536213
29,EW10,1709600863.8530684
30,EW11,1709600863.856774
31,EW10,1709600864.15262
32,EW11,1709600864.155686
33,EW10,1709600864.4521449
34,EW11,1709600864.456631
35,EW10,1709600864.753249
36,EW11,1709600864.7583163
37,EW10,1709600865.0529828
38,EW11,1709600865.0589736
39,EW10,1709600865.3507948
40,EW11,1709600865.3547647
41,EW10,1709600865.656813
42,EW11,1709600865.6605184
43,EW10,1709600865.9550245
44,EW11,1709600865.9613054
45,EW10,1709600866.2596223
46,EW11,1709600866.2631125
47,EW10,1709600866.5535562
48,EW11,1709600866.5574658
49,EW10,1709600866.859941
50,EW11,1709600866.8656273
51,EW10,1709600867.1530867
52,EW11,1709600867.1579325
53,ES02,1709600867.452937
54,EW10,1709600867.4631228
55,EW11,1709600867.467092
56,ES02,1709600867.7518141
57,ES03,1709600867.7562888
58,EW10,1709600867.7715313
59,EW11,1709600867.7770324
60,ES02,1709600868.0523396
61,ES03,1709600868.0547993
62,EN14,1709600868.0615375
63,EW10,1709600868.0697842
64,EW11,1709600868.0739598
65,ES02,1709600868.3461962
66,ES03,1709600868.3499835
67,EN14,1709600868.3589263
68,EW10,1709600868.3658628
69,EW11,1709600868.3691666
70,ES02,1709600868.6448188
71,ES03,1709600868.6477857
72,EN14,1709600868.6549644
73,EW10,1709600868.662247
74,EW11,1709600868.6669586
75,ES02,1709600868.9456704
76,ES03,1709600868.9494019
77,EN14,1709600868.9565372
78,EW10,1709600868.9632847
79,EW11,1709600868.968526
80,ES02,1709600869.252988
81,ES03,1709600869.256279
82,EN14,1709600869.2640572
83,EW10,1709600869.274099
84,EW11,1709600869.2819183
85,ES02,1709600869.549087
86,ES03,1709600869.5540395
87,EN14,1709600869.5613337
88,EW10,1709600869.5709586
89,EW11,1709600869.5746496
90,ES02,1709600869.847436
91,ES03,1709600869.8511841
92,EN14,1709600869.859553
93,EW10,1709600869.867414
94,EW11,1709600869.8708506
95,ES02,1709600870.148528
96,ES03,1709600870.1540203
97,EN14,1709600870.1611118
98,EW10,1709600870.171216
99,EW11,1709600870.1746192
100,ES02,1709600870.4468226
101,ES03,1709600870.450855
102,EN14,1709600870.4584553
103,EW10,1709600870.466235
104,EW11,1709600870.4697785
105,ES02,1709600870.746405
106,ES03,1709600870.7507424
