,vehicleid,recievetime
0,EW10,1709600859.358119
1,EW10,1709600859.6568382
2,EW11,1709600859.6624649
3,EW10,1709600859.953332
4,EW11,1709600859.9599214
5,EW10,1709600860.2517023
6,EW11,1709600860.2581334
7,EW10,1709600860.5529926
8,EW11,1709600860.5592518
9,EW10,1709600860.8546882
10,EW11,1709600860.8626854
11,EW10,1709600861.1531947
12,EW11,1709600861.1574044
13,EW10,1709600861.4537165
14,EW11,1709600861.4592028
15,EW10,1709600861.754132
16,EW11,1709600861.760673
17,EW10,1709600862.0543792
18,EW11,1709600862.0624669
19,EW10,1709600862.352839
20,EW11,1709600862.3616524
21,EW10,1709600862.6534944
22,EW11,1709600862.6601815
23,EW10,1709600862.9540205
24,EW11,1709600862.959835
25,EW10,1709600863.2544346
26,EW11,1709600863.2618713
27,EW10,1709600863.5506525
28,EW11,1709600863.555161
29,EW10,1709600863.853428
30,EW11,1709600863.858873
31,EW10,1709600864.1531906
32,EW11,1709600864.1588397
33,EW10,1709600864.4530296
34,EW11,1709600864.4597147
35,EW10,1709600864.7560015
36,EW11,1709600864.761824
37,EW10,1709600865.0536115
38,EW11,1709600865.0613286
39,EW10,1709600865.3514144
40,EW11,1709600865.3598382
41,EW10,1709600865.6523147
42,EW11,1709600865.661113
43,EW10,1709600865.9557316
44,EW11,1709600865.9617805
45,EW10,1709600866.2602935
46,EW11,1709600866.270191
47,EW10,1709600866.5542393
48,EW11,1709600866.5608394
49,EW10,1709600866.860641
50,EW11,1709600866.86715
51,EW10,1709600867.1536782
52,EW11,1709600867.1594877
53,ES02,1709600867.4534771
54,EW10,1709600867.4640195
55,EW11,1709600867.470909
56,ES02,1709600867.7531693
57,ES03,1709600867.7597756
58,EW10,1709600867.7785575
59,EW11,1709600867.7882457
60,ES02,1709600868.0527554
61,ES03,1709600868.058273
62,EN14,1709600868.063547
63,EW10,1709600868.0796092
64,EW11,1709600868.0860002
65,EW1,1709600868.170241
66,EW1,1709600868.1885798
67,EW1,1709600868.194989
68,EW1,1709600868.1999464
69,EW1,1709600868.2092752
70,EW1,1709600868.2223544
71,EW1,1709600868.2273536
72,EW1,1709600868.2331133
73,EW1,1709600868.2392468
74,EW1,1709600868.247116
75,EW1,1709600868.256238
76,EW1,1709600868.2612886
77,EW1,1709600868.2707257
78,EW1,1709600868.2760415
79,EW1,1709600868.2863598
80,EW1,1709600868.2918031
81,EW1,1709600868.2969847
82,EW1,1709600868.3041317
83,EW1,1709600868.3102717
84,EW1,1709600868.326869
85,EW1,1709600868.3330917
86,EW1,1709600868.3409612
87,ES02,1709600868.3467147
88,ES03,1709600868.354165
89,EW1,1709600868.359058
90,EN14,1709600868.3635662
91,EW1,1709600868.3688822
92,EW10,1709600868.373485
93,EW11,1709600868.378775
94,EW1,1709600868.3872406
95,EW1,1709600868.3951428
96,EW1,1709600868.4061909
97,EW1,1709600868.4115193
98,EW1,1709600868.4220257
99,EW1,1709600868.430438
100,EW1,1709600868.4398894
101,EW1,1709600868.447513
102,EW1,1709600868.4578161
103,EW1,1709600868.4701247
104,EW1,1709600868.478026
105,EW1,1709600868.485686
106,EW1,1709600868.4917328
107,EW1,1709600868.496989
108,EW1,1709600868.5054758
109,EW1,1709600868.5122423
110,EW1,1709600868.519044
111,EW1,1709600868.5243106
112,EW1,1709600868.538382
113,EW1,1709600868.5441504
114,EW1,1709600868.5514116
115,EW1,1709600868.5575166
116,EW1,1709600868.562488
117,EW1,1709600868.5760918
118,EW1,1709600868.5892966
119,EW1,1709600868.596788
120,EW1,1709600868.6109862
121,EW1,1709600868.6186838
122,EW1,1709600868.6230922
123,EW1,1709600868.6351445
124,EW1,1709600868.6395748
125,ES02,1709600868.645347
126,ES03,1709600868.6501117
127,EW1,1709600868.6541889
128,EN14,1709600868.659274
129,EW1,1709600868.666092
130,EW10,1709600868.6704159
131,EW1,1709600868.6748633
132,EW11,1709600868.6790314
133,EW1,1709600868.6851752
134,EW1,1709600868.6946454
135,EW1,1709600868.6995828
136,EW1,1709600868.705669
137,EW1,1709600868.7113354
138,EW1,1709600868.7295687
139,EW1,1709600868.7406409
140,EW1,1709600868.7511632
141,EW1,1709600868.7600977
142,EW1,1709600868.7671506
143,EW1,1709600868.7840714
144,EW1,1709600868.795276
145,EW1,1709600868.8054879
146,EW1,1709600868.8218436
147,EW1,1709600868.8348055
148,EW1,1709600868.8506024
149,EW1,1709600868.8572328
150,EW1,1709600868.862171
151,EW1,1709600868.8711638
152,EW1,1709600868.8768432
153,EW1,1709600868.882075
154,EW1,1709600868.889041
155,EW1,1709600868.895162
156,EW1,1709600868.9027226
157,EW1,1709600868.914204
158,EW1,1709600868.9323769
159,EW1,1709600868.9369588
160,EW1,1709600868.9414833
161,ES02,1709600868.9462323
162,EW1,1709600868.951825
163,ES03,1709600868.9569588
164,EN14,1709600868.9610136
165,EW1,1709600868.9666195
166,EW10,1709600868.9728677
167,EW1,1709600868.9777088
168,EW11,1709600868.9849691
169,EW1,1709600868.991349
170,EW1,1709600868.9959724
171,EW1,1709600869.0044985
172,EW1,1709600869.009086
173,EW1,1709600869.0162466
174,EW1,1709600869.0252745
175,EW1,1709600869.0344372
176,EW1,1709600869.043153
177,EW1,1709600869.056971
178,EW1,1709600869.066704
179,EW1,1709600869.0722327
180,EW1,1709600869.079332
181,EW1,1709600869.0896957
182,EW1,1709600869.1011832
183,EW1,1709600869.114508
184,EW1,1709600869.1209493
185,EW1,1709600869.1282666
186,EW1,1709600869.137023
187,EW1,1709600869.1426766
188,EW1,1709600869.1530185
189,EW1,1709600869.1581192
190,EW1,1709600869.165279
191,EW1,1709600869.1735978
192,EW1,1709600869.179104
193,EW1,1709600869.1850016
194,EW1,1709600869.1959662
195,EW1,1709600869.2035449
196,EW1,1709600869.214331
197,EW1,1709600869.2240894
198,EW1,1709600869.232691
199,EW1,1709600869.2483933
200,EW1,1709600869.2532792
201,ES02,1709600869.2577686
202,ES03,1709600869.2624252
203,EN14,1709600869.272834
204,EW1,1709600869.280487
205,EW1,1709600869.2893453
206,EW10,1709600869.2941325
207,EW11,1709600869.3013256
208,EW1,1709600869.3061264
209,EW1,1709600869.310846
210,EW1,1709600869.3194373
211,EW1,1709600869.3283627
212,EW1,1709600869.3342657
213,EW1,1709600869.3389456
214,EW1,1709600869.357205
215,EW1,1709600869.362505
216,EW1,1709600869.3712504
217,EW1,1709600869.3850186
218,EW1,1709600869.39548
219,EW1,1709600869.4176588
220,EW1,1709600869.4247522
221,EW1,1709600869.4328942
222,EW1,1709600869.4384065
223,EW1,1709600869.4565127
224,EW1,1709600869.461268
225,EW1,1709600869.4666297
226,EW1,1709600869.4714289
227,EW1,1709600869.477935
228,EW1,1709600869.4840007
229,EW1,1709600869.5051522
230,EW1,1709600869.5100722
231,EW1,1709600869.5173297
232,EW1,1709600869.5243387
233,EW1,1709600869.5321498
234,EW1,1709600869.5398633
235,ES02,1709600869.5513372
236,EW1,1709600869.5567205
237,ES03,1709600869.5621176
238,EW1,1709600869.5701673
239,EN14,1709600869.5752263
240,EW10,1709600869.5803862
241,EW1,1709600869.5853887
242,EW11,1709600869.5903206
243,EW1,1709600869.5950618
244,EW1,1709600869.6021059
245,EW1,1709600869.6112132
246,EW1,1709600869.621842
247,EW1,1709600869.632439
248,EW1,1709600869.6503837
249,EW1,1709600869.6571856
250,EW1,1709600869.6650548
251,EW1,1709600869.6717103
252,EW1,1709600869.6781025
253,EW1,1709600869.685994
254,EW1,1709600869.7030523
255,EW1,1709600869.7108197
256,EW1,1709600869.7192466
257,EW1,1709600869.724128
258,EW1,1709600869.728998
259,EW1,1709600869.7346454
260,EW1,1709600869.749032
261,EW1,1709600869.7621548
262,EW1,1709600869.773776
263,EW1,1709600869.7846103
264,EW1,1709600869.793215
265,EW1,1709600869.8066673
266,EW1,1709600869.8201716
267,EW1,1709600869.8272972
268,EW1,1709600869.838234
269,EW1,1709600869.8443103
270,ES02,1709600869.849997
271,ES03,1709600869.855969
272,EW1,1709600869.8614872
273,EN14,1709600869.869156
274,EW10,1709600869.8734334
275,EW1,1709600869.8774803
276,EW11,1709600869.8844151
277,EW1,1709600869.8892956
278,EW1,1709600869.89422
279,EW1,1709600869.901808
280,EW1,1709600869.9115674
281,EW1,1709600869.919958
282,EW1,1709600869.9328845
283,EW1,1709600869.9566243
284,EW1,1709600869.9636621
285,EW1,1709600869.9721267
286,EW1,1709600869.9941442
287,EW1,1709600870.0019207
288,EW1,1709600870.008638
289,EW1,1709600870.0264869
290,EW1,1709600870.0340552
291,EW1,1709600870.042313
292,EW1,1709600870.052557
293,EW1,1709600870.0602546
294,EW1,1709600870.0691354
295,EW1,1709600870.0813255
296,EW1,1709600870.0904567
297,EW1,1709600870.0999768
298,EW1,1709600870.117172
299,EW1,1709600870.123586
300,EW1,1709600870.1288605
301,EW1,1709600870.134483
302,EW1,1709600870.1408274
303,EW1,1709600870.1460118
304,ES02,1709600870.1532414
305,ES03,1709600870.1578588
306,EW1,1709600870.1625667
307,EN14,1709600870.167497
308,EW1,1709600870.1730516
309,EW10,1709600870.177845
310,EW11,1709600870.1839535
311,EW1,1709600870.1888332
312,EW1,1709600870.194522
313,EW1,1709600870.2162352
314,EW1,1709600870.2259676
315,EW1,1709600870.241964
316,EW1,1709600870.2505095
317,EW1,1709600870.2587109
318,EW1,1709600870.2690756
319,EW1,1709600870.281473
320,EW1,1709600870.308951
321,EW1,1709600870.3180737
