,starttime,endtime,phaseDuration
0,1709603009.1519406,1709603009.1519468,25
1,1709603034.2533054,1709603034.2533107,25
2,1709603059.3513262,1709603059.3513331,25
3,1709603084.3513772,1709603084.3513963,25
4,1709603109.456978,1709603109.4569843,25
5,1709603134.5521858,1709603134.5521936,25
6,1709603159.651865,1709603159.651872,25
7,1709603184.6521802,1709603184.652189,25
8,1709603209.6606297,1709603209.6606367,25
9,1709603234.8550959,1709603234.8551033,25
10,1709603259.958066,1709603259.9580748,25
11,1709603284.9578319,1709603284.9578416,25
12,1709603310.1572664,1709603310.1572733,25
13,1709603335.1602948,1709603335.1603034,25
14,1709603360.162548,1709603360.1625562,25
15,1709603385.3586745,1709603385.3586795,25
16,1709603410.4649813,1709603410.464986,25
17,1709603435.4542649,1709603435.4542692,25
18,1709603460.5516837,1709603460.5516908,25
19,1709603485.6557715,1709603485.6557798,25
20,1709603510.758513,1709603510.7585196,25
21,1709603535.858032,1709603535.8580403,25
22,1709603560.957024,1709603560.957032,25
23,1709603586.0517204,1709603586.0517275,25
24,1709603611.1550586,1709603611.1550636,25
25,1709603636.154811,1709603636.1548188,25
26,1709603661.253135,1709603661.253141,25
27,1709603686.354638,1709603686.3546467,25
28,1709603711.463023,1709603711.463028,25
29,1709603736.564269,1709603736.5642774,25
30,1709603761.5649157,1709603761.5649233,25
31,1709603786.753163,1709603786.7531707,25
32,1709603811.8558106,1709603811.8558183,25
33,1709603836.957687,1709603836.9576955,25
34,1709603862.06275,1709603862.0627575,25
35,1709603887.0586064,1709603887.0586143,25
36,1709603912.4167752,1709603912.416781,25
37,1709603937.4240947,1709603937.424101,25
