,vehicleid,recievetime
0,ES00,1709603009.695083
1,ES00,1709603010.0664465
2,ES00,1709603010.2948039
3,ES00,1709603010.595786
4,ES00,1709603010.8984559
5,ES00,1709603011.1961896
6,ES00,1709603011.498206
7,ES00,1709603011.7954893
8,ES00,1709603012.1016862
9,ES00,1709603012.3965979
10,ES00,1709603012.6964161
11,ES00,1709603012.9944859
12,ES00,1709603013.2957022
13,ES00,1709603013.594914
14,ES00,1709603013.8952093
15,ES00,1709603014.2008178
16,SW01,1709603014.2124696
17,ES00,1709603014.5003858
18,EW12,1709603014.514237
19,SW01,1709603014.5293603
20,ES00,1709603014.7971957
21,EW12,1709603014.8075948
22,SW01,1709603014.816028
23,ES00,1709603015.095278
24,EW12,1709603015.1064556
25,SW01,1709603015.1146107
26,ES00,1709603015.3954394
27,EW12,1709603015.4061387
28,SW01,1709603015.4138038
29,ES00,1709603015.6951692
30,EW12,1709603015.7042632
31,SW01,1709603015.711445
32,ES00,1709603015.9953043
33,EW12,1709603016.0050774
34,SW01,1709603016.016202
35,ES00,1709603016.2970576
36,EW12,1709603016.3072536
37,SW01,1709603016.3158374
38,ES00,1709603016.5957222
39,EW12,1709603016.604535
40,SW01,1709603016.6118205
41,ES00,1709603016.894252
42,EW12,1709603016.904468
43,SW01,1709603016.9157712
44,ES00,1709603017.1961527
45,EW12,1709603017.2076626
46,SW01,1709603017.2131104
47,ES00,1709603017.4960504
48,EW12,1709603017.5100503
49,SW01,1709603017.519717
50,ES00,1709603017.794374
51,EW12,1709603017.809233
52,SW01,1709603017.8278956
53,ES00,1709603018.0953848
54,EW12,1709603018.1061647
55,SW01,1709603018.1155663
56,ES00,1709603018.3957803
57,EW12,1709603018.407466
58,SW01,1709603018.4115145
59,ES00,1709603018.6960373
60,EW12,1709603018.7070827
61,SW01,1709603018.714711
62,EW1,1709603018.8733425
63,EW1,1709603018.8846567
64,EW1,1709603018.8909118
65,EW1,1709603018.911201
66,EW1,1709603018.9183939
67,EW1,1709603018.9253335
68,EW1,1709603018.9314153
69,EW1,1709603018.938178
70,EW1,1709603018.9458668
71,EW1,1709603018.9587584
72,EW1,1709603018.9651628
73,EW1,1709603018.9736545
74,EW1,1709603018.9813585
75,ES00,1709603018.995619
76,EW1,1709603019.0006013
77,EW1,1709603019.015815
78,EW12,1709603019.0205455
79,EW1,1709603019.0283303
80,SW01,1709603019.0331736
81,EW1,1709603019.0403593
82,EW1,1709603019.044809
83,EW1,1709603019.0511684
