,vehicleid,transtime
0,ES00,1709603009.3967116
1,ES00,1709603009.6947045
2,ES00,1709603009.9939387
3,ES00,1709603010.2943637
4,ES00,1709603010.5950997
5,ES00,1709603010.8960028
6,ES00,1709603011.1954257
7,ES00,1709603011.497551
8,ES00,1709603011.7950354
9,ES00,1709603012.1011982
10,ES00,1709603012.3960214
11,ES00,1709603012.6959147
12,ES00,1709603012.9939415
13,ES00,1709603013.2950413
14,ES00,1709603013.5944114
15,ES00,1709603013.8940198
16,ES00,1709603014.200378
17,SW01,1709603014.2115269
18,ES00,1709603014.4995613
19,EW12,1709603014.512776
20,SW01,1709603014.5212452
21,ES00,1709603014.796877
22,EW12,1709603014.807099
23,SW01,1709603014.8156273
24,ES00,1709603015.0948114
25,EW12,1709603015.105989
26,SW01,1709603015.1139333
27,ES00,1709603015.3948734
28,EW12,1709603015.4056044
29,SW01,1709603015.4131925
30,ES00,1709603015.6945236
31,EW12,1709603015.7037752
32,SW01,1709603015.7109733
33,ES00,1709603015.994931
34,EW12,1709603016.004486
35,SW01,1709603016.014129
36,ES00,1709603016.2964795
37,EW12,1709603016.306301
38,SW01,1709603016.3148146
39,ES00,1709603016.5952342
40,EW12,1709603016.6039228
41,SW01,1709603016.6111422
42,ES00,1709603016.893836
43,EW12,1709603016.9039428
44,SW01,1709603016.9149873
45,ES00,1709603017.1955104
46,EW12,1709603017.2071645
47,SW01,1709603017.2125673
48,ES00,1709603017.4954867
49,EW12,1709603017.5093381
50,SW01,1709603017.5188074
51,ES00,1709603017.7963622
52,EW12,1709603017.8085806
53,SW01,1709603017.8147988
54,ES00,1709603018.0949244
55,EW12,1709603018.105462
56,SW01,1709603018.1149266
57,ES00,1709603018.3952074
58,EW12,1709603018.404467
59,SW01,1709603018.4101765
60,ES00,1709603018.695431
61,EW12,1709603018.7065282
62,SW01,1709603018.7142124
63,ES00,1709603018.9950993
64,EW12,1709603019.0095048
65,SW01,1709603019.0185966
66,ES00,1709603019.2953923
67,EW12,1709603019.3078039
68,SW01,1709603019.313601
69,ES00,1709603019.6001058
70,EN13,1709603019.6075635
71,EW12,1709603019.6143026
72,SW01,1709603019.6234944
73,ES00,1709603019.894321
74,EN13,1709603019.9012787
75,EW12,1709603019.9090405
76,SW01,1709603019.9152923
77,ES00,1709603020.1994002
78,EN13,1709603020.2067068
79,EW12,1709603020.215502
80,SW01,1709603020.2218025
81,SW04,1709603020.2256947
82,ES00,1709603020.50602
83,EN13,1709603020.5169868
84,EW12,1709603020.527721
85,EW16,1709603020.5312457
86,SW01,1709603020.5376318
87,SW04,1709603020.5412052
88,SW05,1709603020.5447056
89,ES00,1709603020.799719
90,EN13,1709603020.8101087
91,EW12,1709603020.81544
92,EW16,1709603020.8184392
93,EW17,1709603020.8238087
94,SW01,1709603020.8333244
95,SW04,1709603020.8387606
96,SW05,1709603020.8421314
97,ES00,1709603021.1001139
98,EN13,1709603021.1081538
99,EW12,1709603021.1141849
100,EW16,1709603021.1174433
101,EW17,1709603021.1208963
102,SW01,1709603021.1278126
103,SW04,1709603021.1315818
104,SW05,1709603021.1349616
105,SN18,1709603021.1414258
106,ES00,1709603021.3954616
107,EN13,1709603021.4028904
108,EW12,1709603021.411287
109,EW16,1709603021.4145327
110,EW17,1709603021.4178324
111,SW01,1709603021.4244514
112,SW04,1709603021.427393
113,SW05,1709603021.4305284
114,SN18,1709603021.4371188
115,ES00,1709603021.6946056
116,EN13,1709603021.705392
117,EW12,1709603021.7124178
118,EW16,1709603021.715974
119,EW17,1709603021.7199702
120,SW01,1709603021.7272713
121,SW04,1709603021.731062
122,SW05,1709603021.7351942
123,SN18,1709603021.7425656
124,ES00,1709603021.9942696
125,EN13,1709603021.999711
126,EW12,1709603022.0068903
127,EW16,1709603022.012131
128,EW17,1709603022.0168216
129,SW01,1709603022.0236754
130,SW04,1709603022.0270119
131,SW05,1709603022.030321
132,SN18,1709603022.0372891
133,ES00,1709603022.2946348
134,EN13,1709603022.3019946
135,EW12,1709603022.310281
136,EW16,1709603022.3164983
137,EW17,1709603022.321262
138,SW01,1709603022.326311
139,SW04,1709603022.3292582
140,SW05,1709603022.3326995
141,SN18,1709603022.3411264
142,ES00,1709603022.5945928
143,EN13,1709603022.6021838
144,EW12,1709603022.609668
145,EW16,1709603022.6132736
146,EW17,1709603022.6169627
147,SW01,1709603022.6245553
148,SW04,1709603022.6277752
149,SW05,1709603022.631221
150,SN18,1709603022.639719
151,ES00,1709603022.8947313
152,EN13,1709603022.904043
153,EW12,1709603022.9101152
154,EW16,1709603022.9130976
155,EW17,1709603022.9176717
156,SW01,1709603022.9248097
157,SW04,1709603022.92848
158,SW05,1709603022.9325688
159,SN18,1709603022.9429553
160,ES00,1709603023.199829
161,EN13,1709603023.2076917
162,EW12,1709603023.214372
163,EW16,1709603023.217715
164,EW17,1709603023.220881
165,SW01,1709603023.227901
166,SW04,1709603023.232304
167,SW05,1709603023.2359936
168,SN18,1709603023.2423434
169,SN19,1709603023.2459092
170,ES00,1709603023.4997995
171,EN13,1709603023.5090153
172,EW12,1709603023.5176134
173,EW16,1709603023.5250647
174,EW17,1709603023.5283844
175,SW01,1709603023.535123
176,SW04,1709603023.5430684
177,SW05,1709603023.5464144
178,SN18,1709603023.554682
179,SN19,1709603023.5574834
180,SN110,1709603023.561549
181,ES00,1709603023.794602
182,EN13,1709603023.805529
183,EW12,1709603023.812502
184,EW16,1709603023.8161004
185,EW17,1709603023.8206341
186,SW01,1709603023.8271492
187,SW04,1709603023.8304703
188,SW05,1709603023.8337748
189,SN18,1709603023.840565
190,SN19,1709603023.8441017
191,SN110,1709603023.8488715
192,ES00,1709603024.0962744
193,EN13,1709603024.104513
194,EW12,1709603024.111789
195,EW16,1709603024.1151874
196,EW17,1709603024.119967
197,SW01,1709603024.1270924
198,SW04,1709603024.1303613
199,SW05,1709603024.1343572
200,SN18,1709603024.1436996
201,SN19,1709603024.1473744
202,SN110,1709603024.1535225
203,ES00,1709603024.3932052
204,EN13,1709603024.4019666
205,EW12,1709603024.4103262
206,EW16,1709603024.4135945
207,EW17,1709603024.418982
208,SW01,1709603024.4266706
209,SW04,1709603024.430157
210,SW05,1709603024.4342558
211,SN18,1709603024.4401634
212,SN19,1709603024.4438586
213,SN110,1709603024.447356
214,ES00,1709603024.6918445
215,EN13,1709603024.6974921
216,EW12,1709603024.7065735
217,EW16,1709603024.709829
218,EW17,1709603024.715927
219,SW01,1709603024.722984
220,SW04,1709603024.7265232
221,SW05,1709603024.7300367
222,SN18,1709603024.7361803
223,SN19,1709603024.738449
224,SN110,1709603024.7417326
225,ES00,1709603024.992147
226,EN13,1709603024.999683
227,EW12,1709603025.005314
228,EW16,1709603025.0087652
229,EW17,1709603025.012295
230,SW01,1709603025.0220797
231,SW04,1709603025.0248957
232,SW05,1709603025.028224
233,SN18,1709603025.0372999
234,SN19,1709603025.0406196
235,SN110,1709603025.0438952
236,ES00,1709603025.2932649
237,EN13,1709603025.3050983
238,EW12,1709603025.3117452
239,EW16,1709603025.315566
240,EW17,1709603025.3230288
241,SW01,1709603025.3302274
242,SW04,1709603025.3361745
243,SW05,1709603025.3431482
244,SN18,1709603025.350702
245,SN19,1709603025.3572464
246,SN110,1709603025.3606384
247,ES00,1709603025.5933707
248,EN13,1709603025.6008365
249,EW12,1709603025.6077564
250,EW16,1709603025.610971
251,EW17,1709603025.6153166
252,SW01,1709603025.623279
253,SW04,1709603025.6269026
254,SW05,1709603025.6296966
255,SN18,1709603025.6376548
256,SN19,1709603025.6415796
257,SN110,1709603025.6452582
258,ES00,1709603025.8927538
259,EN13,1709603025.8996947
260,EW12,1709603025.9046438
261,EW16,1709603025.9082553
262,EW17,1709603025.9124022
263,SW01,1709603025.9224224
264,SW04,1709603025.9255242
265,SW05,1709603025.9283516
266,SN18,1709603025.935181
267,SN19,1709603025.938601
268,SN110,1709603025.9418027
269,ES00,1709603026.1959014
270,EN13,1709603026.204555
271,EW12,1709603026.212121
272,EW16,1709603026.2180421
273,EW17,1709603026.2213688
274,SW01,1709603026.2273796
275,SW04,1709603026.2320025
276,SW05,1709603026.234907
277,SN18,1709603026.2404041
278,SN19,1709603026.244276
279,SN110,1709603026.2478814
280,SN111,1709603026.2539167
281,ES00,1709603026.4934976
282,EN13,1709603026.5022557
283,EW12,1709603026.509752
284,EW16,1709603026.5144556
285,EW17,1709603026.5204813
286,SW01,1709603026.529474
287,SW04,1709603026.5342536
288,SW05,1709603026.538285
289,SN18,1709603026.545068
290,SN19,1709603026.5487697
291,SN110,1709603026.5529046
292,SN111,1709603026.5576231
293,ES00,1709603026.7990973
294,EN13,1709603026.8063302
295,EN112,1709603026.8107367
296,EW12,1709603026.823884
297,EW16,1709603026.8275006
298,EW17,1709603026.830985
299,SW01,1709603026.837409
300,SW04,1709603026.8408473
301,SW05,1709603026.8442595
302,SN18,1709603026.853191
303,SN19,1709603026.8569293
304,SN110,1709603026.860334
305,SN111,1709603026.866634
306,ES00,1709603027.0927677
307,EN13,1709603027.1013708
308,EN112,1709603027.1048758
309,EW12,1709603027.111834
310,EW16,1709603027.1164646
311,EW17,1709603027.12002
312,SW01,1709603027.1265666
313,SW04,1709603027.13018
314,SW05,1709603027.135158
315,SN18,1709603027.142987
316,SN19,1709603027.147159
317,SN110,1709603027.1503649
318,SN111,1709603027.154593
319,ES00,1709603027.3935976
320,EN13,1709603027.400616
321,EN112,1709603027.4039924
322,EW12,1709603027.4105449
323,EW16,1709603027.4140098
324,EW17,1709603027.4175477
325,SW01,1709603027.4244547
326,SW04,1709603027.4279943
327,SW05,1709603027.4340982
328,SN18,1709603027.4413886
329,SN19,1709603027.4449627
330,SN110,1709603027.4494839
331,SN111,1709603027.4529183
332,ES00,1709603027.692922
333,EN13,1709603027.7006936
334,EN112,1709603027.7043777
335,EW12,1709603027.711358
336,EW16,1709603027.7150671
337,EW17,1709603027.7183976
338,SW01,1709603027.7246048
339,SW04,1709603027.7289515
340,SW05,1709603027.733292
341,SN18,1709603027.7422523
342,SN19,1709603027.7464359
343,SN110,1709603027.750698
344,SN111,1709603027.7543724
345,ES00,1709603028.0014992
346,EN13,1709603028.0099509
347,EN112,1709603028.0141835
348,EW12,1709603028.022701
349,EW16,1709603028.027006
350,EW17,1709603028.0312293
351,SW01,1709603028.0385194
352,SW04,1709603028.0415998
353,SW05,1709603028.0459301
354,SW013,1709603028.0510423
355,SN18,1709603028.0565615
356,SN19,1709603028.061055
357,SN110,1709603028.065637
358,SN111,1709603028.0698144
359,ES00,1709603028.2950435
360,EN13,1709603028.3040044
361,EN112,1709603028.3075986
362,EW12,1709603028.315824
363,EW16,1709603028.320156
364,EW17,1709603028.3226395
365,SW01,1709603028.329495
366,SW04,1709603028.333313
367,SW05,1709603028.3372006
368,SW013,1709603028.3432615
369,SN18,1709603028.3552067
370,SN19,1709603028.3587925
371,SN110,1709603028.3632796
372,SN111,1709603028.368607
373,ES00,1709603028.595125
374,EN13,1709603028.6038115
375,EN112,1709603028.606319
376,EW12,1709603028.6118639
377,EW16,1709603028.6161685
378,EW17,1709603028.6201222
379,SW01,1709603028.6299272
380,SW04,1709603028.6356115
381,SW05,1709603028.6395273
382,SW013,1709603028.6431344
383,SN18,1709603028.6506038
384,SN19,1709603028.6545208
385,SN110,1709603028.6628463
386,SN111,1709603028.6662433
387,ES00,1709603028.892791
388,EN13,1709603028.9003162
389,EN112,1709603028.9042747
390,EW12,1709603028.9113684
391,EW16,1709603028.9150195
392,EW17,1709603028.9189298
393,SW01,1709603028.9255333
394,SW04,1709603028.9302008
395,SW05,1709603028.9341846
396,SW013,1709603028.938781
397,SN18,1709603028.9480057
398,SN19,1709603028.9520447
399,SN110,1709603028.9569442
400,SN111,1709603028.9609737
401,ES00,1709603029.1928873
402,EN13,1709603029.1994615
403,EN112,1709603029.2035606
404,EW12,1709603029.2128813
405,EW16,1709603029.217261
406,EW17,1709603029.2215462
407,SW01,1709603029.2283483
408,SW04,1709603029.2317958
409,SW05,1709603029.2352226
410,SW013,1709603029.2388399
411,SN18,1709603029.248109
412,SN19,1709603029.2525074
413,SN110,1709603029.2561786
414,SN111,1709603029.2591777
415,ES00,1709603029.4920437
416,EN13,1709603029.498724
417,EN112,1709603029.5020938
418,EW12,1709603029.5085583
419,EW16,1709603029.5122726
420,EW17,1709603029.517101
421,SW01,1709603029.5353403
422,SW04,1709603029.5388966
423,SW05,1709603029.5425038
424,SW013,1709603029.5469654
425,SN18,1709603029.5562677
426,SN19,1709603029.5598388
427,SN110,1709603029.5639775
428,SN111,1709603029.568146
429,ES00,1709603029.794498
430,EN13,1709603029.8035676
431,EN112,1709603029.8074205
432,EW12,1709603029.8147845
433,EW16,1709603029.8190308
434,EW17,1709603029.822272
435,SW01,1709603029.8284855
436,SW04,1709603029.8316178
437,SW05,1709603029.8396816
438,SW013,1709603029.8438272
439,SN18,1709603029.8567367
440,SN19,1709603029.8604589
441,SN110,1709603029.8638666
442,SN111,1709603029.8672884
443,ES00,1709603030.093025
444,EN13,1709603030.1000326
445,EN112,1709603030.1033602
446,EW12,1709603030.1093547
447,EW16,1709603030.1133494
448,EW17,1709603030.116608
449,SW01,1709603030.1226888
450,SW04,1709603030.1258032
451,SW05,1709603030.1291118
452,SW013,1709603030.1322746
453,SN18,1709603030.138665
454,SN19,1709603030.1459932
455,SN110,1709603030.1500263
456,SN111,1709603030.153336
457,ES00,1709603030.395814
458,EN13,1709603030.402769
459,EN112,1709603030.4057412
460,EW12,1709603030.4110029
461,EW16,1709603030.4143376
462,EW17,1709603030.418709
463,SW01,1709603030.4264581
464,SW04,1709603030.4296734
465,SW05,1709603030.4319468
466,SW013,1709603030.4341714
467,SN18,1709603030.4383938
468,SN19,1709603030.441033
469,SN110,1709603030.4450176
470,SN111,1709603030.4481144
471,ES00,1709603030.6923242
472,EN13,1709603030.701801
473,EN112,1709603030.7059422
474,EW12,1709603030.71254
475,EW16,1709603030.716853
476,EW17,1709603030.7203472
477,SW01,1709603030.7273355
478,SW04,1709603030.7349098
479,SW05,1709603030.7388103
480,SW013,1709603030.7427785
481,SN18,1709603030.749793
482,SN19,1709603030.7537382
483,SN110,1709603030.7574294
484,SN111,1709603030.760992
485,ES00,1709603030.9932027
486,EN13,1709603031.0021527
487,EN112,1709603031.0062044
488,EW12,1709603031.0138142
489,EW16,1709603031.01723
490,EW17,1709603031.0206347
491,SW01,1709603031.0280566
492,SW04,1709603031.0326817
493,SW05,1709603031.0362785
494,SW013,1709603031.0399797
495,SN18,1709603031.0475943
496,SN19,1709603031.0520015
497,SN110,1709603031.055417
498,SN111,1709603031.060319
499,ES00,1709603031.292755
500,EN13,1709603031.3036711
501,EN112,1709603031.30702
502,EW12,1709603031.3168287
503,EW16,1709603031.3207252
504,EW17,1709603031.32399
505,SW01,1709603031.330991
506,SW04,1709603031.3349006
507,SW05,1709603031.338214
508,SW013,1709603031.3415704
509,SN18,1709603031.3477008
510,SN19,1709603031.350721
511,SN110,1709603031.353749
512,SN111,1709603031.3567867
513,ES00,1709603031.593024
514,EN13,1709603031.6003966
515,EN112,1709603031.604358
516,EW12,1709603031.6197984
517,EW16,1709603031.6234164
518,EW17,1709603031.6273198
519,SW01,1709603031.6338809
520,SW04,1709603031.6374505
521,SW05,1709603031.6460233
522,SW013,1709603031.6491976
523,SN18,1709603031.6537144
524,SN19,1709603031.6570697
525,SN110,1709603031.660654
526,SN111,1709603031.6664827
527,ES00,1709603031.8962417
528,EN13,1709603031.9063623
529,EN112,1709603031.9105659
530,EW12,1709603031.9181614
531,EW16,1709603031.921805
532,EW17,1709603031.9253068
533,SW01,1709603031.9338677
534,SW04,1709603031.9375637
535,SW05,1709603031.9416778
536,SW013,1709603031.9462364
537,SN18,1709603031.9530928
538,SN19,1709603031.9567513
539,SN110,1709603031.9604352
540,SN111,1709603031.9638982
541,ES00,1709603032.193133
542,EN13,1709603032.2018545
543,EN112,1709603032.205952
544,EW12,1709603032.2115345
545,EW16,1709603032.215755
546,EW17,1709603032.2190251
547,SW01,1709603032.2245417
548,SW04,1709603032.2276115
549,SW05,1709603032.230836
550,SW013,1709603032.2340884
551,SN18,1709603032.2404673
552,SN19,1709603032.2460005
553,SN110,1709603032.2495391
554,SN111,1709603032.2536633
555,ES00,1709603032.4930668
556,EN13,1709603032.5009968
557,EN112,1709603032.5041354
558,EW12,1709603032.5094004
559,EW16,1709603032.5127587
560,EW17,1709603032.517329
561,SW01,1709603032.5237632
562,SW04,1709603032.5289836
563,SW05,1709603032.5337021
564,SW013,1709603032.5372288
565,SN18,1709603032.5439634
566,SN19,1709603032.5478392
567,SN110,1709603032.5512757
568,SN111,1709603032.5545056
569,ES00,1709603032.7931557
570,EN13,1709603032.7990913
571,EN112,1709603032.8029563
572,EW12,1709603032.810267
573,EW16,1709603032.8140457
574,EW17,1709603032.817554
575,SW01,1709603032.8241134
576,SW04,1709603032.8272069
577,SW05,1709603032.8305447
578,SW013,1709603032.8342404
579,SN18,1709603032.8404293
580,SN19,1709603032.8448706
581,SN110,1709603032.8485966
582,SN111,1709603032.8519087
583,ES00,1709603033.092768
584,EN13,1709603033.0994933
585,EN112,1709603033.1023772
586,EW12,1709603033.1079648
587,EW16,1709603033.1121025
588,EW17,1709603033.1155055
589,SW01,1709603033.1215703
590,SW04,1709603033.124785
591,SW05,1709603033.1280172
592,SW013,1709603033.1315548
593,SN18,1709603033.1385288
594,SN19,1709603033.143097
595,SN110,1709603033.1471796
596,SN111,1709603033.150527
597,ES00,1709603033.3990119
598,EN13,1709603033.408751
599,EN112,1709603033.4128885
600,EW12,1709603033.4187307
601,EW16,1709603033.4224002
602,EW17,1709603033.4259992
603,SW01,1709603033.4325423
604,SW04,1709603033.4358
605,SW05,1709603033.439185
606,SW013,1709603033.4434934
607,SN18,1709603033.450857
608,SN19,1709603033.4556253
609,SN110,1709603033.462257
610,SN111,1709603033.4656904
611,ES00,1709603033.6985724
612,ES014,1709603033.7023833
613,EN13,1709603033.7094402
614,EN112,1709603033.7131846
615,EW12,1709603033.721787
616,EW16,1709603033.7256649
617,EW17,1709603033.7294474
618,SW01,1709603033.7376454
619,SW04,1709603033.7415469
620,SW05,1709603033.7448266
621,SW013,1709603033.7486122
622,SN18,1709603033.7568781
623,SN19,1709603033.7613914
624,SN110,1709603033.7649033
625,SN111,1709603033.7684526
626,ES00,1709603033.9936578
627,ES014,1709603033.9979944
628,EN13,1709603034.006852
629,EN112,1709603034.0108142
630,EW12,1709603034.016833
631,EW16,1709603034.0205297
632,EW17,1709603034.0258017
633,SW01,1709603034.032248
