# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0;5.54;-22.88;3.4034118;0.0000525;8;0
0.1999592;5.54;-22.84;3.4034229;0.0000585;8;0
0.3999183;5.54;-22.79;3.4034352;0.0000644;8;0
0.5998775;5.54;-22.75;3.4034487;0.0000702;8;0
0.7998367;5.54;-22.71;3.4034633;0.0000759;8;0
0.9997958;5.54;-22.68;3.403479;0.0000816;8;0
1.199755;5.54;-22.64;3.4034959;0.000087;8;0
1.3997142;5.54;-22.58;3.4035138;0.0000925;8;0
1.5996733;5.54;-22.54;3.4035329;0.0000978;8;0
1.7996325;5.54;-22.5;3.4035529;0.0001029;8;0
1.9995916;5.54;-22.44;3.403574;0.0001081;8;0
2.1995508;5.54;-22.4;3.4035961;0.000113;8;0
2.39951;5.54;-22.36;3.4036192;0.0001179;8;0
2.5994691;5.55;-22.32;3.4036432;0.0001226;8;0
2.7994283;5.55;-22.27;3.4036682;0.0001271;8;0
2.9993875;5.55;-22.23;3.4036941;0.0001316;8;0
3.1993466;5.55;-22.19;3.4037208;0.0001358;8;0
3.3993058;5.55;-22.15;3.4037484;0.00014;8;0
3.599265;5.55;-22.11;3.4037768;0.000144;8;0
3.7992241;5.55;-22.07;3.4038059;0.0001478;8;0
3.9991833;5.55;-22.02;3.4038359;0.0001515;8;0
4.1991425;5.55;-21.98;3.4038665;0.0001549;8;0
4.3991016;5.55;-21.94;3.4038978;0.0001583;8;0
4.5990608;5.55;-21.9;3.4039298;0.0001615;8;0
4.79902;5.55;-21.86;3.4039624;0.0001645;8;0
4.9989791;5.55;-21.81;3.4039956;0.0001674;8;0
5.1989383;5.55;-21.77;3.4040293;0.00017;8;0
5.3988975;5.55;-21.73;3.4040636;0.0001725;8;0
5.5988566;5.55;-21.69;3.4040983;0.0001748;8;0
5.7988158;5.55;-21.65;3.4041335;0.0001769;8;0
5.9987749;5.55;-21.62;3.4041691;0.000179;8;0
6.1987341;5.55;-21.59;3.404205;0.0001807;8;0
6.3986933;5.55;-21.55;3.4042413;0.0001823;8;0
6.5986524;5.55;-21.51;3.404278;0.0001837;8;0
6.7986116;5.55;-21.47;3.4043148;0.000185;8;0
6.9985708;5.55;-21.44;3.4043519;0.0001861;8;0
7.1985299;5.55;-21.4;3.4043892;0.0001869;8;0
7.3984891;5.55;-21.36;3.4044267;0.0001876;8;0
7.5984483;5.55;-21.32;3.4044642;0.0001882;8;0
7.7984074;5.55;-21.28;3.4045019;0.0001885;8;0
7.9983666;5.55;-21.23;3.4045396;0.0001887;8;0
8.1983258;5.55;-21.19;3.4045773;0.0001886;8;0
8.3982849;5.55;-21.15;3.404615;0.0001885;8;0
8.5982441;5.55;-21.08;3.4046527;0.0001881;8;0
