x,y
5.54,-22.88
5.54,-22.84
5.54,-22.79
5.54,-22.75
5.54,-22.71
5.54,-22.68
5.54,-22.64
5.54,-22.58
5.54,-22.54
5.54,-22.5
5.54,-22.44
5.54,-22.4
5.54,-22.36
5.55,-22.32
5.55,-22.27
5.55,-22.23
5.55,-22.19
5.55,-22.15
5.55,-22.11
5.55,-22.07
5.55,-22.02
5.55,-21.98
5.55,-21.94
5.55,-21.9
5.55,-21.86
5.55,-21.81
5.55,-21.77
5.55,-21.73
5.55,-21.69
5.55,-21.65
5.55,-21.62
5.55,-21.59
5.55,-21.55
5.55,-21.51
5.55,-21.47
5.55,-21.44
5.55,-21.4
5.55,-21.36
5.55,-21.32
5.55,-21.28
5.55,-21.23
5.55,-21.19
5.55,-21.15
5.55,-21.08
5.55,-21.03
5.55,-20.99
5.55,-20.95
5.55,-20.91
5.55,-20.86
5.55,-20.82
5.55,-20.78
5.55,-20.74
5.55,-20.7
5.56,-20.65
5.56,-20.61
5.56,-20.55
5.56,-20.51
5.56,-20.46
5.56,-20.44
5.56,-20.41
5.56,-20.37
5.56,-20.33
5.56,-20.28
5.56,-20.24
5.56,-20.2
5.56,-20.16
5.56,-20.11
5.56,-20.07
5.56,-20.03
5.56,-19.99
5.56,-19.95
5.56,-19.9
5.56,-19.86
5.56,-19.82
5.56,-19.78
5.56,-19.73
5.56,-19.69
5.56,-19.65
5.56,-19.61
5.56,-19.57
5.56,-19.52
5.56,-19.48
5.56,-19.44
5.56,-19.4
5.56,-19.35
5.56,-19.31
5.56,-19.27
5.56,-19.23
5.56,-19.19
5.56,-19.14
5.56,-19.1
5.56,-19.06
5.57,-19.02
5.57,-18.97
5.57,-18.93
5.57,-18.89
5.57,-18.85
5.57,-18.81
5.57,-18.76
5.57,-18.72
5.57,-18.68
5.57,-18.64
5.57,-18.59
5.57,-18.55
5.57,-18.51
5.57,-18.47
5.57,-18.43
5.57,-18.39
5.57,-18.35
5.57,-18.31
5.57,-18.27
5.57,-18.23
5.57,-18.18
5.57,-18.14
5.57,-18.1
5.57,-18.06
5.57,-18.01
5.57,-17.97
5.57,-17.93
5.57,-17.91
5.57,-17.88
5.57,-17.83
5.57,-17.79
5.57,-17.75
5.57,-17.72
5.57,-17.68
5.57,-17.63
5.57,-17.59
5.57,-17.55
5.57,-17.51
5.57,-17.47
5.57,-17.42
5.58,-17.38
5.58,-17.34
5.58,-17.3
5.58,-17.25
5.58,-17.21
5.58,-17.17
5.58,-17.13
5.58,-17.09
5.58,-17.04
5.58,-17
5.58,-16.96
5.58,-16.92
5.58,-16.87
5.58,-16.83
5.58,-16.79
5.58,-16.75
5.58,-16.71
5.58,-16.66
5.58,-16.62
5.58,-16.58
5.58,-16.54
5.58,-16.49
5.58,-16.45
5.58,-16.41
5.58,-16.37
5.58,-16.33
5.58,-16.28
5.58,-16.24
5.58,-16.22
5.58,-16.19
5.58,-16.15
5.58,-16.07
5.58,-16.03
5.58,-15.98
5.58,-15.9
5.58,-15.88
5.58,-15.85
5.58,-15.81
5.59,-15.77
5.59,-15.72
5.59,-15.68
5.59,-15.66
5.59,-15.62
5.59,-15.58
5.59,-15.51
5.59,-15.47
5.59,-15.43
5.59,-15.39
5.59,-15.34
5.59,-15.3
5.59,-15.26
5.59,-15.22
5.59,-15.17
5.59,-15.13
5.59,-15.09
5.59,-15.05
5.59,-15.01
5.59,-14.96
5.59,-14.92
5.59,-14.88
5.59,-14.85
5.59,-14.81
5.59,-14.76
5.59,-14.72
5.59,-14.7
5.59,-14.67
5.59,-14.63
5.59,-14.58
5.59,-14.54
5.59,-14.5
5.59,-14.46
5.59,-14.41
5.59,-14.37
5.59,-14.34
5.59,-14.3
5.59,-14.26
5.59,-14.21
5.59,-14.17
5.6,-14.13
5.6,-14.09
5.6,-14.01
5.6,-13.97
5.6,-13.93
5.6,-13.89
5.6,-13.84
5.6,-13.8
5.6,-13.76
5.6,-13.72
5.6,-13.68
5.6,-13.63
5.6,-13.59
5.6,-13.55
5.6,-13.48
5.6,-13.43
5.6,-13.39
5.6,-13.35
5.6,-13.31
5.6,-13.26
5.6,-13.22
5.6,-13.18
5.6,-13.14
5.6,-13.11
5.6,-13.06
5.6,-13.02
5.6,-12.98
5.6,-12.94
5.6,-12.89
5.6,-12.85
5.6,-12.81
5.6,-12.77
5.6,-12.73
5.6,-12.68
5.6,-12.65
5.6,-12.61
5.6,-12.57
5.6,-12.53
5.61,-12.48
5.61,-12.44
5.61,-12.4
5.61,-12.36
5.61,-12.31
5.61,-12.27
5.61,-12.23
5.61,-12.19
5.61,-12.15
5.61,-12.1
5.61,-12.06
5.61,-12.02
5.61,-12
5.61,-11.97
5.61,-11.92
5.61,-11.85
5.61,-11.81
5.61,-11.77
5.61,-11.74
5.61,-11.7
5.61,-11.66
5.61,-11.6
5.61,-11.55
5.61,-11.51
5.61,-11.49
5.61,-11.46
5.61,-11.42
5.61,-11.37
5.61,-11.33
5.61,-11.29
5.61,-11.27
5.61,-11.23
5.61,-11.18
5.61,-11.14
5.61,-11.1
5.61,-11.06
5.61,-11.02
5.61,-10.94
5.61,-10.9
5.62,-10.86
5.62,-10.8
5.62,-10.76
5.62,-10.72
5.62,-10.68
5.62,-10.61
5.62,-10.57
5.62,-10.53
5.62,-10.49
5.62,-10.45
5.62,-10.4
5.62,-10.36
5.62,-10.32
5.62,-10.28
5.62,-10.23
5.62,-10.19
5.62,-10.15
5.62,-10.12
5.62,-10.08
5.62,-10.03
5.62,-9.99
5.62,-9.95
5.62,-9.91
5.62,-9.87
5.62,-9.82
5.62,-9.78
5.62,-9.74
5.62,-9.7
5.62,-9.65
5.62,-9.61
5.62,-9.57
5.62,-9.53
5.62,-9.49
5.62,-9.46
5.62,-9.43
5.62,-9.39
5.62,-9.35
5.62,-9.31
5.62,-9.26
5.63,-9.22
5.63,-9.18
5.63,-9.14
5.63,-9.09
5.63,-9.05
5.63,-9.01
5.63,-8.97
5.63,-8.93
5.63,-8.88
5.63,-8.84
5.63,-8.8
5.63,-8.76
5.63,-8.71
5.63,-8.67
5.63,-8.63
5.63,-8.59
5.63,-8.55
5.63,-8.5
5.63,-8.46
5.63,-8.42
5.63,-8.38
5.63,-8.33
5.63,-8.29
5.63,-8.26
5.63,-8.22
5.63,-8.18
5.63,-8.13
5.63,-8.11
5.63,-8.08
5.63,-8.04
5.63,-8
5.63,-7.95
5.63,-7.91
5.63,-7.87
5.63,-7.83
5.63,-7.79
5.63,-7.75
5.63,-7.71
5.63,-7.67
5.63,-7.63
5.63,-7.61
5.64,-7.57
5.64,-7.53
5.64,-7.49
5.64,-7.45
5.64,-7.42
5.64,-7.37
5.64,-7.33
5.64,-7.29
5.64,-7.25
5.64,-7.21
5.64,-7.16
5.64,-7.12
5.64,-7.08
5.64,-7.04
5.64,-6.99
5.64,-6.95
5.64,-6.91
5.64,-6.87
5.64,-6.83
5.64,-6.78
5.64,-6.74
5.64,-6.7
5.64,-6.66
5.64,-6.61
5.64,-6.57
5.64,-6.53
5.64,-6.49
5.64,-6.45
5.64,-6.4
5.64,-6.36
5.64,-6.32
5.64,-6.28
5.64,-6.23
5.64,-6.19
5.64,-6.15
5.64,-6.11
5.64,-6.07
5.64,-6.02
5.64,-5.98
5.65,-5.94
5.65,-5.9
5.65,-5.85
5.65,-5.81
5.65,-5.77
5.65,-5.73
5.65,-5.69
5.65,-5.64
5.65,-5.6
5.65,-5.58
5.65,-5.55
5.65,-5.51
5.65,-5.46
5.65,-5.42
5.65,-5.39
5.65,-5.35
5.65,-5.31
5.65,-5.26
5.65,-5.22
5.65,-5.18
5.65,-5.14
5.65,-5.09
5.65,-5.05
5.65,-5.01
5.65,-4.97
5.65,-4.93
5.65,-4.88
5.65,-4.84
5.65,-4.8
5.65,-4.76
5.65,-4.71
5.65,-4.67
5.65,-4.63
5.65,-4.59
5.65,-4.55
5.65,-4.5
5.65,-4.46
5.65,-4.42
5.65,-4.38
5.65,-4.33
5.66,-4.29
5.66,-4.25
5.66,-4.21
5.66,-4.17
5.66,-4.12
5.66,-4.08
5.66,-4.04
5.66,-4
5.66,-3.95
5.66,-3.91
5.66,-3.87
5.66,-3.83
5.66,-3.79
5.66,-3.74
5.66,-3.72
5.66,-3.69
5.66,-3.65
5.66,-3.61
5.66,-3.56
5.66,-3.52
5.66,-3.48
5.66,-3.44
5.66,-3.39
5.66,-3.36
5.66,-3.32
5.66,-3.28
5.66,-3.24
5.66,-3.22
5.66,-3.18
5.66,-3.14
5.66,-3.1
5.66,-3.06
5.66,-3.03
5.66,-2.98
5.66,-2.94
5.66,-2.9
5.66,-2.86
5.66,-2.81
5.66,-2.75
5.66,-2.71
5.67,-2.67
5.67,-2.62
5.67,-2.58
5.67,-2.53
5.67,-2.49
5.67,-2.44
5.67,-2.4
5.67,-2.36
5.67,-2.32
5.67,-2.28
5.67,-2.23
