# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;15.18;-28.05;3.4034118;0.0000525;8;0
0.1999592;15.12;-27.98;3.4034229;0.0000585;8;0
0.3999183;15.11;-27.96;3.4034352;0.0000644;8;0
0.5998775;15.1;-27.95;3.4034487;0.0000702;8;0
0.7998367;15.09;-27.93;3.4034633;0.0000759;8;0
0.9997958;15.07;-27.91;3.403479;0.0000816;8;0
1.199755;15.05;-27.89;3.4034959;0.000087;8;0
1.3997142;15.01;-27.84;3.4035138;0.0000925;8;0
1.5996733;15;-27.82;3.4035329;0.0000978;8;0
1.7996325;14.98;-27.79;3.4035529;0.0001029;8;0
1.9995916;14.96;-27.78;3.403574;0.0001081;8;0
2.1995508;14.95;-27.77;3.4035961;0.000113;8;0
2.39951;14.93;-27.73;3.4036192;0.0001179;8;0
2.5994691;14.89;-27.69;3.4036432;0.0001226;8;0
2.7994283;14.88;-27.67;3.4036682;0.0001271;8;0
2.9993875;14.85;-27.63;3.4036941;0.0001316;8;0
3.1993466;14.83;-27.61;3.4037208;0.0001358;8;0
3.3993058;14.81;-27.58;3.4037484;0.00014;8;0
3.599265;14.79;-27.57;3.4037768;0.000144;8;0
3.7992241;14.78;-27.55;3.4038059;0.0001478;8;0
3.9991833;14.77;-27.54;3.4038359;0.0001515;8;0
4.1991425;14.76;-27.53;3.4038665;0.0001549;8;0
4.3991016;14.75;-27.51;3.4038978;0.0001583;8;0
4.5990608;14.74;-27.5;3.4039298;0.0001615;8;0
4.79902;14.72;-27.47;3.4039624;0.0001645;8;0
4.9989791;14.69;-27.43;3.4039956;0.0001674;8;0
5.1989383;14.65;-27.38;3.4040293;0.00017;8;0
5.3988975;14.63;-27.37;3.4040636;0.0001725;8;0
5.5988566;14.58;-27.3;3.4040983;0.0001748;8;0
5.7988158;14.55;-27.26;3.4041335;0.0001769;8;0
5.9987749;14.52;-27.23;3.4041691;0.000179;8;0
6.1987341;14.5;-27.2;3.404205;0.0001807;8;0
6.3986933;14.47;-27.16;3.4042413;0.0001823;8;0
6.5986524;14.44;-27.13;3.404278;0.0001837;8;0
6.7986116;14.42;-27.1;3.4043148;0.000185;8;0
6.9985708;14.39;-27.07;3.4043519;0.0001861;8;0
7.1985299;14.37;-27.04;3.4043892;0.0001869;8;0
7.3984891;14.35;-27.02;3.4044267;0.0001876;8;0
7.5984483;14.34;-27;3.4044642;0.0001882;8;0
7.7984074;14.33;-26.98;3.4045019;0.0001885;8;0
7.9983666;14.32;-26.97;3.4045396;0.0001887;8;0
8.1983258;14.31;-26.96;3.4045773;0.0001886;8;0
8.3982849;14.29;-26.94;3.404615;0.0001885;8;0
8.5982441;14.27;-26.91;3.4046527;0.0001881;8;0
8.7982033;14.24;-26.88;3.4046903;0.0001875;8;0
8.9981624;14.21;-26.84;3.4047277;0.0001869;8;0
9.1981216;14.19;-26.81;3.404765;0.0001859;8;0
9.3980808;14.17;-26.8;3.4048021;0.0001849;8;0
9.5980399;14.16;-26.78;3.4048389;0.0001837;8;0
9.7979991;14.15;-26.77;3.4048755;0.0001823;8;0
9.9979582;14.12;-26.73;3.4049118;0.0001809;8;0
10.1979174;14.11;-26.71;3.4049478;0.0001791;8;0
10.3978766;14.09;-26.69;3.4049835;0.0001773;8;0
10.5978357;14.07;-26.67;3.4050187;0.0001753;8;0
10.7977949;14.06;-26.65;3.4050535;0.0001731;8;0
10.9977541;14.04;-26.62;3.4050879;0.0001709;8;0
11.1977132;14.02;-26.61;3.4051218;0.0001683;8;0
11.3976724;14;-26.58;3.4051552;0.0001658;8;0
11.5976316;13.98;-26.56;3.4051881;0.000163;8;0
11.7975907;13.97;-26.54;3.4052204;0.0001601;8;0
11.9975499;13.95;-26.51;3.4052522;0.0001572;8;0
12.1975091;13.94;-26.5;3.4052833;0.0001539;8;0
12.3974682;13.91;-26.47;3.4053137;0.0001507;8;0
12.5974274;13.89;-26.45;3.4053435;0.0001473;8;0
12.7973866;13.87;-26.41;3.4053726;0.0001437;8;0
12.9973457;13.84;-26.38;3.405401;0.0001401;8;0
13.1973049;13.82;-26.36;3.4054286;0.0001362;8;0
13.3972641;13.8;-26.32;3.4054554;0.0001324;8;0
13.5972232;13.78;-26.3;3.4054815;0.0001284;8;0
13.7971824;13.77;-26.29;3.4055068;0.0001242;8;0
13.9971415;13.76;-26.27;3.4055312;0.00012;8;0
14.1971007;13.71;-26.22;3.4055548;0.0001156;8;0
14.3970599;13.7;-26.21;3.4055774;0.0001112;8;0
14.597019;13.68;-26.18;3.4055992;0.0001067;8;0
14.7969782;13.66;-26.15;3.4056201;0.000102;8;0
14.9969374;13.63;-26.11;3.40564;0.0000973;8;0
15.1968965;13.6;-26.09;3.405659;0.0000924;8;0
15.3968557;13.59;-26.07;3.405677;0.0000875;8;0
15.5968149;13.56;-26.04;3.405694;0.0000825;8;0
15.796774;13.54;-26;3.40571;0.0000774;8;0
15.9967332;13.51;-25.97;3.4057249;0.0000722;8;0
16.1966924;13.48;-25.93;3.4057388;0.0000669;8;0
16.3966515;13.46;-25.9;3.4057517;0.0000616;8;0
16.5966107;13.43;-25.86;3.4057635;0.0000562;8;0
16.7965699;13.39;-25.82;3.4057741;0.0000506;8;0
16.996529;13.36;-25.79;3.4057837;0.0000451;8;0
17.1964882;13.33;-25.74;3.4057922;0.0000394;8;0
17.3964474;13.3;-25.7;3.4057995;0.0000337;8;0
17.5964065;13.29;-25.69;3.4058056;0.0000279;8;0
17.7963657;13.27;-25.67;3.4058106;0.0000221;8;0
17.9963248;13.24;-25.63;3.4058145;0.0000162;8;0
18.196284;13.22;-25.61;3.4058171;0.0000102;8;0
18.3962432;13.2;-25.59;3.4058185;0.0000041;8;0
18.5962023;13.19;-25.56;3.4058187;-0.000002;8;0
18.7961615;13.17;-25.55;3.4058177;-0.0000081;8;0
18.9961207;13.14;-25.51;3.4058155;-0.0000143;8;0
19.1960798;13.12;-25.49;3.405812;-0.0000206;8;0
19.396039;13.1;-25.46;3.4058073;-0.0000269;8;0
19.5959982;13.06;-25.41;3.4058013;-0.0000333;8;0
19.7959573;13.05;-25.4;3.405794;-0.0000397;8;0
19.9959165;13.03;-25.37;3.4057854;-0.0000462;8;0
20.1958757;13.01;-25.34;3.4057755;-0.0000526;8;0
20.3958348;13;-25.33;3.4057643;-0.000059;8;0
20.595794;12.98;-25.3;3.4057519;-0.0000657;8;0
20.7957532;12.95;-25.26;3.4057381;-0.0000725;8;0
20.9957123;12.94;-25.24;3.4057229;-0.0000793;8;0
21.1956715;12.92;-25.22;3.4057063;-0.000086;8;0
21.3956307;12.91;-25.2;3.4056885;-0.0000927;8;0
21.5955898;12.88;-25.16;3.4056693;-0.000099;8;0
21.795549;12.87;-25.13;3.4056489;-0.0001051;8;0
21.9955081;12.84;-25.1;3.4056273;-0.0001108;8;0
22.1954673;12.83;-25.07;3.4056048;-0.0001138;8;0
22.3954265;12.81;-25.04;3.4055818;-0.0001167;8;0
22.5953856;12.78;-25.01;3.4055582;-0.000118;8;0
22.7953448;12.76;-24.98;3.4055346;-0.0001181;8;0
22.995304;12.74;-24.95;3.405511;-0.000118;8;0
23.1952631;12.73;-24.93;3.4054876;-0.0001155;8;0
23.3952223;12.71;-24.89;3.4054648;-0.0001131;8;0
23.5951815;12.69;-24.86;3.4054425;-0.0001091;8;0
23.7951406;12.68;-24.85;3.4054212;-0.0001041;8;0
23.9950998;12.67;-24.83;3.4054009;-0.0000989;8;0
24.195059;12.65;-24.81;3.4053818;-0.0000915;8;0
24.3950181;12.63;-24.78;3.4053643;-0.0000842;8;0
24.5949773;12.62;-24.77;3.4053483;-0.0000754;8;0
24.7949365;12.61;-24.74;3.4053342;-0.0000656;8;0
24.9948956;12.59;-24.71;3.405322;-0.0000552;8;0
25.1948548;12.57;-24.69;3.4053126;-0.0000389;8;0
