# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;15.1276474;-29.0615406;3.4034118;0.0000525;8;0
0.1999592;15.12720119;-29.05956939;3.4034229;0.0000585;8;0
0.3999183;15.1243327;-29.04689713;3.4034352;0.0000644;8;0
0.5998775;15.11953969;-29.02572293;3.4034487;0.0000702;8;0
0.7998367;15.11344335;-28.99879094;3.4034633;0.0000759;8;0
0.9997958;15.10646435;-28.96795959;3.403479;0.0000816;8;0
1.199755;15.09888759;-28.93448747;3.4034959;0.000087;8;0
1.3997142;15.090906;-28.89922694;3.4035138;0.0000925;8;0
1.5996733;15.08265024;-28.86275523;3.4035329;0.0000978;8;0
1.7996325;15.07420882;-28.82546327;3.4035529;0.0001029;8;0
1.9995916;15.06564165;-28.78761582;3.403574;0.0001081;8;0
2.1995508;15.05698932;-28.74939218;3.4035961;0.000113;8;0
2.39951;15.04827933;-28.71091375;3.4036192;0.0001179;8;0
2.5994691;15.03953028;-28.67226279;3.4036432;0.0001226;8;0
2.7994283;15.03075477;-28.63349498;3.4036682;0.0001271;8;0
2.9993875;15.02196136;-28.59464803;3.4036941;0.0001316;8;0
3.1993466;15.01315581;-28.55574748;3.4037208;0.0001358;8;0
3.3993058;15.00434205;-28.51681065;3.4037484;0.00014;8;0
3.599265;14.99552272;-28.47784923;3.4037768;0.000144;8;0
3.7992241;14.98669963;-28.43887117;3.4038059;0.0001478;8;0
3.9991833;14.97787398;-28.39988183;3.4038359;0.0001515;8;0
4.1991425;14.96904661;-28.36088486;3.4038665;0.0001549;8;0
4.3991016;14.96021806;-28.32188272;3.4038978;0.0001583;8;0
4.5990608;14.95138873;-28.28287707;3.4039298;0.0001615;8;0
4.79902;14.94255885;-28.24386906;3.4039624;0.0001645;8;0
4.9989791;14.93372862;-28.20485944;3.4039956;0.0001674;8;0
5.1989383;14.92489813;-28.16584873;3.4040293;0.00017;8;0
5.3988975;14.91606748;-28.12683728;3.4040636;0.0001725;8;0
5.5988566;14.90723672;-28.08782534;3.4040983;0.0001748;8;0
5.7988158;14.89840588;-28.04881306;3.4041335;0.0001769;8;0
5.9987749;14.88957499;-28.00980055;3.4041691;0.000179;8;0
6.1987341;14.88074406;-27.97078788;3.404205;0.0001807;8;0
6.3986933;14.87191311;-27.93177511;3.4042413;0.0001823;8;0
6.5986524;14.86308214;-27.89276227;3.404278;0.0001837;8;0
