# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;40.66;3.6;3.4034118;0.0000525;8;0
0.1999592;40.64;3.6;3.4034229;0.0000585;8;0
0.3999183;40.6;3.57;3.4034352;0.0000644;8;0
0.5998775;40.59;3.56;3.4034487;0.0000702;8;0
0.7998367;40.57;3.55;3.4034633;0.0000759;8;0
0.9997958;40.54;3.53;3.403479;0.0000816;8;0
1.199755;40.5;3.51;3.4034959;0.000087;8;0
1.3997142;40.48;3.49;3.4035138;0.0000925;8;0
1.5996733;40.43;3.47;3.4035329;0.0000978;8;0
1.7996325;40.39;3.44;3.4035529;0.0001029;8;0
1.9995916;40.35;3.42;3.403574;0.0001081;8;0
2.1995508;40.33;3.4;3.4035961;0.000113;8;0
2.39951;40.31;3.39;3.4036192;0.0001179;8;0
2.5994691;40.29;3.38;3.4036432;0.0001226;8;0
2.7994283;40.26;3.36;3.4036682;0.0001271;8;0
2.9993875;40.24;3.35;3.4036941;0.0001316;8;0
3.1993466;40.21;3.33;3.4037208;0.0001358;8;0
3.3993058;40.16;3.3;3.4037484;0.00014;8;0
3.599265;40.14;3.28;3.4037768;0.000144;8;0
3.7992241;40.12;3.27;3.4038059;0.0001478;8;0
3.9991833;40.09;3.25;3.4038359;0.0001515;8;0
4.1991425;40.06;3.24;3.4038665;0.0001549;8;0
4.3991016;40.03;3.22;3.4038978;0.0001583;8;0
4.5990608;39.98;3.19;3.4039298;0.0001615;8;0
4.79902;39.94;3.16;3.4039624;0.0001645;8;0
4.9989791;39.92;3.15;3.4039956;0.0001674;8;0
5.1989383;39.88;3.13;3.4040293;0.00017;8;0
5.3988975;39.86;3.12;3.4040636;0.0001725;8;0
5.5988566;39.83;3.1;3.4040983;0.0001748;8;0
5.7988158;39.81;3.08;3.4041335;0.0001769;8;0
5.9987749;39.76;3.06;3.4041691;0.000179;8;0
6.1987341;39.73;3.04;3.404205;0.0001807;8;0
6.3986933;39.72;3.03;3.4042413;0.0001823;8;0
6.5986524;39.68;3.01;3.404278;0.0001837;8;0
6.7986116;39.66;2.99;3.4043148;0.000185;8;0
6.9985708;39.63;2.98;3.4043519;0.0001861;8;0
7.1985299;39.6;2.96;3.4043892;0.0001869;8;0
7.3984891;39.57;2.93;3.4044267;0.0001876;8;0
7.5984483;39.54;2.92;3.4044642;0.0001882;8;0
7.7984074;39.51;2.9;3.4045019;0.0001885;8;0
7.9983666;39.48;2.88;3.4045396;0.0001887;8;0
8.1983258;39.45;2.86;3.4045773;0.0001886;8;0
8.3982849;39.43;2.85;3.404615;0.0001885;8;0
8.5982441;39.41;2.84;3.4046527;0.0001881;8;0
8.7982033;39.37;2.82;3.4046903;0.0001875;8;0
8.9981624;39.34;2.8;3.4047277;0.0001869;8;0
9.1981216;39.32;2.78;3.404765;0.0001859;8;0
9.3980808;39.29;2.77;3.4048021;0.0001849;8;0
9.5980399;39.25;2.74;3.4048389;0.0001837;8;0
9.7979991;39.22;2.72;3.4048755;0.0001823;8;0
9.9979582;39.18;2.7;3.4049118;0.0001809;8;0
10.1979174;39.17;2.69;3.4049478;0.0001791;8;0
10.3978766;39.13;2.66;3.4049835;0.0001773;8;0
10.5978357;39.11;2.65;3.4050187;0.0001753;8;0
10.7977949;39.06;2.62;3.4050535;0.0001731;8;0
10.9977541;39.03;2.6;3.4050879;0.0001709;8;0
11.1977132;39.01;2.59;3.4051218;0.0001683;8;0
11.3976724;38.99;2.58;3.4051552;0.0001658;8;0
11.5976316;38.96;2.56;3.4051881;0.000163;8;0
11.7975907;38.93;2.54;3.4052204;0.0001601;8;0
