# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;41.51;4.3;3.4034118;0.0000525;8;0
0.1999592;41.44;4.26;3.4034229;0.0000585;8;0
0.3999183;41.41;4.24;3.4034352;0.0000644;8;0
0.5998775;41.39;4.23;3.4034487;0.0000702;8;0
0.7998367;41.35;4.22;3.4034633;0.0000759;8;0
0.9997958;41.34;4.21;3.403479;0.0000816;8;0
1.199755;41.33;4.2;3.4034959;0.000087;8;0
1.3997142;41.3;4.19;3.4035138;0.0000925;8;0
1.5996733;41.28;4.18;3.4035329;0.0000978;8;0
1.7996325;41.25;4.16;3.4035529;0.0001029;8;0
1.9995916;41.22;4.15;3.403574;0.0001081;8;0
2.1995508;41.18;4.13;3.4035961;0.000113;8;0
2.39951;41.15;4.11;3.4036192;0.0001179;8;0
2.5994691;41.13;4.1;3.4036432;0.0001226;8;0
2.7994283;41.1;4.09;3.4036682;0.0001271;8;0
2.9993875;41.06;4.07;3.4036941;0.0001316;8;0
3.1993466;41.04;4.06;3.4037208;0.0001358;8;0
3.3993058;41.01;4.04;3.4037484;0.00014;8;0
3.599265;40.98;4.02;3.4037768;0.000144;8;0
3.7992241;40.96;4.01;3.4038059;0.0001478;8;0
3.9991833;40.93;3.99;3.4038359;0.0001515;8;0
4.1991425;40.89;3.97;3.4038665;0.0001549;8;0
4.3991016;40.87;3.96;3.4038978;0.0001583;8;0
4.5990608;40.85;3.95;3.4039298;0.0001615;8;0
4.79902;40.81;3.94;3.4039624;0.0001645;8;0
4.9989791;40.79;3.92;3.4039956;0.0001674;8;0
5.1989383;40.76;3.91;3.4040293;0.00017;8;0
5.3988975;40.72;3.89;3.4040636;0.0001725;8;0
5.5988566;40.7;3.88;3.4040983;0.0001748;8;0
5.7988158;40.65;3.85;3.4041335;0.0001769;8;0
5.9987749;40.63;3.84;3.4041691;0.000179;8;0
6.1987341;40.6;3.82;3.404205;0.0001807;8;0
6.3986933;40.58;3.81;3.4042413;0.0001823;8;0
6.5986524;40.55;3.8;3.404278;0.0001837;8;0
6.7986116;40.46;3.75;3.4043148;0.000185;8;0
6.9985708;40.45;3.74;3.4043519;0.0001861;8;0
7.1985299;40.41;3.72;3.4043892;0.0001869;8;0
7.3984891;40.39;3.71;3.4044267;0.0001876;8;0
7.5984483;40.37;3.7;3.4044642;0.0001882;8;0
7.7984074;40.35;3.7;3.4045019;0.0001885;8;0
7.9983666;40.33;3.68;3.4045396;0.0001887;8;0
8.1983258;40.29;3.66;3.4045773;0.0001886;8;0
8.3982849;40.26;3.65;3.404615;0.0001885;8;0
8.5982441;40.22;3.63;3.4046527;0.0001881;8;0
8.7982033;40.2;3.62;3.4046903;0.0001875;8;0
8.9981624;40.18;3.6;3.4047277;0.0001869;8;0
9.1981216;40.14;3.58;3.404765;0.0001859;8;0
9.3980808;40.1;3.56;3.4048021;0.0001849;8;0
9.5980399;40.07;3.55;3.4048389;0.0001837;8;0
9.7979991;40.03;3.53;3.4048755;0.0001823;8;0
9.9979582;40.01;3.51;3.4049118;0.0001809;8;0
10.1979174;39.99;3.5;3.4049478;0.0001791;8;0
10.3978766;39.94;3.48;3.4049835;0.0001773;8;0
10.5978357;39.92;3.47;3.4050187;0.0001753;8;0
10.7977949;39.89;3.45;3.4050535;0.0001731;8;0
10.9977541;39.87;3.44;3.4050879;0.0001709;8;0
11.1977132;39.83;3.42;3.4051218;0.0001683;8;0
11.3976724;39.8;3.41;3.4051552;0.0001658;8;0
11.5976316;39.78;3.4;3.4051881;0.000163;8;0
11.7975907;39.74;3.38;3.4052204;0.0001601;8;0
11.9975499;39.72;3.36;3.4052522;0.0001572;8;0
12.1975091;39.68;3.35;3.4052833;0.0001539;8;0
12.3974682;39.65;3.33;3.4053137;0.0001507;8;0
12.5974274;39.6;3.3;3.4053435;0.0001473;8;0
12.7973866;39.58;3.29;3.4053726;0.0001437;8;0
12.9973457;39.53;3.27;3.405401;0.0001401;8;0
13.1973049;39.51;3.25;3.4054286;0.0001362;8;0
13.3972641;39.49;3.24;3.4054554;0.0001324;8;0
13.5972232;39.45;3.23;3.4054815;0.0001284;8;0
13.7971824;39.42;3.21;3.4055068;0.0001242;8;0
13.9971415;39.38;3.19;3.4055312;0.00012;8;0
14.1971007;39.34;3.17;3.4055548;0.0001156;8;0
14.3970599;39.3;3.15;3.4055774;0.0001112;8;0
14.597019;39.27;3.13;3.4055992;0.0001067;8;0
14.7969782;39.23;3.11;3.4056201;0.000102;8;0
14.9969374;39.21;3.1;3.40564;0.0000973;8;0
15.1968965;39.18;3.08;3.405659;0.0000924;8;0
15.3968557;39.14;3.06;3.405677;0.0000875;8;0
15.5968149;39.11;3.05;3.405694;0.0000825;8;0
15.796774;39.07;3.02;3.40571;0.0000774;8;0
15.9967332;39.05;3.02;3.4057249;0.0000722;8;0
16.1966924;39.02;3;3.4057388;0.0000669;8;0
16.3966515;39;2.99;3.4057517;0.0000616;8;0
16.5966107;38.98;2.98;3.4057635;0.0000562;8;0
16.7965699;38.94;2.96;3.4057741;0.0000506;8;0
16.996529;38.92;2.95;3.4057837;0.0000451;8;0
17.1964882;38.9;2.93;3.4057922;0.0000394;8;0
17.3964474;38.88;2.92;3.4057995;0.0000337;8;0
17.5964065;38.86;2.92;3.4058056;0.0000279;8;0
17.7963657;38.82;2.9;3.4058106;0.0000221;8;0
17.9963248;38.8;2.89;3.4058145;0.0000162;8;0
18.196284;38.78;2.88;3.4058171;0.0000102;8;0
18.3962432;38.76;2.86;3.4058185;0.0000041;8;0
18.5962023;38.71;2.84;3.4058187;-0.000002;8;0
18.7961615;38.67;2.82;3.4058177;-0.0000081;8;0
18.9961207;38.65;2.81;3.4058155;-0.0000143;8;0
19.1960798;38.61;2.79;3.405812;-0.0000206;8;0
19.396039;38.57;2.77;3.4058073;-0.0000269;8;0
19.5959982;38.54;2.76;3.4058013;-0.0000333;8;0
19.7959573;38.46;2.73;3.405794;-0.0000397;8;0
19.9959165;38.43;2.71;3.4057854;-0.0000462;8;0
20.1958757;38.4;2.7;3.4057755;-0.0000526;8;0
20.3958348;38.36;2.68;3.4057643;-0.000059;8;0
20.595794;38.32;2.67;3.4057519;-0.0000657;8;0
20.7957532;38.29;2.65;3.4057381;-0.0000725;8;0
