# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b;;;;;;
# 603fd3987364b09f9aacb70d1ed12c268e24dd56;;;;;;
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;-18.83344887;-3.196883108;3.4034118;0.0000525;8;0
0.1999592;-18.82678074;-3.192892979;3.4034229;0.0000585;8;0
0.3999183;-18.81691637;-3.186990256;3.4034352;0.0000644;8;0
0.5998775;-18.78715032;-3.169178601;3.4034487;0.0000702;8;0
0.7998367;-18.7710126;-3.159521981;3.4034633;0.0000759;8;0
0.9997958;-18.75372587;-3.149177805;3.403479;0.0000816;8;0
1.199755;-18.7089257;-3.122369914;3.4034959;0.000087;8;0
1.3997142;-18.68132442;-3.105853633;3.4035138;0.0000925;8;0
1.5996733;-18.66116579;-3.093790951;3.4035329;0.0000978;8;0
1.7996325;-18.59924033;-3.056735489;3.4035529;0.0001029;8;0
1.9995916;-18.57827615;-3.044190769;3.403574;0.0001081;8;0
2.1995508;-18.54875421;-3.026525187;3.4035961;0.000113;8;0
2.39951;-18.48504926;-2.988404902;3.4036192;0.0001179;8;0
2.5994691;-18.46372777;-2.975646372;3.4036432;0.0001226;8;0
2.7994283;-18.44237794;-2.962870886;3.4036682;0.0001271;8;0
2.9993875;-18.39105667;-2.932160844;3.4036941;0.0001316;8;0
3.1993466;-18.37821336;-2.924475558;3.4037208;0.0001358;8;0
3.3993058;-18.35679957;-2.911661801;3.4037484;0.00014;8;0
3.599265;-18.2968019;-2.875759904;3.4037768;0.000144;8;0
3.7992241;-18.26678885;-2.85780045;3.4038059;0.0001478;8;0
3.9991833;-18.24963575;-2.847536236;3.4038359;0.0001515;8;0
4.1991425;-18.19816801;-2.816738549;3.4038665;0.0001549;8;0
4.3991016;-18.17672045;-2.803904587;3.4038978;0.0001583;8;0
4.5990608;-18.15527182;-2.791069977;3.4039298;0.0001615;8;0
4.79902;-18.11666226;-2.767966474;3.4039624;0.0001645;8;0
4.9989791;-18.07805091;-2.744861897;3.4039956;0.0001674;8;0
5.1989383;-18.05659963;-2.732025703;3.4040293;0.00017;8;0
5.3988975;-18.00940591;-2.703785544;3.4040636;0.0001725;8;0
5.5988566;-17.98795394;-2.690948935;3.4040983;0.0001748;8;0
5.7988158;-17.96650184;-2.678112251;3.4041335;0.0001769;8;0
5.9987749;-17.90643548;-2.642169257;3.4041691;0.000179;8;0
6.1987341;-17.89356406;-2.634467149;3.404205;0.0001807;8;0
6.3986933;-17.86353068;-2.616495531;3.4042413;0.0001823;8;0
6.5986524;-17.81633526;-2.588254348;3.404278;0.0001837;8;0
6.7986116;-17.78630176;-2.570282656;3.4043148;0.000185;8;0
6.9985708;-17.76484924;-2.557445724;3.4043519;0.0001861;8;0
7.1985299;-17.72194418;-2.531771843;3.4043892;0.0001869;8;0
7.3984891;-17.68762012;-2.511232727;3.4044267;0.0001876;8;0
7.5984483;-17.65758655;-2.493260995;3.4044642;0.0001882;8;0
7.7984074;-17.60180991;-2.459884913;3.4045019;0.0001885;8;0
7.9983666;-17.57177633;-2.441913173;3.4045396;0.0001887;8;0
8.1983258;-17.55032377;-2.429076216;3.4045773;0.0001886;8;0
8.3982849;-17.49883762;-2.398267515;3.404615;0.0001885;8;0
8.5982441;-17.46880404;-2.380295773;3.4046527;0.0001881;8;0
8.7982033;-17.44735148;-2.367458813;3.4046903;0.0001875;8;0
8.9981624;-17.39586533;-2.336650111;3.4047277;0.0001869;8;0
9.1981216;-17.36154123;-2.316110975;3.404765;0.0001859;8;0
9.3980808;-17.33150764;-2.298139231;3.4048021;0.0001849;8;0
9.5980399;-17.27144047;-2.262195743;3.4048389;0.0001837;8;0
9.7979991;-17.2499879;-2.249358783;3.4048755;0.0001823;8;0
9.9979582;-17.21137329;-2.226252255;3.4049118;0.0001809;8;0
10.1979174;-17.15130611;-2.190308767;3.4049478;0.0001791;8;0
10.3978766;-17.12985355;-2.177471807;3.4049835;0.0001773;8;0
10.5978357;-17.09981996;-2.159500063;3.4050187;0.0001753;8;0
10.7977949;-17.06978637;-2.141528319;3.4050535;0.0001731;8;0
10.9977541;-17.03975279;-2.123556575;3.4050879;0.0001709;8;0
11.1977132;-17.00542869;-2.103017439;3.4051218;0.0001683;8;0
11.3976724;-16.94536151;-2.067073951;3.4051552;0.0001658;8;0
11.5976316;-16.93248997;-2.059371775;3.4051881;0.000163;8;0
11.7975907;-16.90245638;-2.041400031;3.4052204;0.0001601;8;0
