x,y
15.23,-28.05
15.18,-27.99
15.17,-27.96
15.13,-27.91
15.1,-27.87
15.08,-27.84
15.06,-27.82
15.03,-27.78
15.02,-27.76
15.0,-27.73
14.98,-27.71
14.96,-27.67
14.94,-27.64
14.9,-27.59
14.88,-27.56
14.87,-27.54
14.86,-27.53
14.82,-27.47
14.8,-27.44
14.78,-27.43
14.76,-27.4
14.74,-27.37
14.71,-27.33
14.69,-27.3
14.66,-27.26
14.64,-27.23
14.62,-27.2
14.61,-27.18
14.59,-27.16
14.58,-27.14
14.56,-27.11
14.55,-27.1
14.54,-27.08
14.51,-27.05
14.5,-27.02
14.48,-27.01
14.47,-26.99
14.44,-26.95
14.41,-26.91
14.39,-26.88
14.38,-26.86
14.36,-26.84
14.34,-26.81
14.31,-26.77
14.29,-26.74
14.28,-26.73
14.27,-26.7
14.23,-26.66
14.21,-26.63
14.15,-26.54
14.12,-26.49
14.09,-26.46
14.06,-26.42
14.05,-26.4
14.03,-26.38
14.01,-26.35
14.0,-26.34
13.98,-26.3
13.95,-26.26
13.92,-26.21
13.89,-26.17
13.87,-26.15
13.85,-26.13
13.83,-26.1
13.81,-26.06
13.8,-26.05
13.78,-26.02
13.77,-26.0
13.73,-25.96
13.72,-25.94
13.69,-25.89
13.67,-25.86
13.65,-25.84
13.63,-25.82
13.62,-25.8
13.6,-25.77
13.58,-25.73
13.56,-25.68
13.55,-25.66
13.54,-25.65
13.53,-25.61
13.52,-25.59
13.51,-25.56
13.5,-25.54
13.49,-25.5
13.48,-25.46
13.48,-25.42
13.47,-25.38
13.46,-25.31
13.46,-25.29
13.46,-25.26
13.46,-25.2
13.45,-25.18
13.45,-25.12
13.45,-25.08
13.45,-25.04
13.44,-25.01
13.44,-24.99
13.44,-24.94
13.44,-24.88
13.43,-24.83
13.43,-24.79
13.43,-24.74
13.43,-24.71
13.42,-24.67
13.42,-24.65
13.42,-24.61
13.42,-24.56
13.42,-24.52
13.41,-24.49
13.41,-24.46
13.41,-24.41
13.41,-24.39
13.41,-24.36
13.42,-24.35
13.42,-24.32
13.42,-24.28
13.42,-24.23
13.42,-24.2
13.42,-24.15
13.42,-24.12
13.42,-24.09
13.43,-24.05
13.43,-24.02
13.43,-23.98
13.43,-23.91
13.43,-23.86
13.43,-23.83
13.44,-23.81
13.44,-23.77
13.44,-23.73
13.44,-23.71
13.44,-23.65
13.44,-23.63
13.44,-23.57
13.45,-23.52
13.45,-23.48
13.45,-23.43
13.45,-23.39
13.45,-23.36
13.45,-23.31
13.46,-23.28
13.46,-23.24
13.46,-23.21
13.46,-23.17
13.46,-23.13
13.46,-23.09
13.46,-23.07
13.47,-23.03
13.47,-22.98
13.47,-22.93
13.47,-22.9
13.47,-22.88
13.47,-22.84
13.48,-22.79
13.48,-22.75
13.48,-22.72
13.48,-22.69
13.48,-22.66
13.48,-22.62
13.48,-22.58
13.49,-22.51
13.49,-22.48
13.49,-22.46
13.49,-22.42
13.49,-22.37
13.49,-22.35
13.49,-22.29
13.5,-22.22
13.5,-22.17
13.5,-22.15
13.5,-22.1
13.5,-22.05
13.51,-21.99
13.51,-21.94
13.51,-21.91
13.51,-21.88
13.51,-21.84
13.51,-21.8
13.51,-21.76
13.52,-21.7
13.52,-21.68
13.52,-21.62
13.52,-21.58
13.52,-21.55
13.52,-21.51
13.53,-21.49
13.53,-21.45
13.53,-21.41
13.53,-21.39
13.53,-21.35
13.53,-21.32
13.53,-21.29
13.53,-21.25
13.54,-21.23
13.54,-21.18
13.54,-21.14
13.54,-21.09
13.54,-21.06
13.54,-21.02
13.55,-20.98
13.55,-20.94
13.55,-20.85
13.55,-20.83
13.55,-20.77
13.55,-20.74
13.56,-20.72
13.56,-20.69
13.56,-20.65
13.56,-20.63
13.56,-20.6
13.56,-20.58
13.56,-20.55
13.56,-20.5
13.56,-20.48
13.57,-20.46
13.57,-20.43
13.57,-20.39
13.57,-20.35
13.57,-20.29
13.57,-20.26
13.57,-20.22
13.58,-20.19
13.58,-20.16
13.58,-20.1
13.58,-20.05
13.58,-20.02
13.58,-20.0
13.58,-19.96
13.59,-19.94
