x,y
15.18,-28.05
15.12,-27.98
15.11,-27.96
15.1,-27.95
15.09,-27.93
15.07,-27.91
15.05,-27.89
15.01,-27.84
15.0,-27.82
14.98,-27.79
14.96,-27.78
14.95,-27.77
14.93,-27.73
14.89,-27.69
14.88,-27.67
14.85,-27.63
14.83,-27.61
14.81,-27.58
14.79,-27.57
14.78,-27.55
14.77,-27.54
14.76,-27.53
14.75,-27.51
14.74,-27.5
14.72,-27.47
14.69,-27.43
14.65,-27.38
14.63,-27.37
14.58,-27.3
14.55,-27.26
14.52,-27.23
14.5,-27.2
14.47,-27.16
14.44,-27.13
14.42,-27.1
14.39,-27.07
14.37,-27.04
14.35,-27.02
14.34,-27.0
14.33,-26.98
14.32,-26.97
14.31,-26.96
14.29,-26.94
14.27,-26.91
14.24,-26.88
14.21,-26.84
14.19,-26.81
14.17,-26.8
14.16,-26.78
14.15,-26.77
14.12,-26.73
14.11,-26.71
14.09,-26.69
14.07,-26.67
14.06,-26.65
14.04,-26.62
14.02,-26.61
14.0,-26.58
13.98,-26.56
13.97,-26.54
13.95,-26.51
13.94,-26.5
13.91,-26.47
13.89,-26.45
13.87,-26.41
13.84,-26.38
13.82,-26.36
13.8,-26.32
13.78,-26.3
13.77,-26.29
13.76,-26.27
13.71,-26.22
13.7,-26.21
13.68,-26.18
13.66,-26.15
13.63,-26.11
13.6,-26.09
13.59,-26.07
13.56,-26.04
13.54,-26.0
13.51,-25.97
13.48,-25.93
13.46,-25.9
13.43,-25.86
13.39,-25.82
13.36,-25.79
13.33,-25.74
13.3,-25.7
13.29,-25.69
13.27,-25.67
13.24,-25.63
13.22,-25.61
13.2,-25.59
13.19,-25.56
13.17,-25.55
13.14,-25.51
13.12,-25.49
13.1,-25.46
13.06,-25.41
13.05,-25.4
13.03,-25.37
13.01,-25.34
13.0,-25.33
12.98,-25.3
12.95,-25.26
12.94,-25.24
12.92,-25.22
12.91,-25.2
12.88,-25.16
12.87,-25.13
12.84,-25.1
12.83,-25.07
12.81,-25.04
12.78,-25.01
12.76,-24.98
12.74,-24.95
12.73,-24.93
12.71,-24.89
12.69,-24.86
12.68,-24.85
12.67,-24.83
12.65,-24.81
12.63,-24.78
12.62,-24.77
12.61,-24.74
12.59,-24.71
12.57,-24.69
12.56,-24.68
12.54,-24.63
12.52,-24.6
12.49,-24.55
12.48,-24.53
12.47,-24.5
12.44,-24.45
12.43,-24.44
12.42,-24.41
12.41,-24.39
12.39,-24.36
12.38,-24.33
12.36,-24.31
12.35,-24.28
12.34,-24.26
12.33,-24.24
12.31,-24.2
12.29,-24.16
12.28,-24.14
12.26,-24.09
12.25,-24.08
12.24,-24.06
12.23,-24.04
12.22,-24.0
12.21,-23.98
12.2,-23.95
12.18,-23.89
12.16,-23.85
12.15,-23.83
12.14,-23.81
12.13,-23.79
12.12,-23.75
12.1,-23.71
12.09,-23.67
12.08,-23.64
12.06,-23.58
12.04,-23.53
12.04,-23.49
12.03,-23.44
12.02,-23.39
12.02,-23.35
12.01,-23.3
12.01,-23.26
12.0,-23.22
12.0,-23.18
12.0,-23.13
11.99,-23.11
11.99,-23.09
11.99,-23.04
11.99,-23.0
11.99,-22.97
11.99,-22.9
12.0,-22.87
12.0,-22.82
12.01,-22.79
12.02,-22.75
12.03,-22.7
12.04,-22.67
12.05,-22.6
12.06,-22.56
12.07,-22.54
12.07,-22.51
12.08,-22.48
12.08,-22.44
12.08,-22.4
12.08,-22.37
12.08,-22.34
12.08,-22.27
12.08,-22.22
12.08,-22.19
12.07,-22.13
12.07,-22.1
12.06,-22.07
12.06,-22.04
12.06,-21.99
12.05,-21.95
12.05,-21.93
12.05,-21.89
12.05,-21.86
12.06,-21.81
12.06,-21.78
12.06,-21.75
12.06,-21.72
12.07,-21.65
12.07,-21.61
12.07,-21.59
12.07,-21.55
12.07,-21.52
12.07,-21.49
12.08,-21.45
12.08,-21.41
12.08,-21.38
12.08,-21.34
12.09,-21.27
12.09,-21.23
12.09,-21.2
12.09,-21.16
12.09,-21.13
12.1,-21.09
12.1,-21.05
12.1,-21.02
12.1,-20.98
12.1,-20.93
12.1,-20.91
12.1,-20.88
12.1,-20.84
12.1,-20.81
12.1,-20.77
12.1,-20.74
12.1,-20.7
12.1,-20.66
12.1,-20.63
12.1,-20.59
12.1,-20.51
12.1,-20.48
12.1,-20.44
12.11,-20.42
12.11,-20.38
12.11,-20.34
12.11,-20.28
12.11,-20.23
12.11,-20.2
12.11,-20.16
12.11,-20.12
12.11,-20.07
12.11,-20.03
12.11,-20.0
12.11,-19.95
12.11,-19.89
12.11,-19.83
12.11,-19.8
12.11,-19.76
12.12,-19.73
12.12,-19.68
12.12,-19.65
12.12,-19.61
12.12,-19.58
12.12,-19.54
12.12,-19.49
12.12,-19.45
12.12,-19.41
12.12,-19.37
12.12,-19.31
12.12,-19.28
12.12,-19.26
12.12,-19.23
12.12,-19.17
12.12,-19.13
12.12,-19.1
12.13,-19.03
12.13,-19.0
12.13,-18.95
12.13,-18.92
12.13,-18.89
12.13,-18.86
12.13,-18.83
12.13,-18.78
12.13,-18.74
12.13,-18.72
12.13,-18.66
12.13,-18.62
12.13,-18.58
12.13,-18.54
12.13,-18.5
12.13,-18.46
12.13,-18.42
12.13,-18.35
12.14,-18.31
12.14,-18.27
12.14,-18.22
12.14,-18.15
12.14,-18.1
12.14,-18.08
12.14,-18.04
12.14,-18.01
12.14,-17.98
12.14,-17.94
12.14,-17.92
12.14,-17.87
12.14,-17.84
12.14,-17.8
12.14,-17.73
12.14,-17.67
12.15,-17.62
12.15,-17.6
12.15,-17.56
12.14,-17.51
12.14,-17.47
12.14,-17.42
12.14,-17.38
12.14,-17.34
12.14,-17.28
12.14,-17.24
12.14,-17.19
12.14,-17.15
12.14,-17.12
12.14,-17.08
12.14,-17.03
12.14,-17.0
12.14,-16.95
12.14,-16.91
12.14,-16.85
12.14,-16.81
12.14,-16.79
12.14,-16.76
12.14,-16.72
12.14,-16.66
12.14,-16.62
12.14,-16.58
12.14,-16.54
12.14,-16.5
12.14,-16.48
12.14,-16.43
12.14,-16.4
12.14,-16.35
12.14,-16.31
12.14,-16.28
12.14,-16.23
12.14,-16.2
12.14,-16.15
12.14,-16.12
12.14,-16.07
12.14,-16.04
12.14,-15.98
12.14,-15.93
12.14,-15.9
12.14,-15.87
12.14,-15.83
12.14,-15.79
12.14,-15.76
12.14,-15.7
12.14,-15.66
12.14,-15.62
12.14,-15.57
12.14,-15.53
12.14,-15.49
12.14,-15.45
12.14,-15.41
12.14,-15.37
12.14,-15.34
12.14,-15.3
12.14,-15.26
12.14,-15.22
12.14,-15.16
12.14,-15.11
12.14,-15.06
12.14,-15.01
12.14,-14.95
12.14,-14.93
12.14,-14.89
12.14,-14.86
12.14,-14.83
12.14,-14.79
12.14,-14.75
12.14,-14.72
12.14,-14.69
12.14,-14.67
12.14,-14.63
12.14,-14.6
12.13,-14.55
12.13,-14.5
12.13,-14.48
12.13,-14.44
12.13,-14.38
12.12,-14.34
12.12,-14.28
12.12,-14.23
12.12,-14.2
12.12,-14.16
12.11,-14.12
12.11,-14.07
12.11,-14.03
12.11,-14.0
12.11,-13.96
12.11,-13.92
12.1,-13.88
12.1,-13.83
12.1,-13.81
12.1,-13.77
12.1,-13.72
12.1,-13.69
12.1,-13.65
12.11,-13.61
12.11,-13.58
12.11,-13.54
12.11,-13.49
12.11,-13.45
12.11,-13.42
12.11,-13.37
12.12,-13.34
12.12,-13.3
12.12,-13.26
12.12,-13.21
12.12,-13.18
12.12,-13.12
12.12,-13.07
12.13,-13.04
12.13,-12.99
12.13,-12.95
12.13,-12.92
12.13,-12.88
12.13,-12.84
12.13,-12.79
12.13,-12.75
12.13,-12.72
12.13,-12.67
12.13,-12.63
12.13,-12.59
12.13,-12.56
12.13,-12.5
12.13,-12.47
12.13,-12.44
12.13,-12.41
12.13,-12.36
12.13,-12.32
12.13,-12.26
12.13,-12.22
12.13,-12.19
12.13,-12.16
12.13,-12.13
12.13,-12.1
12.13,-12.06
12.13,-12.03
12.13,-12.0
12.13,-11.95
12.13,-11.92
12.13,-11.89
12.13,-11.85
12.13,-11.81
12.13,-11.77
12.13,-11.74
12.13,-11.71
12.13,-11.68
12.13,-11.62
12.13,-11.58
12.13,-11.54
12.13,-11.49
12.13,-11.44
12.13,-11.39
12.13,-11.35
12.13,-11.3
12.13,-11.26
12.13,-11.23
12.12,-11.18
12.12,-11.15
12.12,-11.12
12.12,-11.08
12.12,-11.03
12.12,-11.01
12.12,-10.97
12.12,-10.94
12.12,-10.91
12.12,-10.87
12.12,-10.85
12.12,-10.8
12.12,-10.76
12.12,-10.72
12.12,-10.69
12.12,-10.63
12.12,-10.58
12.12,-10.56
12.12,-10.52
12.12,-10.5
12.12,-10.45
12.12,-10.41
12.12,-10.37
12.12,-10.33
12.12,-10.28
12.12,-10.25
12.12,-10.22
12.12,-10.17
12.12,-10.14
12.12,-10.11
12.12,-10.08
12.12,-10.03
12.12,-9.98
12.12,-9.95
12.12,-9.92
12.12,-9.87
12.12,-9.83
12.12,-9.79
12.12,-9.76
12.12,-9.71
12.12,-9.68
12.12,-9.63
12.12,-9.6
12.12,-9.55
12.12,-9.52
12.12,-9.45
12.12,-9.42
12.12,-9.38
12.12,-9.32
12.12,-9.29
12.12,-9.25
12.12,-9.22
12.12,-9.18
12.12,-9.13
12.11,-9.09
12.11,-9.05
12.11,-9.0
12.11,-8.96
12.11,-8.9
12.11,-8.85
12.11,-8.79
12.11,-8.74
12.11,-8.7
12.11,-8.67
12.11,-8.64
12.11,-8.55
12.11,-8.51
12.11,-8.45
12.11,-8.42
12.11,-8.38
12.11,-8.33
12.11,-8.29
12.11,-8.26
12.11,-8.2
12.11,-8.15
12.11,-8.11
12.11,-8.07
12.11,-8.05
12.11,-8.02
12.11,-8.0
12.11,-7.95
12.11,-7.91
12.11,-7.87
12.11,-7.84
12.11,-7.78
12.11,-7.72
12.11,-7.7
12.11,-7.65
12.11,-7.62
12.11,-7.58
12.11,-7.55
12.11,-7.51
12.11,-7.49
12.11,-7.46
12.11,-7.4
12.11,-7.38
12.11,-7.36
12.11,-7.31
12.11,-7.28
12.11,-7.24
12.11,-7.22
12.11,-7.17
12.11,-7.13
12.11,-7.08
12.11,-7.05
12.1,-7.04
12.1,-6.97
12.1,-6.94
12.1,-6.9
12.1,-6.86
12.1,-6.81
12.1,-6.76
12.1,-6.72
12.1,-6.68
12.1,-6.66
12.1,-6.62
12.1,-6.57
12.1,-6.52
12.1,-6.5
12.1,-6.46
12.1,-6.42
12.1,-6.39
12.1,-6.37
12.1,-6.34
12.1,-6.3
12.1,-6.27
12.1,-6.24
12.1,-6.19
12.1,-6.16
12.1,-6.11
12.1,-6.07
12.1,-6.01
12.1,-5.97
12.1,-5.91
12.1,-5.86
12.1,-5.83
12.1,-5.79
12.1,-5.77
12.1,-5.72
12.1,-5.66
12.1,-5.61
12.1,-5.58
12.1,-5.54
12.1,-5.5
12.1,-5.47
12.1,-5.43
12.1,-5.39
12.1,-5.36
12.1,-5.31
12.1,-5.29
12.1,-5.26
12.1,-5.21
12.1,-5.16
12.1,-5.13
12.1,-5.1
12.1,-5.04
12.1,-5.0
12.09,-4.96
12.09,-4.87
12.09,-4.83
12.09,-4.8
12.09,-4.73
12.09,-4.7
12.09,-4.67
12.09,-4.63
12.09,-4.61
12.09,-4.57
12.09,-4.54
12.09,-4.51
12.09,-4.47
12.09,-4.43
12.09,-4.4
12.09,-4.35
12.09,-4.32
12.09,-4.27
12.09,-4.24
12.09,-4.2
12.09,-4.15
12.09,-4.12
12.09,-4.07
12.09,-4.04
12.09,-4.02
12.09,-4.0
12.09,-3.96
12.09,-3.91
12.09,-3.89
12.09,-3.86
12.09,-3.82
12.09,-3.76
12.09,-3.73
12.09,-3.69
12.09,-3.65
12.09,-3.63
12.09,-3.61
12.09,-3.57
12.09,-3.54
12.09,-3.48
12.09,-3.4
12.09,-3.37
12.09,-3.33
12.09,-3.25
12.09,-3.22
12.09,-3.19
12.09,-3.15
12.09,-3.11
12.09,-3.08
12.09,-3.04
12.09,-2.98
12.09,-2.94
12.08,-2.92
12.08,-2.9
12.08,-2.86
12.08,-2.83
12.08,-2.79
12.08,-2.75
12.08,-2.72
12.08,-2.68
12.08,-2.62
12.08,-2.58
12.08,-2.53
12.08,-2.49
12.08,-2.46
12.08,-2.42
12.07,-2.34
12.06,-2.25
12.05,-2.22
12.05,-2.2
12.04,-2.15
12.03,-2.11
12.0,-2.05
12.0,-2.03
11.99,-2.0
11.98,-1.98
11.96,-1.93
11.95,-1.9
11.94,-1.85
11.92,-1.82
11.9,-1.76
11.89,-1.73
11.88,-1.71
11.88,-1.69
11.86,-1.63
11.85,-1.6
11.83,-1.56
11.82,-1.52
11.81,-1.49
11.79,-1.45
11.78,-1.42
11.77,-1.37
11.76,-1.36
11.75,-1.33
11.73,-1.28
11.71,-1.24
11.7,-1.21
11.69,-1.19
11.68,-1.15
11.67,-1.13
11.66,-1.11
11.65,-1.07
11.64,-1.05
11.64,-1.03
11.63,-1.01
11.6,-0.94
11.59,-0.92
11.57,-0.87
11.56,-0.83
11.53,-0.76
11.51,-0.71
11.5,-0.68
11.48,-0.64
11.47,-0.61
11.47,-0.59
11.45,-0.57
11.44,-0.54
11.43,-0.49
11.41,-0.46
11.4,-0.42
11.38,-0.4
11.37,-0.38
11.37,-0.36
11.35,-0.34
11.34,-0.31
11.33,-0.3
11.31,-0.28
11.29,-0.24
11.27,-0.22
11.25,-0.19
11.23,-0.17
11.2,-0.14
11.15,-0.09
11.09,-0.04
11.07,-0.03
11.06,-0.02
11.03,0.0
10.98,0.04
10.96,0.04
10.92,0.06
10.9,0.08
10.88,0.09
10.86,0.1
10.84,0.1
10.81,0.11
10.76,0.13
10.73,0.14
10.71,0.15
10.68,0.16
10.65,0.17
10.61,0.18
10.56,0.19
10.52,0.2
10.49,0.22
10.45,0.23
10.37,0.27
10.34,0.28
10.33,0.29
10.28,0.32
10.25,0.34
10.23,0.36
10.22,0.37
10.19,0.39
10.17,0.4
10.14,0.43
10.11,0.45
10.08,0.49
10.05,0.52
10.03,0.54
10.02,0.56
10.0,0.58
9.99,0.61
9.98,0.62
9.97,0.63
9.96,0.65
9.94,0.68
9.92,0.71
9.9,0.74
9.87,0.78
9.86,0.79
9.84,0.82
9.82,0.86
9.8,0.9
9.78,0.93
9.76,0.95
9.72,1.01
9.71,1.03
9.7,1.05
9.67,1.09
9.65,1.12
9.63,1.14
9.6,1.17
9.58,1.19
9.56,1.22
9.48,1.29
9.44,1.33
9.4,1.35
9.38,1.37
9.37,1.38
9.35,1.39
9.33,1.4
9.29,1.42
9.25,1.44
9.23,1.45
9.22,1.46
9.19,1.47
9.15,1.48
9.14,1.49
9.11,1.49
9.05,1.51
9.03,1.51
8.98,1.52
8.93,1.53
8.86,1.54
8.81,1.54
8.77,1.54
8.72,1.54
8.68,1.53
8.64,1.53
8.55,1.53
8.51,1.52
8.48,1.52
8.44,1.52
8.43,1.53
8.41,1.53
8.37,1.53
8.34,1.53
8.3,1.54
8.27,1.55
8.24,1.55
8.2,1.56
8.16,1.57
8.13,1.58
8.06,1.58
8.02,1.59
7.98,1.59
7.93,1.59
7.89,1.59
7.84,1.58
7.77,1.58
7.76,1.57
7.69,1.56
7.64,1.54
7.59,1.52
7.56,1.52
7.55,1.51
7.49,1.49
7.44,1.47
7.37,1.45
7.33,1.45
7.32,1.44
7.28,1.44
7.26,1.44
7.22,1.43
7.18,1.43
7.15,1.43
7.11,1.43
7.08,1.43
7.05,1.43
6.96,1.42
6.89,1.42
6.84,1.42
6.79,1.41
6.77,1.41
6.73,1.41
6.67,1.41
6.63,1.41
6.59,1.4
6.55,1.4
6.5,1.39
6.47,1.39
6.45,1.38
6.41,1.37
6.38,1.36
6.35,1.36
6.33,1.35
6.29,1.34
6.27,1.33
6.24,1.32
6.21,1.31
6.15,1.29
6.13,1.28
6.12,1.27
6.07,1.26
6.05,1.26
6.02,1.25
5.98,1.24
5.94,1.24
5.89,1.23
5.85,1.23
5.81,1.22
5.77,1.22
5.74,1.22
5.7,1.21
5.66,1.21
5.62,1.2
5.59,1.2
5.58,1.19
5.52,1.19
5.5,1.18
5.47,1.18
5.42,1.18
5.38,1.17
5.35,1.17
5.29,1.16
5.25,1.16
5.23,1.15
5.2,1.15
5.16,1.14
5.14,1.14
5.11,1.14
5.07,1.13
5.03,1.13
4.98,1.12
4.95,1.12
4.91,1.12
4.86,1.12
4.82,1.12
4.79,1.12
4.74,1.12
4.71,1.12
4.66,1.12
4.6,1.12
4.57,1.12
4.55,1.12
4.5,1.12
4.42,1.11
4.39,1.11
4.35,1.11
4.3,1.11
4.27,1.11
4.24,1.11
4.22,1.11
4.19,1.11
4.17,1.11
4.15,1.11
4.12,1.11
4.08,1.11
4.03,1.11
3.97,1.11
3.92,1.11
3.88,1.11
3.84,1.11
3.8,1.11
3.77,1.11
3.73,1.1
3.69,1.1
3.64,1.1
3.61,1.1
3.53,1.11
3.49,1.11
3.45,1.11
3.41,1.12
3.38,1.12
3.33,1.12
3.3,1.12
3.28,1.13
3.25,1.13
3.19,1.13
3.16,1.13
3.1,1.14
3.05,1.14
3.01,1.14
2.99,1.14
2.96,1.15
2.92,1.15
2.9,1.15
2.87,1.15
2.81,1.15
2.78,1.16
2.74,1.16
2.7,1.16
2.64,1.17
2.6,1.17
2.54,1.17
2.52,1.17
2.49,1.17
2.46,1.18
2.42,1.18
2.39,1.18
2.35,1.18
2.33,1.19
2.29,1.19
2.25,1.19
2.22,1.19
2.2,1.19
2.17,1.19
2.15,1.2
2.11,1.2
2.08,1.2
2.04,1.2
2.01,1.21
1.99,1.21
1.97,1.21
1.93,1.21
1.88,1.21
1.84,1.22
1.8,1.22
1.77,1.22
