x,y
40.66,3.6
40.64,3.6
40.6,3.57
40.59,3.56
40.57,3.55
40.54,3.53
40.5,3.51
40.48,3.49
40.43,3.47
40.39,3.44
40.35,3.42
40.33,3.4
40.31,3.39
40.29,3.38
40.26,3.36
40.24,3.35
40.21,3.33
40.16,3.3
40.14,3.28
40.12,3.27
40.09,3.25
40.06,3.24
40.03,3.22
39.98,3.19
39.94,3.16
39.92,3.15
39.88,3.13
39.86,3.12
39.83,3.1
39.81,3.08
39.76,3.06
39.73,3.04
39.72,3.03
39.68,3.01
39.66,2.99
39.63,2.98
39.6,2.96
39.57,2.93
39.54,2.92
39.51,2.9
39.48,2.88
39.45,2.86
39.43,2.85
39.41,2.84
39.37,2.82
39.34,2.8
39.32,2.78
39.29,2.77
39.25,2.74
39.22,2.72
39.18,2.7
39.17,2.69
39.13,2.66
39.11,2.65
39.06,2.62
39.03,2.6
39.01,2.59
38.99,2.58
38.96,2.56
38.93,2.54
38.9,2.52
38.88,2.51
38.86,2.49
38.83,2.47
38.78,2.44
38.74,2.41
38.71,2.39
38.69,2.38
38.65,2.36
38.6,2.33
38.56,2.29
38.54,2.28
38.52,2.26
38.5,2.25
38.46,2.23
38.45,2.22
38.43,2.2
38.38,2.17
38.36,2.15
38.34,2.14
38.31,2.12
38.28,2.09
38.26,2.08
38.24,2.07
38.22,2.05
38.2,2.04
38.17,2.02
38.14,2.0
38.1,1.97
38.08,1.95
38.06,1.94
38.05,1.93
38.01,1.9
37.98,1.88
37.96,1.87
37.92,1.85
37.9,1.83
37.86,1.8
37.84,1.78
37.81,1.77
37.8,1.76
37.77,1.74
37.74,1.72
37.73,1.7
37.71,1.69
37.69,1.68
37.65,1.65
37.6,1.62
37.57,1.6
37.51,1.56
37.48,1.55
37.46,1.54
37.42,1.52
37.4,1.51
37.37,1.5
37.35,1.49
37.33,1.47
37.28,1.45
37.25,1.44
37.22,1.42
37.2,1.41
37.16,1.39
37.13,1.38
37.11,1.37
37.07,1.36
37.06,1.35
37.03,1.35
37.0,1.33
36.97,1.33
36.88,1.31
36.85,1.3
36.8,1.3
36.77,1.3
36.75,1.29
36.72,1.29
36.7,1.29
36.68,1.29
36.65,1.28
36.62,1.28
36.58,1.28
36.55,1.27
36.51,1.27
36.47,1.27
36.43,1.26
36.4,1.26
36.33,1.25
36.29,1.25
36.27,1.25
36.23,1.24
36.19,1.24
36.13,1.24
36.09,1.24
36.05,1.24
36.01,1.24
35.97,1.24
35.93,1.24
35.9,1.24
35.87,1.24
35.84,1.24
35.8,1.24
35.75,1.24
35.71,1.24
35.68,1.24
35.63,1.24
35.58,1.24
35.55,1.24
35.52,1.24
35.47,1.24
35.44,1.24
35.39,1.24
35.36,1.24
35.34,1.24
35.3,1.24
35.25,1.24
35.22,1.24
35.17,1.24
35.13,1.24
