x,y
41.51,4.3
41.44,4.26
41.41,4.24
41.39,4.23
41.35,4.22
41.34,4.21
41.33,4.2
41.3,4.19
41.28,4.18
41.25,4.16
41.22,4.15
41.18,4.13
41.15,4.11
41.13,4.1
41.1,4.09
41.06,4.07
41.04,4.06
41.01,4.04
40.98,4.02
40.96,4.01
40.93,3.99
40.89,3.97
40.87,3.96
40.85,3.95
40.81,3.94
40.79,3.92
40.76,3.91
40.72,3.89
40.7,3.88
40.65,3.85
40.63,3.84
40.6,3.82
40.58,3.81
40.55,3.8
40.46,3.75
40.45,3.74
40.41,3.72
40.39,3.71
40.37,3.7
40.35,3.7
40.33,3.68
40.29,3.66
40.26,3.65
40.22,3.63
40.2,3.62
40.18,3.6
40.14,3.58
40.1,3.56
40.07,3.55
40.03,3.53
40.01,3.51
39.99,3.5
39.94,3.48
39.92,3.47
39.89,3.45
39.87,3.44
39.83,3.42
39.8,3.41
39.78,3.4
39.74,3.38
39.72,3.36
39.68,3.35
39.65,3.33
39.6,3.3
39.58,3.29
39.53,3.27
39.51,3.25
39.49,3.24
39.45,3.23
39.42,3.21
39.38,3.19
39.34,3.17
39.3,3.15
39.27,3.13
39.23,3.11
39.21,3.1
39.18,3.08
39.14,3.06
39.11,3.05
39.07,3.02
39.05,3.02
39.02,3.0
39.0,2.99
38.98,2.98
38.94,2.96
38.92,2.95
38.9,2.93
38.88,2.92
38.86,2.92
38.82,2.9
38.8,2.89
38.78,2.88
38.76,2.86
38.71,2.84
38.67,2.82
38.65,2.81
38.61,2.79
38.57,2.77
38.54,2.76
38.46,2.73
38.43,2.71
38.4,2.7
38.36,2.68
38.32,2.67
38.29,2.65
38.25,2.64
38.2,2.62
38.18,2.61
38.12,2.58
38.09,2.57
38.06,2.56
38.04,2.56
38.02,2.55
37.98,2.54
37.94,2.52
37.91,2.52
37.87,2.5
37.84,2.5
37.82,2.49
37.79,2.49
37.73,2.48
37.69,2.47
37.65,2.47
37.61,2.46
37.59,2.46
37.55,2.46
37.52,2.46
37.47,2.46
37.44,2.46
37.41,2.47
37.38,2.47
37.34,2.48
37.31,2.49
37.28,2.49
37.25,2.5
37.21,2.51
37.19,2.52
37.16,2.52
37.13,2.53
37.09,2.54
37.06,2.55
37.03,2.55
36.99,2.56
36.94,2.57
36.92,2.58
36.89,2.59
36.84,2.6
36.8,2.61
36.76,2.61
36.72,2.62
36.69,2.63
36.64,2.64
36.59,2.65
36.55,2.66
36.51,2.66
36.49,2.67
36.45,2.68
36.41,2.69
36.39,2.69
36.36,2.7
36.33,2.7
36.31,2.71
36.28,2.71
36.24,2.72
36.2,2.73
36.16,2.73
36.12,2.74
36.1,2.74
36.07,2.74
36.04,2.75
36.02,2.75
35.98,2.75
35.95,2.75
35.93,2.75
35.89,2.76
35.82,2.76
35.78,2.77
35.74,2.77
35.71,2.77
35.66,2.77
35.63,2.77
35.6,2.77
35.56,2.77
35.53,2.77
35.49,2.77
35.47,2.77
35.44,2.77
35.4,2.77
35.38,2.77
35.34,2.77
35.31,2.77
35.26,2.77
35.22,2.77
35.18,2.76
35.15,2.76
35.11,2.76
35.08,2.76
35.06,2.76
35.03,2.75
34.96,2.75
34.92,2.75
34.88,2.74
34.85,2.74
34.78,2.74
34.75,2.73
34.72,2.73
34.7,2.73
34.67,2.74
34.63,2.74
34.56,2.75
34.52,2.75
34.5,2.76
34.47,2.76
34.43,2.77
34.39,2.77
34.36,2.78
34.32,2.78
34.28,2.78
34.25,2.78
34.2,2.78
34.16,2.78
34.12,2.78
34.08,2.77
34.04,2.76
34.01,2.76
33.97,2.75
33.93,2.74
33.91,2.73
33.88,2.72
33.86,2.72
33.84,2.71
33.82,2.7
33.78,2.69
33.72,2.67
33.69,2.66
33.66,2.65
33.62,2.64
33.59,2.63
33.56,2.63
33.52,2.62
33.49,2.62
33.46,2.61
33.43,2.61
33.39,2.6
33.36,2.6
33.33,2.6
33.3,2.59
33.23,2.58
33.19,2.58
33.16,2.57
33.12,2.57
33.08,2.56
33.04,2.56
32.98,2.55
32.92,2.55
32.88,2.54
32.81,2.54
32.78,2.54
32.74,2.54
32.69,2.54
32.64,2.54
32.6,2.54
32.56,2.53
32.52,2.53
32.48,2.53
32.43,2.53
32.39,2.53
32.35,2.53
32.31,2.53
32.29,2.53
32.26,2.53
32.24,2.52
32.19,2.52
32.15,2.52
32.12,2.53
32.09,2.53
32.06,2.53
32.03,2.53
31.99,2.53
31.92,2.54
31.88,2.54
31.83,2.54
31.8,2.55
31.76,2.55
31.69,2.55
31.67,2.56
31.63,2.56
31.59,2.56
31.56,2.56
31.52,2.56
31.49,2.57
31.45,2.57
31.4,2.57
31.36,2.58
31.32,2.58
31.28,2.58
31.23,2.58
31.21,2.59
31.17,2.59
31.13,2.59
31.09,2.59
31.06,2.6
31.01,2.6
30.96,2.6
30.92,2.6
30.89,2.61
30.85,2.61
30.81,2.61
30.77,2.61
30.73,2.61
30.69,2.62
30.65,2.62
30.62,2.62
30.59,2.62
30.55,2.62
30.51,2.62
30.47,2.62
30.43,2.62
30.39,2.63
30.35,2.63
30.31,2.63
30.27,2.63
30.23,2.63
30.19,2.63
30.15,2.63
30.11,2.63
30.07,2.63
30.03,2.64
29.99,2.64
29.95,2.64
29.91,2.64
29.88,2.64
29.84,2.64
29.79,2.64
29.75,2.64
29.71,2.64
29.67,2.64
29.63,2.64
29.59,2.64
29.56,2.64
29.52,2.64
29.48,2.64
29.44,2.64
29.4,2.64
29.36,2.64
29.31,2.64
29.27,2.64
29.23,2.64
29.19,2.64
29.15,2.64
29.11,2.65
29.07,2.65
29.03,2.65
28.99,2.65
28.95,2.65
28.92,2.65
28.88,2.65
28.84,2.65
28.8,2.65
28.76,2.65
28.72,2.65
28.67,2.65
28.63,2.65
28.6,2.65
28.56,2.65
28.52,2.65
28.48,2.65
28.44,2.65
28.4,2.65
28.35,2.65
28.31,2.65
28.27,2.65
28.23,2.65
28.2,2.66
28.16,2.66
28.12,2.66
28.08,2.66
28.03,2.66
27.99,2.66
27.96,2.66
27.92,2.66
27.88,2.66
27.84,2.66
27.8,2.66
27.76,2.66
27.72,2.66
27.68,2.66
27.64,2.66
27.6,2.66
27.56,2.66
27.52,2.66
27.48,2.66
27.44,2.66
27.4,2.66
27.36,2.66
27.32,2.66
27.29,2.67
27.26,2.67
27.23,2.67
27.17,2.67
27.12,2.67
27.05,2.67
27.01,2.67
26.97,2.67
26.93,2.67
26.89,2.67
26.85,2.67
26.81,2.67
26.79,2.67
26.75,2.67
26.71,2.67
26.67,2.67
26.63,2.67
26.59,2.67
26.55,2.67
26.51,2.67
26.47,2.67
26.43,2.67
26.39,2.67
26.36,2.68
26.32,2.68
26.28,2.68
26.24,2.68
26.2,2.68
26.17,2.68
26.14,2.68
26.1,2.68
26.07,2.68
26.03,2.68
25.99,2.68
25.96,2.68
25.92,2.68
25.87,2.68
25.83,2.68
25.79,2.68
25.75,2.68
25.71,2.68
25.67,2.68
25.64,2.68
25.6,2.68
25.55,2.68
25.51,2.68
25.47,2.68
25.44,2.68
25.4,2.69
25.36,2.69
25.32,2.69
25.29,2.69
25.25,2.69
25.21,2.69
25.17,2.69
25.13,2.69
25.09,2.69
25.05,2.69
25.01,2.69
24.97,2.69
24.93,2.69
24.89,2.69
24.85,2.69
24.8,2.69
24.75,2.69
24.71,2.69
24.67,2.69
24.63,2.69
24.59,2.69
24.55,2.69
24.51,2.69
24.47,2.7
24.44,2.7
24.4,2.7
24.36,2.7
24.32,2.7
24.26,2.7
24.22,2.7
24.17,2.7
24.13,2.7
24.09,2.7
24.06,2.7
24.0,2.7
23.94,2.7
23.9,2.7
23.87,2.7
23.83,2.7
23.8,2.7
23.76,2.7
23.74,2.7
23.7,2.7
23.66,2.7
23.62,2.7
23.58,2.7
23.54,2.71
23.5,2.71
23.46,2.71
23.42,2.71
23.37,2.71
23.33,2.71
23.29,2.71
23.25,2.71
23.21,2.71
23.17,2.71
23.13,2.71
23.09,2.71
23.06,2.71
23.02,2.71
22.99,2.71
22.95,2.71
22.91,2.71
22.87,2.71
22.84,2.71
22.8,2.71
22.76,2.71
22.72,2.71
22.68,2.71
22.65,2.72
22.62,2.72
22.57,2.72
22.54,2.72
22.48,2.72
22.43,2.72
22.39,2.72
22.35,2.72
22.31,2.72
22.27,2.72
22.23,2.72
22.19,2.72
22.15,2.72
22.11,2.72
22.07,2.72
22.03,2.72
21.99,2.72
21.95,2.72
21.91,2.72
21.87,2.72
21.83,2.72
21.8,2.72
21.76,2.72
21.71,2.73
21.67,2.73
21.64,2.73
21.6,2.73
21.56,2.73
21.52,2.73
21.47,2.73
21.43,2.73
21.39,2.73
21.35,2.73
21.29,2.73
21.25,2.73
21.22,2.73
21.18,2.73
21.13,2.73
21.09,2.73
21.05,2.73
21.01,2.73
20.96,2.73
20.92,2.73
20.88,2.73
20.83,2.73
20.79,2.74
20.76,2.74
20.72,2.74
20.68,2.74
20.64,2.74
20.59,2.74
20.55,2.74
20.52,2.74
20.48,2.74
20.44,2.74
20.4,2.74
20.36,2.74
20.33,2.74
20.29,2.74
20.26,2.74
20.22,2.74
20.18,2.74
20.15,2.74
20.12,2.74
20.08,2.74
20.04,2.74
20.0,2.74
19.96,2.74
19.92,2.74
19.87,2.74
19.83,2.74
19.79,2.74
19.75,2.74
19.71,2.74
19.67,2.74
19.63,2.74
19.59,2.74
19.55,2.74
19.51,2.73
19.46,2.73
19.43,2.73
19.4,2.73
19.37,2.73
19.33,2.73
19.3,2.73
19.26,2.73
19.22,2.73
19.18,2.72
19.15,2.72
19.11,2.72
19.06,2.72
19.02,2.72
18.97,2.72
18.94,2.72
18.89,2.72
18.85,2.72
18.83,2.71
18.78,2.71
18.74,2.71
18.7,2.71
18.66,2.71
18.62,2.71
18.56,2.71
18.52,2.71
18.49,2.7
18.46,2.7
18.42,2.7
18.38,2.7
18.34,2.7
18.3,2.7
18.26,2.7
18.22,2.7
18.19,2.7
18.15,2.7
18.11,2.69
18.06,2.69
18.03,2.69
17.99,2.69
17.94,2.69
17.9,2.69
17.86,2.69
17.82,2.69
17.79,2.68
17.75,2.68
17.71,2.68
17.67,2.68
17.64,2.68
17.6,2.68
17.56,2.68
17.52,2.68
17.47,2.68
17.43,2.67
17.38,2.67
17.33,2.67
17.28,2.67
17.23,2.67
17.19,2.67
17.15,2.67
17.11,2.67
17.09,2.66
17.05,2.66
17.01,2.66
16.97,2.66
16.93,2.66
16.89,2.66
16.85,2.66
16.8,2.66
16.74,2.65
16.7,2.65
16.66,2.65
16.63,2.65
16.59,2.65
16.55,2.65
16.51,2.65
16.47,2.65
16.42,2.65
16.37,2.64
16.34,2.64
16.29,2.64
16.26,2.64
16.21,2.64
16.18,2.64
16.14,2.64
16.11,2.64
16.07,2.63
16.04,2.63
16.01,2.63
15.97,2.63
15.92,2.63
15.89,2.63
15.86,2.63
15.82,2.63
15.76,2.63
15.73,2.62
15.7,2.62
15.66,2.62
15.6,2.62
15.56,2.62
15.53,2.62
15.49,2.62
15.45,2.62
15.41,2.62
15.37,2.61
15.33,2.61
15.28,2.61
15.24,2.61
15.2,2.61
15.16,2.61
15.12,2.61
15.07,2.61
15.03,2.6
14.99,2.6
14.95,2.6
14.9,2.6
14.86,2.6
14.81,2.6
14.78,2.6
14.73,2.6
14.7,2.59
14.68,2.59
14.65,2.59
14.61,2.59
14.56,2.59
14.51,2.59
14.47,2.59
14.43,2.59
14.39,2.59
14.36,2.59
14.33,2.58
14.29,2.58
14.26,2.58
14.22,2.58
14.16,2.58
14.12,2.58
14.08,2.58
14.04,2.58
14.01,2.57
13.97,2.57
13.94,2.57
13.89,2.57
13.87,2.57
13.83,2.57
13.8,2.57
13.76,2.57
13.72,2.57
13.68,2.57
13.64,2.56
13.6,2.56
13.56,2.56
13.53,2.56
13.5,2.56
13.45,2.56
13.4,2.56
13.36,2.56
13.32,2.56
13.29,2.55
13.27,2.55
13.24,2.55
13.2,2.55
13.14,2.55
13.1,2.55
13.06,2.55
13.03,2.55
12.98,2.55
12.94,2.54
12.9,2.54
12.85,2.54
12.81,2.54
12.78,2.54
12.74,2.54
12.69,2.54
12.66,2.54
12.61,2.53
12.58,2.53
12.53,2.53
12.5,2.53
12.45,2.53
12.4,2.53
12.36,2.53
