x,y
41.62,4.41
41.61,4.39
41.59,4.38
41.57,4.37
41.55,4.36
41.49,4.33
41.46,4.32
41.45,4.31
41.39,4.28
41.38,4.27
41.35,4.26
41.33,4.24
41.3,4.22
41.28,4.21
41.25,4.2
41.23,4.19
41.19,4.17
41.15,4.15
41.13,4.13
41.09,4.11
41.05,4.09
41.0,4.06
40.97,4.05
40.95,4.03
40.92,4.02
40.91,4.01
40.88,3.99
40.86,3.98
40.82,3.96
40.79,3.94
40.76,3.93
40.74,3.92
40.72,3.9
40.7,3.9
40.67,3.88
40.64,3.86
40.61,3.85
40.58,3.83
40.53,3.8
40.5,3.79
40.49,3.78
40.44,3.75
40.39,3.73
40.37,3.72
40.34,3.7
40.31,3.68
40.28,3.66
40.23,3.64
40.2,3.62
40.17,3.6
40.12,3.57
40.08,3.56
40.07,3.55
40.03,3.53
39.99,3.51
39.98,3.5
39.95,3.48
39.94,3.47
39.92,3.46
39.9,3.45
39.85,3.43
39.83,3.42
39.81,3.41
39.78,3.39
39.72,3.35
39.7,3.35
39.68,3.33
39.64,3.31
39.62,3.3
39.57,3.27
39.56,3.26
39.54,3.25
39.52,3.24
39.47,3.22
39.45,3.2
39.4,3.18
39.34,3.15
39.32,3.14
39.29,3.12
39.27,3.11
39.25,3.1
39.23,3.09
39.19,3.06
39.17,3.05
39.14,3.04
39.1,3.02
39.09,3.01
39.03,2.98
39.02,2.97
38.96,2.94
38.92,2.92
38.91,2.91
38.88,2.89
38.84,2.87
38.81,2.85
38.79,2.84
38.77,2.83
38.74,2.81
38.69,2.79
38.67,2.78
38.64,2.76
38.59,2.73
38.55,2.71
38.5,2.68
38.49,2.67
38.45,2.65
38.43,2.65
38.38,2.62
38.36,2.61
38.32,2.59
38.26,2.58
38.23,2.57
38.19,2.55
38.15,2.55
38.12,2.54
38.07,2.53
38.05,2.53
38.01,2.53
37.96,2.53
37.91,2.53
37.85,2.53
37.81,2.53
37.78,2.53
37.74,2.53
37.7,2.53
37.66,2.53
37.62,2.54
37.6,2.54
37.54,2.54
37.48,2.55
37.44,2.56
37.4,2.56
37.34,2.57
37.32,2.58
37.29,2.58
37.25,2.59
37.2,2.59
37.19,2.6
37.15,2.6
37.13,2.6
37.08,2.61
37.03,2.62
36.98,2.62
36.94,2.62
36.9,2.63
36.87,2.63
36.83,2.63
36.81,2.64
36.75,2.64
36.71,2.65
36.67,2.65
36.63,2.65
36.58,2.66
36.53,2.66
36.51,2.67
36.47,2.67
36.44,2.67
36.4,2.68
36.37,2.68
36.33,2.68
36.29,2.69
36.27,2.69
36.23,2.69
36.19,2.69
36.15,2.7
36.11,2.7
36.05,2.7
36.03,2.71
35.99,2.71
35.95,2.71
35.91,2.71
35.87,2.72
35.83,2.72
35.78,2.72
35.76,2.73
35.73,2.73
35.69,2.73
35.64,2.73
35.61,2.74
35.57,2.74
35.53,2.74
35.48,2.74
35.45,2.74
35.42,2.74
35.36,2.75
35.34,2.75
35.28,2.75
35.25,2.75
35.21,2.76
35.17,2.76
35.12,2.76
35.09,2.76
35.04,2.76
34.99,2.77
34.97,2.77
34.92,2.77
34.89,2.77
34.85,2.77
34.79,2.78
34.75,2.78
34.73,2.78
34.69,2.78
34.64,2.78
34.59,2.78
34.57,2.79
34.49,2.79
34.46,2.79
34.39,2.79
34.36,2.79
34.33,2.8
34.3,2.8
34.25,2.8
34.22,2.8
34.19,2.8
34.16,2.8
34.13,2.8
34.08,2.81
34.04,2.81
34.02,2.81
33.96,2.81
33.94,2.81
33.9,2.81
33.86,2.81
33.8,2.81
33.78,2.81
33.74,2.81
33.72,2.81
33.7,2.81
33.65,2.81
33.61,2.81
33.57,2.81
33.54,2.81
33.49,2.81
33.46,2.81
33.42,2.81
33.37,2.81
33.32,2.81
33.28,2.81
33.24,2.81
33.22,2.81
33.19,2.81
33.16,2.81
33.12,2.81
33.05,2.81
33.02,2.81
32.99,2.81
32.95,2.8
32.88,2.8
32.84,2.8
32.81,2.8
32.8,2.79
32.76,2.79
32.71,2.79
32.6,2.78
32.53,2.78
32.47,2.77
32.43,2.77
32.39,2.77
32.34,2.77
32.29,2.76
32.26,2.76
32.23,2.76
32.18,2.76
32.13,2.75
32.1,2.75
