x,y
-16.8,-2.69
-16.75,-2.66
-16.71,-2.63
-16.68,-2.6
-16.66,-2.59
-16.65,-2.58
-16.61,-2.56
-16.6,-2.55
-16.58,-2.54
-16.56,-2.52
-16.53,-2.5
-16.5,-2.47
-16.47,-2.45
-16.42,-2.42
-16.41,-2.41
-16.39,-2.39
-16.36,-2.38
-16.34,-2.36
-16.32,-2.35
-16.29,-2.33
-16.25,-2.3
-16.21,-2.27
-16.19,-2.25
-16.14,-2.22
-16.13,-2.21
-16.11,-2.2
-16.1,-2.18
-16.08,-2.17
-16.07,-2.16
-16.04,-2.14
-16.01,-2.13
-16.0,-2.11
-15.97,-2.1
-15.95,-2.08
-15.93,-2.07
-15.91,-2.05
-15.88,-2.03
-15.84,-2.0
-15.82,-1.98
-15.79,-1.96
-15.77,-1.95
-15.75,-1.93
-15.73,-1.92
-15.69,-1.9
-15.65,-1.86
-15.64,-1.85
-15.61,-1.83
-15.58,-1.82
-15.57,-1.8
-15.54,-1.78
-15.48,-1.74
-15.45,-1.72
-15.43,-1.7
-15.39,-1.67
-15.36,-1.66
-15.32,-1.63
-15.29,-1.6
-15.26,-1.58
-15.22,-1.56
-15.21,-1.55
-15.18,-1.53
-15.16,-1.51
-15.14,-1.5
-15.11,-1.47
-15.07,-1.45
-15.04,-1.42
-15.0,-1.4
-14.98,-1.38
-14.95,-1.36
-14.93,-1.34
-14.91,-1.33
-14.87,-1.31
-14.81,-1.27
-14.78,-1.26
-14.74,-1.24
-14.72,-1.23
-14.66,-1.21
-14.65,-1.2
-14.61,-1.19
-14.57,-1.18
-14.52,-1.17
-14.49,-1.17
-14.47,-1.16
-14.44,-1.16
-14.39,-1.16
-14.35,-1.15
-14.31,-1.15
-14.28,-1.16
-14.22,-1.16
-14.17,-1.17
-14.14,-1.17
-14.09,-1.18
-14.05,-1.19
-13.96,-1.22
-13.93,-1.23
-13.91,-1.24
-13.88,-1.25
-13.86,-1.25
-13.83,-1.27
-13.79,-1.28
-13.73,-1.29
-13.72,-1.3
-13.67,-1.31
-13.63,-1.31
-13.58,-1.32
-13.54,-1.32
-13.51,-1.32
-13.48,-1.32
-13.43,-1.32
-13.41,-1.31
-13.38,-1.31
-13.35,-1.31
-13.33,-1.3
-13.31,-1.3
-13.25,-1.29
-13.22,-1.28
-13.2,-1.27
-13.16,-1.26
-13.1,-1.24
-13.06,-1.23
-13.02,-1.23
-13.0,-1.22
-12.95,-1.22
-12.92,-1.21
-12.86,-1.21
-12.84,-1.21
-12.81,-1.21
-12.76,-1.21
-12.73,-1.22
-12.69,-1.22
-12.66,-1.22
-12.61,-1.23
-12.59,-1.24
-12.54,-1.25
-12.51,-1.26
-12.46,-1.28
-12.43,-1.28
-12.39,-1.3
-12.37,-1.3
-12.33,-1.31
-12.31,-1.32
-12.28,-1.33
-12.25,-1.33
-12.22,-1.34
-12.18,-1.35
-12.14,-1.36
-12.11,-1.36
-12.08,-1.36
-12.04,-1.36
-12.01,-1.36
-11.97,-1.36
-11.93,-1.36
-11.89,-1.36
-11.85,-1.36
-11.79,-1.36
-11.7,-1.36
-11.67,-1.36
-11.63,-1.36
-11.59,-1.36
-11.56,-1.36
-11.52,-1.36
-11.46,-1.36
-11.43,-1.36
-11.4,-1.36
-11.37,-1.36
-11.34,-1.36
-11.29,-1.36
-11.24,-1.36
-11.2,-1.36
-11.18,-1.36
-11.12,-1.36
-11.08,-1.36
-11.05,-1.36
-11.0,-1.36
-10.97,-1.36
-10.91,-1.36
-10.88,-1.35
-10.86,-1.35
-10.82,-1.35
-10.79,-1.35
-10.76,-1.35
-10.72,-1.35
-10.69,-1.35
-10.65,-1.35
-10.62,-1.35
-10.59,-1.35
-10.55,-1.35
-10.5,-1.35
-10.45,-1.35
-10.42,-1.35
-10.39,-1.35
-10.35,-1.35
-10.31,-1.35
-10.28,-1.35
-10.24,-1.35
-10.2,-1.35
-10.16,-1.35
-10.13,-1.35
-10.08,-1.35
-10.04,-1.35
-10.0,-1.35
-9.98,-1.35
-9.94,-1.35
-9.89,-1.35
-9.84,-1.35
-9.82,-1.35
-9.79,-1.35
-9.75,-1.35
-9.72,-1.35
-9.69,-1.35
-9.64,-1.35
-9.6,-1.35
-9.57,-1.35
-9.53,-1.35
-9.49,-1.35
-9.44,-1.35
-9.4,-1.35
-9.35,-1.35
-9.31,-1.35
-9.27,-1.34
-9.23,-1.34
-9.2,-1.34
-9.16,-1.34
-9.13,-1.34
-9.09,-1.34
-9.05,-1.34
-9.01,-1.34
-8.97,-1.34
-8.91,-1.34
-8.87,-1.34
-8.83,-1.34
-8.79,-1.34
-8.75,-1.34
-8.7,-1.34
-8.66,-1.34
-8.62,-1.34
-8.59,-1.34
-8.55,-1.34
-8.49,-1.34
-8.45,-1.34
-8.38,-1.34
-8.32,-1.34
-8.29,-1.34
-8.25,-1.34
-8.22,-1.34
-8.18,-1.34
-8.14,-1.34
-8.11,-1.34
-8.06,-1.34
-8.02,-1.34
-7.96,-1.34
-7.92,-1.34
-7.88,-1.34
-7.84,-1.34
-7.8,-1.34
-7.73,-1.34
-7.7,-1.34
-7.66,-1.33
-7.61,-1.33
-7.58,-1.33
-7.55,-1.33
-7.52,-1.33
-7.48,-1.33
-7.42,-1.33
-7.37,-1.33
-7.33,-1.33
-7.3,-1.33
-7.27,-1.33
-7.23,-1.33
-7.19,-1.33
-7.15,-1.33
-7.12,-1.33
-7.08,-1.33
-7.02,-1.33
-6.98,-1.33
-6.94,-1.33
-6.9,-1.33
-6.86,-1.33
-6.8,-1.33
-6.76,-1.33
-6.72,-1.33
-6.68,-1.33
-6.62,-1.33
-6.56,-1.33
-6.52,-1.33
-6.48,-1.33
-6.44,-1.33
-6.4,-1.33
-6.36,-1.33
-6.3,-1.33
-6.24,-1.33
-6.2,-1.33
-6.14,-1.33
-6.1,-1.32
-6.05,-1.32
-6.01,-1.32
-5.97,-1.32
-5.93,-1.32
-5.89,-1.32
-5.85,-1.32
-5.82,-1.32
-5.77,-1.32
-5.74,-1.32
-5.71,-1.32
-5.67,-1.32
-5.63,-1.32
-5.59,-1.32
-5.55,-1.32
-5.51,-1.32
-5.47,-1.32
-5.44,-1.32
-5.4,-1.32
-5.34,-1.32
-5.28,-1.32
-5.24,-1.32
-5.18,-1.32
-5.14,-1.32
-5.09,-1.32
-5.06,-1.32
-5.03,-1.32
-4.99,-1.32
-4.96,-1.32
-4.93,-1.32
-4.89,-1.32
-4.85,-1.32
-4.81,-1.32
-4.77,-1.32
-4.74,-1.32
-4.71,-1.32
-4.67,-1.32
-4.65,-1.32
