x,y
-18.16,-3.05
-18.14,-3.04
-18.11,-3.03
-18.09,-3.01
-18.06,-3.0
-18.04,-2.99
-18.03,-2.98
-17.98,-2.95
-17.95,-2.93
-17.92,-2.91
-17.9,-2.9
-17.87,-2.88
-17.85,-2.87
-17.83,-2.86
-17.79,-2.84
-17.78,-2.83
-17.76,-2.82
-17.72,-2.8
-17.71,-2.79
-17.69,-2.79
-17.67,-2.77
-17.64,-2.75
-17.62,-2.74
-17.59,-2.72
-17.57,-2.71
-17.53,-2.69
-17.52,-2.68
-17.49,-2.67
-17.45,-2.65
-17.43,-2.64
-17.42,-2.63
-17.37,-2.6
-17.33,-2.57
-17.31,-2.56
-17.27,-2.55
-17.22,-2.52
-17.2,-2.51
-17.18,-2.49
-17.16,-2.48
-17.14,-2.47
-17.11,-2.45
-17.09,-2.44
-17.07,-2.43
-17.04,-2.41
-17.02,-2.4
-16.96,-2.37
-16.94,-2.35
-16.9,-2.33
-16.88,-2.32
-16.84,-2.3
-16.8,-2.28
-16.79,-2.27
-16.75,-2.25
-16.72,-2.23
-16.69,-2.21
-16.67,-2.2
-16.64,-2.18
-16.62,-2.17
-16.59,-2.15
-16.57,-2.14
-16.54,-2.13
-16.51,-2.11
-16.46,-2.08
-16.42,-2.06
-16.37,-2.03
-16.32,-2.0
-16.28,-1.98
-16.25,-1.96
-16.21,-1.94
-16.18,-1.92
-16.13,-1.89
-16.09,-1.87
-16.04,-1.84
-16.01,-1.82
-15.97,-1.8
-15.94,-1.78
-15.9,-1.76
-15.88,-1.75
-15.84,-1.73
-15.81,-1.71
-15.77,-1.69
-15.73,-1.66
-15.71,-1.65
-15.69,-1.64
-15.66,-1.62
-15.64,-1.61
-15.62,-1.6
-15.59,-1.59
-15.57,-1.57
-15.55,-1.56
-15.52,-1.55
-15.49,-1.54
-15.47,-1.53
-15.43,-1.52
-15.38,-1.51
-15.36,-1.5
-15.32,-1.5
-15.31,-1.49
-15.26,-1.49
-15.22,-1.48
-15.18,-1.48
-15.15,-1.48
-15.11,-1.48
-15.07,-1.48
-15.03,-1.48
-14.98,-1.49
-14.94,-1.49
-14.88,-1.5
-14.84,-1.51
-14.8,-1.51
-14.76,-1.52
-14.73,-1.53
-14.69,-1.53
-14.67,-1.53
-14.63,-1.54
-14.59,-1.54
-14.55,-1.54
-14.51,-1.54
-14.47,-1.53
-14.44,-1.53
-14.41,-1.53
-14.39,-1.52
-14.36,-1.52
-14.35,-1.51
-14.31,-1.51
-14.27,-1.5
-14.23,-1.49
-14.21,-1.48
-14.18,-1.48
-14.16,-1.47
-14.13,-1.47
-14.09,-1.46
-14.05,-1.46
-14.01,-1.45
-13.95,-1.45
-13.93,-1.45
-13.88,-1.45
-13.84,-1.45
-13.81,-1.45
-13.78,-1.45
-13.74,-1.45
-13.7,-1.45
-13.68,-1.44
-13.64,-1.44
-13.6,-1.43
-13.57,-1.43
-13.56,-1.42
-13.52,-1.41
-13.48,-1.4
-13.44,-1.39
-13.4,-1.39
-13.36,-1.38
-13.32,-1.37
-13.28,-1.37
-13.26,-1.36
-13.21,-1.35
-13.17,-1.35
-13.15,-1.34
-13.11,-1.34
-13.07,-1.33
-13.03,-1.33
-12.99,-1.32
-12.96,-1.32
-12.9,-1.31
-12.84,-1.31
-12.8,-1.31
-12.76,-1.31
-12.72,-1.31
-12.68,-1.31
-12.64,-1.31
-12.6,-1.31
-12.56,-1.31
-12.54,-1.3
-12.5,-1.3
-12.44,-1.3
-12.4,-1.3
-12.33,-1.3
-12.3,-1.3
-12.27,-1.3
-12.23,-1.3
-12.21,-1.3
-12.17,-1.3
-12.14,-1.3
-12.11,-1.3
-12.09,-1.29
-12.06,-1.29
-12.04,-1.29
-11.98,-1.29
-11.94,-1.29
-11.91,-1.29
-11.89,-1.29
-11.85,-1.29
-11.82,-1.29
-11.79,-1.29
-11.73,-1.3
-11.68,-1.3
-11.61,-1.3
-11.58,-1.3
-11.56,-1.31
-11.52,-1.31
-11.47,-1.31
-11.44,-1.31
-11.4,-1.31
-11.36,-1.32
-11.3,-1.32
-11.26,-1.32
-11.22,-1.32
-11.2,-1.33
-11.13,-1.33
-11.09,-1.33
-11.05,-1.33
-11.01,-1.34
-10.97,-1.34
-10.94,-1.34
-10.89,-1.34
-10.85,-1.34
-10.81,-1.35
-10.77,-1.35
-10.73,-1.35
-10.69,-1.35
-10.65,-1.36
-10.61,-1.36
-10.57,-1.36
-10.53,-1.36
-10.49,-1.36
-10.45,-1.37
-10.41,-1.37
-10.37,-1.37
-10.33,-1.37
-10.29,-1.38
-10.25,-1.38
-10.21,-1.38
-10.17,-1.38
-10.13,-1.37
-10.09,-1.37
-10.05,-1.37
-10.01,-1.36
-9.97,-1.36
-9.93,-1.36
-9.9,-1.35
-9.88,-1.35
-9.84,-1.35
-9.78,-1.35
-9.74,-1.34
-9.69,-1.34
-9.65,-1.34
-9.61,-1.33
-9.57,-1.33
-9.53,-1.33
-9.5,-1.32
-9.46,-1.32
-9.42,-1.32
-9.38,-1.32
-9.34,-1.32
-9.3,-1.32
-9.26,-1.32
-9.22,-1.32
-9.18,-1.32
-9.15,-1.32
-9.11,-1.32
-9.07,-1.32
-9.03,-1.32
-8.99,-1.32
-8.95,-1.32
-8.91,-1.32
-8.87,-1.32
-8.83,-1.32
-8.8,-1.33
-8.78,-1.33
-8.74,-1.33
-8.7,-1.33
-8.66,-1.33
-8.61,-1.33
-8.57,-1.33
-8.53,-1.33
-8.49,-1.33
-8.45,-1.33
-8.41,-1.33
-8.37,-1.33
-8.33,-1.33
-8.3,-1.33
-8.26,-1.33
-8.23,-1.33
-8.19,-1.34
-8.15,-1.34
-8.11,-1.34
-8.07,-1.34
-8.03,-1.34
-7.99,-1.34
-7.92,-1.34
-7.88,-1.34
-7.84,-1.34
-7.8,-1.34
-7.76,-1.34
-7.71,-1.34
-7.67,-1.34
-7.64,-1.35
-7.6,-1.35
-7.55,-1.35
-7.51,-1.35
-7.48,-1.35
-7.44,-1.35
-7.4,-1.35
-7.36,-1.35
-7.32,-1.35
-7.28,-1.35
-7.24,-1.35
-7.2,-1.35
-7.16,-1.35
-7.12,-1.35
-7.09,-1.36
-7.06,-1.36
-7.02,-1.36
-6.98,-1.36
-6.94,-1.36
-6.9,-1.36
-6.86,-1.36
-6.82,-1.36
-6.78,-1.36
-6.75,-1.36
-6.71,-1.36
-6.67,-1.36
-6.63,-1.36
-6.59,-1.36
-6.55,-1.36
-6.52,-1.37
-6.49,-1.37
-6.45,-1.37
-6.41,-1.37
-6.37,-1.37
-6.34,-1.37
-6.3,-1.37
-6.26,-1.37
-6.22,-1.37
-6.18,-1.37
-6.14,-1.37
-6.11,-1.37
-6.07,-1.37
-6.03,-1.37
-5.98,-1.37
-5.94,-1.38
-5.9,-1.38
-5.86,-1.38
-5.82,-1.38
-5.78,-1.38
-5.74,-1.38
-5.7,-1.38
-5.67,-1.38
-5.65,-1.38
-5.62,-1.38
-5.59,-1.38
-5.55,-1.38
-5.51,-1.38
-5.47,-1.38
-5.43,-1.38
-5.39,-1.38
-5.35,-1.39
-5.31,-1.39
-5.27,-1.39
-5.23,-1.39
-5.17,-1.39
-5.13,-1.39
-5.09,-1.39
-5.05,-1.39
-4.99,-1.39
-4.92,-1.39
-4.88,-1.39
-4.84,-1.39
-4.8,-1.4
-4.76,-1.4
-4.72,-1.4
-4.69,-1.4
-4.65,-1.4
-4.61,-1.4
-4.57,-1.4
-4.53,-1.4
-4.49,-1.4
-4.45,-1.4
-4.41,-1.4
-4.37,-1.4
-4.33,-1.4
-4.27,-1.4
-4.23,-1.41
-4.2,-1.41
-4.16,-1.41
-4.14,-1.41
-4.1,-1.41
-4.06,-1.41
-4.02,-1.41
-3.99,-1.41
-3.96,-1.41
-3.92,-1.41
-3.88,-1.41
-3.84,-1.41
-3.82,-1.41
-3.78,-1.41
-3.74,-1.41
-3.7,-1.41
-3.66,-1.42
-3.62,-1.42
-3.58,-1.42
-3.55,-1.42
-3.51,-1.42
-3.47,-1.42
-3.41,-1.42
-3.37,-1.42
-3.33,-1.42
-3.3,-1.42
-3.26,-1.42
-3.22,-1.42
-3.18,-1.42
-3.14,-1.42
-3.1,-1.43
-3.06,-1.43
-3.02,-1.43
-2.98,-1.43
-2.95,-1.43
-2.92,-1.43
