x,y
-18.83344887,-3.196883108
-18.82678074,-3.192892979
-18.81691637,-3.186990256
-18.78715032,-3.169178601
-18.7710126,-3.159521981
-18.75372587,-3.149177805
-18.7089257,-3.122369914
-18.68132442,-3.105853633
-18.66116579,-3.093790951
-18.59924033,-3.056735489
-18.57827615,-3.044190769
-18.54875421,-3.026525187
-18.48504926,-2.988404902
-18.46372777,-2.975646372
-18.44237794,-2.962870886
-18.39105667,-2.932160844
-18.37821336,-2.924475558
-18.35679957,-2.911661801
-18.2968019,-2.875759904
-18.26678885,-2.85780045
-18.24963575,-2.847536236
-18.19816801,-2.816738549
-18.17672045,-2.803904587
-18.15527182,-2.791069977
-18.11666226,-2.767966474
-18.07805091,-2.744861897
-18.05659963,-2.732025703
-18.00940591,-2.703785544
-17.98795394,-2.690948935
-17.96650184,-2.678112251
-17.90643548,-2.642169257
-17.89356406,-2.634467149
-17.86353068,-2.616495531
-17.81633526,-2.588254348
-17.78630176,-2.570282656
-17.76484924,-2.557445724
-17.72194418,-2.531771843
-17.68762012,-2.511232727
-17.65758655,-2.493260995
-17.60180991,-2.459884913
-17.57177633,-2.441913173
-17.55032377,-2.429076216
-17.49883762,-2.398267515
-17.46880404,-2.380295773
-17.44735148,-2.367458813
-17.39586533,-2.336650111
-17.36154123,-2.316110975
-17.33150764,-2.298139231
-17.27144047,-2.262195743
-17.2499879,-2.249358783
-17.21137329,-2.226252255
-17.15130611,-2.190308767
-17.12985355,-2.177471807
-17.09981996,-2.159500063
-17.06978637,-2.141528319
-17.03975279,-2.123556575
-17.00542869,-2.103017439
-16.94536151,-2.067073951
-16.93248997,-2.059371775
-16.90245638,-2.041400031
-16.84667972,-2.008023934
-16.81235562,-1.987484798
-16.77374101,-1.96437827
-16.73083588,-1.93870435
-16.70938332,-1.92586739
-16.67505922,-1.905328254
-16.62357307,-1.87451955
-16.58924896,-1.853980414
-16.55921538,-1.83600867
-16.49485769,-1.797497789
-16.45624307,-1.774391261
-16.43479051,-1.761554301
-16.37043282,-1.723043421
-16.34468975,-1.707639069
-16.3275277,-1.697369501
-16.27604155,-1.666560797
-16.25458898,-1.653723837
-16.23742693,-1.643454269
-16.16448822,-1.599808604
-16.14732617,-1.589539036
-16.11729258,-1.571567292
-16.07438745,-1.545893372
-16.04864438,-1.53048902
-16.01861079,-1.512517276
-15.97999618,-1.489410748
-15.94138156,-1.46630422
-15.89847644,-1.4406303
-15.85557131,-1.414956379
-15.83411875,-1.402119419
-15.81266619,-1.389282459
-15.76118004,-1.358473755
