x,y
-18.84,-3.2
-18.81,-3.19
-18.8,-3.17
-18.77,-3.16
-18.74,-3.14
-18.71,-3.12
-18.68,-3.11
-18.66,-3.09
-18.63,-3.08
-18.6,-3.05
-18.58,-3.04
-18.54,-3.02
-18.5,-3.0
-18.46,-2.98
-18.44,-2.96
-18.41,-2.94
-18.39,-2.93
-18.38,-2.92
-18.36,-2.91
-18.31,-2.89
-18.28,-2.87
-18.26,-2.85
-18.23,-2.84
-18.21,-2.82
-18.18,-2.81
-18.17,-2.8
-18.13,-2.77
-18.09,-2.75
-18.07,-2.74
-18.05,-2.73
-18.03,-2.71
-18.01,-2.7
-17.98,-2.69
-17.93,-2.66
-17.89,-2.63
-17.86,-2.62
-17.84,-2.6
-17.8,-2.58
-17.76,-2.56
-17.74,-2.54
-17.72,-2.53
-17.69,-2.51
-17.66,-2.49
-17.62,-2.47
-17.6,-2.46
-17.57,-2.44
-17.53,-2.42
-17.48,-2.39
-17.45,-2.37
-17.41,-2.35
-17.36,-2.32
-17.33,-2.3
-17.29,-2.27
-17.27,-2.26
-17.24,-2.24
-17.21,-2.23
-17.19,-2.22
-17.17,-2.2
-17.13,-2.18
-17.09,-2.15
-17.07,-2.14
-17.05,-2.13
-17.01,-2.1
-16.99,-2.09
-16.97,-2.08
-16.93,-2.06
-16.88,-2.03
-16.85,-2.01
-16.81,-1.99
-16.77,-1.96
-16.75,-1.95
-16.73,-1.94
-16.69,-1.92
-16.64,-1.88
-16.61,-1.86
-16.59,-1.85
-16.55,-1.83
-16.51,-1.81
-16.47,-1.78
-16.45,-1.77
-16.43,-1.76
-16.4,-1.74
-16.34,-1.71
-16.31,-1.68
-16.29,-1.67
-16.25,-1.65
-16.21,-1.63
-16.17,-1.6
-16.16,-1.59
-16.14,-1.59
-16.11,-1.57
-16.07,-1.55
-16.04,-1.52
-16.02,-1.51
-16.0,-1.5
-15.98,-1.49
-15.94,-1.47
-15.89,-1.44
-15.87,-1.43
-15.86,-1.41
-15.84,-1.4
-15.81,-1.39
-15.77,-1.37
-15.74,-1.35
-15.72,-1.33
-15.68,-1.31
-15.64,-1.29
-15.62,-1.28
-15.6,-1.26
-15.58,-1.25
-15.57,-1.24
-15.54,-1.22
-15.52,-1.21
-15.49,-1.2
-15.47,-1.19
-15.44,-1.16
-15.42,-1.16
-15.37,-1.12
-15.34,-1.11
-15.32,-1.1
-15.29,-1.08
-15.24,-1.05
-15.22,-1.03
-15.19,-1.01
-15.14,-0.99
-15.12,-0.97
-15.07,-0.95
-15.04,-0.92
-15.01,-0.91
-14.98,-0.89
-14.97,-0.88
-14.93,-0.86
-14.91,-0.85
-14.89,-0.83
-14.87,-0.82
-14.85,-0.81
-14.82,-0.79
-14.8,-0.78
-14.77,-0.76
-14.75,-0.75
-14.73,-0.74
-14.68,-0.71
-14.67,-0.7
-14.65,-0.69
-14.62,-0.67
-14.6,-0.66
-14.57,-0.64
-14.54,-0.63
-14.5,-0.61
-14.48,-0.59
-14.46,-0.58
-14.45,-0.57
-14.42,-0.56
-14.41,-0.55
-14.36,-0.52
-14.32,-0.5
-14.29,-0.48
-14.25,-0.45
-14.22,-0.44
-14.19,-0.42
-14.16,-0.4
-14.14,-0.39
-14.12,-0.38
-14.08,-0.35
-14.04,-0.33
-13.99,-0.3
-13.95,-0.28
-13.93,-0.26
-13.9,-0.24
-13.88,-0.23
-13.86,-0.22
-13.84,-0.21
-13.82,-0.2
-13.79,-0.18
-13.75,-0.16
-13.73,-0.15
-13.7,-0.14
-13.62,-0.11
-13.58,-0.1
-13.54,-0.09
-13.5,-0.07
-13.47,-0.06
-13.44,-0.06
-13.41,-0.04
-13.37,-0.03
-13.33,-0.02
-13.29,-0.01
-13.26,-0.0
-13.23,-0.0
-13.19,0.01
-13.16,0.01
-13.12,0.01
-13.08,0.01
-13.04,0.01
-13.0,0.01
-12.96,0.01
-12.93,0.0
-12.89,-0.0
-12.85,-0.01
-12.83,-0.01
-12.8,-0.02
-12.76,-0.02
-12.73,-0.03
-12.7,-0.03
-12.67,-0.04
-12.62,-0.05
-12.57,-0.06
-12.55,-0.06
-12.51,-0.06
-12.5,-0.07
-12.47,-0.07
-12.41,-0.07
-12.34,-0.07
-12.31,-0.07
-12.28,-0.07
-12.24,-0.06
-12.22,-0.06
-12.19,-0.05
-12.15,-0.05
-12.13,-0.04
-12.08,-0.03
-12.03,-0.02
-12.01,-0.01
-11.97,-0.01
-11.91,0.01
-11.87,0.01
-11.83,0.02
-11.79,0.02
-11.76,0.02
-11.73,0.02
-11.69,0.02
-11.67,0.02
-11.63,0.02
-11.59,0.02
-11.55,0.02
-11.51,0.02
-11.48,0.02
-11.46,0.02
-11.43,0.02
-11.39,0.01
-11.33,0.01
-11.3,0.01
-11.28,0.01
-11.23,0.0
-11.2,0.0
-11.16,0.0
-11.13,-0.0
-11.07,-0.01
-11.03,-0.01
-10.99,-0.01
-10.95,-0.01
-10.91,-0.01
-10.89,-0.02
-10.84,-0.02
-10.8,-0.02
-10.76,-0.02
-10.72,-0.03
-10.69,-0.03
-10.63,-0.03
-10.59,-0.03
-10.53,-0.04
-10.49,-0.04
-10.47,-0.04
-10.43,-0.04
-10.42,-0.05
-10.4,-0.05
-10.36,-0.05
-10.33,-0.05
-10.3,-0.05
-10.28,-0.05
-10.24,-0.06
-10.21,-0.06
-10.18,-0.06
-10.14,-0.06
-10.1,-0.06
-10.06,-0.07
-10.02,-0.07
-9.98,-0.07
-9.94,-0.07
-9.9,-0.08
-9.87,-0.08
-9.84,-0.08
-9.8,-0.08
-9.73,-0.09
-9.71,-0.09
-9.68,-0.09
-9.65,-0.09
-9.61,-0.09
-9.57,-0.1
-9.54,-0.1
-9.49,-0.1
-9.38,-0.11
-9.34,-0.11
-9.3,-0.11
-9.26,-0.11
-9.24,-0.11
-9.2,-0.12
-9.17,-0.12
-9.14,-0.12
-9.1,-0.12
-9.08,-0.12
-9.04,-0.12
-9.01,-0.12
-8.98,-0.13
-8.94,-0.13
-8.91,-0.13
-8.87,-0.13
-8.82,-0.13
-8.78,-0.13
-8.76,-0.14
-8.72,-0.14
-8.69,-0.14
-8.66,-0.14
-8.62,-0.14
-8.58,-0.14
-8.55,-0.15
-8.53,-0.15
-8.47,-0.15
-8.42,-0.15
-8.38,-0.15
-8.35,-0.15
-8.32,-0.15
-8.28,-0.16
-8.22,-0.16
-8.18,-0.16
-8.14,-0.16
-8.1,-0.16
-8.08,-0.17
-8.04,-0.17
-7.99,-0.17
-7.94,-0.17
-7.9,-0.17
-7.87,-0.17
-7.85,-0.18
-7.8,-0.18
-7.77,-0.18
-7.73,-0.18
-7.69,-0.18
-7.65,-0.18
-7.62,-0.19
-7.58,-0.19
-7.54,-0.19
-7.5,-0.19
-7.47,-0.19
-7.43,-0.19
-7.38,-0.19
-7.35,-0.2
-7.32,-0.2
-7.29,-0.2
-7.25,-0.2
-7.22,-0.2
-7.18,-0.2
-7.15,-0.2
-7.11,-0.2
-7.07,-0.21
-7.03,-0.21
-6.99,-0.21
-6.96,-0.21
-6.92,-0.21
-6.89,-0.21
-6.85,-0.21
-6.81,-0.21
-6.76,-0.22
-6.72,-0.22
-6.69,-0.22
-6.65,-0.22
-6.61,-0.22
-6.57,-0.22
-6.52,-0.22
-6.49,-0.23
-6.45,-0.23
-6.42,-0.23
-6.38,-0.23
-6.34,-0.23
-6.3,-0.23
-6.26,-0.23
-6.22,-0.23
-6.19,-0.23
-6.15,-0.23
-6.1,-0.23
-6.06,-0.23
-6.02,-0.23
-5.98,-0.23
-5.95,-0.23
-5.91,-0.23
-5.85,-0.23
-5.8,-0.24
-5.76,-0.24
-5.73,-0.24
-5.69,-0.24
-5.65,-0.24
-5.6,-0.24
-5.56,-0.24
-5.52,-0.24
-5.48,-0.24
-5.44,-0.24
-5.4,-0.24
-5.37,-0.24
-5.33,-0.24
-5.28,-0.24
-5.24,-0.24
-5.2,-0.24
-5.17,-0.24
-5.13,-0.24
-5.09,-0.24
-5.04,-0.24
-5.0,-0.24
-4.96,-0.25
-4.92,-0.25
-4.89,-0.25
-4.85,-0.25
-4.81,-0.25
-4.77,-0.25
-4.75,-0.24
-4.71,-0.24
-4.66,-0.24
-4.62,-0.24
-4.58,-0.24
-4.54,-0.24
-4.5,-0.24
-4.46,-0.23
-4.42,-0.23
-4.38,-0.23
-4.34,-0.23
-4.3,-0.23
-4.26,-0.23
-4.23,-0.23
-4.22,-0.22
-4.19,-0.22
-4.15,-0.22
-4.1,-0.22
-4.06,-0.22
-4.02,-0.22
-3.98,-0.22
-3.96,-0.21
-3.94,-0.21
-3.9,-0.21
-3.86,-0.21
-3.82,-0.21
-3.78,-0.21
-3.74,-0.21
-3.7,-0.21
-3.64,-0.2
-3.59,-0.2
-3.54,-0.2
-3.5,-0.2
-3.46,-0.2
-3.43,-0.19
-3.41,-0.19
-3.37,-0.19
-3.33,-0.19
-3.29,-0.19
-3.24,-0.19
-3.2,-0.19
-3.16,-0.18
-3.12,-0.18
-3.09,-0.18
-3.04,-0.18
-3.01,-0.18
-2.97,-0.18
-2.93,-0.18
-2.89,-0.17
-2.85,-0.17
-2.81,-0.17
-2.77,-0.17
-2.72,-0.17
-2.68,-0.17
-2.64,-0.17
-2.62,-0.16
-2.59,-0.16
-2.55,-0.16
-2.5,-0.16
-2.46,-0.16
-2.42,-0.16
-2.38,-0.16
-2.35,-0.15
-2.31,-0.15
-2.26,-0.15
-2.22,-0.15
-2.17,-0.15
-2.13,-0.15
-2.1,-0.14
-2.07,-0.14
-2.03,-0.14
-2.0,-0.14
-1.97,-0.14
-1.93,-0.14
-1.89,-0.14
-1.84,-0.14
-1.82,-0.13
-1.79,-0.13
-1.75,-0.13
-1.71,-0.13
-1.67,-0.13
-1.63,-0.13
-1.59,-0.13
-1.55,-0.12
-1.51,-0.12
-1.47,-0.12
-1.42,-0.12
-1.38,-0.12
-1.34,-0.12
-1.3,-0.11
-1.27,-0.11
-1.22,-0.11
-1.18,-0.11
-1.14,-0.11
-1.1,-0.11
-1.06,-0.11
-1.02,-0.1
-0.98,-0.1
-0.94,-0.1
-0.9,-0.1
-0.86,-0.1
-0.82,-0.1
-0.78,-0.1
-0.74,-0.09
-0.7,-0.09
-0.67,-0.09
-0.63,-0.09
-0.59,-0.1
-0.55,-0.1
-0.5,-0.1
-0.46,-0.1
-0.42,-0.1
-0.39,-0.11
-0.37,-0.11
-0.33,-0.11
-0.29,-0.11
-0.24,-0.11
-0.2,-0.12
-0.16,-0.12
-0.11,-0.12
-0.06,-0.12
-0.03,-0.12
-0.01,-0.13
0.04,-0.13
0.08,-0.13
0.12,-0.13
0.16,-0.13
0.19,-0.14
0.23,-0.14
0.26,-0.14
0.29,-0.14
0.33,-0.14
0.37,-0.14
0.39,-0.15
0.42,-0.15
0.45,-0.15
0.49,-0.15
0.51,-0.15
0.55,-0.15
0.58,-0.15
0.63,-0.15
0.65,-0.16
0.68,-0.16
0.72,-0.16
0.76,-0.16
0.8,-0.16
0.84,-0.16
0.88,-0.16
0.94,-0.17
0.99,-0.17
1.04,-0.17
1.09,-0.17
1.15,-0.17
1.18,-0.17
1.2,-0.18
1.24,-0.18
1.28,-0.18
1.34,-0.18
1.41,-0.18
1.46,-0.19
1.53,-0.19
1.56,-0.19
1.6,-0.19
1.66,-0.19
1.7,-0.19
1.74,-0.2
1.78,-0.2
1.82,-0.2
1.86,-0.2
1.9,-0.2
1.93,-0.2
1.96,-0.2
1.98,-0.21
2.05,-0.21
2.09,-0.21
2.13,-0.21
2.16,-0.21
2.19,-0.21
2.23,-0.21
2.26,-0.22
2.29,-0.22
2.36,-0.22
2.4,-0.22
2.46,-0.22
2.49,-0.22
2.54,-0.23
2.59,-0.23
2.62,-0.23
2.65,-0.23
2.67,-0.23
2.7,-0.23
2.74,-0.23
2.77,-0.23
2.81,-0.24
2.83,-0.24
2.86,-0.24
2.9,-0.24
2.94,-0.24
3.01,-0.24
3.05,-0.24
3.09,-0.25
3.13,-0.25
3.17,-0.25
3.21,-0.25
3.23,-0.25
3.26,-0.25
3.3,-0.25
3.34,-0.25
3.39,-0.25
3.43,-0.25
3.47,-0.26
3.51,-0.26
3.55,-0.26
3.59,-0.26
3.62,-0.26
3.65,-0.26
3.73,-0.26
3.77,-0.26
3.79,-0.26
3.83,-0.26
3.87,-0.26
3.91,-0.26
3.95,-0.26
3.99,-0.26
4.02,-0.26
4.04,-0.27
4.08,-0.27
4.14,-0.27
4.2,-0.27
4.24,-0.27
4.29,-0.27
4.33,-0.27
4.36,-0.27
4.41,-0.27
4.44,-0.27
4.49,-0.27
4.53,-0.27
4.57,-0.27
4.59,-0.27
4.62,-0.27
4.67,-0.27
4.71,-0.27
4.75,-0.27
4.79,-0.27
4.82,-0.28
4.87,-0.28
4.9,-0.28
4.95,-0.28
4.98,-0.28
5.02,-0.28
5.08,-0.28
5.12,-0.28
5.18,-0.28
5.21,-0.28
5.23,-0.28
5.26,-0.28
5.31,-0.28
5.34,-0.28
5.36,-0.28
5.41,-0.28
5.45,-0.28
5.49,-0.28
5.53,-0.28
5.55,-0.28
5.58,-0.28
5.63,-0.28
5.66,-0.28
5.71,-0.28
5.74,-0.28
5.77,-0.28
5.79,-0.28
5.83,-0.28
5.86,-0.29
5.9,-0.29
5.92,-0.29
5.96,-0.29
6.0,-0.29
6.05,-0.29
6.09,-0.29
6.13,-0.29
6.16,-0.29
6.2,-0.29
6.24,-0.28
6.32,-0.27
6.35,-0.26
6.39,-0.26
6.42,-0.25
6.46,-0.23
6.49,-0.22
6.54,-0.21
6.56,-0.2
6.59,-0.19
6.64,-0.17
6.67,-0.15
6.71,-0.14
6.74,-0.12
6.8,-0.11
6.81,-0.1
6.86,-0.09
6.92,-0.08
6.94,-0.07
6.98,-0.07
7.0,-0.06
7.04,-0.06
7.09,-0.06
7.12,-0.06
7.16,-0.06
7.2,-0.06
7.23,-0.07
7.27,-0.07
7.29,-0.08
7.33,-0.08
7.38,-0.1
7.44,-0.11
7.46,-0.12
7.49,-0.13
7.53,-0.15
7.55,-0.16
7.59,-0.17
7.63,-0.18
7.64,-0.19
7.66,-0.19
