x,y
7.96,28.69
7.98,28.64
7.99,28.62
8.0,28.59
8.01,28.58
8.02,28.56
8.04,28.52
8.05,28.5
8.06,28.47
8.07,28.44
8.09,28.39
8.11,28.37
8.12,28.32
8.13,28.3
8.14,28.28
8.16,28.25
8.17,28.23
8.17,28.21
8.19,28.17
8.21,28.14
8.22,28.1
8.23,28.07
8.25,28.04
8.28,27.98
8.29,27.94
8.3,27.92
8.32,27.88
8.33,27.86
8.36,27.8
8.37,27.77
8.39,27.74
8.41,27.67
8.42,27.66
8.43,27.63
8.44,27.61
8.46,27.59
8.47,27.55
8.48,27.54
8.5,27.49
8.52,27.46
8.54,27.42
8.55,27.38
8.57,27.35
8.58,27.33
8.59,27.3
8.6,27.28
8.62,27.24
8.63,27.23
8.64,27.2
8.65,27.18
8.67,27.14
8.7,27.1
8.71,27.07
8.73,27.05
8.75,27.01
8.77,26.98
8.79,26.93
8.81,26.91
8.81,26.89
8.83,26.87
8.84,26.85
8.85,26.83
8.86,26.8
8.88,26.77
8.9,26.73
8.92,26.69
8.93,26.67
8.95,26.65
8.96,26.62
8.98,26.59
9.0,26.55
9.02,26.51
9.03,26.5
9.06,26.45
9.08,26.41
9.09,26.39
9.1,26.37
9.12,26.35
9.13,26.32
9.14,26.29
9.16,26.23
9.17,26.2
9.18,26.18
9.19,26.15
9.19,26.13
9.2,26.09
9.21,26.06
9.22,26.03
9.23,26.0
9.24,25.99
9.24,25.96
9.25,25.93
9.26,25.92
9.28,25.84
9.29,25.82
9.29,25.8
9.3,25.78
9.31,25.75
9.32,25.7
9.32,25.66
9.33,25.63
9.34,25.58
9.34,25.55
9.34,25.53
9.34,25.5
9.34,25.47
9.34,25.44
9.34,25.42
9.34,25.39
9.34,25.34
9.34,25.31
9.34,25.27
9.35,25.22
9.35,25.18
9.35,25.15
9.35,25.11
9.35,25.09
9.35,25.05
9.35,25.0
9.35,24.97
9.35,24.92
9.35,24.89
9.35,24.86
9.35,24.82
9.35,24.79
9.36,24.77
9.36,24.73
9.36,24.7
9.36,24.66
9.36,24.6
9.36,24.56
9.36,24.5
9.36,24.44
9.36,24.4
9.36,24.34
9.37,24.31
9.37,24.27
9.37,24.23
9.37,24.21
9.37,24.17
9.37,24.14
9.37,24.1
