x,y
8.4,28.06
8.41,28.03
8.43,28.01
8.48,27.96
8.5,27.92
8.51,27.91
8.54,27.87
8.56,27.85
8.59,27.82
8.6,27.8
8.66,27.73
8.71,27.67
8.73,27.63
8.76,27.61
8.78,27.57
8.8,27.56
8.81,27.53
8.83,27.52
8.84,27.51
8.87,27.46
8.9,27.42
8.93,27.39
8.95,27.37
8.97,27.34
8.99,27.31
9.02,27.27
9.03,27.26
9.05,27.24
9.06,27.22
9.1,27.17
9.12,27.15
9.14,27.13
9.16,27.1
9.18,27.08
9.2,27.05
9.21,27.03
9.23,27.02
9.24,27.0
9.26,26.98
9.27,26.96
9.32,26.9
9.34,26.88
9.36,26.85
9.38,26.83
9.4,26.81
9.41,26.79
9.42,26.78
9.45,26.73
9.5,26.67
9.54,26.62
9.57,26.59
9.59,26.56
9.62,26.53
9.64,26.49
9.66,26.48
9.67,26.47
9.71,26.42
9.72,26.4
9.74,26.38
9.77,26.33
9.79,26.3
9.8,26.28
9.82,26.25
9.83,26.23
9.86,26.18
9.88,26.14
9.89,26.13
9.91,26.08
9.92,26.07
9.94,26.03
9.96,25.99
9.98,25.97
10.0,25.94
10.0,25.92
10.02,25.9
10.03,25.87
10.06,25.83
10.07,25.81
10.08,25.79
10.11,25.75
10.11,25.73
10.14,25.69
10.15,25.67
10.17,25.62
10.19,25.6
10.21,25.56
10.22,25.52
10.25,25.46
10.28,25.38
10.31,25.33
10.32,25.3
10.33,25.28
10.34,25.24
10.35,25.22
10.36,25.19
10.37,25.18
10.39,25.13
10.4,25.1
10.41,25.08
10.43,25.04
10.44,25.02
10.45,25.01
10.46,24.98
10.48,24.93
10.49,24.9
10.5,24.88
10.52,24.83
10.53,24.81
10.55,24.76
10.56,24.74
10.57,24.7
10.58,24.66
10.59,24.62
10.59,24.58
10.6,24.54
10.61,24.51
10.61,24.48
10.61,24.44
10.62,24.38
10.62,24.35
10.62,24.31
10.63,24.27
10.63,24.24
10.63,24.2
10.64,24.17
10.64,24.15
10.65,24.05
10.65,24.02
10.65,23.97
10.66,23.92
10.66,23.87
10.67,23.83
10.67,23.79
10.67,23.75
10.68,23.68
10.68,23.63
10.69,23.57
10.69,23.54
10.69,23.51
10.7,23.47
10.7,23.43
10.7,23.39
10.71,23.34
10.71,23.3
10.72,23.27
10.72,23.23
10.72,23.2
10.72,23.16
10.72,23.13
10.73,23.09
10.73,23.03
10.73,22.99
10.73,22.93
10.73,22.9
10.73,22.87
10.73,22.83
10.73,22.79
10.73,22.77
10.73,22.73
10.73,22.7
10.73,22.66
10.74,22.6
10.74,22.57
10.74,22.52
10.74,22.44
10.74,22.4
10.74,22.36
10.74,22.29
10.74,22.21
10.74,22.18
10.74,22.13
10.74,22.08
10.74,22.06
10.73,22.03
10.73,22.0
10.73,21.98
10.73,21.94
10.72,21.9
10.72,21.86
10.72,21.83
10.71,21.8
10.71,21.77
10.71,21.74
10.71,21.67
10.7,21.65
10.7,21.63
10.7,21.59
10.7,21.56
10.69,21.53
10.69,21.49
10.69,21.46
10.69,21.41
10.68,21.38
10.68,21.35
10.68,21.32
10.68,21.28
10.67,21.26
10.67,21.21
10.67,21.18
10.66,21.12
10.66,21.08
10.66,21.05
10.66,21.01
10.65,21.0
10.65,20.97
10.65,20.93
10.65,20.91
10.64,20.86
10.64,20.79
10.64,20.76
10.64,20.73
10.64,20.68
10.63,20.62
10.63,20.58
10.63,20.55
10.63,20.51
10.63,20.47
10.63,20.44
10.63,20.4
10.62,20.37
10.62,20.35
10.62,20.28
10.62,20.25
10.62,20.21
10.62,20.19
10.62,20.16
10.61,20.11
10.61,20.06
10.6,19.99
10.6,19.95
10.59,19.9
10.58,19.85
10.58,19.82
10.57,19.74
10.56,19.7
10.56,19.66
10.56,19.64
10.55,19.61
10.55,19.57
10.54,19.53
10.54,19.51
10.54,19.47
10.54,19.42
10.53,19.39
10.53,19.36
10.53,19.32
10.53,19.3
10.53,19.26
10.52,19.21
10.52,19.19
10.52,19.1
10.52,19.06
10.51,19.01
10.51,18.96
10.51,18.92
10.51,18.88
10.5,18.84
10.5,18.82
10.5,18.79
10.5,18.75
10.5,18.72
10.5,18.69
10.49,18.64
10.49,18.6
10.49,18.52
10.48,18.49
10.48,18.45
10.48,18.42
10.48,18.37
10.48,18.32
10.47,18.31
10.47,18.27
10.47,18.22
10.47,18.18
10.47,18.15
10.47,18.13
10.47,18.06
10.47,18.01
10.47,17.97
10.47,17.9
10.47,17.86
10.47,17.83
10.47,17.78
10.47,17.73
10.47,17.66
10.47,17.59
10.47,17.55
10.48,17.5
10.48,17.48
10.48,17.42
10.49,17.39
10.49,17.36
10.49,17.33
10.49,17.29
10.5,17.26
10.5,17.23
10.5,17.19
10.5,17.15
10.51,17.12
10.51,17.08
10.51,17.04
10.51,17.01
10.52,16.96
10.52,16.93
10.52,16.9
10.52,16.86
10.53,16.8
10.53,16.76
10.54,16.7
10.54,16.66
10.54,16.62
10.54,16.59
10.55,16.56
10.55,16.52
10.55,16.49
10.55,16.46
10.55,16.44
10.56,16.4
10.56,16.37
10.56,16.34
10.56,16.31
10.57,16.28
10.57,16.22
10.57,16.19
10.58,16.16
10.58,16.11
10.58,16.06
10.58,16.04
10.58,15.99
10.58,15.96
10.58,15.92
10.58,15.87
10.57,15.82
10.57,15.8
10.57,15.76
10.57,15.73
10.57,15.7
10.57,15.66
10.57,15.64
10.57,15.6
10.57,15.57
10.57,15.53
10.57,15.49
10.57,15.45
10.57,15.41
10.57,15.38
10.57,15.34
10.57,15.32
10.57,15.26
10.57,15.23
10.57,15.2
10.57,15.17
10.56,15.12
10.56,15.09
10.56,15.04
10.56,15.01
10.56,14.98
10.56,14.94
10.56,14.92
10.56,14.88
10.56,14.83
10.56,14.8
10.56,14.77
10.56,14.74
10.56,14.71
10.56,14.62
10.56,14.58
10.56,14.55
10.56,14.49
10.55,14.44
10.55,14.41
10.55,14.39
10.55,14.36
10.55,14.33
10.55,14.29
10.55,14.26
10.55,14.22
10.55,14.19
10.55,14.16
10.55,14.11
10.55,14.07
10.55,14.03
10.55,14.0
10.55,13.97
10.55,13.93
10.55,13.91
10.55,13.84
10.55,13.81
10.54,13.79
10.54,13.77
10.54,13.71
10.54,13.69
10.54,13.65
10.54,13.61
10.54,13.59
10.54,13.56
10.54,13.52
10.54,13.48
10.54,13.43
10.54,13.4
10.54,13.37
10.54,13.33
10.54,13.3
10.54,13.26
10.54,13.23
10.54,13.19
10.54,13.14
10.53,13.1
10.53,13.06
10.53,13.02
10.53,12.97
10.53,12.93
10.53,12.89
10.53,12.83
10.53,12.79
10.53,12.76
10.53,12.72
10.53,12.69
10.53,12.63
10.53,12.59
10.53,12.57
10.53,12.53
10.53,12.49
10.53,12.47
10.52,12.43
10.52,12.38
10.52,12.34
10.52,12.31
10.52,12.25
10.52,12.22
10.53,12.11
10.53,12.06
10.53,12.03
10.53,11.99
10.53,11.94
10.53,11.9
10.53,11.88
10.54,11.84
10.54,11.79
10.54,11.75
10.54,11.7
10.54,11.66
10.54,11.61
10.55,11.56
10.55,11.54
10.55,11.51
10.55,11.48
10.55,11.43
10.55,11.4
10.55,11.36
10.55,11.32
10.55,11.28
10.56,11.25
10.56,11.22
10.56,11.19
10.56,11.14
10.56,11.1
10.56,11.08
10.56,11.05
10.56,11.01
10.56,10.98
10.57,10.95
10.57,10.9
10.57,10.87
10.57,10.82
10.57,10.8
10.57,10.71
10.58,10.68
10.58,10.66
10.58,10.64
10.58,10.61
10.58,10.58
10.58,10.56
10.58,10.52
10.58,10.45
10.58,10.42
10.59,10.38
10.59,10.35
10.59,10.31
10.59,10.27
10.59,10.23
10.59,10.18
10.59,10.12
10.6,10.09
10.6,10.05
10.6,10.0
10.6,9.95
10.6,9.92
10.6,9.89
10.6,9.87
10.6,9.84
10.61,9.8
10.61,9.75
10.61,9.71
10.61,9.67
10.61,9.63
10.61,9.6
10.61,9.57
10.62,9.53
10.62,9.5
10.62,9.46
10.62,9.42
10.62,9.38
10.62,9.32
10.62,9.27
10.63,9.24
10.63,9.19
10.63,9.14
10.63,9.09
10.63,9.06
10.63,9.02
10.63,8.97
10.64,8.92
10.64,8.89
10.64,8.86
10.64,8.82
10.64,8.76
10.64,8.73
10.64,8.69
10.65,8.66
10.65,8.62
10.65,8.59
10.65,8.56
10.65,8.51
10.65,8.47
10.65,8.44
10.65,8.39
10.66,8.35
10.66,8.31
10.66,8.27
10.66,8.22
10.66,8.19
10.66,8.16
10.66,8.12
10.66,8.09
10.66,8.06
10.66,8.02
10.66,8.0
10.66,7.95
10.65,7.88
10.65,7.83
10.65,7.81
10.65,7.78
10.65,7.76
10.65,7.73
10.64,7.67
10.64,7.62
10.64,7.59
10.64,7.54
10.63,7.5
10.63,7.43
10.63,7.41
10.62,7.33
10.62,7.3
10.62,7.26
10.62,7.23
10.62,7.19
10.62,7.16
10.61,7.15
10.61,7.1
10.61,7.05
10.61,7.01
10.6,6.95
10.6,6.92
10.6,6.88
10.6,6.82
10.59,6.78
10.59,6.74
10.59,6.72
10.59,6.66
10.59,6.62
10.58,6.59
10.58,6.56
10.58,6.52
10.58,6.47
10.58,6.44
10.58,6.4
10.57,6.34
