x,y
7.78,29.06
7.79,29.04
7.81,29.0
7.82,28.98
7.83,28.95
7.84,28.92
7.86,28.9
7.88,28.86
7.89,28.83
7.9,28.81
7.92,28.77
7.93,28.75
7.94,28.72
7.95,28.7
7.97,28.66
7.98,28.63
8.0,28.59
8.03,28.53
8.04,28.51
8.05,28.48
8.07,28.44
8.08,28.41
8.1,28.37
8.12,28.32
8.14,28.28
8.16,28.25
8.18,28.21
8.19,28.19
8.19,28.17
8.2,28.16
8.22,28.12
8.24,28.08
8.25,28.06
8.26,28.02
8.27,28.01
8.28,27.98
8.31,27.92
8.33,27.88
8.35,27.84
8.36,27.81
8.38,27.78
8.39,27.76
8.4,27.72
8.41,27.69
8.43,27.66
8.45,27.63
8.46,27.6
8.47,27.59
8.48,27.55
8.51,27.5
8.52,27.47
8.54,27.42
8.56,27.39
8.57,27.37
8.59,27.33
8.6,27.3
8.62,27.26
8.63,27.22
8.64,27.21
8.65,27.2
8.66,27.18
8.67,27.16
8.67,27.14
8.69,27.11
8.7,27.08
8.71,27.07
8.72,27.04
8.74,27.0
8.75,26.98
8.77,26.93
8.78,26.92
8.82,26.85
8.84,26.81
8.86,26.78
8.87,26.77
8.89,26.74
8.9,26.7
8.92,26.68
8.94,26.65
8.95,26.63
8.96,26.6
8.98,26.58
9.0,26.54
9.01,26.53
9.02,26.51
9.03,26.49
9.04,26.46
9.06,26.44
9.06,26.42
9.08,26.39
9.09,26.37
9.1,26.35
9.11,26.3
9.12,26.28
9.13,26.24
9.14,26.22
9.14,26.19
9.15,26.13
9.16,26.12
9.16,26.06
9.16,26.02
9.17,25.95
9.17,25.93
9.17,25.9
9.17,25.86
9.17,25.81
9.17,25.78
9.17,25.74
9.17,25.7
9.17,25.67
9.17,25.64
9.17,25.59
9.17,25.56
9.17,25.51
9.18,25.48
9.18,25.44
9.18,25.4
9.19,25.36
9.19,25.32
9.19,25.28
9.19,25.24
9.2,25.19
9.2,25.16
9.2,25.11
9.2,25.08
9.2,25.03
9.2,24.99
9.2,24.95
9.2,24.92
9.19,24.9
9.19,24.87
9.19,24.84
9.19,24.77
9.19,24.73
9.18,24.67
9.18,24.64
9.18,24.59
9.17,24.55
9.17,24.52
9.17,24.47
9.17,24.44
9.17,24.38
9.17,24.35
9.17,24.32
9.17,24.28
9.17,24.26
9.17,24.22
9.17,24.2
9.17,24.17
9.17,24.14
9.18,24.12
9.18,24.07
9.18,24.04
9.18,24.0
9.18,23.96
9.18,23.92
9.18,23.88
9.18,23.84
9.18,23.79
9.18,23.75
9.18,23.72
9.18,23.68
9.18,23.63
9.18,23.6
9.19,23.55
9.19,23.51
9.19,23.48
9.19,23.41
9.19,23.38
9.19,23.35
9.19,23.32
9.19,23.28
9.19,23.23
9.19,23.19
9.2,23.17
9.2,23.14
9.2,23.09
9.2,23.06
9.2,23.01
9.2,22.98
9.21,22.93
9.21,22.89
9.21,22.86
9.21,22.82
9.21,22.77
9.21,22.72
9.22,22.69
9.22,22.66
9.22,22.61
9.22,22.58
9.22,22.55
9.22,22.5
9.23,22.47
9.23,22.42
9.23,22.37
9.23,22.34
9.23,22.29
9.24,22.24
9.24,22.2
9.24,22.17
9.24,22.14
9.24,22.09
9.24,22.05
9.24,22.02
9.25,21.97
9.25,21.93
9.25,21.9
9.25,21.87
9.25,21.84
9.25,21.82
9.26,21.78
9.26,21.74
9.26,21.69
9.26,21.66
9.26,21.63
9.26,21.59
9.26,21.55
9.27,21.51
9.27,21.48
9.27,21.44
9.27,21.4
9.27,21.36
9.27,21.32
9.28,21.29
9.28,21.25
9.28,21.22
9.28,21.17
9.28,21.11
9.28,21.08
9.28,21.04
9.28,21.02
9.28,20.98
9.27,20.93
9.27,20.9
9.27,20.85
9.27,20.81
9.27,20.78
9.27,20.74
9.27,20.7
9.27,20.67
9.27,20.63
9.27,20.59
9.27,20.55
9.27,20.52
9.27,20.48
9.27,20.44
9.27,20.42
9.27,20.39
9.27,20.34
9.28,20.29
9.28,20.24
9.28,20.18
9.28,20.14
9.28,20.11
9.28,20.07
9.28,20.02
9.28,19.99
9.28,19.96
9.28,19.93
9.28,19.9
9.29,19.85
9.29,19.82
9.29,19.76
9.29,19.71
9.29,19.65
9.29,19.59
9.29,19.55
9.29,19.51
9.29,19.49
9.29,19.45
9.3,19.38
9.3,19.35
9.3,19.31
9.3,19.24
9.3,19.21
9.3,19.17
9.3,19.12
9.3,19.08
9.3,19.05
9.3,19.03
9.31,19.02
9.31,18.98
9.31,18.95
9.31,18.91
9.31,18.86
9.31,18.82
9.31,18.77
9.31,18.73
9.31,18.67
9.31,18.64
9.31,18.6
9.32,18.56
9.32,18.52
9.32,18.46
9.32,18.42
9.32,18.39
9.32,18.34
9.32,18.31
9.32,18.27
9.32,18.23
9.32,18.19
9.33,18.16
9.33,18.13
9.33,18.08
9.33,18.05
9.33,18.02
9.33,17.99
9.33,17.95
9.33,17.9
9.33,17.87
9.33,17.84
9.33,17.81
9.33,17.77
9.34,17.69
9.34,17.65
9.34,17.61
9.34,17.57
9.34,17.53
9.34,17.51
9.34,17.46
9.34,17.43
9.34,17.38
9.33,17.34
9.33,17.3
9.33,17.27
9.33,17.23
9.33,17.2
9.32,17.17
9.32,17.11
9.32,17.06
9.32,17.03
9.31,16.97
9.31,16.95
9.31,16.9
9.3,16.85
9.3,16.82
9.3,16.79
9.3,16.74
9.29,16.69
9.29,16.65
9.29,16.61
9.29,16.57
9.28,16.52
9.28,16.48
9.28,16.46
9.28,16.43
9.28,16.4
9.27,16.37
9.27,16.32
9.27,16.29
9.27,16.26
9.26,16.24
9.26,16.22
9.26,16.19
9.26,16.16
9.26,16.13
9.26,16.09
9.25,16.05
9.25,16.02
9.25,15.99
9.25,15.93
9.24,15.9
9.24,15.85
9.24,15.79
9.24,15.74
9.24,15.69
9.23,15.65
9.23,15.61
9.23,15.57
9.23,15.53
9.23,15.47
9.23,15.44
9.23,15.41
9.22,15.37
9.22,15.32
9.22,15.27
9.22,15.21
9.22,15.16
9.21,15.12
9.21,15.09
9.21,15.05
9.21,15.01
9.21,14.97
9.21,14.93
9.2,14.9
9.2,14.87
9.2,14.81
9.2,14.77
9.2,14.74
9.2,14.71
9.2,14.68
9.2,14.62
9.2,14.57
9.2,14.52
9.2,14.48
9.2,14.43
9.2,14.39
9.2,14.35
9.2,14.3
9.2,14.28
9.2,14.24
9.2,14.19
9.2,14.14
9.2,14.12
9.2,14.08
9.2,14.05
9.2,14.02
9.2,13.98
9.2,13.96
9.2,13.92
9.2,13.89
9.2,13.85
9.2,13.81
9.2,13.78
9.2,13.74
9.2,13.72
9.2,13.68
9.2,13.65
9.21,13.62
9.21,13.59
9.21,13.55
9.21,13.5
9.21,13.46
9.21,13.42
9.21,13.4
9.21,13.36
9.21,13.32
9.22,13.25
9.22,13.21
9.22,13.16
9.22,13.12
9.22,13.09
9.22,13.05
9.23,12.98
9.23,12.95
9.23,12.9
9.23,12.86
9.23,12.83
9.23,12.79
9.23,12.76
9.23,12.71
9.23,12.67
9.24,12.63
9.24,12.58
9.24,12.55
9.24,12.49
9.24,12.43
9.24,12.41
9.24,12.37
9.25,12.35
9.25,12.32
9.25,12.27
9.25,12.23
9.25,12.18
9.25,12.15
9.25,12.1
9.25,12.05
9.26,12.03
9.26,12.0
9.26,11.98
9.26,11.94
9.26,11.9
9.26,11.85
9.26,11.81
9.26,11.77
9.26,11.73
9.27,11.69
9.27,11.63
9.27,11.59
9.27,11.53
9.27,11.48
9.27,11.44
9.27,11.39
9.28,11.34
9.28,11.31
9.28,11.26
9.28,11.21
9.28,11.17
9.28,11.13
9.28,11.09
9.29,11.05
9.29,10.99
9.29,10.95
9.29,10.89
9.29,10.83
9.29,10.78
9.3,10.73
9.3,10.67
9.3,10.62
9.3,10.58
9.3,10.55
9.3,10.5
9.3,10.44
9.31,10.38
9.31,10.35
9.31,10.3
9.31,10.27
9.31,10.23
9.31,10.17
9.31,10.13
9.32,10.09
9.32,10.03
9.32,10.0
9.32,9.97
9.32,9.92
9.32,9.89
9.32,9.86
9.32,9.82
9.32,9.8
9.33,9.76
9.33,9.73
9.33,9.69
9.33,9.64
9.33,9.6
9.33,9.56
9.33,9.53
9.33,9.49
9.34,9.45
9.34,9.4
9.34,9.35
9.34,9.32
9.34,9.27
9.34,9.2
9.35,9.15
9.35,9.13
9.35,9.08
9.35,9.04
9.35,8.99
9.35,8.96
9.35,8.93
9.35,8.9
9.35,8.87
9.36,8.82
9.36,8.78
9.36,8.76
9.36,8.72
9.36,8.67
9.35,8.65
9.35,8.59
9.35,8.57
9.35,8.53
9.35,8.5
9.34,8.49
9.34,8.47
9.34,8.44
9.34,8.39
9.34,8.36
9.34,8.33
9.33,8.3
9.33,8.26
9.33,8.22
9.33,8.2
9.33,8.17
9.33,8.13
9.32,8.1
9.32,8.07
9.32,8.04
9.32,7.98
9.32,7.96
9.31,7.89
9.31,7.86
9.31,7.81
9.3,7.78
9.3,7.73
9.3,7.7
9.3,7.64
9.29,7.59
9.29,7.56
9.29,7.53
9.29,7.5
9.29,7.43
9.28,7.4
9.28,7.3
9.28,7.22
9.28,7.18
9.28,7.15
9.27,7.13
9.27,7.1
9.27,7.07
9.27,7.02
9.27,6.97
9.27,6.95
9.27,6.9
9.27,6.86
9.27,6.79
9.27,6.76
9.27,6.73
9.27,6.69
9.27,6.67
9.27,6.61
9.27,6.57
9.27,6.55
9.27,6.52
9.26,6.51
9.26,6.48
9.26,6.43
9.26,6.37
9.26,6.33
9.26,6.29
9.26,6.23
9.26,6.18
9.26,6.13
9.26,6.11
9.26,6.08
9.26,6.01
9.26,5.96
9.26,5.93
9.26,5.9
9.25,5.86
9.25,5.82
9.25,5.76
9.25,5.72
9.25,5.69
9.25,5.67
9.25,5.64
9.25,5.6
9.25,5.57
9.25,5.54
9.25,5.52
9.25,5.5
9.25,5.46
9.25,5.4
9.25,5.35
9.25,5.32
9.25,5.29
9.24,5.28
9.24,5.22
9.24,5.2
9.23,5.16
9.23,5.13
9.22,5.08
9.21,5.02
9.2,5.0
9.19,4.96
9.19,4.93
9.18,4.89
9.17,4.86
9.16,4.83
9.16,4.81
9.16,4.78
9.14,4.72
9.13,4.68
9.12,4.64
9.12,4.61
9.11,4.56
9.1,4.53
9.08,4.47
9.07,4.44
9.06,4.39
9.05,4.37
9.04,4.35
9.03,4.32
9.01,4.28
9.0,4.27
8.97,4.23
8.94,4.17
8.91,4.14
8.88,4.1
8.86,4.08
8.84,4.06
8.83,4.04
8.8,4.01
8.79,4.0
8.78,3.99
8.76,3.97
8.75,3.96
8.72,3.95
8.71,3.94
8.7,3.93
8.66,3.9
8.59,3.86
8.57,3.85
8.54,3.83
8.5,3.81
8.45,3.79
8.43,3.79
8.4,3.77
8.36,3.76
8.32,3.75
8.28,3.74
8.25,3.74
8.22,3.73
8.17,3.73
8.13,3.73
8.08,3.72
8.05,3.72
8.02,3.72
8.01,3.71
7.97,3.71
7.94,3.71
7.92,3.71
7.89,3.7
7.87,3.7
7.83,3.7
7.8,3.69
7.76,3.69
7.73,3.69
7.71,3.68
7.67,3.68
7.6,3.67
7.58,3.67
7.54,3.67
7.51,3.67
7.46,3.66
7.42,3.66
7.41,3.65
7.36,3.65
7.32,3.64
7.28,3.63
7.26,3.62
7.19,3.6
7.17,3.6
7.12,3.59
7.02,3.56
6.99,3.55
6.9,3.52
6.87,3.5
6.82,3.48
6.8,3.47
6.77,3.47
6.75,3.46
6.73,3.45
6.71,3.44
6.69,3.43
6.66,3.42
6.64,3.42
6.62,3.41
6.59,3.4
6.56,3.39
6.54,3.37
6.51,3.36
6.47,3.35
6.45,3.34
6.42,3.33
6.4,3.32
6.38,3.31
6.34,3.3
6.32,3.29
6.29,3.28
6.26,3.27
6.25,3.26
6.22,3.25
6.17,3.23
6.14,3.22
6.11,3.21
6.09,3.2
6.05,3.19
6.01,3.17
5.96,3.15
5.92,3.14
5.87,3.12
5.83,3.1
5.81,3.09
5.79,3.09
5.76,3.07
5.74,3.07
5.73,3.06
5.7,3.06
5.66,3.04
5.65,3.03
5.63,3.02
5.58,3.01
5.53,2.99
5.5,2.98
5.47,2.96
5.44,2.95
5.42,2.94
5.38,2.93
5.34,2.91
5.32,2.91
5.29,2.9
