# 402e5f01-5ff0-41ec-aa2e-4fc4bc5502d8
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.7900133; 2.9397615; 3.1368028; 0.2675581; 5.4749851; 3.4241526
1.9863802; -3.3858642; 1.0269330; -2.7330032; 0.2179861; 6.6014240; -0.0271693
3.9727603; -2.1601355; -0.5135492; -2.1837278; 0.2760470; 6.5932437; -0.0271693
5.9591405; -0.3262645; -1.2264369; -1.7317341; 0.1748451; 6.5850532; 4.3911025
7.9455206; 1.6483807; -1.2834192; -1.5028303; 0.0673597; 7.7979307; 5.2619952
9.9319008; 3.6458449; -1.0561236; -1.4287053; 0.0155499; 9.0394894; 5.2489298
11.9182810; 5.6058609; -0.7699390; -1.4355476; -0.0227070; 10.1274433; 5.2358968
13.9046611; 7.5831250; -0.5732110; -1.5213664; -0.0639064; 11.1070280; 1.9510503
15.8910413; 9.5622758; -0.6203906; -1.6661643; -0.0580744; 11.4506387; -2.3985640
17.8774214; 11.5333701; -0.8886649; -1.7284288; -0.0050406; 11.0267043; -7.2921043
19.8638016; 13.5081453; -1.1758595; -1.6831981; 0.0514561; 9.6238466; -4.7255852
21.8501817; 15.4895617; -1.2590589; -1.5259523; 0.0991345; 8.5933001; -4.5649282
23.8365619; 17.4437150; -0.9561621; -1.2964599; 0.1340866; 7.4638758; -3.9988242
25.8229421; 19.2876938; -0.1337144; -0.9937103; 0.1747321; 6.3105524; -0.9912935
27.8093222; 20.6674501; 1.2494775; -0.5297485; 0.3074032; 5.9904007; -0.0223725
29.7957024; 21.0340861; 3.1147107; 0.1543416; 0.3352328; 5.9829775; -0.0223725
31.7820825; 20.1430704; 4.8684378; 0.7868085; 0.3334848; 5.9755451; 0.0698955
33.7684627; 18.4574111; 5.8073772; 1.2719839; 0.1557286; 5.9987346; 5.2775095
35.7548429; 16.4568109; 6.1684021; 1.4847587; 0.0711683; 7.5465951; 5.2644056
37.7412230; 14.4777328; 6.2291176; 1.5808565; 0.0264631; 8.8241327; 5.2513342
39.7276032; 12.4894423; 6.1665220; 1.6188130; 0.0110989; 9.9361769; 5.2382952
41.7139833; 10.5419704; 6.0639386; 1.6208703; -0.0105268; 10.9333482; 5.2252887
43.7003635; 8.5290206; 5.9983763; 1.5799600; -0.0265965; 11.8447002; 5.2123144
45.6867436; 6.5648786; 6.0183239; 1.5472959; -0.0081584; 12.6887429; -7.5591071
47.6731238; 4.5404634; 6.0726349; 1.5457011; 0.0070549; 11.4443732; -9.6072779
49.6595040; 2.5506685; 6.0969534; 1.5778075; 0.0264069; 9.6336008; -8.3404695
51.6458841; 0.5122021; 6.0075210; 1.6633501; 0.0619529; 7.7247381; -7.4373702
53.6322643; -1.4225177; 5.6644859; 1.8581305; 0.1520832; 5.4885962; -0.0187813
55.6186444; -3.0972517; 4.7533100; 2.3617772; 0.3993334; 5.4817949; -0.0187813
57.6050246; -3.7900133; 2.9397615; 3.1368028; 0.2675581; 5.4749851; 3.4241526
