# 05033d51-fa90-492b-a620-e3955a179608
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.7917472; -0.1724424; -2.1094550; 0.4884863; 4.9563779; -0.0153536
1.9360113; 0.0560963; -0.5764346; -1.5956997; 0.0866637; 4.9503770; 5.2846836
3.8720227; 2.0036611; -0.5832920; -1.5767459; -0.0036968; 6.7058667; 5.2718946
5.8080340; 3.9222919; -0.5954551; -1.5750387; 0.0034290; 8.0858854; 5.2591365
7.7440454; 5.8618177; -0.5969466; -1.5679162; 0.0039735; 9.2598617; 5.2464094
9.6800567; 7.8094976; -0.5845934; -1.5622177; 0.0007303; 10.2985074; 5.2337130
11.6160680; 9.7594074; -0.5693372; -1.5651542; -0.0032475; 11.2394088; 4.3264885
13.5520794; 11.6922681; -0.5585566; -1.5622272; 0.0062356; 11.9614619; -11.1805384
15.4880907; 13.6517237; -0.5248502; -1.5456338; 0.0011241; 9.9892579; -9.5733221
17.4241021; 15.5987018; -0.4962386; -1.5794672; -0.0393174; 7.9194162; -8.7084959
19.3601134; 17.5941302; -0.5743556; -1.5860512; 0.1141343; 5.3849475; -0.3853783
21.2961247; 19.3666916; -0.1784977; -1.0041276; 0.4228909; 5.2445654; -0.0215076
23.2321361; 20.4135757; 1.3561633; -0.1958374; 0.3723951; 5.2366199; -0.0404320
25.1681474; 20.3264351; 3.2783340; 0.1954317; 0.0862402; 5.2216506; -0.0169999
27.1041588; 19.6909512; 5.2257046; 0.5559618; 0.4411795; 5.2153438; -0.0169999
29.0401701; 18.2569070; 5.9477474; 1.5703734; 0.2568409; 5.2090294; 5.0139246
30.9761814; 16.1941759; 5.7753378; 1.6229527; -0.0780802; 6.8226107; 5.2709075
32.9121928; 14.2620007; 5.7744473; 1.5409934; -0.0108966; 8.1827312; 5.2581518
34.8482041; 12.2862455; 5.8215056; 1.5610994; 0.0130430; 9.3443444; 5.2454270
36.7842154; 10.3628361; 5.8249120; 1.5720042; -0.0025243; 10.3743523; 5.2327330
38.7202268; 8.4241860; 5.8315397; 1.5629980; -0.0036202; 11.3087774; 5.2200697
40.6562381; 6.5245789; 5.8506752; 1.5597809; 0.0006410; 12.1696621; -4.5593714
42.5922495; 4.5827778; 5.8678036; 1.5656044; 0.0050639; 11.4213259; -11.0188211
44.5282608; 2.6551460; 5.8750500; 1.5622202; -0.0118025; 9.3691814; -10.9732273
46.4642721; 0.6671376; 5.9279426; 1.5245837; -0.0000355; 6.7300056; -3.2455989
48.4002835; -1.3170913; 5.8957656; 1.7334860; 0.2681315; 5.7206593; -0.0204043
50.3362948; -2.8849481; 4.9507330; 2.5128309; 0.3675689; 5.7137498; -0.0204043
52.2723062; -3.4696439; 3.1904473; 3.1278870; 0.3362067; 5.7068319; 1.0300875
54.2083175; -3.0048367; 1.3148352; -2.7050548; 0.1857185; 6.0461932; -3.0967718
56.1443288; -1.7917472; -0.1724424; -2.1094550; 0.4884863; 4.9563779; -0.0153536
