# 1c124d6c-054b-481d-93a2-3c50c3cb57b4
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.5465379; -3.9560246; -1.8985151; -0.5229857; 3.3485439; 5.2929920
1.9381167; 8.2492545; -4.6404561; -1.6734691; 0.2484118; 5.6329050; 4.0981589
3.8762333; 10.1433097; -4.6651857; -1.5695392; -0.0305181; 6.9003651; -7.8499945
5.8143500; 12.3620644; -4.7673399; -1.6356205; 0.0327984; 4.1456758; -0.0107157
7.7524666; 14.1585446; -4.6847774; -1.2482584; 0.6999088; 4.1406632; -0.0107157
9.6905833; 15.0047434; -3.1763388; -0.0718880; 0.1502598; 4.1356445; 5.2893103
11.6287000; 15.0348828; -1.2599076; 0.0066494; 0.0055855; 6.1323858; 5.2764962
13.5668166; 15.0327605; 0.7662781; -0.0118710; -0.0109695; 7.6196513; 5.2637131
15.5049333; 15.0580962; 2.7303712; -0.0039979; 0.0199734; 8.8579042; -4.5999221
17.4430499; 15.0110065; 4.6779156; 0.0456933; -0.0027673; 7.7866613; -9.3940463
19.3811666; 14.9959319; 6.5752455; -0.0650642; -0.1082264; 4.9212376; -0.0151000
21.3192833; 15.0512615; 8.5764583; 0.1975235; 0.4966878; 4.9152872; -0.0151000
23.2573999; 13.9306373; 9.7923375; 1.1725281; 0.2904609; 4.9093296; 4.9843880
25.1955166; 11.8971841; 10.1941312; 1.5214088; 0.1011615; 6.5895499; 2.7504566
27.1336332; 9.9456102; 10.1832400; 1.5853649; -0.0405917; 7.3541539; -9.5808112
29.0717499; 7.9193522; 10.3036804; 1.4684601; 0.0452437; 4.1165665; -0.0105657
31.0098666; 6.1606400; 10.1141528; 2.1376443; 0.7098423; 4.1115890; -0.0105657
32.9479832; 5.1948202; 8.4690772; 2.8999456; 0.1766241; 4.1066055; 5.2894599
34.8860999; 4.9685263; 6.6003776; 3.0988152; 0.0418979; 6.1128872; 5.2766454
36.8242165; 4.9232015; 4.6435626; 3.1309717; 0.0130331; 7.6040054; 5.2638619
38.7623332; 4.9320890; 2.6671177; -3.1191789; 0.0206867; 8.8444816; -7.7894102
40.7004499; 4.9750493; 0.7267331; -3.1409878; -0.0444713; 6.9304606; -9.4844850
42.6385665; 4.8507450; -1.3215396; 3.0343737; 0.0100304; 3.3566661; -0.0070250
44.5766832; 4.8892915; -3.1509384; -2.7287047; 1.0676179; 3.3526075; -0.0070250
46.5147999; 6.5465379; -3.9560246; -1.8985151; -0.5229857; 3.3485439; 5.2929920
