,starttime,endtime,phaseDuration
0,1712091288.4535072,1712091288.459043,5.0
1,1712091293.5534403,1712091293.556538,5.0
2,1712091298.653367,1712091298.6564338,5.0
3,1712091303.7535284,1712091303.7572038,5.0
4,1712091308.8534503,1712091308.8577373,5.0
5,1712091313.9534762,1712091313.9578981,5.0
6,1712091319.054635,1712091319.0627286,8.0
7,1712091327.1542776,1712091327.1661055,8.0
8,1712091335.2534707,1712091335.2587824,5.0
9,1712091340.3534243,1712091340.3573024,5.0
10,1712091345.4534402,1712091345.4585724,5.0
11,1712091350.5534346,1712091350.559285,5.0
12,1712091355.653413,1712091355.657074,5.0
13,1712091360.7533839,1712091360.76144,8.0
14,1712091368.8534253,1712091368.8573678,5.0
15,1712091373.9552925,1712091373.9691057,8.0
16,1712091382.053431,1712091382.0581963,5.0
17,1712091387.1535537,1712091387.1622794,8.0
18,1712091395.2533822,1712091395.2561915,5.0
19,1712091400.3533707,1712091400.3608468,8.0
20,1712091408.453557,1712091408.4599934,8.0
21,1712091416.5534105,1712091416.5629687,8.0
22,1712091424.6533775,1712091424.6567738,5.0
23,1712091429.7533946,1712091438.1903973,5.0
24,1712091442.2537222,1712091442.261834,8.0
25,1712091450.3535273,1712091450.3622847,8.0
26,1712091458.3535209,1712091458.3574321,5.0
27,1712091463.453472,1712091463.459207,8.0
28,1712091471.5534225,1712091471.566804,8.0
29,1712091479.6534472,1712091479.6572516,5.0
30,1712091484.7534459,1712091484.762019,8.0
31,1712091492.853406,1712091492.85702,5.0
32,1712091497.9534547,1712091497.9607368,25.0
33,1712091523.053444,1712091523.0602827,8.0
34,1712091531.1534147,1712091531.1594815,8.0
35,1712091539.2535813,1712091539.259767,5.0
36,1712091544.3534398,1712091544.3584251,25.0
37,1712091569.453422,1712091569.4574192,5.0
38,1712091574.5534935,1712091574.5600572,25.0
39,1712091599.653472,1712091599.6598692,8.761844349713547
40,1712091607.753418,1712091607.759924,8.0
41,1712091615.853514,1712091615.8582706,25.0
42,1712091640.9534135,1712091640.9715924,25.0
