,starttime,endtime,phaseDuration
0,1711650959.079589,1711650959.3118777,14
1,1711650973.1796393,1711650973.208011,17
2,1711650990.279598,1711650990.3162324,14
3,1711651004.379545,1711651004.4174457,14
4,1711651018.479973,1711651018.5240974,14
5,1711651032.5795395,1711651032.5994122,14
6,1711651046.6795602,1711651046.696961,14
7,1711651060.7795594,1711651060.8174362,14
8,1711651074.8795989,1711651074.8996875,14
9,1711651088.979698,1711651089.003915,14
10,1711651103.0795574,1711651103.094723,14
11,1711651117.1796618,1711651117.2022858,14
12,1711651131.2796972,1711651131.2978907,14
13,1711651145.3858693,1711651145.4040737,14
14,1711651159.4796567,1711651159.5160792,14
15,1711651173.5796306,1711651173.6037693,14
16,1711651187.679765,1711651187.7090898,14
17,1711651201.7795765,1711651201.8017166,14
18,1711651215.8795948,1711651215.899724,14
19,1711651229.9797032,1711651229.9982886,14
20,1711651244.0796576,1711651244.101449,14
21,1711651258.1797214,1711651258.2041733,14
22,1711651272.2796607,1711651272.308943,14
23,1711651286.379543,1711651286.393946,14
24,1711651300.4796443,1711651300.501685,14
25,1711651314.5795898,1711651314.6007543,14
26,1711651328.679612,1711651328.7042542,14
27,1711651342.7796106,1711651342.8046963,14
28,1711651363.8797667,1711651363.907168,14
29,1711651377.9795918,1711651377.9983764,14
30,1711651392.0796475,1711651392.1026568,14
31,1711651406.179695,1711651406.213696,14
32,1711651420.2797337,1711651420.3036144,14
33,1711651455.6796713,1711651455.711411,14
34,1711651469.7799141,1711651469.8155258,14
35,1711651483.879624,1711651483.9039142,14
36,1711651497.9796524,1711651498.0012357,14
37,1711651519.1796148,1711651519.2003973,14
38,1711651533.2795997,1711651533.307901,14
39,1711651547.379572,1711651547.3981295,14
40,1711651561.4795558,1711651561.514911,14
41,1711651575.579653,1711651575.600534,14
42,1711651596.7796502,1711651596.8072965,14
43,1711651610.879622,1711651610.8971562,14
44,1711651632.079565,1711651632.095849,14
45,1711651646.1795692,1711651646.1977384,14
46,1711651667.3795843,1711651667.4090471,14
47,1711651681.4796622,1711651681.5205228,19
48,1711651700.5796065,1711651700.614982,12
49,1711651712.67969,1711651712.7186744,19
50,1711651731.7795224,1711651731.8133905,22
51,1711651753.8797827,1711651753.9105155,14
52,1711651767.9795704,1711651768.0050015,14
53,1711651782.080141,1711651782.1102147,14
54,1711651796.179616,1711651796.2122028,14
55,1711651810.2796192,1711651810.3073695,14
56,1711651824.3795824,1711651824.4086218,9
57,1711651833.479711,1711651833.5118368,14
58,1711651847.57956,1711651847.6038258,9
59,1711651856.6795943,1711651856.6942,9
60,1711651865.7797537,1711651865.7941787,9
61,1711651874.8796062,1711651874.8946323,9
62,1711651883.9797046,1711651883.9946368,9
63,1711651893.0796957,1711651893.099737,9
64,1711651902.1797612,1711651902.1946247,9
65,1711651911.2796113,1711651911.2958136,9
66,1711651920.3796532,1711651920.3915591,9
67,1711651929.4796069,1711651929.4941664,9
68,1711651938.5796063,1711651938.5942469,9
69,1711651947.6795673,1711651947.6947973,9
70,1711651956.7796857,1711651956.7940671,9
71,1711651965.879599,1711651965.893263,9
72,1711651974.9795883,1711651974.993443,9
73,1711651984.0797515,1711651984.0911877,9
74,1711651993.179842,1711651993.2018661,9
75,1711652002.27995,1711652002.296595,9
76,1711652011.3796153,1711652011.3921354,9
77,1711652020.4796093,1711652020.493925,9
78,1711652029.5795665,1711652029.5916822,9
79,1711652038.679551,1711652038.6916456,9
80,1711652047.7795773,1711652047.7909107,9
81,1711652056.8796544,1711652056.8915455,9
82,1711652065.9801629,1711652066.0058029,9
83,1711652082.179639,1711652082.220482,14
84,1711652096.2795942,1711652096.305319,17
85,1711652113.3795772,1711652113.4285796,17
86,1711652130.4796016,1711652130.5183756,17
87,1711652147.5796359,1711652147.6405156,14
88,1711652161.6801288,1711652161.7246988,14
89,1711652175.780385,1711652175.820172,14
90,1711652189.8796656,1711652189.9026823,14
91,1711652203.9796927,1711652204.0055442,14
92,1711652218.079552,1711652218.1017156,14
93,1711652232.1796706,1711652232.2062268,14
94,1711652246.279724,1711652246.300784,14
95,1711652260.3796585,1711652260.407868,14
96,1711652274.4801197,1711652274.502762,14
97,1711652288.5796428,1711652288.603002,14
98,1711652302.6796038,1711652302.6975799,14
99,1711652316.7796295,1711652316.8157637,14
100,1711652330.879605,1711652330.9207573,14
101,1711652344.9796457,1711652345.0256019,12
102,1711652357.0796163,1711652357.124901,22
103,1711652379.1795864,1711652379.2079215,12
104,1711652398.379628,1711652398.4153802,14
105,1711652412.4796534,1711652412.5204532,12
106,1711652424.5796142,1711652424.6093569,9
107,1711652433.679589,1711652433.70624,9
108,1711652442.7796519,1711652442.8096385,9
109,1711652451.8795733,1711652451.9079413,14
110,1711652465.9796546,1711652466.0076153,12
111,1711652478.079975,1711652478.1149395,22
112,1711652500.1795692,1711652500.2126179,9
113,1711652509.27966,1711652509.3150494,9
114,1711652518.3798308,1711652518.4073656,9
115,1711652527.4795444,1711652527.5235474,9
116,1711652536.5797253,1711652536.6075327,9
117,1711652545.6795802,1711652545.7069762,9
118,1711652561.8795366,1711652561.9073203,9
119,1711652570.8796122,1711652570.909536,9
120,1711652587.0795975,1711652587.10949,9
121,1711652596.1796532,1711652596.2133598,9
122,1711652605.279565,1711652605.3162096,9
123,1711652614.379601,1711652614.414052,14
124,1711652628.4795659,1711652628.5155394,13
125,1711652641.579559,1711652641.6161203,9
126,1711652650.679694,1711652650.7103024,9
127,1711652659.7796392,1711652659.8114967,13
128,1711652672.8795757,1711652672.9199815,9
129,1711652681.9796195,1711652682.0078433,14
130,1711652696.0795755,1711652696.1025429,9
131,1711652705.1796741,1711652705.2195742,9
132,1711652714.2796273,1711652714.3114033,9
133,1711652730.3796391,1711652730.426734,9
134,1711652746.5796213,1711652746.6330469,14
135,1711652760.680456,1711652760.7113805,14
136,1711652774.779629,1711652774.8074934,9
137,1711652783.8795924,1711652783.9207783,12
138,1711652795.9797332,1711652796.015571,9
139,1711652805.079727,1711652805.1113226,12
140,1711652817.1795967,1711652817.2143815,9
141,1711652826.2796226,1711652826.3067873,9
142,1711652835.3795362,1711652835.403391,14
143,1711652849.4796264,1711652849.5149183,9
144,1711652858.5797293,1711652858.60986,9
145,1711652867.6802118,1711652867.6967816,9
146,1711652876.779614,1711652876.8065517,9
147,1711652885.8795843,1711652885.9100583,9
148,1711652894.9795873,1711652895.0120811,9
149,1711652904.0795767,1711652904.1005611,9
150,1711652913.1796455,1711652913.207895,9
151,1711652922.2799025,1711652922.3152251,14
152,1711652936.3796306,1711652936.411907,9
153,1711652945.479605,1711652945.5106514,9
154,1711652954.5800478,1711652954.6146288,9
155,1711652963.681258,1711652963.7114992,9
156,1711652972.7795737,1711652972.8027675,9
157,1711653003.1796064,1711653003.211497,14
158,1711653017.279597,1711653017.3119762,9
159,1711653033.3797648,1711653033.4099197,19
160,1711653052.4796011,1711653052.5157907,12
161,1711653064.5796921,1711653064.60914,9
162,1711653073.6796088,1711653073.7244654,9
163,1711653082.7795823,1711653082.8195605,11
164,1711653093.8796914,1711653093.923259,9
165,1711653102.9797804,1711653103.0295813,14
166,1711653117.0796075,1711653117.1084077,9
167,1711653126.1795983,1711653126.204915,9
168,1711653135.2797065,1711653135.322863,13
169,1711653148.3795803,1711653148.4057379,9
170,1711653157.4796636,1711653157.522271,14
171,1711653171.5795865,1711653171.625048,9
172,1711653180.681647,1711653180.722729,13
173,1711653193.7796757,1711653193.809804,9
174,1711653202.8795989,1711653202.9155295,9
175,1711653211.9795818,1711653212.004322,9
176,1711653221.0796478,1711653221.0918987,9
177,1711653230.1797788,1711653230.2140546,13
178,1711653243.2795858,1711653243.3130803,9
179,1711653252.379592,1711653252.4073076,9
180,1711653261.4795809,1711653261.510789,13
181,1711653274.5796394,1711653274.6167328,9
182,1711653283.67956,1711653283.7042232,9
183,1711653292.779599,1711653292.8084996,9
184,1711653301.8796046,1711653301.906993,13
185,1711653314.979635,1711653315.016102,14
186,1711653329.079624,1711653329.1103108,9
187,1711653338.179641,1711653338.2139502,9
188,1711653347.2796738,1711653347.3230062,14
189,1711653361.379567,1711653361.4493458,9
190,1711653370.4795816,1711653370.5193737,9
191,1711653379.5796158,1711653379.6033022,9
192,1711653388.679631,1711653388.7070549,9
193,1711653397.7795906,1711653397.8069775,9
194,1711653406.8795474,1711653406.90364,9
195,1711653415.9795754,1711653416.007755,9
196,1711653425.0796087,1711653425.1176822,9
197,1711653434.1797924,1711653434.210111,9
198,1711653443.281337,1711653443.3170338,9
199,1711653452.379591,1711653452.4068577,10
200,1711653462.4796124,1711653462.5141578,9
201,1711653471.579575,1711653471.6055667,14
202,1711653485.6796653,1711653485.7079825,9
203,1711653494.779662,1711653494.819719,9
204,1711653510.979948,1711653511.005224,9
205,1711653520.0796402,1711653520.1170077,9
206,1711653529.179561,1711653529.2141593,9
207,1711653538.2796915,1711653538.309861,9
208,1711653547.3796608,1711653547.4125326,9
209,1711653556.4796543,1711653556.5132616,9
210,1711653565.5797176,1711653565.6172311,13
211,1711653578.6796384,1711653578.7130606,9
212,1711653587.7797477,1711653587.807153,9
213,1711653596.879577,1711653596.9058604,9
214,1711653605.97965,1711653606.013837,14
215,1711653620.0796235,1711653620.1101577,12
216,1711653632.179655,1711653632.206438,9
217,1711653648.3796766,1711653648.4241123,9
218,1711653657.4797008,1711653657.5079887,14
219,1711653671.5796115,1711653671.5936954,9
220,1711653680.6796281,1711653680.6923912,9
221,1711653689.7796078,1711653689.8151937,9
222,1711653698.8797002,1711653698.934522,9
223,1711653707.979865,1711653708.0158174,14
224,1711653722.0796835,1711653722.112847,9
225,1711653731.1796558,1711653731.2123013,12
226,1711653743.2796175,1711653743.3105536,13
227,1711653756.3796258,1711653756.4281034,9
228,1711653765.4795902,1711653765.5041747,14
229,1711653779.5796313,1711653779.6163092,12
230,1711653791.679795,1711653791.7165642,9
231,1711653800.779561,1711653800.809432,9
232,1711653809.8795886,1711653809.907194,9
233,1711653818.9797568,1711653819.0093038,13
234,1711653832.0799363,1711653832.1117566,14
235,1711653846.1804469,1711653846.2200494,9
236,1711653855.2797954,1711653855.312804,9
237,1711653864.3796225,1711653864.4238021,9
238,1711653873.4796524,1711653873.5076098,14
