,starttime,endtime,phaseDuration
0,1712094466.5844321,1712094466.5844984,15
1,1712094488.5861192,1712094488.5862029,15
2,1712094510.5906649,1712094510.5907369,15
3,1712094532.6879635,1712094532.688017,15
4,1712094562.784442,1712094562.7845445,15
5,1712094595.7951038,1712094595.795162,15
6,1712094622.8874044,1712094622.8874962,15
7,1712094644.9880726,1712094644.9881287,15
8,1712094666.9918067,1712094666.9919043,15
9,1712094689.992228,1712094689.9923074,15
10,1712094712.0885973,1712094712.0887156,15
11,1712094734.184395,1712094734.1844609,15
12,1712094756.2872896,1712094756.2873697,15
13,1712094778.2871323,1712094778.2872124,15
14,1712094800.488489,1712094800.4885657,15
15,1712094822.586387,1712094822.5864499,15
16,1712094844.5896661,1712094844.589747,15
17,1712094866.6915848,1712094866.6916587,15
18,1712094888.7864377,1712094888.7864895,15
19,1712094910.792008,1712094910.792077,15
20,1712094932.7916584,1712094932.791737,15
21,1712094954.888728,1712094954.8888266,15
22,1712094976.8945034,1712094976.8945918,15
23,1712094999.0849092,1712094999.0849578,15
24,1712095021.1844745,1712095021.1845555,15
25,1712095043.1892428,1712095043.1893177,15
26,1712095065.294569,1712095065.294639,15
27,1712095087.3891485,1712095087.389284,15
28,1712095109.3994715,1712095109.3995295,15
29,1712095131.4911697,1712095131.4912417,15
30,1712095153.5844922,1712095153.584544,15
31,1712095175.591195,1712095175.5913446,15
32,1712095197.791334,1712095197.7914023,15
33,1712095219.6904912,1712095219.6905417,15
34,1712095241.6944423,1712095241.6945126,15
35,1712095263.7974958,1712095263.7975729,15
36,1712095285.7917902,1712095285.791872,15
37,1712095307.9847732,1712095307.9848163,15
38,1712095329.992618,1712095329.9926949,15
39,1712095352.0844567,1712095352.0845678,15
40,1712095374.4830747,1712095374.4831636,15
41,1712095396.484462,1712095396.484518,15
42,1712095418.5843925,1712095418.5844314,15
43,1712095440.6843812,1712095440.6844347,15
44,1712095462.7844317,1712095462.7844841,15
45,1712095484.8845482,1712095484.8846235,15
46,1712095506.9844673,1712095506.9845483,15
47,1712095529.084411,1712095529.084477,15
48,1712095551.0951455,1712095551.0952353,15
49,1712095573.4861157,1712095573.4861934,15
50,1712095595.5552979,1712095595.5553644,15
51,1712095617.573197,1712095617.5733912,15
52,1712095639.6945999,1712095639.6946466,15
53,1712095661.792475,1712095661.7925873,15
54,1712095683.784638,1712095683.7846932,15
55,1712095705.7920694,1712095705.7921574,15
56,1712095727.88878,1712095727.8888597,15
57,1712095749.8874137,1712095749.8874946,15
58,1712095771.9967265,1712095771.99681,15
59,1712095794.084648,1712095794.0847015,15
60,1712095816.0872698,1712095816.087317,15
61,1712095838.0898929,1712095838.08996,15
62,1712095860.532677,1712095860.532746,15
63,1712095882.691765,1712095882.6918135,15
64,1712095904.6934137,1712095904.693461,15
65,1712095926.885979,1712095926.8860435,15
66,1712095948.8932238,1712095948.8932765,15
67,1712095970.8879402,1712095970.8879943,15
68,1712095992.8895528,1712095992.8896298,15
69,1712096014.8941307,1712096014.894183,15
70,1712096036.9925768,1712096036.9926388,15
71,1712096059.7189198,1712096059.719005,15
72,1712096081.6907883,1712096081.690878,15
73,1712096103.7896647,1712096103.789726,15
74,1712096125.8932765,1712096125.893337,15
75,1712096147.8931534,1712096147.8932061,15
76,1712096169.8942728,1712096169.894579,15
77,1712096191.9893847,1712096191.9894657,15
78,1712096214.0874877,1712096214.0875416,15
79,1712096236.676806,1712096236.6768816,15
80,1712096258.7358434,1712096258.7358825,15
81,1712096280.6895363,1712096280.6896136,15
82,1712096302.894413,1712096302.894465,15
83,1712096324.995715,1712096324.9958,15
84,1712096346.9870179,1712096346.9870958,15
85,1712096369.0870776,1712096369.0871341,15
86,1712096390.9990208,1712096390.999106,15
87,1712096413.635562,1712096413.6356447,15
88,1712096435.6844413,1712096435.6845078,15
89,1712096457.784474,1712096457.784522,15
90,1712096479.8844154,1712096479.8844733,15
91,1712096501.9844334,1712096501.984512,15
