,vehicleid,recievetime
0,WN06,1712094466.0655527
1,WN06,1712094466.22435
2,SE15,1712094466.4250433
3,WN06,1712094466.4379604
4,SE15,1712094466.6650636
5,WE17,1712094466.6700993
6,WS18,1712094466.6816652
7,WN06,1712094466.6965497
8,SE15,1712094466.8244607
9,WE17,1712094466.8286095
10,WS18,1712094466.8326368
11,WN06,1712094466.8378577
12,SE15,1712094467.024457
13,WE17,1712094467.0284357
14,WS18,1712094467.0328586
15,WN06,1712094467.0372
16,SE15,1712094467.264672
17,WE17,1712094467.268047
18,WS18,1712094467.2714396
19,WN06,1712094467.2746801
20,SE15,1712094467.4243643
21,WE17,1712094467.4273784
22,WS18,1712094467.4316485
23,WN06,1712094467.4355388
24,EN111,1712094467.6242087
25,SE15,1712094467.6331043
26,NE00,1712094467.637357
27,WE17,1712094467.6484108
28,WS18,1712094467.6526544
29,WN06,1712094467.656319
30,ES09,1712094467.8676088
31,EN111,1712094467.8723342
32,SN14,1712094467.8832135
33,SE15,1712094467.89414
34,NE00,1712094467.9046192
35,WE17,1712094467.9136329
36,WS18,1712094467.9250877
37,WN06,1712094467.9364414
38,ES09,1712094468.0244672
39,EN111,1712094468.028982
40,SN14,1712094468.0333643
41,SE15,1712094468.0362668
42,NE00,1712094468.039541
43,WE17,1712094468.0442533
44,WS18,1712094468.0483696
45,WN06,1712094468.0522149
46,ES09,1712094468.2247152
47,EN111,1712094468.2287583
48,EW110,1712094468.2327785
49,SN14,1712094468.2434208
50,SE15,1712094468.247845
51,NE00,1712094468.2520149
52,NW12,1712094468.256299
53,WE17,1712094468.267126
54,WS18,1712094468.270804
55,WN06,1712094468.2743618
56,ES09,1712094468.4726238
57,EN111,1712094468.4764974
58,EW110,1712094468.4806728
59,SN14,1712094468.4864075
60,SE15,1712094468.4907055
61,NS11,1712094468.4947171
62,NE00,1712094468.5042455
63,NW12,1712094468.508508
64,WE17,1712094468.5115507
65,WS18,1712094468.5156322
66,WN06,1712094468.521008
67,ES09,1712094468.6244817
68,EN111,1712094468.630487
69,EW110,1712094468.6343489
70,SN14,1712094468.6419504
71,SE15,1712094468.6462483
72,NS11,1712094468.6507087
73,NE00,1712094468.6571288
74,NW12,1712094468.66158
75,WE17,1712094468.666008
76,WS18,1712094468.67165
77,WN06,1712094468.6756685
78,ES09,1712094468.824408
79,EN111,1712094468.8290188
80,EW110,1712094468.8327193
81,SN14,1712094468.8381836
82,SE15,1712094468.8443868
83,NS11,1712094468.848447
84,NE00,1712094468.8524652
85,NW12,1712094468.8565388
86,WE17,1712094468.8608131
87,WS18,1712094468.8644192
88,WN06,1712094468.8684387
89,ES09,1712094469.1454613
90,EN111,1712094469.1491144
91,EW110,1712094469.1528394
92,SW03,1712094469.15848
93,SN14,1712094469.1698787
94,SE15,1712094469.1756012
95,NS11,1712094469.179178
96,NE00,1712094469.182997
97,NW12,1712094469.1901464
98,WE17,1712094469.194305
99,WS18,1712094469.1980212
100,WN06,1712094469.2028635
101,ES09,1712094469.2246878
102,EN111,1712094469.2284746
103,EW110,1712094469.232266
104,SW03,1712094469.2369947
105,SN14,1712094469.2404597
106,SE15,1712094469.2443542
107,NS11,1712094469.24815
108,NE00,1712094469.252557
109,NW12,1712094469.2567708
110,WE17,1712094469.2623675
111,WS18,1712094469.2670805
112,WN06,1712094469.2713876
113,ES09,1712094469.4242785
114,EN111,1712094469.427715
115,EW110,1712094469.4320865
116,SW03,1712094469.4386768
117,SN14,1712094469.4419458
118,SE15,1712094469.4452684
119,NS11,1712094469.4502807
120,NE00,1712094469.4566195
121,NW12,1712094469.461194
122,WE17,1712094469.46693
123,WS18,1712094469.4702795
124,WN06,1712094469.4736118
125,ES09,1712094469.687454
126,EN111,1712094469.6940548
127,EW110,1712094469.6978903
128,SW03,1712094469.7015793
129,SN14,1712094469.7055647
130,SE15,1712094469.7113843
131,NS11,1712094469.7157335
132,NE00,1712094469.719953
133,NW12,1712094469.7246814
134,WE17,1712094469.7288673
135,WS18,1712094469.7324264
136,WN06,1712094469.7364259
137,ES09,1712094469.8294628
138,EN111,1712094469.83404
139,EW110,1712094469.8366277
140,SW03,1712094469.8399227
141,SN14,1712094469.845497
142,SE15,1712094469.8504863
143,NS11,1712094469.8539941
144,NE00,1712094469.85745
145,NW12,1712094469.8619087
146,WE17,1712094469.8655584
147,WS18,1712094469.8690848
148,WN06,1712094469.8728566
149,ES09,1712094470.0246294
150,EN111,1712094470.0279322
151,EW110,1712094470.0311103
152,SW03,1712094470.0357032
153,SN14,1712094470.039739
154,SE15,1712094470.044218
155,NS11,1712094470.0486045
156,NE00,1712094470.053001
157,NW12,1712094470.0572522
158,WE17,1712094470.0606616
159,WS18,1712094470.0643563
160,WN06,1712094470.0683992
161,ES09,1712094470.2764263
162,EN111,1712094470.2794561
163,EW110,1712094470.283314
164,SW03,1712094470.2888708
165,SN14,1712094470.2920153
166,SE15,1712094470.296218
167,NS11,1712094470.3003757
168,NE00,1712094470.304493
169,NW12,1712094470.3086944
170,WE17,1712094470.3130672
171,WS18,1712094470.3177605
172,WN06,1712094470.32175
173,ES09,1712094470.424647
174,EN111,1712094470.429293
175,EW110,1712094470.4323308
176,SW03,1712094470.435351
177,SN14,1712094470.4395447
178,SE15,1712094470.4435012
179,NS11,1712094470.4474065
180,NE00,1712094470.4520423
181,NW12,1712094470.456946
182,WE17,1712094470.4608777
183,WS18,1712094470.465178
184,WN06,1712094470.469105
185,ES09,1712094470.625047
186,EN111,1712094470.6289806
187,EW110,1712094470.632847
188,SW03,1712094470.6408327
189,SN14,1712094470.64531
190,SE15,1712094470.6494513
191,NS11,1712094470.6572406
192,NE00,1712094470.661689
193,NW12,1712094470.666232
194,WE17,1712094470.6712937
195,WS18,1712094470.676044
196,WN06,1712094470.6794176
197,ES09,1712094470.8820388
198,EN111,1712094470.888309
199,EW110,1712094470.8938143
200,SW03,1712094470.9021113
201,SN14,1712094470.9060662
202,SE15,1712094470.9094958
203,NS11,1712094470.9140162
204,NE00,1712094470.9189029
205,NW12,1712094470.9220905
206,WE17,1712094470.9255004
207,WS18,1712094470.9309952
208,WN06,1712094470.9359438
209,ES09,1712094471.0250864
210,EN111,1712094471.0282235
211,EW110,1712094471.031125
212,SW03,1712094471.0363905
