,starttime,endtime,phaseDuration
0,1709633949.17805,1709633949.3760328,12
1,1709633961.3737667,1709633961.4002943,12
2,1709633973.475869,1709633973.4943075,12
3,1709633985.4799483,1709633985.5009794,7
4,1709633992.6734273,1709633992.692299,12
5,1709634004.7780473,1709634004.7994142,10
6,1709634014.7771156,1709634014.8026946,10
7,1709634024.8789425,1709634024.90011,7
8,1709634032.0796297,1709634032.100816,12
9,1709634044.0780294,1709634044.1020012,7
10,1709634051.2766082,1709634051.3010619,7
11,1709634058.3766103,1709634058.4026062,12
12,1709634070.378059,1709634070.3980942,12
13,1709634082.4758747,1709634082.4942362,12
14,1709634094.576804,1709634094.594542,7
15,1709634101.6800172,1709634101.6986094,12
16,1709634113.7781832,1709634113.7991042,10
17,1709634123.8808537,1709634123.9039686,7
18,1709634130.9772036,1709634131.0014284,7
19,1709634138.0747306,1709634138.0966742,7
20,1709634145.0763829,1709634145.0973468,7
21,1709634152.1827788,1709634152.1962395,7
22,1709634159.3749642,1709634159.3941655,7
23,1709634166.3765886,1709634166.3937604,7
24,1709634173.3785505,1709634173.399882,12
25,1709634185.4800813,1709634185.4997911,12
26,1709634197.5742958,1709634197.590011,7
27,1709634204.5791402,1709634204.597744,12
28,1709634216.675025,1709634216.69579,7
29,1709634223.775914,1709634223.7921586,12
30,1709634235.7760742,1709634235.8019185,7
31,1709634242.7829096,1709634242.8077455,12
32,1709634254.9808097,1709634255.000502,7
33,1709634261.8898907,1709634261.9453828,7
34,1709634269.0812101,1709634269.1052868,7
35,1709634276.0769439,1709634276.0990522,12
36,1709634288.1801662,1709634288.1996024,7
37,1709634295.1829937,1709634295.202113,12
38,1709634307.282835,1709634307.3057852,7
39,1709634314.376546,1709634314.4007828,7
40,1709634321.3794603,1709634321.4013908,12
41,1709634333.4771147,1709634333.4987285,10
42,1709634343.5800905,1709634343.598727,7
43,1709634350.5837045,1709634350.6025758,7
44,1709634357.7786996,1709634357.7996502,12
45,1709634369.7772772,1709634369.7954397,10
46,1709634379.8806405,1709634379.9020452,7
47,1709634386.876712,1709634386.8956113,7
48,1709634393.8799698,1709634393.9003575,10
49,1709634403.9770086,1709634403.9927456,12
50,1709634415.9810205,1709634415.9999557,7
51,1709634422.9820004,1709634423.0009403,7
52,1709634430.0765994,1709634430.0968926,7
53,1709634437.0830717,1709634437.1034207,12
54,1709634449.18484,1709634449.2075577,12
55,1709634461.1850824,1709634461.2120986,12
56,1709634473.2788477,1709634473.301222,7
57,1709634480.2769208,1709634480.293988,10
58,1709634490.38633,1709634490.4150555,12
59,1709634502.4768004,1709634502.4965446,10
60,1709634512.5757847,1709634512.5958602,7
61,1709634519.674648,1709634519.694284,12
62,1709634531.773561,1709634531.7959483,12
63,1709634543.7834246,1709634543.8073463,7
64,1709634550.878927,1709634550.8970795,7
65,1709634558.0760336,1709634558.0976758,10
66,1709634568.0803897,1709634568.1020234,7
67,1709634575.2816818,1709634575.3002646,12
68,1709634587.375024,1709634587.395464,7
69,1709634594.2852533,1709634594.3033435,7
70,1709634601.3835866,1709634601.412356,12
71,1709634613.4812365,1709634613.5023954,10
72,1709634623.579507,1709634623.6006424,17
73,1709634640.5805423,1709634640.612841,12
74,1709634652.673965,1709634652.7013705,12
75,1709634664.7758162,1709634664.804968,11
76,1709634675.7776673,1709634675.7991173,7
77,1709634682.7806847,1709634682.8046622,7
78,1709634689.8734975,1709634689.896437,12
79,1709634701.883115,1709634701.9080977,12
80,1709634713.9797473,1709634714.0036006,7
81,1709634721.076503,1709634721.103073,10
82,1709634731.0815082,1709634731.0980237,12
83,1709634743.284098,1709634743.3121352,12
84,1709634755.37563,1709634755.3946652,12
85,1709634767.4812555,1709634767.5004935,12
86,1709634779.5751848,1709634779.5806448,12
87,1709634791.674038,1709634791.6798022,12
88,1709634803.7739072,1709634803.7808015,12
89,1709634815.785229,1709634815.808117,12
90,1709634827.8786657,1709634827.8993876,12
91,1709634839.8845744,1709634839.8930933,12
92,1709634852.077533,1709634852.083524,12
93,1709634864.4955156,1709634864.5007718,12
94,1709634876.6638763,1709634876.6704466,12
95,1709634888.673559,1709634888.6782925,12
96,1709634900.7735555,1709634900.7780328,12
