,vehicleid,recievetime
0,EN10,1709633948.2628946
1,SW02,1709633948.2743905
2,NE01,1709633948.2954435
3,EN10,1709633948.556185
4,SW02,1709633948.5677812
5,NE01,1709633948.5855043
6,EN10,1709633948.8546083
7,SW02,1709633948.8681126
8,NE01,1709633948.8825436
9,EN10,1709633949.1607966
10,SW02,1709633949.1713116
11,NE01,1709633949.3791955
12,WE13,1709633949.384526
13,EN10,1709633949.469077
14,SW02,1709633949.479767
15,SE14,1709633949.4905114
16,NE01,1709633949.5004985
17,WE13,1709633949.510776
18,WE15,1709633949.5155048
19,EN10,1709633949.7546706
20,SW02,1709633949.767052
21,SE14,1709633949.7760327
22,NE01,1709633949.7849813
23,WE13,1709633949.7953956
24,WE15,1709633949.8007362
25,EN10,1709633950.0595586
26,SW02,1709633950.0694635
27,SE14,1709633950.091336
28,NE01,1709633950.1044
29,WE13,1709633950.1139345
30,WE15,1709633950.1196747
31,EN10,1709633950.3573592
32,SW02,1709633950.368116
33,SE14,1709633950.3793342
34,NE01,1709633950.3881974
35,NW16,1709633950.3952403
36,WE13,1709633950.4104826
37,WE15,1709633950.4162335
38,EN10,1709633950.6564522
39,SW02,1709633950.6655154
40,SE14,1709633950.6746223
41,NE01,1709633950.6828241
42,NW16,1709633950.6893425
43,WE13,1709633950.6962643
44,WE15,1709633950.7011309
45,EN10,1709633950.955986
46,SW02,1709633950.9663184
47,SE14,1709633950.974198
48,NE01,1709633950.9844906
49,NW16,1709633950.9927235
50,WE13,1709633950.9984736
51,WE15,1709633951.0031335
52,EN10,1709633951.2639217
53,SW02,1709633951.2720964
54,SE14,1709633951.2799568
55,NE01,1709633951.2906892
56,NW16,1709633951.296745
57,WE13,1709633951.3029287
58,WE15,1709633951.3116572
59,WE17,1709633951.3169405
60,EN10,1709633951.562868
61,SW02,1709633951.5745418
62,SE14,1709633951.5847077
63,NE01,1709633951.59391
64,NE08,1709633951.598638
65,NW16,1709633951.610886
66,WE13,1709633951.6163604
67,WE15,1709633951.6214464
68,WE17,1709633951.6289647
69,EN10,1709633951.856897
70,SW02,1709633951.8676403
71,SE14,1709633951.8807049
72,NE01,1709633951.8925233
73,NE08,1709633951.8974662
74,NW16,1709633951.9029207
75,WE13,1709633951.9109383
76,WE15,1709633951.91593
