,vehicleid,transtime
0,EN10,1709633945.868366
1,EN10,1709633946.1543531
2,EN10,1709633946.4526632
3,EN10,1709633946.75995
4,NE01,1709633946.7842116
5,EN10,1709633947.0530448
6,NE01,1709633947.072308
7,EN10,1709633947.3542268
8,NE01,1709633947.3845978
9,EN10,1709633947.6555746
10,NE01,1709633947.6827483
11,EN10,1709633947.9518263
12,NE01,1709633948.1341462
13,EN10,1709633948.262302
14,SW02,1709633948.2727506
15,NE01,1709633948.285043
16,EN10,1709633948.5556436
17,SW02,1709633948.5666509
18,NE01,1709633948.5849767
19,EN10,1709633948.8541155
20,SW02,1709633948.8676345
21,NE01,1709633948.8819427
22,EN10,1709633949.1602993
23,SW02,1709633949.1707344
24,NE01,1709633949.18561
25,WE13,1709633949.1948943
26,EN10,1709633949.4685025
27,SW02,1709633949.4790118
28,SE14,1709633949.4897063
29,NE01,1709633949.4992135
30,WE13,1709633949.5099216
31,WE15,1709633949.513658
32,EN10,1709633949.7539842
33,SW02,1709633949.7664254
34,SE14,1709633949.7743983
35,NE01,1709633949.7843645
36,WE13,1709633949.7947726
37,WE15,1709633949.7989347
38,EN10,1709633950.0590127
39,SW02,1709633950.0688565
40,SE14,1709633950.0906312
41,NE01,1709633950.1023076
42,WE13,1709633950.1133316
43,WE15,1709633950.1165977
44,EN10,1709633950.3567443
45,SW02,1709633950.367507
46,SE14,1709633950.3788075
47,NE01,1709633950.3877134
48,NW16,1709633950.3938036
49,WE13,1709633950.4004385
50,WE15,1709633950.4030354
51,EN10,1709633950.6548612
52,SW02,1709633950.6650898
53,SE14,1709633950.6737792
54,NE01,1709633950.6823096
55,NW16,1709633950.6886525
56,WE13,1709633950.6957514
57,WE15,1709633950.6993282
58,EN10,1709633950.9554896
59,SW02,1709633950.9657989
60,SE14,1709633950.973759
61,NE01,1709633950.9839995
62,NW16,1709633950.9904356
63,WE13,1709633950.9980857
64,WE15,1709633951.0015693
65,EN10,1709633951.2633216
66,SW02,1709633951.271539
67,SE14,1709633951.2791598
68,NE01,1709633951.290081
69,NW16,1709633951.2961726
70,WE13,1709633951.3023393
71,WE15,1709633951.3069808
72,WE17,1709633951.3130493
73,EN10,1709633951.5622656
74,SW02,1709633951.5734239
75,SE14,1709633951.5841324
76,NE01,1709633951.5933578
77,NE08,1709633951.596936
78,NW16,1709633951.6034527
79,WE13,1709633951.611023
80,WE15,1709633951.6164103
81,WE17,1709633951.6202064
82,EN10,1709633951.8561833
83,SW02,1709633951.8667467
84,SE14,1709633951.880112
85,NE01,1709633951.8919156
86,NE08,1709633951.8962917
87,NW16,1709633951.9022534
88,WE13,1709633951.9102833
89,WE15,1709633951.914404
90,WE17,1709633951.918439
91,EN10,1709633952.1616228
92,SW02,1709633952.1723053
93,SE14,1709633952.1817472
94,NE01,1709633952.1898413
95,NE08,1709633952.1939573
96,NW16,1709633952.2006009
97,WE13,1709633952.2074618
98,WE15,1709633952.2111998
99,WE17,1709633952.2145524
100,WS19,1709633952.2214708
101,EN10,1709633952.4579608
102,SW02,1709633952.4681115
103,SE14,1709633952.4780583
104,NE01,1709633952.4867284
105,NE08,1709633952.490608
106,NW16,1709633952.4985225
107,WE13,1709633952.505093
108,WE15,1709633952.5098217
109,WE17,1709633952.513677
110,WS19,1709633952.5225937
111,EN10,1709633952.7714744
112,SW02,1709633952.784192
113,SE14,1709633952.7953875
114,NS110,1709633952.8048975
115,NE01,1709633952.8123345
116,NE08,1709633952.815514
117,NW16,1709633952.8231285
118,WE13,1709633952.8300345
119,WE15,1709633952.834317
120,WE17,1709633952.8422673
121,WS19,1709633952.8496888
122,EN10,1709633953.0653856
123,SW02,1709633953.0784163
124,SE14,1709633953.0898163
125,NS110,1709633953.096396
126,NE01,1709633953.1072793
127,NE08,1709633953.1115215
128,NE011,1709633953.115235
129,NW16,1709633953.1238775
130,WE13,1709633953.130628
131,WE15,1709633953.1343274
132,WE17,1709633953.1392372
133,WS19,1709633953.1460707
134,EN10,1709633953.3717813
135,SW02,1709633953.3850994
136,SE14,1709633953.4022212
137,SE112,1709633953.4077847
138,NS110,1709633953.4168248
139,NE01,1709633953.4243858
140,NE08,1709633953.4301286
141,NE011,1709633953.4350893
142,NW16,1709633953.450723
143,WE13,1709633953.4620156
144,WE15,1709633953.4647803
145,WE17,1709633953.4681175
146,WE113,1709633953.4720726
147,WS19,1709633953.4806035
148,EN10,1709633953.6674213
149,SW02,1709633953.6813579
150,SW014,1709633953.6861815
151,SE14,1709633953.6982486
152,SE112,1709633953.7033617
153,NS110,1709633953.7129226
154,NE01,1709633953.7211916
155,NE08,1709633953.7257073
156,NE011,1709633953.7301562
157,NW16,1709633953.7394829
158,WE13,1709633953.7471123
159,WE15,1709633953.7512844
160,WE17,1709633953.75681
161,WE113,1709633953.7641218
162,WS19,1709633953.7797408
163,EN10,1709633953.9611552
164,SW02,1709633953.975413
165,SW014,1709633953.9797196
166,SE14,1709633953.9946613
