,starttime,endtime,phaseDuration
0,1709635369.7803247,1709635369.7920544,8
1,1709635377.7828891,1709635377.7916486,25
2,1709635402.885451,1709635402.8911655,8
3,1709635410.8850806,1709635410.8885949,8
4,1709635419.0831614,1709635419.0880647,25
5,1709635444.182736,1709635444.1897342,8
6,1709635452.186802,1709635452.1940918,8
7,1709635460.2847116,1709635460.29142,8
8,1709635468.3801568,1709635468.3855941,8
9,1709635476.48158,1709635476.4877057,9
10,1709635485.5849829,1709635485.5900624,8
11,1709635493.5842557,1709635493.5878258,8
12,1709635501.5914485,1709635501.595273,8
13,1709635509.7860272,1709635509.789275,8
14,1709635517.8803732,1709635517.8850563,14
15,1709635531.9862218,1709635531.992309,8
16,1709635540.0860438,1709635540.0915327,8
17,1709635548.0829196,1709635548.090548,8
18,1709635556.1833122,1709635556.1861491,8
19,1709635564.1842976,1709635564.1882868,8
20,1709635572.3896532,1709635572.3938096,8
21,1709635580.386795,1709635580.3896697,8
22,1709635588.5837932,1709635588.5874596,8
23,1709635596.5874522,1709635596.5902195,8
24,1709635604.7832696,1709635604.7904398,8
25,1709635612.8889594,1709635612.8934374,8
26,1709635620.9861577,1709635620.9926684,8
27,1709635628.9866052,1709635628.9910533,8
28,1709635637.1833072,1709635637.1877334,8
29,1709635645.2880516,1709635645.2910526,8
30,1709635653.3814063,1709635653.3862915,8
31,1709635661.4827318,1709635661.4884534,9
32,1709635670.5865955,1709635670.5891037,8
33,1709635678.6826684,1709635678.6897678,8
34,1709635686.594277,1709635686.5996637,8
35,1709635694.7892241,1709635694.7914393,8
36,1709635702.8835304,1709635702.8863149,11
37,1709635713.9835277,1709635713.9871836,8
38,1709635721.9898055,1709635721.9958003,8
39,1709635730.0882187,1709635730.0915146,15
40,1709635745.1908066,1709635745.1949973,8
41,1709635753.2821448,1709635753.287217,8
42,1709635761.3877597,1709635761.390473,8
43,1709635769.3869717,1709635769.3908186,8
44,1709635777.4866207,1709635777.4906085,16
45,1709635793.480336,1709635793.4851358,8
46,1709635801.4886544,1709635801.497836,8
47,1709635809.5842543,1709635809.5871677,25
48,1709635834.582623,1709635834.5871055,8
49,1709635842.6846938,1709635842.688836,25
50,1709635867.6876042,1709635867.6917174,25
51,1709635892.7829797,1709635892.7863748,25
52,1709635917.8874662,1709635917.8966951,10
53,1709635927.7951467,1709635927.8028853,8
54,1709635935.8888712,1709635935.8961065,8
55,1709635943.982855,1709635943.986875,8
56,1709635951.8949206,1709635951.899821,25
57,1709635976.9818208,1709635976.9866562,8
58,1709635984.9829679,1709635984.9863088,8
59,1709635993.0834143,1709635993.086068,8
60,1709636001.1847837,1709636001.1878946,8
61,1709636009.284781,1709636009.2893841,8
62,1709636017.286089,1709636017.289541,8
63,1709636025.3814645,1709636025.3872635,8
64,1709636033.3876846,1709636033.3934827,8
65,1709636041.4806993,1709636041.486749,8
66,1709636049.5914943,1709636049.5938325,8
67,1709636057.5902553,1709636057.5961525,8
68,1709636065.686121,1709636065.6900613,8
69,1709636073.6881137,1709636073.6929119,8
70,1709636081.6859934,1709636081.6936219,8
71,1709636089.79272,1709636089.7981007,8
72,1709636097.7927322,1709636097.7954504,9
73,1709636106.8910735,1709636106.895822,8
74,1709636114.9882693,1709636114.992146,10
75,1709636125.0813072,1709636125.084345,25
76,1709636150.1926436,1709636150.1980581,8
77,1709636158.1861053,1709636158.1907,8
78,1709636166.284473,1709636166.2915795,8
79,1709636174.2878573,1709636174.2921076,8
80,1709636182.3856974,1709636182.3945422,8
81,1709636190.4847596,1709636190.487402,8
82,1709636198.5881488,1709636198.5951936,8
83,1709636206.6816764,1709636206.6863296,8
84,1709636214.6868112,1709636214.6902695,8
85,1709636222.6970472,1709636222.7010155,8
86,1709636230.795572,1709636230.7984593,8
87,1709636238.8909748,1709636238.8971927,8
88,1709636247.0819693,1709636247.0880797,8
89,1709636255.188236,1709636255.1980324,8
90,1709636263.2891672,1709636263.2989616,8
91,1709636271.3885424,1709636271.3920333,8
92,1709636279.4833446,1709636279.4865637,8
93,1709636287.580269,1709636287.5841048,8
94,1709636295.680287,1709636295.683172,8
95,1709636304.083522,1709636304.0873885,8
