,vehicleid,recievetime
0,EW10,1709635369.2201633
1,EW10,1709635369.5115921
2,EW10,1709635369.8108995
3,EW10,1709635370.119585
4,NE01,1709635370.472597
5,EW10,1709635370.4829385
6,NE01,1709635370.4973838
7,EW10,1709635370.7280295
8,NE01,1709635370.7453349
9,WE13,1709635370.7543044
10,WN02,1709635370.7649844
11,EW10,1709635371.0103753
12,NE01,1709635371.0385344
13,WE13,1709635371.0488422
14,WN02,1709635371.0601692
15,EW10,1709635371.3194644
16,NE01,1709635371.3466785
17,WE13,1709635371.3610754
18,WN02,1709635371.3735347
19,WN04,1709635371.38953
20,EW10,1709635371.621564
21,NS15,1709635371.6386497
22,NE01,1709635371.6567307
23,WE13,1709635371.6671488
24,WN02,1709635371.6822703
25,WN04,1709635371.6926744
26,EW10,1709635371.9231765
27,NS15,1709635371.9435651
28,NE01,1709635371.95031
29,WE13,1709635371.9651113
30,WE16,1709635371.9786022
31,WN02,1709635371.9967043
32,WN04,1709635372.0026
33,EW10,1709635372.2119937
34,NS15,1709635372.2307048
35,NE01,1709635372.2405493
36,WE13,1709635372.2518473
37,WE16,1709635372.2576954
38,WN02,1709635372.2685087
39,WN04,1709635372.2752972
40,EW10,1709635372.5222385
41,NS15,1709635372.5436995
42,NE01,1709635372.5495112
43,WE13,1709635372.5620441
44,WE16,1709635372.5681176
45,WE17,1709635372.5796196
46,WN02,1709635372.595964
47,WN04,1709635372.6046546
48,EW10,1709635372.8346624
49,NS15,1709635372.8528254
50,NE01,1709635372.861083
51,NE08,1709635372.8695476
52,NW19,1709635372.8883815
53,WE13,1709635372.904348
54,WE16,1709635372.9099157
55,WE17,1709635372.9152064
56,WN02,1709635372.9222398
57,WN04,1709635372.9285653
58,WN010,1709635372.9346168
59,EW10,1709635373.1216218
60,EW111,1709635373.129162
61,NS15,1709635373.142437
62,NE01,1709635373.149675
63,NE08,1709635373.1631818
64,NW19,1709635373.1690998
65,WE13,1709635373.177351
66,WE16,1709635373.1852565
67,WE17,1709635373.1922069
68,WN02,1709635373.1998665
69,WN04,1709635373.2054572
70,WN010,1709635373.211116
71,EW10,1709635373.4132688
72,EW111,1709635373.4187658
73,SW012,1709635373.425927
74,NS15,1709635373.4451854
75,NE01,1709635373.4541683
76,NE08,1709635373.4607892
77,NW19,1709635373.4688494
78,WE13,1709635373.4806383
79,WE16,1709635373.4865847
80,WE17,1709635373.4911907
81,WN02,1709635373.496546
82,WN04,1709635373.5015583
83,WN010,1709635373.5064209
84,EW10,1709635373.720705
85,EW111,1709635373.7261333
86,SW012,1709635373.7305622
87,SN113,1709635373.7378733
88,NS15,1709635373.75203
89,NE01,1709635373.759559
90,NE08,1709635373.7651148
91,NW19,1709635373.772868
92,WE13,1709635373.7795467
93,WE16,1709635373.786532
94,WE17,1709635373.7912478
95,WN02,1709635373.7989194
96,WN04,1709635373.8060298
97,WN010,1709635373.8115003
98,EN116,1709635374.030725
99,EW10,1709635374.0466108
100,EW111,1709635374.057083
101,EW115,1709635374.0624142
102,SW012,1709635374.085765
103,SW014,1709635374.0946076
104,SN113,1709635374.1101775
105,NS15,1709635374.116338
106,NE01,1709635374.1211135
107,NE08,1709635374.1283987
108,NW19,1709635374.1334763
109,WE13,1709635374.1397762
110,WE16,1709635374.1495426
111,WE17,1709635374.1547022
112,WN02,1709635374.1605163
113,WN04,1709635374.166965
114,WN010,1709635374.171772
115,EN116,1709635374.3141222
116,EW10,1709635374.323385
117,EW111,1709635374.330246
118,EW115,1709635374.3386087
119,EW117,1709635374.3476348
120,SW012,1709635374.3658104
121,SW014,1709635374.3734884
122,SN113,1709635374.3789682
123,NS15,1709635374.387001
124,NE01,1709635374.3926768
125,NE08,1709635374.3999748
126,NW19,1709635374.4060345
127,WE13,1709635374.4115365
128,WE16,1709635374.4186068
129,WE17,1709635374.424983
130,WN02,1709635374.4307117
131,WN04,1709635374.4372802
132,WN010,1709635374.4425898
133,EN116,1709635374.6196828
134,EW10,1709635374.6272044
135,EW111,1709635374.6364021
136,EW115,1709635374.6426687
137,EW117,1709635374.6513734
138,SW012,1709635374.6595776
139,SW014,1709635374.66516
140,SN113,1709635374.671964
141,NS15,1709635374.6789076
142,NE01,1709635374.6874893
143,NE08,1709635374.6915483
144,NW19,1709635374.7042875
145,WE13,1709635374.7093818
146,WE16,1709635374.7174659
147,WE17,1709635374.7227974
148,WN02,1709635374.7321332
149,WN04,1709635374.7387915
150,WN010,1709635374.7489831
151,WN018,1709635374.753958
152,EN116,1709635374.9067183
153,EW10,1709635374.9125862
154,EW111,1709635374.9176974
155,EW115,1709635374.9267123
156,EW117,1709635374.9404204
157,SW012,1709635374.946777
158,SW014,1709635374.9524076
159,SN113,1709635374.9599705
160,NS15,1709635374.9636104
161,NE01,1709635374.969082
162,NE08,1709635374.975272
163,NW19,1709635374.9845793
164,WE13,1709635374.990088
165,WE16,1709635374.9960513
166,WE17,1709635375.0024123
167,WN02,1709635375.0106964
168,WN04,1709635375.0197816
169,WN010,1709635375.0268524
170,WN018,1709635375.0348382
171,EN116,1709635375.2097592
172,EW10,1709635375.220356
173,EW111,1709635375.2271276
174,EW115,1709635375.2335358
175,EW117,1709635375.2388296
176,SW012,1709635375.2449026
177,SW014,1709635375.2514126
178,SN113,1709635375.2567859
179,NS15,1709635375.266883
180,NE01,1709635375.2818751
181,NE08,1709635375.290793
182,NW19,1709635375.2965958
183,WE13,1709635375.3036687
184,WE16,1709635375.3083365
185,WE17,1709635375.318747
186,WN02,1709635375.3283107
187,WN04,1709635375.3429902
188,WN010,1709635375.351731
189,WN018,1709635375.359703
190,EN116,1709635375.5111873
191,EW10,1709635375.5188224
192,EW111,1709635375.5235093
193,EW115,1709635375.527714
194,EW117,1709635375.532782
195,SW012,1709635375.5381048
196,SW014,1709635375.5430164
197,SN113,1709635375.548474
198,NS15,1709635375.5620358
199,NE01,1709635375.5853517
200,NE08,1709635375.5917382
201,NE019,1709635375.5974717
202,NW19,1709635375.6102865
203,WE13,1709635375.6169162
204,WE16,1709635375.621494
205,WE17,1709635375.6258366
206,WN02,1709635375.6327841
207,WN04,1709635375.638088
208,WN010,1709635375.6436036
209,WN018,1709635375.6521456
210,EN116,1709635375.8119266
211,EW10,1709635375.821169
212,EW111,1709635375.8265383
213,EW115,1709635375.831611
214,EW117,1709635375.837449
215,SW012,1709635375.8440554
216,SW014,1709635375.8508434
217,SN113,1709635375.8617032
218,NS15,1709635375.8724442
219,NE01,1709635375.8834097
220,NE08,1709635375.8898842
221,NE019,1709635375.8947616
222,NW19,1709635375.900868
223,WE13,1709635375.9083147
224,WE16,1709635375.9206333
225,WE17,1709635375.935097
226,WN02,1709635375.9411557
227,WN04,1709635375.9512
228,WN010,1709635375.9576404
229,WN018,1709635375.9639015
230,EN116,1709635376.1171703
231,EW10,1709635376.128815
232,EW111,1709635376.138357
233,EW115,1709635376.1488945
234,EW117,1709635376.1554124
235,SW012,1709635376.1604288
236,SW014,1709635376.1658697
237,SN113,1709635376.171382
238,NS15,1709635376.1851773
239,NE01,1709635376.1941192
240,NE08,1709635376.2030895
241,NE019,1709635376.20978
242,NW19,1709635376.2153542
243,WE13,1709635376.2215195
244,WE16,1709635376.2282615
245,WE17,1709635376.2388813
246,WS120,1709635376.245762
247,WN02,1709635376.2603443
248,WN04,1709635376.2689347
249,WN010,1709635376.2740808
250,WN018,1709635376.2789953
251,EN116,1709635376.406333
252,EW10,1709635376.4182374
253,EW111,1709635376.4251554
254,EW115,1709635376.4327242
255,EW117,1709635376.439812
256,SW012,1709635376.4509542
257,SW014,1709635376.4578104
258,SN113,1709635376.465184
259,NS15,1709635376.4799254
260,NE01,1709635376.4871552
261,NE08,1709635376.4923532
262,NE019,1709635376.5006607
263,NW19,1709635376.5055773
264,WE13,1709635376.5118632
265,WE16,1709635376.5205078
266,WE17,1709635376.5254917
267,WS120,1709635376.5305936
268,WN02,1709635376.5380833
269,WN04,1709635376.5488236
270,WN010,1709635376.5564926
271,WN018,1709635376.5619142
272,EN116,1709635376.7155602
273,EW10,1709635376.725139
274,EW111,1709635376.7318616
