,vehicleid,transtime
0,EW10,1709635369.2195327
1,EW10,1709635369.511096
2,EW10,1709635369.8103507
3,EW10,1709635370.1187744
4,NE01,1709635370.1391134
5,EW10,1709635370.4772823
6,NE01,1709635370.4966457
7,EW10,1709635370.72749
8,NE01,1709635370.7448282
9,WE13,1709635370.7538366
10,WN02,1709635370.7629957
11,EW10,1709635371.0097387
12,NE01,1709635371.037778
13,WE13,1709635371.048353
14,WN02,1709635371.0596888
15,EW10,1709635371.3186846
16,NE01,1709635371.3460114
17,WE13,1709635371.3601222
18,WN02,1709635371.3729446
19,WN04,1709635371.388191
20,EW10,1709635371.6212277
21,NS15,1709635371.6381466
22,NE01,1709635371.6511216
23,WE13,1709635371.6650872
24,WN02,1709635371.6818593
25,WN04,1709635371.6865492
26,EW10,1709635371.922693
27,NS15,1709635371.9430668
28,NE01,1709635371.9497435
29,WE13,1709635371.9622889
30,WE16,1709635371.9681325
31,WN02,1709635371.9871516
32,WN04,1709635371.9919348
33,EW10,1709635372.2114391
34,NS15,1709635372.2300897
35,NE01,1709635372.239913
36,WE13,1709635372.2500837
37,WE16,1709635372.2551672
38,WN02,1709635372.2643895
39,WN04,1709635372.2682283
40,EW10,1709635372.521376
41,NS15,1709635372.5431085
42,NE01,1709635372.549095
43,WE13,1709635372.561372
44,WE16,1709635372.5655
45,WE17,1709635372.578592
46,WN02,1709635372.5924902
47,WN04,1709635372.5979044
48,EW10,1709635372.8325617
49,NS15,1709635372.8522916
50,NE01,1709635372.8605425
51,NE08,1709635372.866252
52,NW19,1709635372.8748736
53,WE13,1709635372.8867266
54,WE16,1709635372.8909187
55,WE17,1709635372.897222
56,WN02,1709635372.907177
57,WN04,1709635372.9106693
58,WN010,1709635372.9218147
59,EW10,1709635373.120499
60,EW111,1709635373.1262014
61,NS15,1709635373.1419146
62,NE01,1709635373.1490424
63,NE08,1709635373.1537204
64,NW19,1709635373.1628952
65,WE13,1709635373.171493
66,WE16,1709635373.1758294
67,WE17,1709635373.1808197
68,WN02,1709635373.1950097
69,WN04,1709635373.201449
70,WN010,1709635373.2063003
71,EW10,1709635373.4127183
72,EW111,1709635373.4175432
73,SW012,1709635373.4244995
74,NS15,1709635373.4412758
75,NE01,1709635373.4526017
76,NE08,1709635373.4579325
77,NW19,1709635373.465148
78,WE13,1709635373.4764216
79,WE16,1709635373.4812107
80,WE17,1709635373.4854677
81,WN02,1709635373.494494
82,WN04,1709635373.4979458
83,WN010,1709635373.5019026
84,EW10,1709635373.7202184
85,EW111,1709635373.723784
86,SW012,1709635373.729856
87,SN113,1709635373.7372143
88,NS15,1709635373.7504447
89,NE01,1709635373.7589962
90,NE08,1709635373.762906
91,NW19,1709635373.7720623
92,WE13,1709635373.7791703
93,WE16,1709635373.7845936
94,WE17,1709635373.7879221
95,WN02,1709635373.796438
96,WN04,1709635373.8044765
97,WN010,1709635373.8081203
98,EN116,1709635374.031094
99,EW10,1709635374.039229
100,EW111,1709635374.0442405
101,EW115,1709635374.0471997
102,SW012,1709635374.0567484
103,SW014,1709635374.0593522
104,SN113,1709635374.0658047
105,NS15,1709635374.0796382
106,NE01,1709635374.0905516
107,NE08,1709635374.0964541
108,NW19,1709635374.1056864
109,WE13,1709635374.1121535
110,WE16,1709635374.1176634
111,WE17,1709635374.1208673
112,WN02,1709635374.1312387
113,WN04,1709635374.1412106
114,WN010,1709635374.14749
115,EN116,1709635374.3134875
116,EW10,1709635374.3226604
117,EW111,1709635374.327768
118,EW115,1709635374.3315985
119,EW117,1709635374.3358479
120,SW012,1709635374.3480437
121,SW014,1709635374.3587565
122,SN113,1709635374.3665457
123,NS15,1709635374.3771846
124,NE01,1709635374.3839014
125,NE08,1709635374.3874655
126,NW19,1709635374.395883
127,WE13,1709635374.4032702
128,WE16,1709635374.4085312
129,WE17,1709635374.4145048
130,WN02,1709635374.4255311
131,WN04,1709635374.4352367
132,WN010,1709635374.439051
133,EN116,1709635374.619106
134,EW10,1709635374.6264443
135,EW111,1709635374.6301966
136,EW115,1709635374.6352994
137,EW117,1709635374.6394541
138,SW012,1709635374.6465068
139,SW014,1709635374.6534495
140,SN113,1709635374.6630688
141,NS15,1709635374.677053
142,NE01,1709635374.6871972
143,NE08,1709635374.690922
144,NW19,1709635374.6986737
145,WE13,1709635374.7060933
146,WE16,1709635374.7102978
147,WE17,1709635374.7177522
148,WN02,1709635374.7309663
149,WN04,1709635374.737754
150,WN010,1709635374.7425423
151,WN018,1709635374.7489703
152,EN116,1709635374.906069
153,EW10,1709635374.9121022
154,EW111,1709635374.9167218
155,EW115,1709635374.9201238
156,EW117,1709635374.9240155
157,SW012,1709635374.9340546
158,SW014,1709635374.938367
159,SN113,1709635374.946374
160,NS15,1709635374.9602654
161,NE01,1709635374.96822
162,NE08,1709635374.9723618
163,NW19,1709635374.9800704
164,WE13,1709635374.9896085
165,WE16,1709635374.995507
166,WE17,1709635375.0015655
167,WN02,1709635375.0103571
168,WN04,1709635375.0147173
169,WN010,1709635375.019535
170,WN018,1709635375.0277667
171,EN116,1709635375.2091742
172,EW10,1709635375.2197478
173,EW111,1709635375.2255442
174,EW115,1709635375.2285845
175,EW117,1709635375.2331731
176,SW012,1709635375.2404943
177,SW014,1709635375.244437
178,SN113,1709635375.2514188
179,NS15,1709635375.2656608
180,NE01,1709635375.2801652
181,NE08,1709635375.2847178
182,NW19,1709635375.292539
183,WE13,1709635375.29928
184,WE16,1709635375.3030307
185,WE17,1709635375.307089
186,WN02,1709635375.3210506
187,WN04,1709635375.3251064
188,WN010,1709635375.3353643
189,WN018,1709635375.339745
190,EN116,1709635375.5105953
191,EW10,1709635375.5183027
192,EW111,1709635375.5207314
193,EW115,1709635375.523566
194,EW117,1709635375.5271266
195,SW012,1709635375.535195
196,SW014,1709635375.539546
197,SN113,1709635375.547238
198,NS15,1709635375.5616453
199,NE01,1709635375.5845249
200,NE08,1709635375.5914838
201,NE019,1709635375.5954237
202,NW19,1709635375.6030748
203,WE13,1709635375.6094098
204,WE16,1709635375.6131632
205,WE17,1709635375.6179817
206,WN02,1709635375.6261535
207,WN04,1709635375.6294854
208,WN010,1709635375.633305
209,WN018,1709635375.6370041
210,EN116,1709635375.8114574
211,EW10,1709635375.820942
212,EW111,1709635375.8251028
213,EW115,1709635375.8291302
214,EW117,1709635375.833043
215,SW012,1709635375.8414283
216,SW014,1709635375.845605
217,SN113,1709635375.8531759
218,NS15,1709635375.872076
219,NE01,1709635375.8825693
220,NE08,1709635375.8876467
221,NE019,1709635375.8916664
222,NW19,1709635375.9005804
223,WE13,1709635375.9073346
224,WE16,1709635375.9143102
225,WE17,1709635375.9184551
226,WN02,1709635375.9326692
227,WN04,1709635375.9370537
228,WN010,1709635375.9417927
229,WN018,1709635375.9490302
230,EN116,1709635376.1157148
231,EW10,1709635376.1264994
232,EW111,1709635376.131292
233,EW115,1709635376.137799
234,EW117,1709635376.1431348
235,SW012,1709635376.1532333
236,SW014,1709635376.1568398
237,SN113,1709635376.163136
238,NS15,1709635376.1740894
239,NE01,1709635376.1834235
240,NE08,1709635376.18912
241,NE019,1709635376.1949532
242,NW19,1709635376.2064867
243,WE13,1709635376.2160497
244,WE16,1709635376.2214835
245,WE17,1709635376.2265801
246,WS120,1709635376.238145
247,WN02,1709635376.248531
248,WN04,1709635376.2523665
249,WN010,1709635376.2560167
250,WN018,1709635376.2595134
251,EN116,1709635376.4057176
252,EW10,1709635376.4176342
253,EW111,1709635376.4228342
254,EW115,1709635376.428997
255,EW117,1709635376.4342475
256,SW012,1709635376.4470525
257,SW014,1709635376.4504452
258,SN113,1709635376.4594133
259,NS15,1709635376.477648
260,NE01,1709635376.485544
261,NE08,1709635376.4895265
262,NE019,1709635376.4986293
263,NW19,1709635376.505057
264,WE13,1709635376.5114424
265,WE16,1709635376.515712
266,WE17,1709635376.5191686
267,WS120,1709635376.527105
268,WN02,1709635376.5364263
269,WN04,1709635376.5428762
270,WN010,1709635376.5506759
271,WN018,1709635376.5545616
272,EN116,1709635376.714969
273,EW10,1709635376.724469
274,EW111,1709635376.7313423
275,EW115,1709635376.7361758
276,EW117,1709635376.739771
277,SW012,1709635376.7513907
278,SW014,1709635376.7552
279,SN113,1709635376.7626486
280,SN121,1709635376.7697399
281,NS15,1709635376.7881281
282,NE01,1709635376.794921
283,NE08,1709635376.799149
284,NE019,1709635376.8019197
285,NW19,1709635376.8094013
286,WE13,1709635376.817593
