,vehicleid,recievetime
0,NW10,1709636983.2006972
1,NW10,1709636983.4969707
2,NW10,1709636983.7921138
3,SE11,1709636984.1055322
4,NW10,1709636984.1207688
5,SE11,1709636984.3892262
6,NW10,1709636984.402778
7,EW12,1709636984.6917937
8,SE11,1709636984.7100973
9,NW10,1709636984.7209659
10,EW12,1709636984.978272
11,SE11,1709636984.9910085
12,NW10,1709636985.0042675
13,EW12,1709636985.2894945
14,SE11,1709636985.3070316
15,NW10,1709636985.3251913
16,NW13,1709636985.331476
17,EW12,1709636985.5838523
18,SE11,1709636985.6039574
19,NW10,1709636985.6176407
20,NW13,1709636985.6239448
21,EW12,1709636985.8870902
22,SE11,1709636985.900027
23,NE04,1709636985.911121
24,NW10,1709636985.9325979
25,NW13,1709636985.9379816
26,EW12,1709636986.193359
27,SW05,1709636986.202645
28,SE11,1709636986.2164114
29,NE04,1709636986.2276816
30,NW10,1709636986.2332091
31,NW13,1709636986.2510242
32,EW12,1709636986.480382
33,SW05,1709636986.4922173
34,SE11,1709636986.5001311
35,NE04,1709636986.5119226
36,NW10,1709636986.52076
37,NW13,1709636986.5340052
38,EW12,1709636986.7885268
39,SW05,1709636986.7964613
40,SE11,1709636986.8064675
41,NE04,1709636986.8162293
42,NW10,1709636986.8248558
43,NW13,1709636986.8298833
44,NW16,1709636986.8368106
45,EW12,1709636987.0778713
46,SW05,1709636987.0868196
47,SE11,1709636987.096281
48,NS17,1709636987.1067042
49,NE04,1709636987.120388
50,NW10,1709636987.1252065
51,NW13,1709636987.1295657
52,NW16,1709636987.1346333
53,EW12,1709636987.374482
54,SW05,1709636987.380395
55,SE11,1709636987.3920581
56,NS17,1709636987.4017193
57,NE04,1709636987.4093487
58,NW10,1709636987.4160757
59,NW13,1709636987.4208665
60,NW16,1709636987.4243095
61,EW12,1709636987.6797733
62,SW05,1709636987.685563
63,SE11,1709636987.6950958
64,NS17,1709636987.702327
65,NE04,1709636987.7096338
66,NW10,1709636987.7156572
67,NW13,1709636987.720381
68,NW16,1709636987.7247624
69,WE18,1709636987.729056
70,EW12,1709636987.9883502
71,SW05,1709636987.9983761
72,SE11,1709636988.0087686
73,SE19,1709636988.015769
74,NS17,1709636988.0284486
75,NE04,1709636988.0338976
76,NW10,1709636988.0393534
77,NW13,1709636988.0437136
78,NW16,1709636988.0481513
79,WE18,1709636988.0602875
80,EW12,1709636988.294343
81,SW05,1709636988.3004549
82,SE11,1709636988.313861
83,SE19,1709636988.31936
84,NS17,1709636988.3242202
85,NE04,1709636988.3307111
86,NW10,1709636988.336683
87,NW13,1709636988.3420193
88,NW16,1709636988.347018
89,WE18,1709636988.3572614
90,WS111,1709636988.3628063
91,WN010,1709636988.3788397
92,ES013,1709636988.5844471
93,EW12,1709636988.5991712
94,SW05,1709636988.606247
95,SE11,1709636988.616488
96,SE19,1709636988.6240017
97,NS17,1709636988.6359432
98,NE04,1709636988.6411302
99,NW10,1709636988.6517756
100,NW13,1709636988.6579325
101,NW16,1709636988.6632512
102,WE18,1709636988.6744158
103,WS111,1709636988.6872995
104,WS112,1709636988.691861
105,WN010,1709636988.711584
106,ES013,1709636988.8917284
107,EN116,1709636988.8989563
108,EW12,1709636988.9155478
109,SW05,1709636988.9228306
110,SW014,1709636988.9291081
111,SE11,1709636988.9416165
112,SE19,1709636988.946838
113,NS17,1709636988.950328
114,NE04,1709636988.9535885
115,NW10,1709636988.9594395
116,NW13,1709636988.9663076
117,NW16,1709636988.9716642
118,WE18,1709636988.9777377
119,WS111,1709636988.9850073
120,WS112,1709636988.9901805
121,WN010,1709636988.9948816
122,WN015,1709636989.0001376
123,ES013,1709636989.1828628
124,ES017,1709636989.1891916
125,EN116,1709636989.209889
126,EW12,1709636989.218542
127,SW05,1709636989.2251747
128,SW014,1709636989.2327006
129,SE11,1709636989.2414546
130,SE19,1709636989.2458093
131,NS17,1709636989.2564337
132,NE04,1709636989.270433
133,NW10,1709636989.281102
134,NW13,1709636989.2882025
135,NW16,1709636989.301237
136,WE18,1709636989.3067546
137,WS111,1709636989.3120892
138,WS112,1709636989.3186915
139,WN010,1709636989.3281677
140,WN015,1709636989.3352435
141,ES013,1709636989.4765122
142,ES017,1709636989.484492
143,ES018,1709636989.4927258
144,EN116,1709636989.5098107
145,EW12,1709636989.5171373
146,SW05,1709636989.5220833
147,SW014,1709636989.5268552
148,SE11,1709636989.5321846
149,SE19,1709636989.5382879
150,NS17,1709636989.542395
151,NE04,1709636989.547137
152,NW10,1709636989.553231
