,vehicleid,transtime
0,NW10,1709636983.2001467
1,NW10,1709636983.4955208
2,NW10,1709636983.791503
3,SE11,1709636984.1049175
4,NW10,1709636984.1185465
5,SE11,1709636984.3886254
6,NW10,1709636984.4022107
7,EW12,1709636984.690551
8,SE11,1709636984.7033567
9,NW10,1709636984.720326
10,EW12,1709636984.9777794
11,SE11,1709636984.990634
12,NW10,1709636985.00343
13,EW12,1709636985.2888238
14,SE11,1709636985.3063836
15,NW10,1709636985.324551
16,NW13,1709636985.32979
17,EW12,1709636985.581184
18,SE11,1709636985.6024578
19,NW10,1709636985.616536
20,NW13,1709636985.621193
21,EW12,1709636985.8862655
22,SE11,1709636985.8994231
23,NE04,1709636985.910696
24,NW10,1709636985.9229522
25,NW13,1709636985.9272268
26,EW12,1709636986.1916924
27,SW05,1709636986.2018707
28,SE11,1709636986.212299
29,NE04,1709636986.2252192
30,NW10,1709636986.232182
31,NW13,1709636986.2442377
32,EW12,1709636986.4796953
33,SW05,1709636986.489206
34,SE11,1709636986.498947
35,NE04,1709636986.508277
36,NW10,1709636986.5187092
37,NW13,1709636986.5224996
38,EW12,1709636986.7878432
39,SW05,1709636986.7954943
40,SE11,1709636986.8059015
41,NE04,1709636986.8155441
42,NW10,1709636986.823359
43,NW13,1709636986.8287117
44,NW16,1709636986.8334746
45,EW12,1709636987.077286
46,SW05,1709636987.08574
47,SE11,1709636987.095691
48,NS17,1709636987.1061196
49,NE04,1709636987.1130595
50,NW10,1709636987.1198754
51,NW13,1709636987.1234028
52,NW16,1709636987.1269963
53,EW12,1709636987.3739731
54,SW05,1709636987.3799715
55,SE11,1709636987.391058
56,NS17,1709636987.400144
57,NE04,1709636987.4079535
58,NW10,1709636987.4156375
59,NW13,1709636987.419306
60,NW16,1709636987.422713
61,EW12,1709636987.6792936
62,SW05,1709636987.6852183
63,SE11,1709636987.6941378
64,NS17,1709636987.7015793
65,NE04,1709636987.7089057
66,NW10,1709636987.7151952
67,NW13,1709636987.7175496
68,NW16,1709636987.7212968
69,WE18,1709636987.7274272
70,EW12,1709636987.9879744
71,SW05,1709636987.998355
72,SE11,1709636988.0080495
73,SE19,1709636988.011992
74,NS17,1709636988.0207748
75,NE04,1709636988.027756
76,NW10,1709636988.0378678
77,NW13,1709636988.04149
78,NW16,1709636988.0452425
79,WE18,1709636988.059462
80,EW12,1709636988.2938857
81,SW05,1709636988.2999852
82,SE11,1709636988.3119226
83,SE19,1709636988.3163526
84,NS17,1709636988.323781
85,NE04,1709636988.3299327
86,NW10,1709636988.3362114
87,NW13,1709636988.3387673
88,NW16,1709636988.342417
89,WE18,1709636988.350932
90,WS111,1709636988.3591113
91,WN010,1709636988.3698957
92,ES013,1709636988.5839741
93,EW12,1709636988.5987487
94,SW05,1709636988.6056
95,SE11,1709636988.6157875
96,SE19,1709636988.6197898
97,NS17,1709636988.6330583
98,NE04,1709636988.6401286
99,NW10,1709636988.648864
100,NW13,1709636988.653946
101,NW16,1709636988.6578386
102,WE18,1709636988.6718187
103,WS111,1709636988.6866844
104,WS112,1709636988.690615
105,WN010,1709636988.697947
106,ES013,1709636988.891168
107,EN116,1709636988.8982546
108,EW12,1709636988.9051664
109,SW05,1709636988.912742
110,SW014,1709636988.9212878
111,SE11,1709636988.9346027
112,SE19,1709636988.9389825
113,NS17,1709636988.9457989
114,NE04,1709636988.9524946
115,NW10,1709636988.9589298
116,NW13,1709636988.962701
117,NW16,1709636988.9671168
118,WE18,1709636988.9746568
119,WS111,1709636988.982777
120,WS112,1709636988.9872322
121,WN010,1709636988.9943168
122,WN015,1709636988.9990354
123,ES013,1709636989.1822164
124,ES017,1709636989.1875832
125,EN116,1709636989.199132
126,EW12,1709636989.2088284
127,SW05,1709636989.2230341
128,SW014,1709636989.228538
129,SE11,1709636989.2408786
130,SE19,1709636989.2452173
131,NS17,1709636989.2557535
132,NE04,1709636989.2698245
133,NW10,1709636989.2802122
134,NW13,1709636989.2870154
135,NW16,1709636989.292198
136,WE18,1709636989.3033297
137,WS111,1709636989.3115964
138,WS112,1709636989.317605
139,WN010,1709636989.3271658
140,WN015,1709636989.332641
141,ES013,1709636989.4759302
142,ES017,1709636989.479828
143,ES018,1709636989.4841652
144,EN116,1709636989.492963
145,EW12,1709636989.501886
146,SW05,1709636989.5106437
147,SW014,1709636989.51672
148,SE11,1709636989.5270262
149,SE19,1709636989.530229
150,NS17,1709636989.5378034
151,NE04,1709636989.545351
152,NW10,1709636989.5526803
153,NW13,1709636989.558393
154,NW16,1709636989.5671408
155,WE18,1709636989.576899
156,WS111,1709636989.5865612
157,WS112,1709636989.5909019
158,WN010,1709636989.598988
159,WN015,1709636989.6024847
160,ES013,1709636989.7695472
161,ES017,1709636989.7736392
162,ES018,1709636989.7776184
163,EN116,1709636989.7882538
164,EW12,1709636989.7948854
165,SW05,1709636989.801744
166,SW014,1709636989.8056276
167,SE11,1709636989.8177037
168,SE19,1709636989.8238294
169,NS17,1709636989.8351371
170,NE04,1709636989.8424268
171,NW10,1709636989.8501997
172,NW13,1709636989.8537157
173,NW16,1709636989.8570843
174,WE18,1709636989.8637304
175,WS111,1709636989.8703203
176,WS112,1709636989.8734343
177,WN010,1709636989.8826518
178,WN015,1709636989.888708
179,ES013,1709636990.0790017
180,ES017,1709636990.083109
181,ES018,1709636990.08775
182,EN116,1709636990.0963724
183,EN119,1709636990.1001887
184,EW12,1709636990.1062627
185,SW05,1709636990.112765
186,SW014,1709636990.1168268
187,SE11,1709636990.131598
188,SE19,1709636990.1358438
189,NS17,1709636990.1427934
190,NE04,1709636990.1498888
191,NW10,1709636990.1566596
192,NW13,1709636990.1605523
193,NW16,1709636990.164415
194,WE18,1709636990.1743767
195,WS111,1709636990.1836643
196,WS112,1709636990.1871367
197,WN010,1709636990.1959069
198,WN015,1709636990.2004902
199,ES013,1709636990.3691041
200,ES017,1709636990.3805993
201,ES018,1709636990.3849218
202,EN116,1709636990.3966112
203,EN119,1709636990.4008515
204,EW12,1709636990.4083042
205,SW05,1709636990.4163215
206,SW014,1709636990.420031
207,SE11,1709636990.4305227
208,SE19,1709636990.434304
209,NS17,1709636990.4443839
210,NE04,1709636990.4515076
211,NW10,1709636990.4569762
212,NW13,1709636990.4603753
213,NW16,1709636990.4645953
214,WE18,1709636990.4719489
215,WS111,1709636990.4787948
216,WS112,1709636990.4828753
217,WN010,1709636990.4901068
218,WN015,1709636990.493885
219,ES013,1709636990.6771512
220,ES017,1709636990.6809466
221,ES018,1709636990.6843843
222,ES020,1709636990.689019
223,EN116,1709636990.699476
224,EN119,1709636990.704461
225,EW12,1709636990.7195115
226,SW05,1709636990.730839
227,SW014,1709636990.735587
228,SE11,1709636990.7469473
229,SE19,1709636990.7523694
230,NS17,1709636990.7592757
231,NE04,1709636990.7722328
232,NW10,1709636990.7792716
233,NW13,1709636990.7840996
234,NW16,1709636990.788687
235,WE18,1709636990.7958307
236,WS111,1709636990.8026369
237,WS112,1709636990.80586
238,WN010,1709636990.81336
239,WN015,1709636990.829144
240,ES013,1709636990.9721732
241,ES017,1709636990.9760988
242,ES018,1709636990.9798937
243,ES020,1709636990.9851277
244,EN116,1709636990.9924216
245,EN119,1709636990.99547
246,EW12,1709636991.0025558
