,starttime,endtime,phaseDuration
0,1709650632.9396915,1709650633.220081,7
1,1709650640.035588,1709650640.0621717,7
2,1709650647.038764,1709650647.0617077,10
3,1709650657.1411269,1709650657.1587331,7
4,1709650664.2385147,1709650664.2589188,10
5,1709650674.2413135,1709650674.266265,10
6,1709650684.4362009,1709650684.4554548,12
7,1709650696.538843,1709650696.5595846,12
8,1709650708.6413944,1709650708.662102,10
9,1709650718.7379835,1709650718.7603981,12
10,1709650730.837292,1709650730.8527315,7
11,1709650737.9396431,1709650737.9566462,7
12,1709650745.0379922,1709650745.056468,7
13,1709650752.1369731,1709650752.1626244,7
14,1709650759.240546,1709650759.258795,7
15,1709650766.3380594,1709650766.3570335,12
16,1709650778.438826,1709650778.4564743,12
17,1709650790.5425029,1709650790.5642135,10
18,1709650800.5356798,1709650800.5652962,12
19,1709650812.6439397,1709650812.672195,12
20,1709650824.7426174,1709650824.777264,7
21,1709650831.7463446,1709650831.7682297,7
22,1709650838.7424247,1709650838.7647538,7
23,1709650845.9381204,1709650845.953081,12
24,1709650857.9408298,1709650857.9597893,12
25,1709650869.9368804,1709650869.956174,12
26,1709650882.0370412,1709650882.0602918,12
27,1709650894.040899,1709650894.0616372,7
28,1709650901.1389246,1709650901.159175,10
29,1709650911.2371044,1709650911.2585552,10
30,1709650921.3462293,1709650921.375686,12
31,1709650933.3416274,1709650933.3607583,12
32,1709650945.443651,1709650945.4632576,12
33,1709650957.6377285,1709650957.6659784,12
34,1709650969.6413774,1709650969.66008,12
35,1709650981.7439263,1709650981.7597208,12
36,1709650993.7367232,1709650993.7528648,12
37,1709651005.8391056,1709651005.8562236,12
38,1709651017.9371364,1709651017.9594135,7
39,1709651024.9510288,1709651024.9751797,10
40,1709651035.1351123,1709651035.1758742,12
41,1709651047.1491885,1709651047.1663635,12
42,1709651059.2398846,1709651059.25741,7
43,1709651066.2381248,1709651066.2587922,10
44,1709651076.3472097,1709651076.365852,7
45,1709651083.338513,1709651083.3549354,7
46,1709651090.4395633,1709651090.4441674,12
47,1709651102.437829,1709651102.46075,7
48,1709651109.541214,1709651109.5589566,7
49,1709651116.5429282,1709651116.563178,7
50,1709651123.535054,1709651123.5551934,12
51,1709651135.6460142,1709651135.6641366,12
52,1709651147.6435935,1709651147.6648698,12
53,1709651159.7357664,1709651159.7570546,7
54,1709651166.8397667,1709651166.857504,7
55,1709651173.8494072,1709651173.8766718,12
56,1709651185.8432934,1709651185.8671298,12
57,1709651197.9429774,1709651197.961284,7
58,1709651205.0437045,1709651205.061322,10
59,1709651215.0480027,1709651215.0679655,7
60,1709651222.1402242,1709651222.1619916,7
61,1709651229.2442493,1709651229.2633915,12
62,1709651241.2370758,1709651241.256804,12
63,1709651253.3374918,1709651253.3566968,20
64,1709651273.4390862,1709651273.459789,10
65,1709651283.4425652,1709651283.4634125,10
66,1709651293.5417309,1709651293.5626056,12
67,1709651305.649087,1709651305.6727407,15
68,1709651320.7361965,1709651320.756558,12
69,1709651332.8374183,1709651332.85756,10
70,1709651342.8436174,1709651342.8669894,7
71,1709651350.0428243,1709651350.0658257,7
72,1709651357.041082,1709651357.0605383,7
73,1709651364.142313,1709651364.1618319,7
74,1709651371.2426028,1709651371.261243,7
75,1709651378.3357186,1709651378.353417,7
76,1709651385.3446062,1709651385.3656607,12
77,1709651397.4384139,1709651397.4593754,12
78,1709651409.443587,1709651409.4621494,12
79,1709651421.548999,1709651421.5705469,12
80,1709651433.6485138,1709651433.6641452,7
81,1709651440.558635,1709651440.5971951,12
82,1709651452.738486,1709651452.7589633,7
83,1709651459.8359869,1709651459.83993,12
84,1709651471.941792,1709651471.960792,7
85,1709651479.0499885,1709651479.0725565,7
86,1709651486.1473472,1709651486.169386,10
87,1709651496.1478894,1709651496.1684196,12
88,1709651508.3416126,1709651508.3587763,12
89,1709651520.3452406,1709651520.3670514,7
90,1709651527.4376035,1709651527.4566422,12
91,1709651539.5351892,1709651539.5531552,11
92,1709651550.535144,1709651550.5542073,10
93,1709651560.6391191,1709651560.6444173,10
94,1709651570.7352026,1709651570.7400837,10
95,1709651581.1594734,1709651581.1667006,10
