,vehicleid,recievetime
0,ES02,1709650628.1189964
1,SW00,1709650628.1327796
2,SE11,1709650628.1468058
3,SE13,1709650628.1595747
4,ES02,1709650628.4203594
5,SW00,1709650628.4398565
6,SE11,1709650628.4578
7,SE13,1709650628.4649715
8,ES02,1709650628.720326
9,SW00,1709650628.7323074
10,SE11,1709650628.7450662
11,SE13,1709650628.7553356
12,ES02,1709650629.019923
13,SW00,1709650629.0343015
14,SE11,1709650629.0446193
15,SE13,1709650629.0494204
16,ES02,1709650629.3272614
17,SW00,1709650629.3385777
18,SE11,1709650629.3478415
19,SE13,1709650629.3532279
20,ES02,1709650629.6199625
21,SW00,1709650629.6398826
22,SE11,1709650629.650787
23,SE13,1709650629.6563056
24,ES02,1709650629.920026
25,SW00,1709650629.9346447
26,SE11,1709650629.9455702
27,SE13,1709650629.9527543
28,ES02,1709650630.2198892
29,SW00,1709650630.2340825
30,SE11,1709650630.2490983
31,SE13,1709650630.2542462
32,ES02,1709650630.523707
33,SW00,1709650630.5372374
34,SE11,1709650630.545013
35,SE13,1709650630.552045
36,ES02,1709650630.8191216
37,SW00,1709650630.8277242
38,SE11,1709650630.835599
39,SE13,1709650630.8407843
40,ES02,1709650631.1337478
41,EW15,1709650631.144527
42,SW00,1709650631.1605208
43,SW04,1709650631.167237
44,SE11,1709650631.181916
45,SE13,1709650631.1868093
46,ES02,1709650631.420012
47,EW15,1709650631.4362528
48,SW00,1709650631.4437182
49,SW04,1709650631.4491172
50,SE11,1709650631.4594622
51,SE13,1709650631.4644659
52,ES02,1709650631.7188451
53,EW15,1709650631.728067
54,SW00,1709650631.7348106
55,SW04,1709650631.743492
56,SE11,1709650631.7554665
57,SE13,1709650631.7605486
58,ES02,1709650632.0261497
59,ES06,1709650632.0347054
60,EW15,1709650632.0502162
61,SW00,1709650632.055259
62,SW04,1709650632.060131
63,SE11,1709650632.0673602
64,SE13,1709650632.072559
65,ES02,1709650632.3265038
66,ES06,1709650632.335149
67,EW15,1709650632.3517427
68,EW17,1709650632.3612974
69,SW00,1709650632.3793025
70,SW04,1709650632.3892446
71,SE11,1709650632.3958426
72,SE13,1709650632.4052944
73,ES02,1709650632.6292613
74,ES06,1709650632.6373656
75,EW15,1709650632.652896
76,EW17,1709650632.6705472
77,SW00,1709650632.6795387
78,SW04,1709650632.6862538
79,SE11,1709650632.7052538
80,SE13,1709650632.7125065
81,ES02,1709650632.93361
82,ES06,1709650633.2261987
83,EW15,1709650633.2334952
84,EW17,1709650633.2398405
85,SW00,1709650633.2467742
86,SW04,1709650633.2520885
87,SN18,1709650633.258351
88,SE11,1709650633.2786145
89,SE13,1709650633.2862139
90,ES02,1709650633.2917101
91,ES06,1709650633.2978363
92,EW15,1709650633.302679
93,EW17,1709650633.3078115
94,SW00,1709650633.313019
95,SW04,1709650633.3183699
96,SN18,1709650633.324128
97,SE11,1709650633.3292322
98,SE13,1709650633.3348668
99,ES02,1709650633.5206585
100,ES06,1709650633.525557
101,EW15,1709650633.5358627
102,EW17,1709650633.5403874
103,SW00,1709650633.5526857
104,SW04,1709650633.567004
105,SN18,1709650633.574048
106,SE11,1709650633.5839038
107,SE13,1709650633.588984
108,ES02,1709650633.8221788
109,ES06,1709650633.8269684
110,EW15,1709650633.838103
111,EW17,1709650633.8425565
112,SW00,1709650633.8483148
113,SW04,1709650633.8532038
114,SN18,1709650633.8610835
115,SE11,1709650633.8707862
116,SE13,1709650633.8810432
117,ES02,1709650634.1288307
118,ES06,1709650634.1346276
119,EW15,1709650634.1441586
120,EW17,1709650634.1499534
121,SW00,1709650634.154999
122,SW04,1709650634.1599634
123,SN18,1709650634.1652684
124,SN19,1709650634.1703682
125,SE11,1709650634.1833827
126,SE13,1709650634.1885436
127,ES02,1709650634.4233139
128,ES06,1709650634.4330382
129,EW15,1709650634.4428358
130,EW17,1709650634.4498234
131,SW00,1709650634.457786
