,vehicleid,transtime
0,SW00,1709650626.6493542
1,SE11,1709650626.6607144
2,SW00,1709650626.9270027
3,SE11,1709650626.9349685
4,ES02,1709650627.2248447
5,SW00,1709650627.2385185
6,SE11,1709650627.2484848
7,ES02,1709650627.5254476
8,SW00,1709650627.5366535
9,SE11,1709650627.544076
10,SE13,1709650627.546071
11,ES02,1709650627.8182127
12,SW00,1709650627.8323886
13,SE11,1709650627.8400161
14,SE13,1709650627.8425426
15,ES02,1709650628.1184962
16,SW00,1709650628.1297708
17,SE11,1709650628.1418507
18,SE13,1709650628.1455185
19,ES02,1709650628.4196992
20,SW00,1709650628.4392653
21,SE11,1709650628.456765
22,SE13,1709650628.4620938
23,ES02,1709650628.719751
24,SW00,1709650628.7314296
25,SE11,1709650628.7418811
26,SE13,1709650628.746826
27,ES02,1709650629.01939
28,SW00,1709650629.03363
29,SE11,1709650629.044064
30,SE13,1709650629.047684
31,ES02,1709650629.324513
32,SW00,1709650629.3380795
33,SE11,1709650629.3470864
34,SE13,1709650629.3504121
35,ES02,1709650629.6193855
36,SW00,1709650629.6386516
37,SE11,1709650629.6502428
38,SE13,1709650629.653412
39,ES02,1709650629.9194806
40,SW00,1709650629.9340646
41,SE11,1709650629.9435222
42,SE13,1709650629.9480996
43,ES02,1709650630.2193208
44,SW00,1709650630.2335808
45,SE11,1709650630.248584
46,SE13,1709650630.2521093
47,ES02,1709650630.523145
48,SW00,1709650630.5367944
49,SE11,1709650630.544738
50,SE13,1709650630.5485163
51,ES02,1709650630.818641
52,SW00,1709650630.8272102
53,SE11,1709650630.8347244
54,SE13,1709650630.8384883
55,ES02,1709650631.1333265
56,EW15,1709650631.1440582
57,SW00,1709650631.14998
58,SW04,1709650631.1567235
59,SE11,1709650631.1673937
60,SE13,1709650631.172107
61,ES02,1709650631.419656
62,EW15,1709650631.435442
63,SW00,1709650631.442998
64,SW04,1709650631.4484932
65,SE11,1709650631.4587064
66,SE13,1709650631.4633577
67,ES02,1709650631.7185388
68,EW15,1709650631.7277849
69,SW00,1709650631.7345273
70,SW04,1709650631.7379546
71,SE11,1709650631.7551672
72,SE13,1709650631.759395
73,ES02,1709650632.0256755
74,ES06,1709650632.0306232
75,EW15,1709650632.0430791
76,SW00,1709650632.0521939
77,SW04,1709650632.055516
78,SE11,1709650632.0668554
79,SE13,1709650632.0704155
80,ES02,1709650632.326096
81,ES06,1709650632.3300502
82,EW15,1709650632.350838
83,EW17,1709650632.3550868
84,SW00,1709650632.363865
85,SW04,1709650632.3687127
86,SE11,1709650632.3877478
87,SE13,1709650632.3972003
88,ES02,1709650632.6211169
89,ES06,1709650632.6257784
90,EW15,1709650632.645145
91,EW17,1709650632.6500719
92,SW00,1709650632.6748288
93,SW04,1709650632.682173
94,SE11,1709650632.7042017
95,SE13,1709650632.7097301
96,ES02,1709650632.9332838
97,ES06,1709650632.9410381
98,EW15,1709650632.955046
99,EW17,1709650632.9600084
100,SW00,1709650632.9677966
101,SW04,1709650632.9780326
102,SN18,1709650632.986099
103,SE11,1709650632.999514
104,SE13,1709650633.005752
105,ES02,1709650633.22186
106,ES06,1709650633.230779
107,EW15,1709650633.2426705
108,EW17,1709650633.24664
109,SW00,1709650633.2541492
110,SW04,1709650633.2580674
111,SN18,1709650633.2700849
112,SE11,1709650633.2774127
113,SE13,1709650633.284389
114,ES02,1709650633.520076
115,ES06,1709650633.5230527
116,EW15,1709650633.5350735
117,EW17,1709650633.5384097
118,SW00,1709650633.5505116
119,SW04,1709650633.5555322
120,SN18,1709650633.5728405
121,SE11,1709650633.5813305
122,SE13,1709650633.5861516
123,ES02,1709650633.8217287
124,ES06,1709650633.8254378
125,EW15,1709650633.8377686
126,EW17,1709650633.841492
127,SW00,1709650633.8480172
128,SW04,1709650633.8517184
129,SN18,1709650633.860151
130,SE11,1709650633.8705647
131,SE13,1709650633.8744721
132,ES02,1709650634.1283748
133,ES06,1709650634.1322613
134,EW15,1709650634.1435094
135,EW17,1709650634.1473076
136,SW00,1709650634.153033
137,SW04,1709650634.156627
138,SN18,1709650634.164362
139,SN19,1709650634.1675408
140,SE11,1709650634.1739857
141,SE13,1709650634.1790142
142,ES02,1709650634.4227862
143,ES06,1709650634.4277205
144,EW15,1709650634.4419527
145,EW17,1709650634.4457204
146,SW00,1709650634.4522147
147,SW04,1709650634.4554377
148,SN18,1709650634.4617841
149,SN19,1709650634.4690983
150,SE11,1709650634.4769242
151,SE13,1709650634.4818575
152,ES02,1709650634.7188802
153,ES06,1709650634.7219274
154,EW15,1709650634.7337441
155,EW17,1709650634.7368124
156,SW00,1709650634.744761
157,SW04,1709650634.7480357
158,SN18,1709650634.7549431
159,SN19,1709650634.7609935
160,SE11,1709650634.7679186
161,SE13,1709650634.7714448
162,ES02,1709650635.0204751
163,ES06,1709650635.0235379
164,EW15,1709650635.0366561
165,EW17,1709650635.0400522
166,SW00,1709650635.0480266
167,SW04,1709650635.0548952
