,starttime,endtime,phaseDuration
0,1709655968.9712756,1709655969.185931,12
1,1709655980.973785,1709655980.9936666,12
2,1709655993.0712729,1709655993.089191,12
3,1709656005.1715472,1709656005.1892896,7
4,1709656012.174967,1709656012.1977575,12
5,1709656024.2712543,1709656024.3036263,12
6,1709656036.2748585,1709656036.309771,12
7,1709656048.284098,1709656048.3194792,12
8,1709656060.3712142,1709656060.388494,7
9,1709656067.3762462,1709656067.439574,11
10,1709656078.4776745,1709656078.496644,12
11,1709656090.4772725,1709656090.5014913,12
12,1709656102.5713427,1709656102.5909927,7
13,1709656109.6761813,1709656109.6963916,7
14,1709656116.7738492,1709656116.7993257,10
15,1709656126.872764,1709656126.890589,7
16,1709656133.8761122,1709656133.898166,7
17,1709656140.9769244,1709656140.9967985,7
18,1709656148.0738435,1709656148.0920744,7
19,1709656155.1749067,1709656155.1966658,7
20,1709656162.173663,1709656162.1977756,12
21,1709656174.2716792,1709656174.2953792,12
22,1709656186.376298,1709656186.3940845,7
23,1709656193.4728637,1709656193.4982924,10
24,1709656203.576875,1709656203.59939,12
25,1709656215.580598,1709656215.603934,12
26,1709656227.7737799,1709656227.7949898,7
27,1709656234.8779595,1709656234.8991654,12
28,1709656246.8768504,1709656246.9004722,12
29,1709656258.8755472,1709656258.8958943,10
30,1709656269.07205,1709656269.0914786,12
31,1709656281.173825,1709656281.1923668,7
32,1709656288.2721658,1709656288.2930765,10
33,1709656298.3745067,1709656298.397498,12
34,1709656310.3726656,1709656310.3879497,12
35,1709656322.4874477,1709656322.5381365,12
36,1709656334.574093,1709656334.5905085,12
37,1709656346.5764744,1709656346.591779,7
38,1709656353.67849,1709656353.6994247,12
39,1709656365.77362,1709656365.7955399,12
40,1709656377.774932,1709656377.7952712,12
41,1709656389.8773332,1709656389.897248,12
42,1709656401.9721515,1709656401.990705,7
43,1709656409.073177,1709656409.0928917,10
44,1709656419.1768916,1709656419.1976812,12
45,1709656431.1798103,1709656431.1996863,12
46,1709656443.3726628,1709656443.3907545,7
47,1709656450.3818376,1709656450.400217,12
48,1709656462.4854472,1709656462.5102594,10
49,1709656472.5729158,1709656472.5907004,7
50,1709656479.5798707,1709656479.598783,10
51,1709656489.675819,1709656489.681031,12
52,1709656501.7812564,1709656501.78779,12
53,1709656513.8797634,1709656513.8996742,12
54,1709656525.9718041,1709656525.9914398,12
55,1709656538.0886006,1709656538.1033804,7
56,1709656545.0766077,1709656545.0961518,7
57,1709656552.1763315,1709656552.1955633,7
58,1709656559.0852795,1709656559.1038952,12
59,1709656571.2719095,1709656571.2944968,7
60,1709656578.2753348,1709656578.2950807,12
61,1709656590.3810213,1709656590.402738,12
62,1709656602.3770573,1709656602.3951478,12
63,1709656614.4809682,1709656614.4981925,7
64,1709656621.4747238,1709656621.5037074,7
65,1709656628.575509,1709656628.6033,12
66,1709656640.6807175,1709656640.7057664,10
67,1709656650.773081,1709656650.7933292,12
68,1709656662.883026,1709656662.9068813,12
69,1709656674.9799042,1709656675.0036278,7
70,1709656681.975588,1709656682.005267,7
71,1709656689.0750299,1709656689.0939596,7
72,1709656696.0730846,1709656696.0920823,12
73,1709656708.0781817,1709656708.0988314,12
74,1709656720.1752896,1709656720.2005403,10
75,1709656730.2760394,1709656730.2899232,7
76,1709656737.1827526,1709656737.2017412,7
77,1709656744.3754761,1709656744.3958263,7
78,1709656751.3794575,1709656751.4012372,12
79,1709656763.4734027,1709656763.49032,12
80,1709656775.5739138,1709656775.5894802,7
81,1709656782.6767528,1709656782.695616,7
82,1709656789.681164,1709656789.6878235,12
83,1709656801.871283,1709656801.8966937,17
84,1709656818.8801062,1709656818.9000945,7
85,1709656825.9800627,1709656826.0046825,12
86,1709656838.1755762,1709656838.2029874,7
87,1709656845.2775788,1709656845.2977214,12
88,1709656857.2817957,1709656857.3008957,12
89,1709656869.2820873,1709656869.3013175,9
90,1709656878.4789672,1709656878.505971,7
91,1709656885.5757425,1709656885.592382,7
92,1709656892.6712604,1709656892.686188,12
93,1709656905.1236148,1709656905.143243,12
