,vehicleid,transtime
0,SW00,1709655971.184182
1,SW00,1709655971.4776797
2,SW00,1709655971.7984333
3,NE01,1709655971.8135135
4,SW00,1709655972.0836585
5,NE01,1709655972.1004722
6,SW00,1709655972.3904183
7,SW02,1709655972.3942041
8,NS13,1709655972.4074106
9,NE01,1709655972.414748
10,SW00,1709655972.6783845
11,SW02,1709655972.6822562
12,NS13,1709655972.6974497
13,NE01,1709655972.706058
14,SW00,1709655972.9919848
15,SW02,1709655972.996621
16,NS13,1709655973.0146801
17,NE01,1709655973.020753
18,NW14,1709655973.0317638
19,SW00,1709655973.2788434
20,SW02,1709655973.2830722
21,NS13,1709655973.2971113
22,NE01,1709655973.304143
23,NW14,1709655973.3128808
24,SW00,1709655973.5791435
25,SW02,1709655973.5866675
26,NS13,1709655973.599686
27,NE01,1709655973.6042073
28,NW14,1709655973.6112618
29,SW00,1709655973.876807
30,SW02,1709655973.8804474
31,NS13,1709655973.894252
32,NE01,1709655973.902587
33,NW14,1709655973.912373
34,SW00,1709655974.1861362
35,SW02,1709655974.1921408
36,NS13,1709655974.202896
37,NE01,1709655974.2106447
38,NW14,1709655974.2174864
39,SW00,1709655974.4777887
40,SW02,1709655974.4816303
41,NS13,1709655974.5057847
42,NE01,1709655974.515711
43,NW14,1709655974.5250518
44,SW00,1709655974.7796345
45,SW02,1709655974.7832723
46,NS13,1709655974.8024058
47,NE01,1709655974.8114247
48,NW14,1709655974.818733
49,SW00,1709655975.0855956
50,SW02,1709655975.0939908
51,NS13,1709655975.108039
52,NE01,1709655975.116903
53,NW14,1709655975.124089
54,SW00,1709655975.4152706
55,SW02,1709655975.4215102
56,NS13,1709655975.4365711
57,NS15,1709655975.4406643
58,NE01,1709655975.4498835
59,NW14,1709655975.4582195
60,SW00,1709655975.694715
61,SW02,1709655975.7013483
62,NS13,1709655975.716257
63,NS15,1709655975.7201269
64,NE01,1709655975.7278643
65,NW14,1709655975.7344651
66,NW16,1709655975.7390568
67,SW00,1709655975.9809194
68,SW02,1709655975.9853773
69,NS13,1709655975.9967248
70,NS15,1709655975.9998932
71,NE01,1709655976.0075858
72,NW14,1709655976.014218
73,NW16,1709655976.0179265
74,SW00,1709655976.2948904
75,SW02,1709655976.2990656
76,NS13,1709655976.3119237
77,NS15,1709655976.3163779
78,NE01,1709655976.3419366
79,NW14,1709655976.3494995
80,NW16,1709655976.3536725
81,NW17,1709655976.3573685
82,SW00,1709655976.5789614
83,SW02,1709655976.5824418
84,NS13,1709655976.5960922
85,NS15,1709655976.6001487
86,NE01,1709655976.6132956
87,NW14,1709655976.620408
88,NW16,1709655976.6258268
89,NW17,1709655976.6293583
90,SW00,1709655976.8799403
91,SW02,1709655976.8865218
92,NS13,1709655976.9005775
93,NS15,1709655976.9047527
94,NE01,1709655976.9113207
95,NW14,1709655976.9187696
96,NW16,1709655976.9244664
97,NW17,1709655976.9294236
98,SW00,1709655977.1840894
99,SW02,1709655977.190436
100,NS13,1709655977.2110374
101,NS15,1709655977.2149868
102,NE01,1709655977.2231762
103,NW14,1709655977.230128
104,NW16,1709655977.2360563
105,NW17,1709655977.2396262
106,SW00,1709655977.4771984
107,SW02,1709655977.4805481
108,NS13,1709655977.49242
109,NS15,1709655977.499301
110,NE01,1709655977.5104022
111,NW14,1709655977.5205126
112,NW16,1709655977.5238962
113,NW17,1709655977.5269952
114,SW00,1709655977.7811472
115,SW02,1709655977.7849362
116,NS13,1709655977.795881
117,NS15,1709655977.7996132
118,NE01,1709655977.806694
119,NW14,1709655977.8257215
120,NW16,1709655977.8303607
121,NW17,1709655977.8385575
122,SW00,1709655978.086788
123,SW02,1709655978.0906518
124,NS13,1709655978.1042035
125,NS15,1709655978.1076863
126,NE01,1709655978.1141648
127,NW14,1709655978.1217453
128,NW16,1709655978.1262188
129,NW17,1709655978.130561
130,SW00,1709655978.379092
131,SW02,1709655978.3840775
132,NS13,1709655978.3977249
133,NS15,1709655978.401719
134,NE01,1709655978.4094164
135,NW14,1709655978.4159744
136,NW16,1709655978.4197628
137,NW17,1709655978.4257514
138,SW00,1709655978.679452
139,SW02,1709655978.6836011
140,NS13,1709655978.696549
141,NS15,1709655978.6998732
142,NE01,1709655978.7076914
143,NW14,1709655978.7157972
144,NW16,1709655978.7202246
145,NW17,1709655978.7254226
146,SW00,1709655978.9972467
147,SW02,1709655979.0012176
148,SN18,1709655979.007752
149,NS13,1709655979.0168934
150,NS15,1709655979.020406
151,NE01,1709655979.0298498
152,NW14,1709655979.0376463
153,NW16,1709655979.044333
154,NW17,1709655979.0485387
155,SW00,1709655979.2807791
156,SW02,1709655979.2904193
157,SN18,1709655979.299538
158,NS13,1709655979.3101032
159,NS15,1709655979.3136258
160,NE01,1709655979.3234553
161,NW14,1709655979.3299742
162,NW16,1709655979.333773
163,NW17,1709655979.337258
164,SW00,1709655979.5778573
165,SW02,1709655979.5860984
166,SN18,1709655979.592558
167,NS13,1709655979.5986571
168,NS15,1709655979.605989
169,NE01,1709655979.6121247
170,NW14,1709655979.621069
171,NW16,1709655979.6243398
172,NW17,1709655979.6272311
173,SW00,1709655979.8771727
174,SW02,1709655979.8807702
175,SN18,1709655979.8903131
176,NS13,1709655979.900504
177,NS15,1709655979.9065897
178,NE01,1709655979.9144459
179,NW14,1709655979.9235563
180,NW16,1709655979.9269834
181,NW17,1709655979.9305592
182,SW00,1709655980.1767519
183,SW02,1709655980.1805878
184,SN18,1709655980.1883237
185,NS13,1709655980.1976254
186,NS15,1709655980.2038264
187,NE01,1709655980.2105196
188,NW14,1709655980.2204437
189,NW16,1709655980.225571
190,NW17,1709655980.2295685
191,SW00,1709655980.4757683
192,SW02,1709655980.4792867
193,SN18,1709655980.486964
194,NS13,1709655980.4970896
195,NS15,1709655980.5010192
196,NE01,1709655980.5076373
197,NW14,1709655980.5142357
198,NW16,1709655980.5188658
199,NW17,1709655980.5228431
200,SW00,1709655980.7781794
201,SW02,1709655980.783344
202,SN18,1709655980.7918582
203,NS13,1709655980.806562
204,NS15,1709655980.8099756
205,NE01,1709655980.8206646
206,NW14,1709655980.8294392
207,NW16,1709655980.8420115
208,NW17,1709655980.846139
209,SW00,1709655981.0785248
210,SW02,1709655981.0820034
211,SN18,1709655981.0883594
212,NS13,1709655981.0981157
213,NS15,1709655981.1031158
214,NE01,1709655981.1151223
215,NW14,1709655981.1230578
216,NW16,1709655981.1275988
217,NW17,1709655981.1313488
218,SW00,1709655981.3915646
219,SW02,1709655981.396206
220,SN18,1709655981.4032915
221,SE19,1709655981.4088416
222,NS13,1709655981.4154668
223,NS15,1709655981.4183357
224,NE01,1709655981.4231534
225,NW14,1709655981.4312193
226,NW16,1709655981.434963
227,NW17,1709655981.437593
228,SW00,1709655981.6749027
229,SW02,1709655981.6775134
230,SN18,1709655981.6842163
231,SE19,1709655981.688806
232,NS13,1709655981.694101
233,NS15,1709655981.6973925
234,NE01,1709655981.7048283
235,NW14,1709655981.711256
236,NW16,1709655981.7151542
237,NW17,1709655981.7188308
238,SW00,1709655981.9869156
239,SW02,1709655981.9912426
240,SN18,1709655981.999892
241,SE19,1709655982.0058625
242,NS13,1709655982.0121043
243,NS15,1709655982.0161648
244,NE01,1709655982.0246024
245,NW14,1709655982.0336416
246,NW16,1709655982.0377977
247,NW17,1709655982.0432215
248,SW00,1709655982.2828403
249,SW02,1709655982.286722
250,SN18,1709655982.3019817
251,SE19,1709655982.3120868
252,NS13,1709655982.3242571
253,NS15,1709655982.328576
254,NE01,1709655982.338899
255,NW14,1709655982.3449397
