,vehicleid,recievetime
0,SW00,1709653876.4679024
1,SE11,1709653876.4777882
2,NS12,1709653876.4916341
3,NS13,1709653876.50859
4,SW00,1709653876.7785118
5,SE11,1709653876.7893405
6,NS12,1709653876.8019495
7,NS13,1709653876.8091962
8,NS14,1709653876.8139336
9,SW00,1709653877.077596
10,SE11,1709653877.0871477
11,NS12,1709653877.0955224
12,NS13,1709653877.1030116
13,NS14,1709653877.115158
14,NE05,1709653877.1211696
15,SW00,1709653877.3737457
16,SE11,1709653877.3833268
17,NS12,1709653877.3923557
18,NS13,1709653877.4058137
19,NS14,1709653877.4112296
20,NE05,1709653877.4186945
21,SW00,1709653877.6792746
22,SE11,1709653877.6877255
23,NS12,1709653877.6968684
24,NS13,1709653877.7031102
25,NS14,1709653877.7081938
26,NE05,1709653877.7129238
27,SW00,1709653877.9739058
28,SN16,1709653877.98088
29,SE11,1709653877.9968638
30,NS12,1709653878.0030882
31,NS13,1709653878.0085063
32,NS14,1709653878.0167925
33,NE05,1709653878.0235953
34,SW00,1709653878.270345
35,SN16,1709653878.2828085
36,SE11,1709653878.2913232
37,NS12,1709653878.2972836
38,NS13,1709653878.3056948
39,NS14,1709653878.3116848
40,NE05,1709653878.3242471
41,SW00,1709653878.5786817
42,SN16,1709653878.593051
43,SE11,1709653878.602725
44,NS12,1709653878.6108503
45,NS13,1709653878.6260686
46,NS14,1709653878.637206
47,NE05,1709653878.6441655
48,SW00,1709653878.869617
49,SN16,1709653878.8782737
50,SE11,1709653878.8858416
51,NS12,1709653878.894439
52,NS13,1709653878.8996396
53,NS14,1709653878.9063153
54,NE05,1709653878.9117846
55,SW00,1709653879.1814127
56,SN16,1709653879.1884127
57,SN17,1709653879.193288
58,SE11,1709653879.2061894
59,NS12,1709653879.2116852
60,NS13,1709653879.219636
61,NS14,1709653879.2258258
62,NE05,1709653879.2313664
63,SW00,1709653879.4740694
64,SN16,1709653879.4815214
65,SN17,1709653879.4885304
66,SE11,1709653879.4978552
67,NS12,1709653879.5065067
68,NS13,1709653879.5146976
69,NS14,1709653879.5203223
70,NE05,1709653879.5276687
71,SW00,1709653879.7800856
72,SN16,1709653879.793445
73,SN17,1709653879.8012137
74,SE11,1709653879.8136168
75,NS12,1709653879.8230157
76,NS13,1709653879.834153
77,NS14,1709653879.8430119
78,NE05,1709653879.8515768
79,NE08,1709653879.8594751
80,SW00,1709653880.072355
81,SN16,1709653880.07913
82,SN17,1709653880.0865502
83,SE11,1709653880.091449
84,NS12,1709653880.1047385
85,NS13,1709653880.1102364
86,NS14,1709653880.116183
87,NE05,1709653880.1250076
88,NE08,1709653880.1297433
89,SW00,1709653880.3669477
90,SN16,1709653880.3764567
91,SN17,1709653880.387048
92,SE11,1709653880.3982184
93,NS12,1709653880.4108498
94,NS13,1709653880.4194987
95,NS14,1709653880.4259853
96,NE05,1709653880.4308503
97,NE08,1709653880.4369903
98,SW00,1709653880.6782897
99,SN16,1709653880.6861565
100,SN17,1709653880.691138
101,SE11,1709653880.6963935
102,NS12,1709653880.7031732
103,NS13,1709653880.7074206
104,NS14,1709653880.712381
105,NE05,1709653880.719993
106,NE08,1709653880.7276096
107,SW00,1709653880.9686382
108,SN16,1709653880.9748368
109,SN17,1709653880.9793544
110,SE11,1709653880.9866638
111,NS12,1709653880.9919016
112,NS13,1709653880.9973547
113,NS14,1709653881.0020597
114,NE05,1709653881.0081375
115,NE08,1709653881.013181
116,SW00,1709653881.2793508
117,SN16,1709653881.2868724
118,SN17,1709653881.2925813
119,SE11,1709653881.2981975
120,NS12,1709653881.3072586
121,NS13,1709653881.3139663
122,NS14,1709653881.3237476
123,NE05,1709653881.333148
124,NE08,1709653881.3386385
125,SW00,1709653881.571782
126,SN16,1709653881.5784771
127,SN17,1709653881.5842876
128,SE11,1709653881.5899286
129,NS12,1709653881.5955896
130,NS13,1709653881.6011548
131,NS14,1709653881.6092837
132,NE05,1709653881.6191528
133,NE08,1709653881.6251585
134,SW00,1709653881.8741908
135,SN16,1709653881.8825994
136,SN17,1709653881.891431
137,SE11,1709653881.8985052
138,NS12,1709653881.9047713
139,NS13,1709653881.910009
140,NS14,1709653881.9158294
141,NE05,1709653881.9217083
142,NE08,1709653881.9360008
143,SW00,1709653882.1701705
144,SN16,1709653882.1777368
145,SN17,1709653882.1856077
146,SE11,1709653882.193303
147,NS12,1709653882.1990378
148,NS13,1709653882.2053332
149,NS14,1709653882.2101445
150,NE05,1709653882.2159314
151,NE08,1709653882.2215815
152,SW00,1709653882.4778225
153,SN16,1709653882.487588
154,SN17,1709653882.4944615
155,SE11,1709653882.50269
156,NS12,1709653882.5098083
157,NS13,1709653882.5182872
158,NS14,1709653882.5234194
159,NS19,1709653882.5284352
160,NE05,1709653882.5482657
161,NE08,1709653882.557854
162,SW00,1709653882.7775595
163,SW010,1709653882.7838643
164,SN16,1709653882.7984142
165,SN17,1709653882.8040278
166,SE11,1709653882.8084362
167,NS12,1709653882.8150375
168,NS13,1709653882.8236198
169,NS14,1709653882.8290558
170,NS19,1709653882.8369493
171,NE05,1709653882.840789
172,NE08,1709653882.8446596
173,SW00,1709653883.0750394
174,SW010,1709653883.0825915
175,SN16,1709653883.0966213
176,SN17,1709653883.1018639
177,SE11,1709653883.1190171
178,NS12,1709653883.1234977
179,NS13,1709653883.1337147
180,NS14,1709653883.139025
181,NS19,1709653883.1449656
182,NE05,1709653883.1539268
183,NE08,1709653883.1589046
