,vehicleid,transtime
0,SW00,1709653874.6866658
1,SE11,1709653874.6984282
2,SW00,1709653874.9685442
3,SE11,1709653874.976181
4,SW00,1709653875.270112
5,SE11,1709653875.2808664
6,SW00,1709653875.5695832
7,SE11,1709653875.5801768
8,SW00,1709653875.8790925
9,SE11,1709653875.888865
10,NS12,1709653875.8946588
11,SW00,1709653876.380358
12,SE11,1709653876.3905272
13,NS12,1709653876.3973565
14,NS13,1709653876.3992987
15,SW00,1709653876.4673777
16,SE11,1709653876.4773662
17,NS12,1709653876.4822245
18,NS13,1709653876.4845207
19,SW00,1709653876.7773294
20,SE11,1709653876.7882507
21,NS12,1709653876.8014393
22,NS13,1709653876.8053117
23,NS14,1709653876.809512
24,SW00,1709653877.0771356
25,SE11,1709653877.0866065
26,NS12,1709653877.0942667
27,NS13,1709653877.100489
28,NS14,1709653877.1062417
29,NE05,1709653877.1169956
30,SW00,1709653877.3731425
31,SE11,1709653877.3827837
32,NS12,1709653877.3897367
33,NS13,1709653877.3951166
34,NS14,1709653877.398983
35,NE05,1709653877.407535
36,SW00,1709653877.6740432
37,SE11,1709653877.6872725
38,NS12,1709653877.6958756
39,NS13,1709653877.699416
40,NS14,1709653877.70514
41,NE05,1709653877.7119622
42,SW00,1709653877.973255
43,SN16,1709653877.9803815
44,SE11,1709653877.9869437
45,NS12,1709653877.993335
46,NS13,1709653877.9986992
47,NS14,1709653878.003108
48,NE05,1709653878.0097651
49,SW00,1709653878.269818
50,SN16,1709653878.282245
51,SE11,1709653878.2891552
52,NS12,1709653878.2958472
53,NS13,1709653878.2997139
54,NS14,1709653878.304041
55,NE05,1709653878.3189328
56,SW00,1709653878.5780668
57,SN16,1709653878.5901153
58,SE11,1709653878.602099
59,NS12,1709653878.610387
60,NS13,1709653878.6172073
61,NS14,1709653878.6245453
62,NE05,1709653878.6366763
63,SW00,1709653878.869001
64,SN16,1709653878.8778427
65,SE11,1709653878.88521
66,NS12,1709653878.8938487
67,NS13,1709653878.8977246
68,NS14,1709653878.901955
69,NE05,1709653878.9103074
70,SW00,1709653879.1808536
71,SN16,1709653879.1878989
72,SN17,1709653879.1905978
73,SE11,1709653879.1972132
74,NS12,1709653879.2049065
75,NS13,1709653879.2083528
76,NS14,1709653879.211656
77,NE05,1709653879.220603
78,SW00,1709653879.4736242
79,SN16,1709653879.4808757
80,SN17,1709653879.4845746
81,SE11,1709653879.4973264
82,NS12,1709653879.5059776
83,NS13,1709653879.5096278
84,NS14,1709653879.515319
85,NE05,1709653879.5255566
86,SW00,1709653879.7794683
87,SN16,1709653879.7928643
88,SN17,1709653879.7970476
89,SE11,1709653879.8126278
90,NS12,1709653879.8216426
91,NS13,1709653879.8324006
92,NS14,1709653879.836816
93,NE05,1709653879.8506565
94,NE08,1709653879.8550122
95,SW00,1709653880.0718322
96,SN16,1709653880.0786335
97,SN17,1709653880.082416
98,SE11,1709653880.0908058
99,NS12,1709653880.1039073
100,NS13,1709653880.1080194
101,NS14,1709653880.112043
102,NE05,1709653880.1194754
103,NE08,1709653880.1242416
104,SW00,1709653880.366352
105,SN16,1709653880.3759298
106,SN17,1709653880.380279
107,SE11,1709653880.39732
108,NS12,1709653880.4098957
109,NS13,1709653880.4132493
110,NS14,1709653880.417167
111,NE05,1709653880.4266675
112,NE08,1709653880.4301877
113,SW00,1709653880.6778007
114,SN16,1709653880.685112
115,SN17,1709653880.6890917
