,starttime,endtime,phaseDuration
0,1709657890.3180642,1709657890.3180716,25
1,1709657915.4185762,1709657915.418582,25
2,1709657940.521511,1709657940.5215178,25
3,1709657965.5191767,1709657965.5191844,25
4,1709657990.630207,1709657990.6302125,25
5,1709658015.6209106,1709658015.6209803,25
6,1709658040.7228904,1709658040.7228973,25
7,1709658065.8253329,1709658065.8253427,25
8,1709658090.821175,1709658090.8212368,25
9,1709658115.921788,1709658115.9217944,25
10,1709658141.0284557,1709658141.0284612,25
11,1709658166.0236025,1709658166.0236125,25
12,1709658191.024962,1709658191.024967,25
13,1709658216.121867,1709658216.1218731,25
14,1709658241.2185798,1709658241.218585,25
15,1709658266.2267227,1709658266.2267306,25
16,1709658291.4285052,1709658291.42851,25
17,1709658316.527125,1709658316.5271318,25
18,1709658341.5249445,1709658341.5249507,25
19,1709658366.72017,1709658366.7201762,25
20,1709658391.72597,1709658391.725976,25
21,1709658416.9237773,1709658416.923784,25
22,1709658442.0212746,1709658442.0212815,25
23,1709658467.0248816,1709658467.02489,25
24,1709658492.2191958,1709658492.2192013,25
25,1709658517.2277694,1709658517.227776,25
26,1709658542.324484,1709658542.3244908,25
27,1709658567.425326,1709658567.4253335,25
28,1709658592.4296947,1709658592.4296997,25
29,1709658617.519165,1709658617.5191715,25
30,1709658642.6273396,1709658642.6273463,25
31,1709658667.7195978,1709658667.7196074,25
32,1709658692.8306534,1709658692.8306582,25
33,1709658717.8272545,1709658717.827262,25
34,1709658742.830862,1709658742.8308718,25
35,1709658768.025627,1709658768.0256321,25
36,1709658793.027361,1709658793.0273676,25
37,1709658818.2179465,1709658818.2179534,25
