,vehicleid,recievetime
0,NW10,1709657895.4882185
1,NW10,1709657895.4950175
2,SW01,1709657895.7377956
3,NW10,1709657895.7607436
4,SW01,1709657896.0380638
5,NW10,1709657896.0570102
6,SW01,1709657896.3339653
7,NW10,1709657896.354204
8,SW01,1709657896.6351647
9,NW10,1709657896.6556008
10,SW01,1709657896.937077
11,NW10,1709657896.95472
12,SW01,1709657897.2363167
13,NW10,1709657897.2541249
14,SW01,1709657897.5353053
15,NW10,1709657897.556398
16,SW01,1709657897.841024
17,NS12,1709657897.8559954
18,NW10,1709657897.8700957
19,SW01,1709657898.1326618
20,NS12,1709657898.1469371
21,NW10,1709657898.1590962
22,SW01,1709657898.446634
23,SW03,1709657898.4500723
24,NS12,1709657898.4633904
25,NW10,1709657898.4715605
26,SW01,1709657898.735619
27,SW03,1709657898.7415302
28,NS12,1709657898.7560167
29,NW10,1709657898.7677984
30,SW01,1709657899.0377953
31,SW03,1709657899.0432143
32,NS12,1709657899.0543227
33,NW10,1709657899.0674279
34,SW01,1709657899.3399549
35,SW03,1709657899.347203
36,NS12,1709657899.359191
37,NW10,1709657899.3697357
38,SW01,1709657899.6373522
39,SW03,1709657899.6435356
40,NS12,1709657899.6526914
41,NW10,1709657899.662757
42,SW01,1709657899.9432611
43,SW03,1709657899.954462
44,NS12,1709657899.9657152
45,NW10,1709657899.9774828
46,SW01,1709657900.2376475
47,SW03,1709657900.2448628
48,NS12,1709657900.258937
49,NW10,1709657900.274156
50,SW01,1709657900.5467646
51,SW03,1709657900.5518277
52,NS12,1709657900.568009
53,NS14,1709657900.5768874
54,NW10,1709657900.5956502
55,SW01,1709657900.8388176
56,SW03,1709657900.8436184
57,NS12,1709657900.853419
58,NS14,1709657900.8594944
59,NW10,1709657900.8693564
60,NW15,1709657900.8757918
61,SW01,1709657901.1336725
62,SW03,1709657901.139228
63,NS12,1709657901.1536007
64,NS14,1709657901.160113
65,NW10,1709657901.166056
66,NW15,1709657901.1770632
67,SW01,1709657901.444216
68,SW03,1709657901.4511905
69,NS12,1709657901.4622264
70,NS14,1709657901.4676244
71,NW10,1709657901.47744
72,NW15,1709657901.4824774
73,SW01,1709657901.7333632
74,SW03,1709657901.7394588
75,NS12,1709657901.7480905
76,NS14,1709657901.757441
77,NW10,1709657901.7681456
78,NW15,1709657901.7780313
79,SW01,1709657902.0418458
80,SW03,1709657902.047349
81,SW06,1709657902.0526557
82,NS12,1709657902.0708318
83,NS14,1709657902.0771995
84,NW10,1709657902.082772
85,NW15,1709657902.0892067
86,SW01,1709657902.3501575
87,SW03,1709657902.358561
88,SW06,1709657902.3632505
89,NS12,1709657902.3699622
90,NS14,1709657902.375897
91,NE07,1709657902.3805838
92,NW10,1709657902.393014
93,NW15,1709657902.3975756
94,NW18,1709657902.4030802
95,SW01,1709657902.6402912
96,SW03,1709657902.649701
97,SW06,1709657902.656011
98,NS12,1709657902.6620245
99,NS14,1709657902.665575
100,NE07,1709657902.674702
101,NW10,1709657902.6836095
102,NW15,1709657902.6932743
103,NW18,1709657902.6996408
104,SW01,1709657902.9433296
105,SW03,1709657902.9502766
106,SW06,1709657902.9555137
107,NS12,1709657902.9647772
108,NS14,1709657902.9702702
109,NE07,1709657902.9793398
110,NE09,1709657902.9881864
111,NW10,1709657903.0060074
112,NW15,1709657903.013794
113,NW18,1709657903.0199378
114,SW01,1709657903.242986
115,SW03,1709657903.2470613
116,SW06,1709657903.2504656
117,NS12,1709657903.2635658
118,NS14,1709657903.268633
119,NE07,1709657903.2762291
120,NE09,1709657903.2833114
121,NW10,1709657903.2900937
122,NW15,1709657903.3015187
123,NW18,1709657903.3083236
124,SW01,1709657903.535383
125,SW03,1709657903.5428915
126,SW06,1709657903.5487988
127,NS12,1709657903.5605376
128,NS14,1709657903.5656228
129,NE07,1709657903.5750916
130,NE09,1709657903.5824144
131,NW10,1709657903.5925853
132,NW15,1709657903.6022296
133,NW18,1709657903.6155758
134,SW01,1709657903.8464172
135,SW03,1709657903.8505464
136,SW06,1709657903.863147
137,NS12,1709657903.8736312
138,NS14,1709657903.8779473
139,NE07,1709657903.8864713
140,NE09,1709657903.8992445
141,NW10,1709657903.909729
142,NW15,1709657903.920831
143,NW18,1709657903.927406
144,SW01,1709657904.137945
145,SW03,1709657904.14349
146,SW06,1709657904.148373
147,NS12,1709657904.1573148
148,NS14,1709657904.162266
149,NE07,1709657904.1725788
150,NE09,1709657904.1784062
151,NW10,1709657904.185248
152,NW15,1709657904.1920202
153,NW18,1709657904.1974397
154,SW01,1709657904.4323673
155,SW03,1709657904.4389586
156,SW06,1709657904.4434648
157,NS12,1709657904.453941
158,NS14,1709657904.459677
159,NE07,1709657904.466972
160,NE09,1709657904.4764206
161,NW10,1709657904.4829662
