,vehicleid,transtime
0,NW10,1709657895.1798005
1,NW10,1709657895.4878628
2,SW01,1709657895.7373855
3,NW10,1709657895.7598958
4,SW01,1709657896.0374484
5,NW10,1709657896.056535
6,SW01,1709657896.333501
7,NW10,1709657896.3537924
8,SW01,1709657896.6345954
9,NW10,1709657896.6549306
10,SW01,1709657896.9365509
11,NW10,1709657896.954173
12,SW01,1709657897.2358022
13,NW10,1709657897.253742
14,SW01,1709657897.5349245
15,NW10,1709657897.5560827
16,SW01,1709657897.8402064
17,NS12,1709657897.8553867
18,NW10,1709657897.866352
19,SW01,1709657898.1320841
20,NS12,1709657898.1464334
21,NW10,1709657898.1585035
22,SW01,1709657898.4460983
23,SW03,1709657898.4495983
24,NS12,1709657898.4615667
25,NW10,1709657898.4709928
26,SW01,1709657898.735099
27,SW03,1709657898.7392778
28,NS12,1709657898.7554898
29,NW10,1709657898.7671351
30,SW01,1709657899.0363986
31,SW03,1709657899.0404513
32,NS12,1709657899.0534556
33,NW10,1709657899.0668545
34,SW01,1709657899.3392944
35,SW03,1709657899.3458505
36,NS12,1709657899.3585916
37,NW10,1709657899.3684876
38,SW01,1709657899.6366994
39,SW03,1709657899.6400716
40,NS12,1709657899.651535
41,NW10,1709657899.6622162
42,SW01,1709657899.9427252
43,SW03,1709657899.9486308
44,NS12,1709657899.965298
45,NW10,1709657899.976983
46,SW01,1709657900.237013
47,SW03,1709657900.2442894
48,NS12,1709657900.258321
49,NW10,1709657900.2733839
50,SW01,1709657900.546128
51,SW03,1709657900.549422
52,NS12,1709657900.5662057
53,NS14,1709657900.5708537
54,NW10,1709657900.5862575
55,SW01,1709657900.8381903
56,SW03,1709657900.841812
57,NS12,1709657900.8527284
58,NS14,1709657900.8567424
59,NW10,1709657900.867861
60,NW15,1709657900.8717442
61,SW01,1709657901.1331208
62,SW03,1709657901.136729
63,NS12,1709657901.1506119
64,NS14,1709657901.1547716
65,NW10,1709657901.1649857
66,NW15,1709657901.1711624
67,SW01,1709657901.4437158
68,SW03,1709657901.447703
69,NS12,1709657901.4617283
70,NS14,1709657901.4651065
71,NW10,1709657901.476901
72,NW15,1709657901.480241
73,SW01,1709657901.7327592
74,SW03,1709657901.7359276
75,NS12,1709657901.7475038
76,NS14,1709657901.751026
77,NW10,1709657901.7676587
78,NW15,1709657901.772769
79,SW01,1709657902.041312
80,SW03,1709657902.0456614
81,SW06,1709657902.0488267
82,NS12,1709657902.0606742
83,NS14,1709657902.0645435
84,NW10,1709657902.0751169
85,NW15,1709657902.0808935
86,SW01,1709657902.3494928
87,SW03,1709657902.352723
88,SW06,1709657902.3579705
89,NS12,1709657902.3694284
90,NS14,1709657902.3726358
91,NE07,1709657902.379051
92,NW10,1709657902.3849158
93,NW15,1709657902.3883147
94,NW18,1709657902.3914175
95,SW01,1709657902.6392655
96,SW03,1709657902.6433668
97,SW06,1709657902.6473048
98,NS12,1709657902.661367
99,NS14,1709657902.664871
100,NE07,1709657902.6726136
101,NW10,1709657902.6807377
102,NW15,1709657902.685264
103,NW18,1709657902.6920996
104,SW01,1709657902.9388127
105,SW03,1709657902.9431252
106,SW06,1709657902.9473164
107,NS12,1709657902.9601588
108,NS14,1709657902.964445
109,NE07,1709657902.9750433
110,NE09,1709657902.9796948
111,NW10,1709657902.9893086
112,NW15,1709657902.994552
113,NW18,1709657902.998688
114,SW01,1709657903.242457
115,SW03,1709657903.2458863
116,SW06,1709657903.2491083
117,NS12,1709657903.2627869
118,NS14,1709657903.2663202
119,NE07,1709657903.2755992
120,NE09,1709657903.280324
121,NW10,1709657903.2883482
122,NW15,1709657903.2957563
123,NW18,1709657903.2991736
124,SW01,1709657903.5347419
125,SW03,1709657903.5407498
126,SW06,1709657903.5446239
127,NS12,1709657903.5577242
128,NS14,1709657903.5622501
129,NE07,1709657903.5695252
130,NE09,1709657903.5744987
131,NW10,1709657903.58504
132,NW15,1709657903.590669
133,NW18,1709657903.596395
134,SW01,1709657903.8458548
135,SW03,1709657903.8484356
136,SW06,1709657903.8532374
137,NS12,1709657903.8728642
138,NS14,1709657903.8763351
139,NE07,1709657903.882542
140,NE09,1709657903.8862898
141,NW10,1709657903.9059682
142,NW15,1709657903.9118598
143,NW18,1709657903.9204469
144,SW01,1709657904.1375418
145,SW03,1709657904.1427917
146,SW06,1709657904.1462116
147,NS12,1709657904.1568766
148,NS14,1709657904.1603932
149,NE07,1709657904.1690109
