,starttime,endtime
0,1709651743.5129147,1709651743.512927
1,1709651743.5289743,1709651743.528982
2,1709651743.6241493,1709651743.6241567
3,1709651743.722443,1709651743.722452
4,1709651743.825218,1709651743.8252244
5,1709651743.916239,1709651743.9162462
6,1709651744.0167482,1709651744.0167572
7,1709651744.1177788,1709651744.117787
8,1709651744.2189274,1709651744.218936
9,1709651744.320457,1709651744.320465
10,1709651744.4240952,1709651744.4241045
11,1709651744.5298893,1709651744.5298965
12,1709651744.616964,1709651744.6169746
13,1709651744.7161572,1709651744.7161639
14,1709651744.8156323,1709651744.8156395
15,1709651744.9217632,1709651744.9217718
16,1709651745.023476,1709651745.0234828
17,1709651745.1253502,1709651745.1253583
18,1709651745.2162938,1709651745.2163002
19,1709651745.319571,1709651745.3195784
20,1709651745.4180627,1709651745.4180713
21,1709651745.5168948,1709651745.5169032
22,1709651745.617514,1709651745.6175232
23,1709651745.7167113,1709651745.7167158
24,1709651745.822551,1709651745.822558
25,1709651745.9312925,1709651745.9313004
26,1709651746.0228992,1709651746.0229068
27,1709651746.127014,1709651746.1270216
28,1709651746.2238812,1709651746.2238877
29,1709651746.3271499,1709651746.327155
30,1709651746.41627,1709651746.4162774
31,1709651746.518021,1709651746.5180278
32,1709651746.615932,1709651746.6159382
33,1709651746.7208345,1709651746.720842
34,1709651746.8158758,1709651746.8158824
35,1709651746.91605,1709651746.9160564
36,1709651747.027069,1709651747.0270762
37,1709651747.11607,1709651747.116077
38,1709651747.2237542,1709651747.2237625
39,1709651747.31767,1709651747.3176787
40,1709651747.4210315,1709651747.4210398
41,1709651747.5179236,1709651747.5179331
42,1709651747.627151,1709651747.6271572
43,1709651747.7161405,1709651747.716154
44,1709651747.8251913,1709651747.8251975
45,1709651747.930288,1709651747.9302955
46,1709651748.0227568,1709651748.0227637
47,1709651748.116456,1709651748.1164641
48,1709651748.2175741,1709651748.2175817
49,1709651748.3183928,1709651748.3184016
50,1709651748.4186914,1709651748.4187
51,1709651748.5204906,1709651748.5204976
52,1709651748.6249523,1709651748.6249592
53,1709651748.7215135,1709651748.7215207
54,1709651748.8250837,1709651748.8250911
55,1709651748.9237945,1709651748.923804
56,1709651749.0256915,1709651749.0256972
57,1709651749.1243017,1709651749.1243088
58,1709651749.2193992,1709651749.2194066
59,1709651749.3295224,1709651749.329529
60,1709651749.4316149,1709651749.4316227
61,1709651749.5181174,1709651749.5181265
62,1709651749.6209676,1709651749.620976
63,1709651749.7225325,1709651749.7225416
64,1709651749.816277,1709651749.8162837
65,1709651749.918025,1709651749.9180334
66,1709651750.025157,1709651750.025164
67,1709651750.1167595,1709651750.116768
68,1709651750.2168806,1709651750.2168908
69,1709651750.3164473,1709651750.3164551
70,1709651750.4231153,1709651750.4231222
71,1709651750.9697201,1709651750.9697292
72,1709651750.9811702,1709651750.9811814
73,1709651751.0270722,1709651751.027078
74,1709651751.1230738,1709651751.1230822
75,1709651751.2212944,1709651751.2213023
76,1709651751.3268986,1709651751.3269064
77,1709651751.4178731,1709651751.4178822
78,1709651751.5163758,1709651751.5163834
79,1709651751.6156182,1709651751.6156251
80,1709651751.7159348,1709651751.7159421
81,1709651751.8155067,1709651751.8155117
82,1709651751.9155006,1709651751.9155078
83,1709651752.016165,1709651752.0161738
84,1709651752.1157296,1709651752.1157372
85,1709651752.219414,1709651752.2194233
86,1709651752.3211555,1709651752.3211622
87,1709651752.421799,1709651752.4218087
88,1709651752.519664,1709651752.519674
89,1709651752.619322,1709651752.61933
90,1709651752.7285948,1709651752.7286026
91,1709651752.8163831,1709651752.8163915
92,1709651752.9170616,1709651752.91707
93,1709651753.0281017,1709651753.028109
94,1709651753.1159298,1709651753.1159375
95,1709651753.2155125,1709651753.2155194
96,1709651753.3195064,1709651753.3195145
97,1709651753.4220643,1709651753.4220734
98,1709651753.515996,1709651753.5160048
99,1709651753.6197557,1709651753.6197646
100,1709651753.7182596,1709651753.7182677
101,1709651753.826099,1709651753.8261082
102,1709651753.9282048,1709651753.9282155
103,1709651754.0175345,1709651754.0175445
104,1709651754.1161299,1709651754.1161382
105,1709651754.221073,1709651754.22108
106,1709651754.3160343,1709651754.316043
107,1709651754.4298701,1709651754.42988
108,1709651754.520202,1709651754.5202096
109,1709651754.6215544,1709651754.621562
110,1709651754.7158582,1709651754.7158637
111,1709651754.820465,1709651754.8204737
112,1709651754.923979,1709651754.925347
113,1709651755.030878,1709651755.0308867
114,1709651755.119862,1709651755.1198661
115,1709651755.2165482,1709651755.2165568
116,1709651755.3187616,1709651755.3187702
117,1709651755.4320254,1709651755.4320333
118,1709651755.5183966,1709651755.5184019
119,1709651755.6185505,1709651755.6185586
120,1709651755.7195914,1709651755.7195983
121,1709651755.8160412,1709651755.8160489
122,1709651755.9165697,1709651755.9165766
123,1709651756.0281634,1709651756.0281706
124,1709651756.1330006,1709651756.1330082
125,1709651756.2289064,1709651756.2289147
126,1709651756.3282819,1709651756.3282893
127,1709651756.4208543,1709651756.4208627
128,1709651756.5180244,1709651756.5180318
129,1709651756.621443,1709651756.62145
130,1709651756.7209299,1709651756.7209353
131,1709651756.820412,1709651756.8204184
132,1709651756.930337,1709651756.9303439
133,1709651757.0191908,1709651757.0191984
134,1709651757.1178415,1709651757.1178515
135,1709651757.2209868,1709651757.220994
136,1709651757.323869,1709651757.323878
137,1709651757.417854,1709651757.4178622
138,1709651757.518709,1709651757.5187175
139,1709651757.6191015,1709651757.61911
140,1709651757.7299407,1709651757.7299473
141,1709651757.8256485,1709651757.8256543
142,1709651757.9203687,1709651757.9203768
143,1709651758.0183992,1709651758.0184076
144,1709651758.1257553,1709651758.1257641
145,1709651758.2292843,1709651758.2292905
146,1709651758.319102,1709651758.3191075
147,1709651758.4251628,1709651758.425171
148,1709651758.5180721,1709651758.5180798
149,1709651758.6320102,1709651758.632019
150,1709651758.7217388,1709651758.7217445
151,1709651758.825889,1709651758.8258965
152,1709651758.922518,1709651758.9225326
153,1709651759.019636,1709651759.0196433
154,1709651759.1175747,1709651759.1175792
155,1709651759.2220368,1709651759.2220452
156,1709651759.3195553,1709651759.3195636
157,1709651759.4186752,1709651759.418724
158,1709651759.5189235,1709651759.5189319
159,1709651759.6289675,1709651759.628976
160,1709651759.7180057,1709651759.7180133
161,1709651759.823956,1709651759.8239646
162,1709651759.9294672,1709651759.9294715
163,1709651760.020298,1709651760.020304
164,1709651760.1241164,1709651760.1241255
165,1709651760.2233853,1709651760.2233968
166,1709651760.3235755,1709651760.3235867
167,1709651760.4336166,1709651760.4336238
168,1709651760.5258968,1709651760.5259058
169,1709651760.6194224,1709651760.6194284
170,1709651760.718101,1709651760.718108
171,1709651760.8160436,1709651760.8160508
172,1709651760.9299507,1709651760.9299583
173,1709651761.0262594,1709651761.0262654
174,1709651761.1298692,1709651761.1298754
175,1709651761.2303412,1709651761.2303476
176,1709651761.327318,1709651761.3273315
177,1709651761.4181793,1709651761.4181864
178,1709651761.5221193,1709651761.5221262
179,1709651761.6218936,1709651761.6219027
180,1709651761.7204344,1709651761.7204409
181,1709651761.8288357,1709651761.8288405
182,1709651761.933232,1709651761.9332385
183,1709651762.0289767,1709651762.0289981
184,1709651762.1396043,1709651762.1396093
185,1709651762.223878,1709651762.2238848
