,starttime,endtime,phaseDuration
0,1709649314.6782422,1709649314.678248,25
1,1709649339.683053,1709649339.68306,25
2,1709649364.7797294,1709649364.7797348,25
3,1709649389.8829668,1709649389.8829737,25
4,1709649414.9793131,1709649414.9793186,25
5,1709649440.0798018,1709649440.0798082,25
6,1709649465.08171,1709649465.0817158,25
7,1709649490.180736,1709649490.1807435,25
8,1709649515.1837237,1709649515.1837301,25
9,1709649540.281168,1709649540.2811742,25
10,1709649565.2875974,1709649565.2876043,25
11,1709649590.4794385,1709649590.479447,25
12,1709649615.5871272,1709649615.587133,25
13,1709649640.5858824,1709649640.5858886,25
14,1709649665.6838913,1709649665.683897,25
15,1709649690.807165,1709649690.807172,25
16,1709649715.8787577,1709649715.8787634,25
17,1709649740.8786414,1709649740.8786478,25
18,1709649765.9853535,1709649765.98536,25
19,1709649791.0844948,1709649791.0845008,25
20,1709649816.0860426,1709649816.0860505,25
21,1709649841.2790754,1709649841.2790825,25
22,1709649866.3825788,1709649866.3825843,25
23,1709649891.386052,1709649891.3860595,25
24,1709649916.4847848,1709649916.4847908,25
25,1709649941.5869713,1709649941.5869775,25
26,1709649966.6788204,1709649966.6788266,25
27,1709649991.7831025,1709649991.783109,25
28,1709650016.7904956,1709650016.7905025,25
29,1709650041.882275,1709650041.882282,25
30,1709650066.8895652,1709650066.8895712,25
31,1709650091.9822652,1709650091.9822733,25
32,1709650117.084484,1709650117.0844905,25
33,1709650142.1896763,1709650142.1896827,25
34,1709650167.2872276,1709650167.2872336,25
35,1709650192.289519,1709650192.2895267,25
36,1709650217.378299,1709650217.3783069,25
37,1709650242.4782763,1709650242.478284,25
38,1709650267.5782447,1709650267.5782516,25
39,1709650292.9986484,1709650292.998654,25
40,1709650318.0783005,1709650318.0783088,25
41,1709650343.1785128,1709650343.17852,25
42,1709650368.2783842,1709650368.2783911,25
43,1709650393.378255,1709650393.378263,25
