,vehicleid,transtime
0,SW00,1709649317.0654426
1,SW00,1709649317.3446286
2,SW00,1709649317.6483688
3,SW00,1709649317.9477527
4,SW00,1709649318.2462099
5,SN11,1709649318.254062
6,EN12,1709649318.5484526
7,SW00,1709649318.5626507
8,SN11,1709649318.5699632
9,EN12,1709649318.8403742
10,SW00,1709649318.8511887
11,SN11,1709649318.8603384
12,EN12,1709649319.1374729
13,SW00,1709649319.1518033
14,SN11,1709649319.1589425
15,EN12,1709649319.4373422
16,SW00,1709649319.448291
17,SN11,1709649319.4551198
18,EN12,1709649319.7391624
19,SW00,1709649319.7498503
20,SN11,1709649319.7570937
21,EN12,1709649320.0370154
22,SW00,1709649320.0457458
23,SN11,1709649320.053962
24,EN12,1709649320.3409746
25,SW00,1709649320.3550348
26,SN11,1709649320.3614702
27,EN12,1709649320.6411052
28,SW00,1709649320.6532574
29,SN11,1709649320.6609728
30,EN12,1709649320.9411614
31,SW00,1709649320.9564657
32,SN11,1709649320.9623792
33,EN12,1709649321.2400625
34,SW00,1709649321.2519548
35,SN11,1709649321.2586436
36,EN12,1709649321.5456922
37,EN13,1709649321.5507991
38,SW00,1709649321.559446
39,SN11,1709649321.5693026
40,EN12,1709649321.8378744
41,EN13,1709649321.841478
42,SW00,1709649321.8524308
43,SN11,1709649321.8591123
44,ES04,1709649322.14026
45,EN12,1709649322.1470268
46,EN13,1709649322.1501584
47,SW00,1709649322.1588316
48,SN11,1709649322.1667302
49,ES04,1709649322.4352913
50,EN12,1709649322.4420683
51,EN13,1709649322.4482923
52,SW00,1709649322.4641585
53,SN11,1709649322.4709618
54,ES04,1709649322.744541
55,EN12,1709649322.754296
56,EN13,1709649322.7588394
57,EN15,1709649322.7630653
58,SW00,1709649322.773745
59,SN11,1709649322.7788758
60,ES04,1709649323.0347269
61,EN12,1709649323.0396693
62,EN13,1709649323.0427008
63,EN15,1709649323.0458493
64,SW00,1709649323.0543263
65,SN11,1709649323.0599184
66,ES04,1709649323.3360734
67,EN12,1709649323.3429928
68,EN13,1709649323.3458457
69,EN15,1709649323.3490903
70,SW00,1709649323.3593485
71,SN11,1709649323.3687928
72,ES04,1709649323.6344867
73,EN12,1709649323.6412756
74,EN13,1709649323.6466362
75,EN15,1709649323.6502192
76,SW00,1709649323.6600163
77,SN11,1709649323.6658056
78,ES04,1709649323.9375882
79,EN12,1709649323.945192
80,EN13,1709649323.9489777
81,EN15,1709649323.9531174
82,SW00,1709649323.9648426
83,SW06,1709649323.9684873
84,SN11,1709649323.9766917
85,ES04,1709649324.2352352
86,EN12,1709649324.2432055
87,EN13,1709649324.247297
88,EN15,1709649324.2522173
89,SW00,1709649324.2705173
90,SW06,1709649324.2747238
91,SN11,1709649324.2838147
92,ES04,1709649324.552552
93,ES07,1709649324.557086
94,EN12,1709649324.5645566
95,EN13,1709649324.5670302
96,EN15,1709649324.5701883
97,EW18,1709649324.5781152
98,SW00,1709649324.5861776
99,SW06,1709649324.5910017
100,SN11,1709649324.5987744
101,ES04,1709649324.8443274
102,ES07,1709649324.847859
103,EN12,1709649324.8551893
104,EN13,1709649324.8577673
105,EN15,1709649324.8602204
106,EN19,1709649324.8640866
107,EW18,1709649324.8771493
108,SW00,1709649324.8843033
109,SW06,1709649324.888706
110,SN11,1709649324.8984742
111,ES04,1709649325.1354332
112,ES07,1709649325.139772
113,EN12,1709649325.1468263
114,EN13,1709649325.150213
115,EN15,1709649325.1535435
116,EN19,1709649325.1569426
117,EW18,1709649325.1682086
118,SW00,1709649325.182026
119,SW06,1709649325.1858077
120,SN11,1709649325.1922395
121,ES04,1709649325.4346254
122,ES07,1709649325.439515
123,EN12,1709649325.4485295
124,EN13,1709649325.4530525
125,EN15,1709649325.456351
126,EN19,1709649325.4616866
127,EW18,1709649325.4705656
128,SW00,1709649325.4863775
129,SW06,1709649325.4905436
130,SN11,1709649325.5066702
131,ES04,1709649325.7408843
132,ES07,1709649325.7460506
133,EN12,1709649325.7544718
134,EN13,1709649325.7578375
135,EN15,1709649325.762405
136,EN19,1709649325.7659757
137,EW18,1709649325.7742622
138,SW00,1709649325.7818244
139,SW06,1709649325.78966
140,SN11,1709649325.8006058
141,ES04,1709649326.0406165
142,ES07,1709649326.0463314
143,ES010,1709649326.0505865
144,EN12,1709649326.0579727
145,EN13,1709649326.061541
146,EN15,1709649326.0657072
147,EN19,1709649326.0690722
148,EW18,1709649326.0762222
149,SW00,1709649326.0824888
150,SW06,1709649326.0858684
151,SN11,1709649326.0922902
152,ES04,1709649326.3496847
153,ES07,1709649326.3538442
154,ES010,1709649326.359324
155,EN12,1709649326.3697686
156,EN13,1709649326.3732166
157,EN15,1709649326.376864
158,EN19,1709649326.381061
159,EW18,1709649326.3880033
160,SW00,1709649326.395281
161,SW06,1709649326.4058673
162,SN11,1709649326.4162922
163,SE111,1709649326.4259272
164,ES04,1709649326.650584
165,ES07,1709649326.6541936
166,ES010,1709649326.6567855
167,EN12,1709649326.6648417
168,EN13,1709649326.6707153
169,EN15,1709649326.6748319
170,EN19,1709649326.6826406
171,EW18,1709649326.6905026
172,SW00,1709649326.7018795
173,SW06,1709649326.7051165
174,SN11,1709649326.7111506
175,SE111,1709649326.7199452
176,ES04,1709649326.9345634
177,ES07,1709649326.937733
178,ES010,1709649326.941053
179,EN12,1709649326.9533877
180,EN13,1709649326.957973
181,EN15,1709649326.9615166
182,EN19,1709649326.9655988
183,EW18,1709649326.9738865
184,SW00,1709649326.9812381
185,SW06,1709649326.9847062
186,SN11,1709649326.9913185
187,SE111,1709649326.999391
188,ES04,1709649327.236425
189,ES07,1709649327.2400603
190,ES010,1709649327.2439067
191,EN12,1709649327.251582
192,EN13,1709649327.255274
193,EN15,1709649327.2585442
194,EN19,1709649327.262079
195,EW18,1709649327.272599
196,SW00,1709649327.2796571
197,SW06,1709649327.2834108
198,SN11,1709649327.2914495
199,SE111,1709649327.2972708
200,ES04,1709649327.5347967
201,ES07,1709649327.5381298
202,ES010,1709649327.5425072
203,EN12,1709649327.5511746
204,EN13,1709649327.5548599
205,EN15,1709649327.5584712
206,EN19,1709649327.562883
207,EW18,1709649327.5704644
208,SW00,1709649327.5820673
209,SW06,1709649327.585556
210,SN11,1709649327.5978184
211,SE111,1709649327.604671
212,ES04,1709649327.83435
213,ES07,1709649327.837004
214,ES010,1709649327.8394184
215,EN12,1709649327.8467724
216,EN13,1709649327.8502908
217,EN15,1709649327.853686
218,EN19,1709649327.8572404
219,EW18,1709649327.863683
220,SW00,1709649327.869435
221,SW06,1709649327.8730633
222,SN11,1709649327.8800282
223,SE111,1709649327.8861318
224,ES04,1709649328.1350274
225,ES07,1709649328.1383936
226,ES010,1709649328.1419482
227,EN12,1709649328.1494203
228,EN13,1709649328.1533499
229,EN15,1709649328.1582632
230,EN19,1709649328.1621118
231,EW18,1709649328.169467
232,SW00,1709649328.176234
233,SW06,1709649328.1797345
234,SN11,1709649328.190404
235,SE111,1709649328.2002122
236,ES04,1709649328.4354784
237,ES07,1709649328.4390037
238,ES010,1709649328.4465249
239,EN12,1709649328.454457
240,EN13,1709649328.4585357
241,EN15,1709649328.4626088
242,EN19,1709649328.4660146
243,EW18,1709649328.4734914
244,SW00,1709649328.4817152
245,SW06,1709649328.485277
246,SN11,1709649328.4921203
247,SE111,1709649328.499078
248,ES04,1709649328.7612777
249,ES07,1709649328.7694623
250,ES010,1709649328.7743597
251,EN12,1709649328.7842717
252,EN13,1709649328.7884874
253,EN15,1709649328.792992
254,EN19,1709649328.7988875
255,EW18,1709649328.8127136
256,SW00,1709649328.8239443
257,SW06,1709649328.829537
258,SW012,1709649328.8334792
259,SN11,1709649328.8409076
260,SN113,1709649328.8443418
261,SE111,1709649328.8496802
262,SE114,1709649328.853865
263,ES04,1709649329.0384302
264,ES07,1709649329.0445676
265,ES010,1709649329.0481186
266,EN12,1709649329.057274
267,EN13,1709649329.0636594
268,EN15,1709649329.0680184
269,EN19,1709649329.075492
270,EW18,1709649329.0849113
271,SW00,1709649329.096649
272,SW06,1709649329.100576
273,SW012,1709649329.1045012
274,SN11,1709649329.1130302
275,SN113,1709649329.1155562
276,SE111,1709649329.1209424
277,SE114,1709649329.1244326
278,ES04,1709649329.3360183
279,ES07,1709649329.34022
280,ES010,1709649329.344308
281,EN12,1709649329.3517432
282,EN13,1709649329.3546321
283,EN15,1709649329.358581
284,EN19,1709649329.3622725
285,EW18,1709649329.3678231
286,SW00,1709649329.3744764
287,SW06,1709649329.3777976
288,SW012,1709649329.3823795
289,SN11,1709649329.3910913
290,SN113,1709649329.3956034
291,SE111,1709649329.4031441
292,SE114,1709649329.4078994
293,ES04,1709649329.6352837
294,ES07,1709649329.6452875
295,ES010,1709649329.6496885
296,EN12,1709649329.6570673
297,EN13,1709649329.660939
298,EN15,1709649329.6646352
299,EN19,1709649329.668275
300,EW18,1709649329.6758657
301,SW00,1709649329.6827428
302,SW06,1709649329.6863704
303,SW012,1709649329.6898155
304,SN11,1709649329.6959822
305,SN113,1709649329.6992342
306,SE111,1709649329.7060199
307,SE114,1709649329.7125988
308,ES04,1709649329.9389799
309,ES07,1709649329.9427254
310,ES010,1709649329.948158
311,EN12,1709649329.9562764
312,EN13,1709649329.963748
313,EN15,1709649329.9678428
314,EN19,1709649329.9712493
315,EN115,1709649329.9750276
316,EW18,1709649329.9825943
317,SW00,1709649329.9889953
318,SW06,1709649329.992727
319,SW012,1709649329.9959831
320,SN11,1709649330.0024111
321,SN113,1709649330.0057416
322,SE111,1709649330.0153093
323,SE114,1709649330.02037
324,ES04,1709649330.2491152
325,ES07,1709649330.2529078
326,ES010,1709649330.257277
327,EN12,1709649330.266049
328,EN13,1709649330.272669
329,EN15,1709649330.2767887
330,EN19,1709649330.280943
331,EN115,1709649330.285295
332,EN116,1709649330.2893546
333,EW18,1709649330.300377
334,SW00,1709649330.3120837
335,SW06,1709649330.316428
336,SW012,1709649330.3197465
337,SN11,1709649330.330086
338,SN113,1709649330.3339942
339,SE111,1709649330.3429642
340,SE114,1709649330.3464127
341,ES04,1709649330.5338883
342,ES07,1709649330.5370238
343,ES010,1709649330.541588
344,EN12,1709649330.5489902
345,EN13,1709649330.553146
346,EN15,1709649330.5589166
347,EN19,1709649330.563716
348,EN115,1709649330.5671449
349,EN116,1709649330.5706744
350,EW18,1709649330.5840724
351,SW00,1709649330.5901752
352,SW06,1709649330.5933208
353,SW012,1709649330.5968356
354,SN11,1709649330.6066303
355,SN113,1709649330.6107943
356,SE111,1709649330.6244025
357,SE114,1709649330.6294742
358,ES04,1709649330.8344069
359,ES07,1709649330.8385167
360,ES010,1709649330.843327
361,EN12,1709649330.851864
362,EN13,1709649330.857847
363,EN15,1709649330.861497
364,EN19,1709649330.864512
365,EN115,1709649330.8671668
366,EN116,1709649330.8698215
367,EW18,1709649330.8761094
368,SW00,1709649330.8816516
369,SW06,1709649330.884947
370,SW012,1709649330.8883238
371,SN11,1709649330.899246
372,SN113,1709649330.902644
373,SE111,1709649330.9100688
374,SE114,1709649330.9134395
375,ES04,1709649331.1345553
376,ES07,1709649331.1392136
377,ES010,1709649331.144797
378,EN12,1709649331.1517053
379,EN13,1709649331.1557863
380,EN15,1709649331.1595688
381,EN19,1709649331.1633112
382,EN115,1709649331.1675875
383,EN116,1709649331.1709301
384,EW18,1709649331.1853764
385,SW00,1709649331.192298
386,SW06,1709649331.195909
387,SW012,1709649331.1996925
388,SN11,1709649331.2085204
389,SN113,1709649331.211906
390,SE111,1709649331.2178342
391,SE114,1709649331.2227027
392,ES04,1709649331.4347808
393,ES07,1709649331.438689
394,ES010,1709649331.4418979
395,EN12,1709649331.4487288
396,EN13,1709649331.4521592
397,EN15,1709649331.455407
398,EN19,1709649331.4591596
399,EN115,1709649331.4630847
400,EN116,1709649331.4672112
401,EW18,1709649331.475098
402,SW00,1709649331.48179
403,SW06,1709649331.4881003
404,SW012,1709649331.493729
405,SN11,1709649331.5003495
406,SN113,1709649331.503058
407,SE111,1709649331.5106804
408,SE114,1709649331.5137389
409,ES04,1709649331.7351563
410,ES07,1709649331.7391126
411,ES010,1709649331.7427435
412,EN12,1709649331.7518127
413,EN13,1709649331.7765448
414,EN15,1709649331.780296
415,EN19,1709649331.7916932
416,EN115,1709649331.795541
417,EN116,1709649331.7994788
418,EW18,1709649331.8112857
419,SW00,1709649331.8255606
420,SW06,1709649331.8319094
421,SW012,1709649331.8390257
422,SN11,1709649331.8471754
423,SN113,1709649331.8506138
424,SE111,1709649331.8595598
425,SE114,1709649331.8631334
426,ES04,1709649332.0406032
427,ES07,1709649332.0443752
428,ES010,1709649332.0476806
429,EN12,1709649332.0552402
430,EN13,1709649332.0597274
431,EN15,1709649332.063538
432,EN19,1709649332.0662098
433,EN115,1709649332.0685613
434,EN116,1709649332.0725594
435,EW18,1709649332.0796056
436,EW117,1709649332.082938
437,SW00,1709649332.091577
438,SW06,1709649332.09788
439,SW012,1709649332.1022735
440,SN11,1709649332.1100287
441,SN113,1709649332.1138825
442,SE111,1709649332.1243496
443,SE114,1709649332.1279578
444,ES04,1709649332.3342526
445,ES07,1709649332.337704
446,ES010,1709649332.3407862
447,EN12,1709649332.3479292
448,EN13,1709649332.3543456
449,EN15,1709649332.3585126
450,EN19,1709649332.3619761
451,EN115,1709649332.3654387
452,EN116,1709649332.3688262
453,EW18,1709649332.3794434
454,EW117,1709649332.3832889
455,SW00,1709649332.3907115
456,SW06,1709649332.3942459
457,SW012,1709649332.3981364
458,SN11,1709649332.406181
459,SN113,1709649332.41016
460,SE111,1709649332.4168828
461,SE114,1709649332.4204054
462,ES04,1709649332.6444547
463,ES07,1709649332.6478505
464,ES010,1709649332.6514187
465,EN12,1709649332.663128
466,EN13,1709649332.6668537
467,EN15,1709649332.6708272
468,EN19,1709649332.679223
469,EN115,1709649332.6838048
470,EN116,1709649332.687462
471,EN118,1709649332.6906085
472,EW18,1709649332.69806
473,EW117,1709649332.7013435
474,SW00,1709649332.7079427
475,SW06,1709649332.7114244
476,SW012,1709649332.7148566
477,SN11,1709649332.722249
478,SN113,1709649332.725448
479,SE111,1709649332.73032
480,SE114,1709649332.7331214
481,ES04,1709649332.943179
482,ES07,1709649332.9490921
483,ES010,1709649332.9538207
484,EN12,1709649332.9638753
485,EN13,1709649332.967932
486,EN15,1709649332.974591
487,EN19,1709649332.9786406
488,EN115,1709649332.9828658
489,EN116,1709649332.9881406
490,EN118,1709649332.9930067
491,EW18,1709649333.006117
492,EW117,1709649333.0103545
493,SW00,1709649333.0182114
494,SW06,1709649333.023849
495,SW012,1709649333.0277011
496,SW019,1709649333.0315154
497,SN11,1709649333.0457087
498,SN113,1709649333.0497386
499,SE111,1709649333.057527
500,SE114,1709649333.0614889
501,ES04,1709649333.23381
502,ES07,1709649333.2380872
503,ES010,1709649333.2420528
504,EN12,1709649333.2495768
505,EN13,1709649333.253778
506,EN15,1709649333.2630777
507,EN19,1709649333.2667673
508,EN115,1709649333.270579
509,EN116,1709649333.27691
510,EN118,1709649333.28082
511,EW18,1709649333.293212
512,EW117,1709649333.297116
513,SW00,1709649333.3043704
514,SW06,1709649333.3089967
515,SW012,1709649333.312694
516,SW019,1709649333.3162336
517,SN11,1709649333.3221827
518,SN113,1709649333.325799
519,SE111,1709649333.332321
520,SE114,1709649333.3364656
521,ES04,1709649333.5441053
522,ES07,1709649333.5477438
523,ES010,1709649333.5512967
524,EN12,1709649333.5604856
525,EN13,1709649333.5656142
526,EN15,1709649333.5701778
527,EN19,1709649333.5771477
528,EN115,1709649333.5802438
529,EN116,1709649333.5835252
530,EN118,1709649333.590657
531,EW18,1709649333.5984576
532,EW117,1709649333.6023607
533,SW00,1709649333.6089811
534,SW06,1709649333.6118982
535,SW012,1709649333.6151998
536,SW019,1709649333.6194804
537,SN11,1709649333.6252227
538,SN113,1709649333.6287646
539,SE111,1709649333.6356058
540,SE114,1709649333.6399496
541,SE120,1709649333.6442106
542,ES04,1709649333.8348298
543,ES07,1709649333.8377748
544,ES010,1709649333.8404882
545,EN12,1709649333.850589
546,EN13,1709649333.8558471
547,EN15,1709649333.8590622
548,EN19,1709649333.86189
549,EN115,1709649333.8643274
550,EN116,1709649333.8677335
551,EN118,1709649333.8717797
552,EW18,1709649333.8777163
553,EW117,1709649333.8815267
554,SW00,1709649333.8904643
555,SW06,1709649333.8945894
556,SW012,1709649333.9012845
557,SW019,1709649333.9094152
558,SN11,1709649333.9149706
559,SN113,1709649333.922573
560,SE111,1709649333.9313743
561,SE114,1709649333.9354105
562,SE120,1709649333.9410865
563,ES04,1709649334.1357841
564,ES07,1709649334.140845
565,ES010,1709649334.1443977
566,EN12,1709649334.1503253
567,EN13,1709649334.1604347
568,EN15,1709649334.1644752
569,EN19,1709649334.1681983
570,EN115,1709649334.1734188
571,EN116,1709649334.1827307
572,EN118,1709649334.1881597
573,EW18,1709649334.198421
574,EW117,1709649334.2033424
