,vehicleid,transtime
0,WN06,1712095536.625106
1,WN06,1712095536.7866037
2,SE15,1712095536.986379
3,WN06,1712095536.9883451
4,SE15,1712095537.22909
5,WE17,1712095537.231619
6,WS18,1712095537.2335553
7,WN06,1712095537.2350812
8,SE15,1712095537.387065
9,WE17,1712095537.3898137
10,WS18,1712095537.3918233
11,WN06,1712095537.3937669
12,SE15,1712095537.5864158
13,WE17,1712095537.5881152
14,WS18,1712095537.5895793
15,WN06,1712095537.5913968
16,SE15,1712095537.8233116
17,WE17,1712095537.8256474
18,WS18,1712095537.827823
19,WN06,1712095537.8300688
20,SE15,1712095537.9867723
21,WE17,1712095537.9890769
22,WS18,1712095537.9912682
23,WN06,1712095537.9961593
24,EN111,1712095538.1863892
25,SE15,1712095538.1886544
26,NE00,1712095538.190757
27,WE17,1712095538.1927872
28,WS18,1712095538.1943922
29,WN06,1712095538.1963453
30,ES09,1712095538.4296587
31,EN111,1712095538.4326267
32,SN14,1712095538.4348097
33,SE15,1712095538.4370356
34,NE00,1712095538.4391997
35,WE17,1712095538.4415002
36,WS18,1712095538.4437957
37,WN06,1712095538.4466777
38,ES09,1712095538.5863545
39,EN111,1712095538.5885808
40,SN14,1712095538.5910513
41,SE15,1712095538.5935056
42,NE00,1712095538.59617
43,WE17,1712095538.5983706
44,WS18,1712095538.600473
45,WN06,1712095538.6025684
46,ES09,1712095538.78695
47,EN111,1712095538.7904668
48,EW110,1712095538.7926881
49,SN14,1712095538.79503
50,SE15,1712095538.7973514
51,NE00,1712095538.7997952
52,NW12,1712095538.8019419
53,WE17,1712095538.8050125
54,WS18,1712095538.8071172
55,WN06,1712095538.8092334
56,ES09,1712095539.0237815
57,EN111,1712095539.0259376
58,EW110,1712095539.0280852
59,SN14,1712095539.0304434
60,SE15,1712095539.0327325
61,NS11,1712095539.0349953
62,NE00,1712095539.0371716
63,NW12,1712095539.0400217
64,WE17,1712095539.0422013
65,WS18,1712095539.044624
66,WN06,1712095539.047493
67,ES09,1712095539.186715
68,EN111,1712095539.1889892
69,EW110,1712095539.190701
70,SN14,1712095539.1924293
71,SE15,1712095539.1940014
72,NS11,1712095539.1959357
73,NE00,1712095539.1978474
74,NW12,1712095539.1998355
75,WE17,1712095539.201948
76,WS18,1712095539.2036018
77,WN06,1712095539.2054386
78,ES09,1712095539.3867226
79,EN111,1712095539.389154
80,EW110,1712095539.3914034
81,SN14,1712095539.3933423
82,SE15,1712095539.3952954
83,NS11,1712095539.3972054
84,NE00,1712095539.399451
85,NW12,1712095539.4017665
86,WE17,1712095539.4041054
87,WS18,1712095539.4066107
88,WN06,1712095539.4087322
89,ES09,1712095539.6840222
90,EN111,1712095539.686181
91,EW110,1712095539.688533
92,SW03,1712095539.6910195
93,SN14,1712095539.6929386
94,SE15,1712095539.694762
95,NS11,1712095539.6966298
96,NE00,1712095539.6982927
97,NW12,1712095539.7005281
98,WE17,1712095539.702979
99,WS18,1712095539.7052107
100,WN06,1712095539.7073743
101,ES09,1712095539.786479
102,EN111,1712095539.7890441
103,EW110,1712095539.7914126
104,SW03,1712095539.7936473
105,SN14,1712095539.795957
106,SE15,1712095539.7977586
107,NS11,1712095539.7995076
108,NE00,1712095539.801635
109,NW12,1712095539.8032863
110,WE17,1712095539.8055887
111,WS18,1712095539.807713
112,WN06,1712095539.810103
113,ES09,1712095539.9866216
114,EN111,1712095539.9890852
115,EW110,1712095539.9914212
116,SW03,1712095539.9932008
117,SN14,1712095539.9953225
118,SE15,1712095539.9975078
119,NS11,1712095539.9998195
120,NE00,1712095540.0018654
121,NW12,1712095540.0038762
122,WE17,1712095540.0058918
123,WS18,1712095540.0085402
124,WN06,1712095540.0108194
125,ES09,1712095540.2409801
126,EN111,1712095540.242764
127,EW110,1712095540.24445
128,SW03,1712095540.246375
129,SN14,1712095540.2485163
130,SE15,1712095540.250717
131,NS11,1712095540.2532935
132,NE00,1712095540.2554247
133,NW12,1712095540.2573967
134,WE17,1712095540.2594578
135,WS18,1712095540.2615204
136,WN06,1712095540.263533
137,ES09,1712095540.3865757
138,EN111,1712095540.3892155
139,EW110,1712095540.3916962
140,SW03,1712095540.3936594
141,SN14,1712095540.3956733
142,SE15,1712095540.3978097
143,NS11,1712095540.4010525
144,NE00,1712095540.4035587
145,NW12,1712095540.4056716
146,WE17,1712095540.4081905
147,WS18,1712095540.4101741
148,WN06,1712095540.4119818
149,ES09,1712095540.5871866
150,EN111,1712095540.5896425
151,EW110,1712095540.5918655
152,SW03,1712095540.5942073
153,SN14,1712095540.5961177
154,SE15,1712095540.5977523
155,NS11,1712095540.5995886
156,NE00,1712095540.6017911
157,NW12,1712095540.6038508
158,WE17,1712095540.6061041
159,WS18,1712095540.6082885
160,WN06,1712095540.610373
161,ES09,1712095540.8321376
162,EN111,1712095540.8343575
163,EW110,1712095540.8364139
164,SW03,1712095540.8382227
165,SN14,1712095540.8402708
166,SE15,1712095540.842394
167,NS11,1712095540.844729
168,NE00,1712095540.8471029
169,NW12,1712095540.8494256
170,WE17,1712095540.8513272
171,WS18,1712095540.8530493
172,WN06,1712095540.8547988
173,ES09,1712095540.9864583
174,EN111,1712095540.9892082
175,EW110,1712095540.991971
176,SW03,1712095540.9942374
177,SN14,1712095540.9962974
178,SE15,1712095540.9980187
179,NS11,1712095540.9998405
180,NE00,1712095541.0031376
181,NW12,1712095541.00505
182,WE17,1712095541.0072005
183,WS18,1712095541.0092487
184,WN06,1712095541.0115519
185,ES09,1712095541.1866004
186,EN111,1712095541.188698
187,EW110,1712095541.1909993
188,SW03,1712095541.1931536
189,SN14,1712095541.1951654
190,SE15,1712095541.1973007
191,NS11,1712095541.1995683
192,NE00,1712095541.2022395
193,NW12,1712095541.2041113
